count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,csv_path
0,1.0,1.0,2025/2/25,1779.48734,1149.487341,1740454154,1.0,1.0,前田,Right,TOK,1,中山絆,Left,niu,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.538,-0.164,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510000,見逃し,,1777,https://youtu.be/_3MnIPxHw_o&t=1777,622,https://youtu.be/5EDcInzAEH4&t=622,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,972671.0,TokyoBBC Left,,1740454158.0,1740454158.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454158,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
1,2.0,2.0,2025/2/25,1787.871151,1157.871152,1740454162,1.0,2.0,前田,Right,TOK,1,中山絆,Left,niu,1,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.622,-0.38,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510001,ボール,,1785,https://youtu.be/_3MnIPxHw_o&t=1785,630,https://youtu.be/5EDcInzAEH4&t=630,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,972671.0,TokyoBBC Left,,1740454158.0,1740454158.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454158,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
2,3.0,3.0,2025/2/25,1797.443612,1167.443613,1740454172,1.0,3.0,前田,Right,TOK,1,中山絆,Left,niu,1,Top,0,1,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.39,0.32,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510002,空振り,,1795,https://youtu.be/_3MnIPxHw_o&t=1795,639,https://youtu.be/5EDcInzAEH4&t=639,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,972671.0,TokyoBBC Left,,1740454176.0,1740454176.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454176,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
3,4.0,4.0,2025/2/25,1810.88052,1180.880521,1740454185,1.0,4.0,前田,Right,TOK,1,中山絆,Left,niu,1,Top,0,1,2,Sinker,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.598,0.1,26.86795879,-70.76932762,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2505510003,ファール,,1808,https://youtu.be/_3MnIPxHw_o&t=1808,653,https://youtu.be/5EDcInzAEH4&t=653,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,972671.0,TokyoBBC Left,,1740454190.0,1740454190.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454190,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
4,5.0,5.0,2025/2/25,1827.307005,1197.307005,1740454202,1.0,5.0,前田,Right,TOK,1,中山絆,Left,niu,1,Top,0,1,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,,0.546,0.032,43.57502314,19.7842787,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3A",2505510004,二ゴ,,1825,https://youtu.be/_3MnIPxHw_o&t=1825,664,https://youtu.be/5EDcInzAEH4&t=664,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,972671.0,TokyoBBC Left,,1740454206.0,1740454206.0,117.9,122.5,-32.4,27.7,1438.8402,1.7,11:12,1.0,-18.4,35.9,-222.4,,V3P4DLKO0850A,972671@1740454206,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
5,6.0,6.0,2025/2/25,1858.055364,1228.055365,1740454232,2.0,1.0,前田,Right,TOK,2,野中,Right,niu,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.47,0.184,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510005,見逃し,,1856,https://youtu.be/_3MnIPxHw_o&t=1856,679,https://youtu.be/5EDcInzAEH4&t=679,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,972671.0,TokyoBBC Left,,1740454236.0,1740454236.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454236,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
6,7.0,7.0,2025/2/25,1867.241176,1237.241176,1740454242,2.0,2.0,前田,Right,TOK,2,野中,Right,niu,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.926,-0.44,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510006,ボール,,1865,https://youtu.be/_3MnIPxHw_o&t=1865,688,https://youtu.be/5EDcInzAEH4&t=688,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,972671.0,TokyoBBC Left,,1740454246.0,1740454246.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454246,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
7,8.0,8.0,2025/2/25,1877.215274,1247.215275,1740454252,2.0,3.0,前田,Right,TOK,2,野中,Right,niu,1,Top,1,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.163,0.136,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510007,ボール,,1875,https://youtu.be/_3MnIPxHw_o&t=1875,698,https://youtu.be/5EDcInzAEH4&t=698,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,972671.0,TokyoBBC Left,,1740454256.0,1740454256.0,120.0,127.7,-4.6,1.6,0.0,2.3,0:00,1.0,-10.7,91.5,427.9,,V3P4DLKO0850A,972671@1740454256,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
8,9.0,9.0,2025/2/25,1889.52881,1259.528811,1740454264,2.0,4.0,前田,Right,TOK,2,野中,Right,niu,1,Top,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.45,-0.367,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510008,ボール,,1887,https://youtu.be/_3MnIPxHw_o&t=1887,710,https://youtu.be/5EDcInzAEH4&t=710,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0,972671.0,TokyoBBC Left,,1740454268.0,1740454268.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454268,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
9,10.0,10.0,2025/2/25,1903.12758,1273.127581,1740454277,2.0,5.0,前田,Right,TOK,2,野中,Right,niu,1,Top,1,3,1,Fastball,InPlay,Undefined,GroundBall,Error,0,0,,,0.69,0.152,43.57502314,19.7842787,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,門田,,"4,3","4E,3",2505510009,二ゴ失,,1901,https://youtu.be/_3MnIPxHw_o&t=1901,724,https://youtu.be/5EDcInzAEH4&t=724,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,972671.0,TokyoBBC Left,,1740454282.0,1740454282.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740454282,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
