count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji
0,1.0,1.0,2025/03/01,1600.60439658165,1120.604397773743,1740803330.999954,1.0,1.0,有水,Right,TOK,1,batter1,Left,ehi,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930000,ボール,,1598.0,https://youtu.be/nmAownCXdbg&t=1598,671.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
1,2.0,2.0,2025/03/01,1611.47092461586,1131.47092461586,1740803341.866482,1.0,2.0,有水,Right,TOK,1,batter1,Left,ehi,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.6459999999999999,0.5329999999999999,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930001,ボール,,1609.0,https://youtu.be/nmAownCXdbg&t=1609,681.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
2,3.0,3.0,2025/03/01,1623.061530828476,1143.06153178215,1740803353.457088,1.0,3.0,有水,Right,TOK,1,batter1,Left,ehi,1,Top,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.518,-0.212,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930002,見逃し,,1621.0,https://youtu.be/nmAownCXdbg&t=1621,693.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
3,4.0,4.0,2025/03/01,1639.483012676239,1159.483013868332,1740803369.87857,1.0,4.0,有水,Right,TOK,1,batter1,Left,ehi,1,Top,0,2,1,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.5820000000000001,0.096,2.537559075823784,144.4623222080257,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2505930003,ファール,,1637.0,https://youtu.be/nmAownCXdbg&t=1637,709.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
4,5.0,5.0,2025/03/01,1658.496262788773,1178.496263742447,1740803388.89182,1.0,5.0,有水,Right,TOK,1,batter1,Left,ehi,1,Top,0,2,2,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,0.654,0.22,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930004,見三振,,1656.0,https://youtu.be/nmAownCXdbg&t=1656,722.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
5,6.0,6.0,2025/03/01,1686.917373895645,1206.91737484932,1740803417.312931,2.0,1.0,有水,Right,TOK,2,batter2,Right,ehi,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.183,-0.076,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930005,ボール,,1684.0,https://youtu.be/nmAownCXdbg&t=1684,739.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
6,7.0,7.0,2025/03/01,1698.537277936935,1218.537277936935,1740803428.932835,2.0,2.0,有水,Right,TOK,2,batter2,Right,ehi,1,Top,1,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.3829999999999999,-0.313,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2505930006,空振り,,1696.0,https://youtu.be/nmAownCXdbg&t=1696,751.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
7,8.0,8.0,2025/03/01,1712.537673950195,1232.53767490387,1740803442.933231,2.0,3.0,有水,Right,TOK,2,batter2,Right,ehi,1,Top,1,1,1,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,,0.638,-0.212,41.89725268598512,1.210294168921219,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,,,,,Undefined,,,,4,4,2505930007,二安,,1710.0,https://youtu.be/nmAownCXdbg&t=1710,765.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
8,9.0,9.0,2025/03/01,1748.211579799652,1268.211579799652,1740803478.607136,3.0,1.0,有水,Right,TOK,3,batter3,Right,ehi,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.317,-0.268,,,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2505930008,ボール,,1746.0,https://youtu.be/nmAownCXdbg&t=1746,786.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
9,10.0,10.0,2025/03/01,1765.240870714188,1285.240870714188,1740803495.636427,3.0,2.0,有水,Right,TOK,3,batter3,Right,ehi,1,Top,1,1,0,Fastball,InPlay,Undefined,FlyBall,Single,0,0,,,,,65.07417421372645,16.05242400715665,TOK,#217fc4,東大,ehi,#ffa631,ehi,TodaiStadium,B,春季オープン戦,Normal,1,batter2,,,Undefined,,,,9,9,2505930009,右安,,1763.0,https://youtu.be/nmAownCXdbg&t=1763,803.0,,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本,"岡林,山本,水野,矢田貝,スタンリー,深見,荒井孝,大田,今泉","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","有水,深見,矢田貝,荒井孝,大田,今泉,水野,岡林,山本","pos1,batter7,batter8,batter9,batter2,batter6,batter5,batter1,batter3","R,L,R,R,R,R,L,R,R,L","R,L,R,R,L,R,R,R,L,R","Kohei, Arimizu","Yuto, Fukami","Gen, Yatagai","Kota, Arai","Eisuke, Ohta","Rio, Imaizumi","Saku, Mizuno","Yuna, Okabayashi","Akira, Yamamoto",,,,,,,
