count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji
0,1.0,1.0,2025/3/7,3535.958403,2995.958413,1741327553,1.0,1.0,松本慎,Left,TOK,1,阿部葉,Left,yh,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.0,0.714,0.26,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506510000,見逃し,,3533,https://youtu.be/cBpauW6YGsY&t=3533,890.0,https://youtu.be/gkIjg73jI98&t=890,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
1,2.0,2.0,2025/3/7,3546.782387,3006.782388,1741327564,1.0,2.0,松本慎,Left,TOK,1,阿部葉,Left,yh,1,Top,0,0,1,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.337,0.32,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506510001,空振り,,3544,https://youtu.be/cBpauW6YGsY&t=3544,900.0,https://youtu.be/gkIjg73jI98&t=900,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
2,3.0,3.0,2025/3/7,3562.937142,3022.937143,1741327580,1.0,3.0,松本慎,Left,TOK,1,阿部葉,Left,yh,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,1.17,0.04,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506510002,ボール,,3560,https://youtu.be/cBpauW6YGsY&t=3560,916.0,https://youtu.be/gkIjg73jI98&t=916,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
3,4.0,4.0,2025/3/7,3570.561034,3030.561035,1741327588,1.0,4.0,松本慎,Left,TOK,1,阿部葉,Left,yh,1,Top,0,1,2,Slider,InPlay,Undefined,FlyBall,Triple,0,0,,114.0,0.73,0.02,105.4463967,19.95571848,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,"9,6","9,6",2506510003,右中3,,3568,https://youtu.be/cBpauW6YGsY&t=3568,924.0,https://youtu.be/gkIjg73jI98&t=924,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
4,5.0,5.0,2025/3/7,3611.512817,3071.512818,1741327629,2.0,1.0,松本慎,Left,TOK,2,為永,Left,yh,1,Top,0,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,119.0,0.798,0.373,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,3,,,阿部葉,Nothing,,,,,,2506510004,ボール,,3609,https://youtu.be/cBpauW6YGsY&t=3609,958.0,https://youtu.be/gkIjg73jI98&t=958,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
5,6.0,6.0,2025/3/7,3627.247671,3087.247672,1741327645,2.0,2.0,松本慎,Left,TOK,2,為永,Left,yh,1,Top,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,130.0,0.454,0.28,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,3,,,阿部葉,Nothing,,,,,,2506510005,空振り,,3625,https://youtu.be/cBpauW6YGsY&t=3625,973.0,https://youtu.be/gkIjg73jI98&t=973,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
6,7.0,7.0,2025/3/7,3640.714293,3100.714294,1741327658,2.0,3.0,松本慎,Left,TOK,2,為永,Left,yh,1,Top,0,1,1,Curveball,InPlay,Undefined,GroundBall,Error,0,1,,100.0,0.618,-0.152,16.64772986,-7.125016349,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,3,,,阿部葉,Undefined,,松本慎,阿部葉,"1,2","1E,2",2506510006,投ゴ失①,,3638,https://youtu.be/cBpauW6YGsY&t=3638,987.0,https://youtu.be/gkIjg73jI98&t=987,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara","Shinnosuke, Matsumoto",,,,,,
7,8.0,8.0,2025/3/7,3695.500623,3155.500624,1741327713,3.0,1.0,松本慎,Left,TOK,3,奥村凌,Left,yh,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,126.0,0.383,0.333,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,2,,為永,,Nothing,,,,,,2506510007,ボール,,3693,https://youtu.be/cBpauW6YGsY&t=3693,1023.0,https://youtu.be/gkIjg73jI98&t=1023,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
8,9.0,9.0,2025/3/7,3713.466605,3173.466605,1741327731,3.0,2.0,松本慎,Left,TOK,3,奥村凌,Left,yh,1,Top,0,1,0,ChangeUp,FoulBall,Undefined,GroundBall,Undefined,0,0,A2B,113.0,0.87,0.04,9.512988494,150.2551187,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,2,,為永,,Undefined,,,,,,2506510008,ファール,,3711,https://youtu.be/cBpauW6YGsY&t=3711,1041.0,https://youtu.be/gkIjg73jI98&t=1041,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
9,10.0,10.0,2025/3/7,3735.270025,3195.270025,1741327753,3.0,3.0,松本慎,Left,TOK,3,奥村凌,Left,yh,1,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,129.0,0.706,0.38,,,TOK,#217fc4,東大,yh,#2608ff,yh,TodaiStadium,A,春季オープン戦,Normal,2,,為永,,Nothing,,,,,,2506510009,ボール,,3733,https://youtu.be/cBpauW6YGsY&t=3733,1054.0,https://youtu.be/gkIjg73jI98&t=1054,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原,"酒井,堀部,工藤,大原,門田,杉浦,荒井慶,井之口,秋元","阿部葉,為永,奥村凌,奥村頼,今村,小野,野中,駒橋,池田","松本慎,杉浦,工藤,門田,秋元,井之口,荒井慶,酒井,大原","織田,駒橋,小野,奥村凌,為永,池田,野中,阿部葉,今村","R,L,R,R,R,R,R,R,L,R","L,L,L,L,L,L,L,L,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Yudai, Kudo","Ryohei, Kadota","Ryo, Akimoto","Koji, Inokuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,
