count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,csv_path,run_person_romaji,RelSpeed_opensen
0,1.0,1.0,2025/3/17,1664.66796,744.6679609,1742175319,1.0,1.0,吉野,Right,神奈川大,1,成瀬,Left,TOK,1,Top,0,0,0,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,115.5,,,77.9593057,31.2240211,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,,,,,Undefined,,,,9,9,2507520000,右安,,1662,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Yuto, Naruse",,,,,,233.0,972881.0,TokyoBBC Right,,1742142924.0,1742175324.0,Slider,Y,-0.0219,0.6935,115.5,2061.06,748.5,36.32,7:20,1.0,2.1029282,-9.0,-32.0,-18.0,-16.9,-1.66,2.14,1.51,0.76,68.7,972881@1742175324,V3P4DLKO0850A,-4.0712223,-8.445096,untitled,,1742175319.0,280.0,1410150.0,tokyobbc_rapsodo Player_002,,1742142923.0,1742175323.0,114.6,115.5,22.0,36.3,1678.4789,68.8,1:56,1.0,-4.3,68.4,59.6,,V3P4DLKO0850A,1410150@1742175323,untitled,1742175319.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,116.0
1,2.0,2.0,2025/3/17,1699.125506,779.1255069,1742175353,2.0,1.0,吉野,Right,神奈川大,2,樋口,Right,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.64,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,Nothing,,,,,,2507520001,ボール,,1697,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Kosuke, Higuchi","Yuto, Naruse",,,,,232.0,972881.0,TokyoBBC Right,,1742142959.0,1742175359.0,ChangeUp,Y,0.2014,1.0125,132.64,2274.75,2257.2,99.23,1:08,1.0,2.0249386,54.9,20.8,48.8,33.8,-2.72,-0.3,1.57,0.75,7.13,972881@1742175359,V3P4DLKO0850A,-1.1506585,-3.8899727,untitled,,1742175354.0,279.0,1410150.0,tokyobbc_rapsodo Player_002,,1742142958.0,1742175358.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742175358,untitled,1742175354.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
2,3.0,3.0,2025/3/17,1721.899572,801.8995738,1742175376,2.0,2.0,吉野,Right,神奈川大,2,樋口,Right,TOK,1,Top,0,1,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,122.47,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,Nothing,,,,,,2507520002,見逃し,,1719,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Kosuke, Higuchi","Yuto, Naruse",,,,,230.0,972881.0,TokyoBBC Right,,1742142981.0,1742175381.0,Slider,Y,0.2383,0.8722,122.47,2236.21,592.0,26.47,11:58,1.0,1.8642387,17.9,-9.2,15.2,-2.3,-1.54,1.5,1.53,0.76,74.65,972881@1742175381,V3P4DLKO0850A,-2.233891,-6.648686,untitled,,1742175376.0,277.0,1410150.0,tokyobbc_rapsodo Player_002,,1742142980.0,1742175380.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742175380,untitled,1742175376.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,133.0
3,4.0,4.0,2025/3/17,1741.482958,821.482959,1742175396,2.0,3.0,吉野,Right,神奈川大,2,樋口,Right,TOK,1,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,118.27,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,Nothing,,,,,,2507520003,見逃し,,1739,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Kosuke, Higuchi","Yuto, Naruse",,,,,229.0,972881.0,TokyoBBC Right,,1742142997.0,1742175397.0,Slider,N,0.0299,-0.0804,118.27,2179.23,1057.8,48.54,7:02,1.0,1.9692078,-26.2,-35.0,-27.9,-18.8,-2.12,-0.31,1.49,0.77,60.96,972881@1742175397,V3P4DLKO0850A,-4.7702575,-12.101143,untitled,,1742175392.0,276.0,1410150.0,tokyobbc_rapsodo Player_002,,1742142996.0,1742175396.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410150@1742175396,untitled,1742175392.0,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
4,,,2025/3/17,1766.369729,846.3697309,1742175421,,,吉野,Right,神奈川大,2,樋口,Right,TOK,1,Top,0,1,2,,,,,,0,0,,,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,PickOff,,,,"1,3","1,3",2507520004,牽制,,1764,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Kosuke, Higuchi","Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
5,5.0,5.0,2025/3/17,1803.881929,883.8819299,1742175458,2.0,4.0,吉野,Right,神奈川大,2,樋口,Right,TOK,1,Top,0,1,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,Nothing,,,,,,2507520005,空三振,,1801,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Kosuke, Higuchi","Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
6,6.0,6.0,2025/3/17,1820.907253,900.907254,1742175475,3.0,1.0,吉野,Right,神奈川大,3,横井,Right,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,Nothing,,,,,,2507520006,見逃し,,1818,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Shuntaro, Yokoi","Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
7,,,2025/3/17,1836.200712,916.2007139,1742175490,,,吉野,Right,神奈川大,3,横井,Right,TOK,1,Top,1,0,1,,,,,,0,0,,,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,1,成瀬,,,PickOff,,,,"1,6","1,6",2507520007,牽制,,1834,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Shuntaro, Yokoi","Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
8,7.0,7.0,2025/3/17,1856.890298,936.8902988,1742175511,3.0,2.0,吉野,Right,神奈川大,3,横井,Right,TOK,1,Top,1,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.01,-0.172,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,2,,成瀬,,PassBall,成瀬,,,,,2507520008,ボール[PB],,1854,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Shuntaro, Yokoi",,"Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,"Yuto, Naruse",
9,8.0,8.0,2025/3/17,1866.0,946.0,1742175520,3.0,3.0,吉野,Right,神奈川大,3,横井,Right,TOK,1,Top,1,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,神奈川大,#4c26ff,神奈大,TOK,#217fc4,東大,神奈川大G,B,春季オープン戦,Normal,3,,,成瀬,Nothing,,,,,,2507520009,ボール,,1864,,,,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊,"石崎,山脇,犬飼,板倉,渡邊,羽立,内山,後藤,久保","成瀬,樋口,横井,伊藤,深見,山本,堀端,小田,大田","吉野,内山,後藤,犬飼,久保,山脇,石崎,板倉,渡邊","前田,深見,横井,小田,大田,樋口,山本,堀端,成瀬","R,R,L,L,L,R,R,R,L,R","R,L,R,R,R,L,R,L,R,R",,,,,,,,,,,"Shuntaro, Yokoi",,,"Yuto, Naruse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250317春季オープン戦vs神奈川大B.csv,,
