count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/4/5,1803.727068,778.7270782,1743816858,1.0,1.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.926,0.433,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2509400000,ボール,,1801.0,,25.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
1,2.0,2.0,2025/4/5,1815.403495,790.4034963,1743816870,1.0,2.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,146.0,0.99,0.433,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2509400001,ボール,,1813.0,,36.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
2,3.0,3.0,2025/4/5,1830.392467,805.3924682,1743816885,1.0,3.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,2,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,145.0,0.87,0.216,35.9664328,-82.93327028,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2509400002,ファール,,1828.0,,51.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
3,4.0,4.0,2025/4/5,1848.362943,823.3629439,1743816903,1.0,4.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,123.0,1.157,0.14,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2509400003,ボール,,1846.0,,61.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
4,5.0,5.0,2025/4/5,1864.642449,839.6424501,1743816919,1.0,5.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,3,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,145.0,0.498,0.152,37.13066425,-72.42874122,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2509400004,ファール,,1862.0,,77.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
5,6.0,6.0,2025/4/5,1888.618503,863.618504,1743816943,1.0,6.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,3,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,147.0,0.522,0.1,29.05866751,-95.82634203,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2509400005,ファール,,1886.0,,90.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
6,7.0,7.0,2025/4/5,1924.303129,899.3031301,1743816979,1.0,7.0,pos1,Right,かずさマジック,1,酒井,Left,TOK,1,Top,0,3,2,Fastball,InPlay,Undefined,LineDrive,Double,0,0,,147.0,0.538,-0.052,96.24523878,12.92880499,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Undefined,,,,9,9,2509400006,右中2,,1922.0,,108.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Suguru, Sakai",,,,,,,,,,,,,,,,
7,8.0,8.0,2025/4/5,1984.944593,959.9445941,1743817039,2.0,1.0,pos1,Right,かずさマジック,2,中山,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,141.0,0.822,0.433,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Nothing,,,,,,2509400007,ボール,,1982.0,,138.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Taiyo, Nakayama",,"Suguru, Sakai",,,,,,,,,,,,,,
8,9.0,9.0,2025/4/5,2009.408723,984.4087243,1743817064,2.0,2.0,pos1,Right,かずさマジック,2,中山,Left,TOK,1,Top,0,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,147.0,0.518,-0.184,32.98035365,-79.69515353,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Undefined,,,,,,2509400008,ファール,,2007.0,,163.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Taiyo, Nakayama",,"Suguru, Sakai",,,,,,,,,,,,,,
9,10.0,10.0,2025/4/5,2043.192584,1018.192585,1743817098,2.0,3.0,pos1,Right,かずさマジック,2,中山,Left,TOK,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,124.0,1.15,0.373,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Nothing,,,,,,2509400009,ボール,,2041.0,,184.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Taiyo, Nakayama",,"Suguru, Sakai",,,,,,,,,,,,,,
