count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/4/26,2210.636478,1360.636481,1745631041,1.0,1.0,渡辺,Right,TOK,1,菊井,Left,明星大,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.57,0.236,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500000,見逃し,,2208,https://youtu.be/vGx3WT9jVJg&t=2208,581.0,https://youtu.be/3ticAhbv9Ww&t=581,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,887.0,991979.0,Kouki Watanabe,,1745598646.0,1745631046.0,Slider,,,,,2497.04,0.0,0.0,09:16,1.0,,,,,,0.0,0.0,0.0,0.0,76.51,991979@1745631046,V3P4DLKO0850A,,,untitled,,1745631041.0,10082.0,1410155.0,Ohe Shotaro,,1745598645.0,1745631045.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631045,untitled,1745631041.0,
1,2.0,2.0,2025/4/26,2223.714615,1373.714616,1745631054,1.0,2.0,渡辺,Right,TOK,1,菊井,Left,明星大,1,Top,0,0,1,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,119.9,0.474,0.08,43.57502314,19.7842787,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3",2511500001,二ゴ,,2221,https://youtu.be/vGx3WT9jVJg&t=2221,594.0,https://youtu.be/3ticAhbv9Ww&t=594,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,886.0,991979.0,Kouki Watanabe,,1745598658.0,1745631058.0,ChangeUp,Y,-0.0892,0.4821,119.9,1569.22,1387.7,88.43,03:40,1.0,1.2693672,-28.4,33.6,0.0,0.0,-4.71,6.29,0.3,0.95,27.83,991979@1745631058,V3P4DLKO0850A,-2.3073487,-5.59689,untitled,,1745631053.0,10081.0,1410155.0,Ohe Shotaro,,1745598658.0,1745631058.0,103.5,119.9,0.4,9.3,2408.839,10.0,09:40,1.0,39.1,0.0,0.0,,V3P4DLKO0850A,1410155@1745631058,untitled,1745631054.0,
2,3.0,3.0,2025/4/26,2253.123755,1403.123757,1745631083,2.0,1.0,渡辺,Right,TOK,2,中田,Right,明星大,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,108.67,0.938,-0.48,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500002,ボール,,2251,https://youtu.be/vGx3WT9jVJg&t=2251,612.0,https://youtu.be/3ticAhbv9Ww&t=612,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,885.0,991979.0,Kouki Watanabe,,1745598688.0,1745631088.0,Slider,N,-0.4586,0.8612000000000001,108.67,2529.54,989.5,39.12,10:52,1.0,1.3449764,-2.2,4.4,0.0,0.0,-4.8,7.71,0.17,0.9,66.97,991979@1745631088,V3P4DLKO0850A,-4.5017734,-3.1548753,untitled,,1745631083.0,10080.0,1410155.0,Ohe Shotaro,,1745598688.0,1745631088.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631088,untitled,1745631084.0,112.0
3,4.0,4.0,2025/4/26,2265.306115,1415.306117,1745631095,2.0,2.0,渡辺,Right,TOK,2,中田,Right,明星大,1,Top,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,1.014,-0.156,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500003,見逃し,,2263,https://youtu.be/vGx3WT9jVJg&t=2263,624.0,https://youtu.be/3ticAhbv9Ww&t=624,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,884.0,991979.0,Kouki Watanabe,,1745598700.0,1745631100.0,Slider,,,,,2475.85,802.9,32.43,11:10,1.0,,,,,,0.0,0.0,0.0,0.0,71.08,991979@1745631100,V3P4DLKO0850A,,,untitled,,1745631095.0,10079.0,1410155.0,Ohe Shotaro,,1745598700.0,1745631100.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631100,untitled,1745631096.0,111.0
4,5.0,5.0,2025/4/26,2278.358668,1428.358672,1745631108,2.0,3.0,渡辺,Right,TOK,2,中田,Right,明星大,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.27,0.26,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500004,ボール,,2276,https://youtu.be/vGx3WT9jVJg&t=2276,637.0,https://youtu.be/3ticAhbv9Ww&t=637,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,883.0,991979.0,Kouki Watanabe,,1745598713.0,1745631113.0,Undefined,,,,,,,,,,,,,,,,,,,,991979@1745631113,V3P4DLKO0850A,,,untitled,,1745631108.0,10078.0,1410155.0,Ohe Shotaro,,1745598713.0,1745631113.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631113,untitled,1745631109.0,107.0
5,6.0,6.0,2025/4/26,2293.700217,1443.700219,1745631124,2.0,4.0,渡辺,Right,TOK,2,中田,Right,明星大,1,Top,1,2,1,Slider,InPlay,Undefined,Popup,Out,1,0,,,0.918,0.353,10.73762521,-15.9453959,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,2,2,2511500005,捕飛,,2291,https://youtu.be/vGx3WT9jVJg&t=2291,653.0,https://youtu.be/3ticAhbv9Ww&t=653,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,882.0,991979.0,Kouki Watanabe,,1745598728.0,1745631128.0,Slider,,,,,2294.06,0.0,0.0,09:52,1.0,,,,,,0.0,0.0,0.0,0.0,75.85,991979@1745631128,V3P4DLKO0850A,,,untitled,,1745631123.0,10077.0,1410155.0,Ohe Shotaro,,1745598728.0,1745631128.0,77.1,0.0,64.7,1.4,2469.0598,32.3,00:50,1.0,-35.5,109.1,477.1,,V3P4DLKO0850A,1410155@1745631128,untitled,1745631124.0,107.0
6,7.0,7.0,2025/4/26,2325.653938,1475.65394,1745631156,3.0,1.0,渡辺,Right,TOK,3,吉村,Left,明星大,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.25,0.32,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500006,ボール,,2323,https://youtu.be/vGx3WT9jVJg&t=2323,673.0,https://youtu.be/3ticAhbv9Ww&t=673,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,881.0,991979.0,Kouki Watanabe,,1745598760.0,1745631160.0,Slider,,,,,1523.27,0.0,0.0,04:48,1.0,,,,,,0.0,0.0,0.0,0.0,30.91,991979@1745631160,V3P4DLKO0850A,,,untitled,,1745631155.0,10076.0,1410155.0,Ohe Shotaro,,1745598759.0,1745631159.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631159,untitled,1745631155.0,120.0
7,8.0,8.0,2025/4/26,2338.876505,1488.876506,1745631169,3.0,2.0,渡辺,Right,TOK,3,吉村,Left,明星大,1,Top,2,1,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,117.91,0.443,0.168,40.38174622,64.93253656,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2511500007,ファール,,2336,https://youtu.be/vGx3WT9jVJg&t=2336,686.0,https://youtu.be/3ticAhbv9Ww&t=686,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,880.0,991979.0,Kouki Watanabe,,1745598773.0,1745631173.0,ChangeUp,Y,-0.0467999999999999,0.4878,117.91,1552.22,1319.0,84.97,03:40,1.0,1.2322216,-1.1,58.0,0.0,0.0,-5.46,5.25,0.35,0.98,31.82,991979@1745631173,V3P4DLKO0850A,-1.3801832,-4.678772,untitled,,1745631168.0,10075.0,1410155.0,Ohe Shotaro,,1745598773.0,1745631173.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631173,untitled,1745631169.0,117.0
8,9.0,9.0,2025/4/26,2362.701872,1512.701873,1745631193,3.0,3.0,渡辺,Right,TOK,3,吉村,Left,明星大,1,Top,2,1,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.498,0.232,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2511500008,見逃し,,2360,https://youtu.be/vGx3WT9jVJg&t=2360,703.0,https://youtu.be/3ticAhbv9Ww&t=703,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,879.0,991979.0,Kouki Watanabe,,1745598797.0,1745631197.0,Slider,,,,,1581.75,0.0,0.0,00:00,1.0,,,,,,0.0,0.0,0.0,0.0,34.0,991979@1745631197,V3P4DLKO0850A,,,untitled,,1745631192.0,10074.0,1410155.0,Ohe Shotaro,,1745598797.0,1745631197.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631197,untitled,1745631193.0,119.0
9,10.0,10.0,2025/4/26,2377.826378,1527.82638,1745631208,3.0,4.0,渡辺,Right,TOK,3,吉村,Left,明星大,1,Top,2,1,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,,0.594,0.224,94.25182684,-7.19174277,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,8,8,2511500009,中安,,2375,https://youtu.be/vGx3WT9jVJg&t=2375,718.0,https://youtu.be/3ticAhbv9Ww&t=718,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,878.0,991979.0,Kouki Watanabe,,1745598813.0,1745631213.0,Undefined,,,,,,,,,,,,,,,,,,,,991979@1745631213,V3P4DLKO0850A,,,untitled,,1745631208.0,10073.0,1410155.0,Ohe Shotaro,,1745598812.0,1745631212.0,160.2,0.0,1.3,-1.7,1033.1425,712.3,09:50,1.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745631212,untitled,1745631208.0,119.0
