count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/6/22,1176.001652,886.0016541,1750555735,1.0,1.0,江口,Right,TOK,1,batter1,Right,オール足利クラブ,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.0,1.257,0.096,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200000,ボール,,1174.0,https://youtu.be/qtleY3b7SPw&t=1174,596.0,https://youtu.be/w4EK4mdFK2Q&t=596,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
1,2.0,2.0,2025/6/22,1187.03749,897.0374913,1750555746,1.0,2.0,江口,Right,TOK,1,batter1,Right,オール足利クラブ,1,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,136.0,,,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200001,見逃し,,1185.0,https://youtu.be/qtleY3b7SPw&t=1185,607.0,https://youtu.be/w4EK4mdFK2Q&t=607,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
2,3.0,3.0,2025/6/22,1199.074944,909.074945,1750555758,1.0,3.0,江口,Right,TOK,1,batter1,Right,オール足利クラブ,1,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,136.0,1.31,-0.26,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200002,ボール,,1197.0,https://youtu.be/qtleY3b7SPw&t=1197,619.0,https://youtu.be/w4EK4mdFK2Q&t=619,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
3,4.0,4.0,2025/6/22,1213.456676,923.4566782,1750555772,1.0,4.0,江口,Right,TOK,1,batter1,Right,オール足利クラブ,1,Top,0,2,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,,118.0,,,26.75436541,-34.21570213,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,"5,3","5,3",2517200003,三ゴ,,1211.0,https://youtu.be/qtleY3b7SPw&t=1211,633.0,https://youtu.be/w4EK4mdFK2Q&t=633,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
4,5.0,5.0,2025/6/22,1242.572391,952.5723932,1750555801,2.0,1.0,江口,Right,TOK,2,batter2,Right,オール足利クラブ,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,135.0,1.257,0.164,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200004,ボール,,1240.0,https://youtu.be/qtleY3b7SPw&t=1240,653.0,https://youtu.be/w4EK4mdFK2Q&t=653,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
5,6.0,6.0,2025/6/22,1253.869526,963.8695281,1750555813,2.0,2.0,江口,Right,TOK,2,batter2,Right,オール足利クラブ,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.023,-0.076,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200005,ボール,,1251.0,https://youtu.be/qtleY3b7SPw&t=1251,664.0,https://youtu.be/w4EK4mdFK2Q&t=664,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
6,7.0,7.0,2025/6/22,1272.199468,982.19947,1750555831,2.0,3.0,江口,Right,TOK,2,batter2,Right,オール足利クラブ,1,Top,1,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,1.343,0.036,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200006,ボール,,1270.0,https://youtu.be/qtleY3b7SPw&t=1270,683.0,https://youtu.be/w4EK4mdFK2Q&t=683,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
7,8.0,8.0,2025/6/22,1289.099805,999.0998063,1750555848,2.0,4.0,江口,Right,TOK,2,batter2,Right,オール足利クラブ,1,Top,1,3,0,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,121.0,0.043,-0.084,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200007,四球,,1287.0,https://youtu.be/qtleY3b7SPw&t=1287,700.0,https://youtu.be/w4EK4mdFK2Q&t=700,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
8,9.0,9.0,2025/6/22,1322.447082,1032.447084,1750555881,3.0,1.0,江口,Right,TOK,3,batter3,Left,オール足利クラブ,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,1.217,-0.433,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2517200008,ボール,,1320.0,https://youtu.be/qtleY3b7SPw&t=1320,713.0,https://youtu.be/w4EK4mdFK2Q&t=713,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
9,10.0,10.0,2025/6/22,1339.211944,1049.211946,1750555898,3.0,2.0,江口,Right,TOK,3,batter3,Left,オール足利クラブ,1,Top,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,134.0,0.55,0.507,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2517200009,ボール,,1337.0,https://youtu.be/qtleY3b7SPw&t=1337,729.0,https://youtu.be/w4EK4mdFK2Q&t=729,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,R,R,R,R","Naoki, Eguchi","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
