count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/6/28,2066.927794,986.9277954,1751086607,1.0,1.0,昼馬,Right,TOK,1,山本,Right,県船橋,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.814,0.427,,,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517830000,ボール,,2064,https://youtu.be/rSSgg2QKpKE&t=2064,723,https://youtu.be/zzsL7NI1-80&t=723,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,2025/6/28,2080.03311,1000.03311,1751086620,1.0,2.0,昼馬,Right,TOK,1,山本,Right,県船橋,1,Top,0,1,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.654,-0.176,46.38871688,93.28088077,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2517830001,ファール,,2078,https://youtu.be/rSSgg2QKpKE&t=2078,736,https://youtu.be/zzsL7NI1-80&t=736,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,2025/6/28,2095.4679,1015.467901,1751086635,1.0,3.0,昼馬,Right,TOK,1,山本,Right,県船橋,1,Top,0,1,1,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,,1.014,0.088,28.39376696,113.9020504,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2517830002,ファール,,2093,https://youtu.be/rSSgg2QKpKE&t=2093,743,https://youtu.be/zzsL7NI1-80&t=743,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,4.0,2025/6/28,2150.922136,1070.922137,1751086691,1.0,5.0,昼馬,Right,TOK,1,山本,Right,県船橋,1,Top,0,1,2,Fastball,InPlay,Undefined,Popup,Out,1,0,,,,,10.63584447,93.17983012,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,2,2,2517830003,捕邪飛,,2148,https://youtu.be/rSSgg2QKpKE&t=2148,780,https://youtu.be/zzsL7NI1-80&t=780,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,5.0,2025/6/28,2166.351373,1086.351374,1751086706,2.0,1.0,昼馬,Right,TOK,2,堀部,Left,県船橋,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517830004,ボール,,2164,https://youtu.be/rSSgg2QKpKE&t=2164,789,https://youtu.be/zzsL7NI1-80&t=789,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,6.0,2025/6/28,2172.781759,1092.781759,1751086713,2.0,2.0,昼馬,Right,TOK,2,堀部,Left,県船橋,1,Top,1,1,0,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,,0.482,0.204,43.43901962,15.35749342,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3A",2517830005,二ゴ,,2170,https://youtu.be/rSSgg2QKpKE&t=2170,795,https://youtu.be/zzsL7NI1-80&t=795,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,7.0,2025/6/28,2191.356082,1111.356083,1751086731,3.0,1.0,昼馬,Right,TOK,3,竹内,Right,県船橋,1,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.706,0.276,,,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517830006,見逃し,,2189,https://youtu.be/rSSgg2QKpKE&t=2189,809,https://youtu.be/zzsL7NI1-80&t=809,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,8.0,2025/6/28,2203.837881,1123.837881,1751086744,3.0,2.0,昼馬,Right,TOK,3,竹内,Right,県船橋,1,Top,2,0,1,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,,0.634,0.264,77.31315252,-25.78290482,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2517830007,左安,,2201,https://youtu.be/rSSgg2QKpKE&t=2201,822,https://youtu.be/zzsL7NI1-80&t=822,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,9.0,2025/6/28,2235.935748,1155.935749,1751086776,4.0,1.0,昼馬,Right,TOK,4,村山,Right,県船橋,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.55,0.447,,,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,1,竹内,,,StolenBase,竹内,,,"2,6","2,6",2517830008,ボール[盗塁],,2233,https://youtu.be/rSSgg2QKpKE&t=2233,848,https://youtu.be/zzsL7NI1-80&t=848,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,10.0,2025/6/28,2271.223738,1191.223739,1751086811,4.0,2.0,昼馬,Right,TOK,4,村山,Right,県船橋,1,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.243,0.248,,,TOK,#217fc4,東大,県船橋,#3931ff,県船橋,TodaiStadium,B,夏季オープン戦,Normal,2,,竹内,,Nothing,,,,,,2517830009,ボール,,2269,https://youtu.be/rSSgg2QKpKE&t=2269,883,https://youtu.be/zzsL7NI1-80&t=883,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島,"村尾,内海,小島,長谷川,竹下,阿部,田崎,塗師,加藤","山本,堀部,竹内,村山,鈴木,長島,湊,稲葉,寺倉","昼馬,内海,竹下,塗師,田崎,阿部,長谷川,村尾,小島","稲葉,湊,村山,山本,堀部,長島,鈴木,寺倉,竹内","R,R,R,L,L,L,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kotaro, Hiruma","Uchiumi, Noboru","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Abe, Senji","Hasegawa, Yu","Murao, Yusaku","Kojima, Yusei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
