count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/7/5,1258.1350541114807,748.1350562572479,1751678752.424663,1.0,1.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,127.0,1.03,-0.144,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500000,見逃し,,1256.0,https://youtu.be/IWGrrFz1MGI&t=1256,594.0,https://youtu.be/Mmu8QFVpqXM&t=594,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,R,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
1,2.0,2.0,2025/7/5,1269.689858198166,759.6898591518402,1751678763.979466,1.0,2.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.626,0.327,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500001,見逃し,,1267.0,https://youtu.be/IWGrrFz1MGI&t=1267,605.0,https://youtu.be/Mmu8QFVpqXM&t=605,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,R,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
2,3.0,3.0,2025/7/5,1283.5445771217346,773.5445780754089,1751678777.834185,1.0,3.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,0,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,130.0,0.5820000000000001,0.108,11.699428917434773,-123.6900675,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2518500002,ファール,,1281.0,https://youtu.be/IWGrrFz1MGI&t=1281,619.0,https://youtu.be/Mmu8QFVpqXM&t=619,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
3,4.0,4.0,2025/7/5,1299.6574442386627,789.6574452,1751678793.947052,1.0,4.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,0,2,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,111.0,0.17,-0.108,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500003,ボール,,1297.0,https://youtu.be/IWGrrFz1MGI&t=1297,634.0,https://youtu.be/Mmu8QFVpqXM&t=634,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
4,5.0,5.0,2025/7/5,1321.2948353290558,811.2948353290558,1751678815.5844429,1.0,5.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,1,2,ChangeUp,FoulBall,Undefined,GroundBall,Undefined,0,0,,,,,17.699115044247787,90.0,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2518500004,ファール,,1319.0,https://youtu.be/IWGrrFz1MGI&t=1319,656.0,https://youtu.be/Mmu8QFVpqXM&t=656,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
5,6.0,6.0,2025/7/5,1343.2946231365204,833.2946240901947,1751678837.584231,1.0,6.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,96.0,0.574,0.6,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500005,ボール,,1341.0,https://youtu.be/IWGrrFz1MGI&t=1341,671.0,https://youtu.be/Mmu8QFVpqXM&t=671,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
6,7.0,7.0,2025/7/5,1356.8548521995544,846.8548521995544,1751678851.144459,1.0,7.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.61,0.5329999999999999,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500006,ボール,,1354.0,https://youtu.be/IWGrrFz1MGI&t=1354,685.0,https://youtu.be/Mmu8QFVpqXM&t=685,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
7,8.0,8.0,2025/7/5,1373.0756571292875,863.0756581,1751678867.365265,1.0,8.0,江口,Right,TOK,1,batter1,Left,明治学院大,1,Top,0,3,2,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,136.0,0.8540000000000001,0.172,87.82687373316396,-9.082675995,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2518500007,中飛,,1371.0,https://youtu.be/IWGrrFz1MGI&t=1371,701.0,https://youtu.be/Mmu8QFVpqXM&t=701,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
8,9.0,9.0,2025/7/5,1404.418654203415,894.4186542034149,1751678898.708261,2.0,1.0,江口,Right,TOK,2,batter2,Right,明治学院大,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.51,-0.36,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500008,ボール,,1402.0,https://youtu.be/IWGrrFz1MGI&t=1402,724.0,https://youtu.be/Mmu8QFVpqXM&t=724,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
9,10.0,10.0,2025/7/5,1414.1254222393036,904.1254222393036,1751678908.0,2.0,2.0,江口,Right,TOK,2,batter2,Right,明治学院大,1,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,130.0,0.502,0.02,,,TOK,#217fc4,東大,明治学院大,#1400ff,明学,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518500009,見逃し,,1412.0,https://youtu.be/IWGrrFz1MGI&t=1412,734.0,https://youtu.be/Mmu8QFVpqXM&t=734,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶,"樋口,岡林,荒井慶,スタンリー,小美野,門田,石川,大山,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,大山,石川,井之口,門田,樋口,小美野,岡林,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,L,R,R,L,R,R,R,L","R,L,R,R,R,R,R,R,R,R","Naoki, Eguchi","Hiroto, Oyama","Hikaru, Ishikawa","Koji, Inokuchi","Ryohei, Kadota","Kosuke, Higuchi","Komino, Harunobu","Yuna, Okabayashi","Keito, Arai",,,,,,,
