count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,run_person_romaji,scored_person_romaji
0,1.0,1.0,2025/7/6,1257.387937,327.387938,1751779567,1.0,1.0,増田,Right,TOK,1,甲斐,Right,城西大,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610000,ボール,,1255.0,https://youtu.be/y7jYekRX_ZQ&t=1255,616.0,https://youtu.be/bsOruYtV_DQ&t=616,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
1,2.0,2.0,2025/7/6,1267.966783,337.966784,1751779577,1.0,2.0,増田,Right,TOK,1,甲斐,Right,城西大,1,Top,0,1,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,,,,93.06305473,-28.59596541,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2518610001,左飛,,1265.0,https://youtu.be/y7jYekRX_ZQ&t=1265,626.0,https://youtu.be/bsOruYtV_DQ&t=626,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
2,3.0,3.0,2025/7/6,1293.852946,363.8529472,1751779603,2.0,1.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.638,0.108,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610002,空振り,,1291.0,https://youtu.be/y7jYekRX_ZQ&t=1291,644.0,https://youtu.be/bsOruYtV_DQ&t=644,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
3,4.0,4.0,2025/7/6,1306.922595,376.922596,1751779616,2.0,2.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.558,-0.096,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610003,見逃し,,1304.0,https://youtu.be/y7jYekRX_ZQ&t=1304,658.0,https://youtu.be/bsOruYtV_DQ&t=658,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
4,5.0,5.0,2025/7/6,1319.036372,389.0363739,1751779628,2.0,3.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610004,ボール,,1317.0,https://youtu.be/y7jYekRX_ZQ&t=1317,670.0,https://youtu.be/bsOruYtV_DQ&t=670,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
5,6.0,6.0,2025/7/6,1337.620127,407.6201279,1751779647,2.0,4.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,1,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.918,-0.028,50.94370513,75.2395507,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2518610005,ファール,,1335.0,https://youtu.be/y7jYekRX_ZQ&t=1335,688.0,https://youtu.be/bsOruYtV_DQ&t=688,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
6,7.0,7.0,2025/7/6,1364.274176,434.274178,1751779673,2.0,5.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.17,-0.1,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610006,ボール,,1362.0,https://youtu.be/y7jYekRX_ZQ&t=1362,706.0,https://youtu.be/bsOruYtV_DQ&t=706,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
7,8.0,8.0,2025/7/6,1378.049992,448.0499928,1751779687,2.0,6.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,2,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.646,-0.08,15.09044904,175.515394,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2518610007,ファール,,1376.0,https://youtu.be/y7jYekRX_ZQ&t=1376,720.0,https://youtu.be/bsOruYtV_DQ&t=720,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
8,9.0,9.0,2025/7/6,1397.108152,467.1081531,1751779706,2.0,7.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,2,2,Splitter,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.454,-0.092,61.73936298,63.31252213,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2518610008,ファール,,1395.0,https://youtu.be/y7jYekRX_ZQ&t=1395,726.0,https://youtu.be/bsOruYtV_DQ&t=726,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
9,10.0,10.0,2025/7/6,1421.501674,491.5016749,1751779731,2.0,8.0,増田,Right,TOK,2,古賀,Right,城西大,1,Top,1,2,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.07,-0.08,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518610009,ボール,,1419.0,https://youtu.be/y7jYekRX_ZQ&t=1419,739.0,https://youtu.be/bsOruYtV_DQ&t=739,今泉,横井,門田,深見,春山,山本,堀端,大坂,"大坂,榎本,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,今泉,横井,門田,深見,春山,山本,堀端,大坂","前田,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,L,R,R,R,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Rio, Imaizumi","Shuntaro, Yokoi","Ryohei, Kadota","Yuto, Fukami","Yuichiro, Haruyama","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
