count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/7/12,695.8272168636322,485.8272190093994,1752296357.062186,1.0,1.0,栗林,Right,TOK,1,batter1,Left,川口ゴールデンドリームス,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.598,0.044,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230000,見逃し,,693.0,https://youtu.be/RuiLCh8R_bM&t=693,635.0,https://youtu.be/JV-f-lVN4UY&t=635,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
1,2.0,2.0,2025/7/12,706.8188149929047,496.8188159,1752296368.053782,1.0,2.0,栗林,Right,TOK,1,batter1,Left,川口ゴールデンドリームス,1,Top,0,0,1,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,115.0,0.6459999999999999,0.032,25.45262932874391,-94.65335159,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,2,2,2519230001,捕邪飛,,704.0,https://youtu.be/RuiLCh8R_bM&t=704,645.0,https://youtu.be/JV-f-lVN4UY&t=645,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
2,3.0,3.0,2025/7/12,746.1561169624329,536.1561179161072,1752296407.391084,2.0,1.0,栗林,Right,TOK,2,batter2,Right,川口ゴールデンドリームス,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230002,見逃し,,744.0,https://youtu.be/RuiLCh8R_bM&t=744,685.0,https://youtu.be/JV-f-lVN4UY&t=685,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
3,4.0,4.0,2025/7/12,750.9692819,540.9692831039429,1752296412.204249,2.0,2.0,栗林,Right,TOK,2,batter2,Right,川口ゴールデンドリームス,1,Top,1,0,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,126.0,0.95,0.1159999999999999,69.79690145,4.120121913,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2519230003,中安,,748.0,https://youtu.be/RuiLCh8R_bM&t=748,690.0,https://youtu.be/JV-f-lVN4UY&t=690,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
4,5.0,5.0,2025/7/12,783.5479128360748,573.5479140281677,1752296445.0,3.0,1.0,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,115.0,0.1369999999999999,-0.244,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519230004,ボール,,781.0,https://youtu.be/RuiLCh8R_bM&t=781,722.0,https://youtu.be/JV-f-lVN4UY&t=722,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
5,,,2025/7/12,802.8247470855713,592.8247480392456,1752296464.059714,,,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,PickOff,,,,"1,3","1,3",2519230005,牽制,,800.0,https://youtu.be/RuiLCh8R_bM&t=800,741.0,https://youtu.be/JV-f-lVN4UY&t=741,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
6,6.0,6.0,2025/7/12,815.6828789710999,605.6828799247742,1752296476.917847,3.0,2.0,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,-0.077,-0.248,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519230006,ボール,,813.0,https://youtu.be/RuiLCh8R_bM&t=813,754.0,https://youtu.be/JV-f-lVN4UY&t=754,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
7,7.0,7.0,2025/7/12,834.0158877372742,624.0158889293671,1752296495.250855,3.0,3.0,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.046,0.613,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519230007,ボール,,832.0,https://youtu.be/RuiLCh8R_bM&t=832,773.0,https://youtu.be/JV-f-lVN4UY&t=773,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
8,,,2025/7/12,850.7614238262177,640.7614248,1752296511.996391,,,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,3,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,PickOff,,,,"1,3","1,3",2519230008,牽制,,848.0,https://youtu.be/RuiLCh8R_bM&t=848,789.0,https://youtu.be/JV-f-lVN4UY&t=789,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
9,8.0,8.0,2025/7/12,862.5112369060516,652.5112369060516,1752296523.746204,3.0,4.0,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.0,0.522,0.06,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519230009,見逃し,,860.0,https://youtu.be/RuiLCh8R_bM&t=860,801.0,https://youtu.be/JV-f-lVN4UY&t=801,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
