count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/7/31,1533.306066,14837.2957,1753925420,1.0,1.0,増田,Right,TOK,1,batter1,Left,高麗大,1,Top,0,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100000,空振り,,1531,,665.0,https://youtu.be/Mf5SnKBOF5E&t=665,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
1,2.0,2.0,2025/7/31,1545.399112,14849.38874,1753925432,1.0,2.0,増田,Right,TOK,1,batter1,Left,高麗大,1,Top,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100001,空振り,,1543,,677.0,https://youtu.be/Mf5SnKBOF5E&t=677,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
2,3.0,3.0,2025/7/31,1565.422256,14869.41189,1753925452,1.0,3.0,増田,Right,TOK,1,batter1,Left,高麗大,1,Top,0,0,2,Splitter,FoulBall,Undefined,GroundBall,Undefined,0,0,,,,,36.28798203,72.00691218,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521100002,ファール,,1563,,697.0,https://youtu.be/Mf5SnKBOF5E&t=697,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
3,4.0,4.0,2025/7/31,1588.943085,14892.93272,1753925476,1.0,4.0,増田,Right,TOK,1,batter1,Left,高麗大,1,Top,0,0,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100003,空三振,,1586,,712.0,https://youtu.be/Mf5SnKBOF5E&t=712,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
4,5.0,5.0,2025/7/31,1619.047044,14923.03667,1753925506,2.0,1.0,増田,Right,TOK,2,batter2,Left,高麗大,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100004,見逃し,,1617,,734.0,https://youtu.be/Mf5SnKBOF5E&t=734,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
5,6.0,6.0,2025/7/31,1631.601437,14935.59107,1753925519,2.0,2.0,増田,Right,TOK,2,batter2,Left,高麗大,1,Top,1,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.217,-0.044,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100005,ボール,,1629,,747.0,https://youtu.be/Mf5SnKBOF5E&t=747,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,R,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
6,7.0,7.0,2025/7/31,1643.16324,14947.15287,1753925530,2.0,3.0,増田,Right,TOK,2,batter2,Left,高麗大,1,Top,1,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.626,-0.216,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100006,見逃し,,1641,,758.0,https://youtu.be/Mf5SnKBOF5E&t=758,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,L,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
7,8.0,8.0,2025/7/31,1658.929246,14962.91888,1753925546,2.0,4.0,増田,Right,TOK,2,batter2,Left,高麗大,1,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.077,0.473,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100007,ボール,,1656,,774.0,https://youtu.be/Mf5SnKBOF5E&t=774,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,L,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
8,9.0,9.0,2025/7/31,1672.229159,14976.21879,1753925559,2.0,5.0,増田,Right,TOK,2,batter2,Left,高麗大,1,Top,1,2,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,0.53,0.028,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100008,空三振,,1670,,787.0,https://youtu.be/Mf5SnKBOF5E&t=787,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,L,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
9,10.0,10.0,2025/7/31,1704.860641,15008.85027,1753925592,3.0,1.0,増田,Right,TOK,3,batter3,Right,高麗大,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.582,-0.447,,,TOK,#217fc4,東大,高麗大,#ff0001,高麗大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521100009,ボール,,1702,,804.0,https://youtu.be/Mf5SnKBOF5E&t=804,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶,"小美野,明石,中山,門田,荒井慶,杉浦,榎本,青貝,井之口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","増田,杉浦,中山,井之口,門田,青貝,小美野,榎本,荒井慶","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,R,L","R,L,L,R,R,R,R,R,L,L","Kosei, Masuda","Kaito, Sugiura","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Naomasa, Aogai","Komino, Harunobu","Yoshinobu, Enomoto","Keito, Arai",,,,,,,
