count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/8/3,1280,3.46398592,1754184760,1.0,1.0,池田,Right,TOK,1,batter1,Right,基町高,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521420000,ボール,,1278,https://youtu.be/0GzeEuMrp-c&t=1278,680.0,https://youtu.be/Qxceec_7zqs&t=680,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
1,2.0,2.0,2025/8/3,1284,7.392686844,1754184764,1.0,2.0,池田,Right,TOK,1,batter1,Right,基町高,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521420001,ボール,,1282,https://youtu.be/0GzeEuMrp-c&t=1282,684.0,https://youtu.be/Qxceec_7zqs&t=684,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
2,3.0,3.0,2025/8/3,1287,11.00819492,1754184767,1.0,3.0,池田,Right,TOK,1,batter1,Right,基町高,1,Top,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521420002,ボール,,1285,https://youtu.be/0GzeEuMrp-c&t=1285,687.0,https://youtu.be/Qxceec_7zqs&t=687,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
3,4.0,4.0,2025/8/3,1291,14.8495419,1754184771,1.0,4.0,池田,Right,TOK,1,batter1,Right,基町高,1,Top,0,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521420003,四球,,1289,https://youtu.be/0GzeEuMrp-c&t=1289,691.0,https://youtu.be/Qxceec_7zqs&t=691,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
4,5.0,5.0,2025/8/3,1336,59.93319297,1754184816,2.0,1.0,池田,Right,TOK,2,batter2,Right,基町高,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521420004,ボール,,1334,https://youtu.be/0GzeEuMrp-c&t=1334,726.0,https://youtu.be/Qxceec_7zqs&t=726,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
5,6.0,6.0,2025/8/3,1340,63.46141195,1754184820,2.0,2.0,池田,Right,TOK,2,batter2,Right,基町高,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521420005,ボール,,1338,https://youtu.be/0GzeEuMrp-c&t=1338,730.0,https://youtu.be/Qxceec_7zqs&t=730,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
6,7.0,7.0,2025/8/3,1386,109.3048909,1754184866,2.0,3.0,池田,Right,TOK,2,batter2,Right,基町高,1,Top,0,2,0,Fastball,AutomaticBall,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521420006,ボール,,1384,https://youtu.be/0GzeEuMrp-c&t=1384,776.0,https://youtu.be/Qxceec_7zqs&t=776,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
7,8.0,8.0,2025/8/3,1395,118.278713,1754184875,2.0,4.0,池田,Right,TOK,2,batter2,Right,基町高,1,Top,0,3,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,,,16.23491198,2.08256528,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter1,,,Undefined,,,,"1,4","1,4B",2521420007,投ゴ,,1393,https://youtu.be/0GzeEuMrp-c&t=1393,785.0,https://youtu.be/Qxceec_7zqs&t=785,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
8,9.0,9.0,2025/8/3,1408,131.9825079,1754184888,3.0,1.0,池田,Right,TOK,3,batter3,Left,基町高,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2521420008,ボール,,1406,https://youtu.be/0GzeEuMrp-c&t=1406,798.0,https://youtu.be/Qxceec_7zqs&t=798,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,L,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
9,10.0,10.0,2025/8/3,1423,146.6152718,1754184903,3.0,2.0,池田,Right,TOK,3,batter3,Left,基町高,1,Top,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2521420009,ボール,,1421,https://youtu.be/0GzeEuMrp-c&t=1421,813.0,https://youtu.be/Qxceec_7zqs&t=813,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将,"小島,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,田崎,大沼,矢田貝,村尾,竹下,土ヶ端,板橋,大江将","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,L,R,R,R,R,R,R","Ikeda, Koshi","Tasaki, Shu","Onuma, Atomu","Gen, Yatagai","Murao, Yusaku","Takeshita, Hiraku","Yuto, Tsuchigahata","Itabashi, Naon","Oe, Shotaro",,,,,,,
