count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/08/04,1290.00967669487,750.00967669487,1754271024.185205,1.0,1.0,渡辺,Right,TOK,1,下向,Left,北海学園大,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521500000,ボール,,1288.0,https://youtu.be/K8IExFVVCTg&t=1288,566.0,https://youtu.be/i3optcE8Vvw&t=566,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
1,2.0,2.0,2025/08/04,1302.474001407623,762.4740014076233,1754271036.64953,1.0,2.0,渡辺,Right,TOK,1,下向,Left,北海学園大,1,Top,0,1,0,Slider,InPlay,Undefined,LineDrive,Single,0,0,,,,,71.92890107499778,24.64166199955834,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2521500001,右安,,1300.0,https://youtu.be/K8IExFVVCTg&t=1300,578.0,https://youtu.be/i3optcE8Vvw&t=578,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
2,3.0,3.0,2025/08/04,1334.323280096054,794.3232800960541,1754271068.498808,2.0,1.0,渡辺,Right,TOK,2,小保内,Right,北海学園大,1,Top,0,0,0,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,,,,14.85507765429401,6.84277341263094,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,1,下向,,,Undefined,,,,"1,3","1,3A",2521500002,投犠,,1332.0,https://youtu.be/K8IExFVVCTg&t=1332,597.0,https://youtu.be/i3optcE8Vvw&t=597,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
3,4.0,4.0,2025/08/04,1369.342035531998,829.3420355319977,1754271103.517564,3.0,1.0,渡辺,Right,TOK,3,柏原,Left,北海学園大,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,2,,下向,,Nothing,,,,,,2521500003,ボール,,1367.0,https://youtu.be/K8IExFVVCTg&t=1367,614.0,https://youtu.be/i3optcE8Vvw&t=614,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
4,5.0,5.0,2025/08/04,1386.437774181366,846.437774181366,1754271120.613302,3.0,2.0,渡辺,Right,TOK,3,柏原,Left,北海学園大,1,Top,1,1,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,,,,,27.06801120225242,-16.46001481204004,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,2,,下向,,Undefined,,,,"6,3","6,3A",2521500004,遊ゴ,,1384.0,https://youtu.be/K8IExFVVCTg&t=1384,631.0,https://youtu.be/i3optcE8Vvw&t=631,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
5,6.0,6.0,2025/08/04,1422.253838539124,882.2538385391235,1754271156.429367,4.0,1.0,渡辺,Right,TOK,4,常谷,Right,北海学園大,1,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.614,-0.22,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,3,,,下向,Nothing,,,,,,2521500005,見逃し,,1420.0,https://youtu.be/K8IExFVVCTg&t=1420,645.0,https://youtu.be/i3optcE8Vvw&t=645,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
6,7.0,7.0,2025/08/04,1438.0871322155,898.0871322154999,1754271172.262661,4.0,2.0,渡辺,Right,TOK,4,常谷,Right,北海学園大,1,Top,2,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.63,-0.244,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,3,,,下向,Nothing,,,,,,2521500006,見逃し,,1436.0,https://youtu.be/K8IExFVVCTg&t=1436,661.0,https://youtu.be/i3optcE8Vvw&t=661,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
7,8.0,8.0,2025/08/04,1457.742543697357,917.7425436973572,1754271191.918072,4.0,3.0,渡辺,Right,TOK,4,常谷,Right,北海学園大,1,Top,2,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,3,,,下向,Nothing,,,,,,2521500007,空三振,,1455.0,https://youtu.be/K8IExFVVCTg&t=1455,680.0,https://youtu.be/i3optcE8Vvw&t=680,明石,中山,小村,青貝,樋口,安田,酒井,工藤,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
8,1.0,9.0,2025/08/04,1603.412663936615,1063.412663936615,1754271337.588192,1.0,1.0,坪田,Right,北海学園大,1,酒井,Left,TOK,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521500008,ボール,,1601.0,https://youtu.be/K8IExFVVCTg&t=1601,706.0,https://youtu.be/i3optcE8Vvw&t=706,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R",,,,,,,,,,,"Suguru, Sakai",,,,,
9,2.0,10.0,2025/08/04,1609.746339797974,1069.746339797974,1754271343.921868,1.0,2.0,坪田,Right,北海学園大,1,酒井,Left,TOK,1,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,北海学園大,#000040,北海学,遠軽_122,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521500009,見逃し,,1607.0,https://youtu.be/K8IExFVVCTg&t=1607,712.0,https://youtu.be/i3optcE8Vvw&t=712,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原,"酒井,安田,中山,工藤,大原,青貝,小村,明石,樋口","下向,小保内,柏原,常谷,郡山,井樫,杉林,火ノ川,新谷","渡辺,明石,中山,小村,青貝,樋口,安田,酒井,工藤","坪田,新谷,郡山,杉林,常谷,火ノ川,小保内,下向,柏原","R,L,R,L,R,R,R,L,L,R","R,L,R,L,R,R,R,L,L,R",,,,,,,,,,,"Suguru, Sakai",,,,,
