count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/08/08,1250.805075883865,650.8050770759583,1754632645.080106,1.0,1.0,近藤,Left,TOK,1,batter1,Right,岩手大,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.87,-0.473,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521930000,ボール,,1248.0,https://youtu.be/ev_2MQjwpjI&t=1248,520.0,https://youtu.be/G8QG_Spc5dg&t=520,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
1,2.0,2.0,2025/08/08,1253.911302089691,653.9113020896912,1754632648.186331,1.0,2.0,近藤,Left,TOK,1,batter1,Right,岩手大,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.397,0.3329999999999999,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521930001,ボール,,1251.0,https://youtu.be/ev_2MQjwpjI&t=1251,523.0,https://youtu.be/G8QG_Spc5dg&t=523,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
2,3.0,3.0,2025/08/08,1269.216571092606,669.2165718078613,1754632663.491601,1.0,3.0,近藤,Left,TOK,1,batter1,Right,岩手大,1,Top,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,118.0,1.123,-0.012,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521930002,ボール,,1267.0,https://youtu.be/ev_2MQjwpjI&t=1267,538.0,https://youtu.be/G8QG_Spc5dg&t=538,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
3,4.0,4.0,2025/08/08,1289.093844890594,689.0938460826874,1754632683.368874,1.0,4.0,近藤,Left,TOK,1,batter1,Right,岩手大,1,Top,0,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,116.0,0.363,-0.327,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521930003,四球,,1287.0,https://youtu.be/ev_2MQjwpjI&t=1287,558.0,https://youtu.be/G8QG_Spc5dg&t=558,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
4,5.0,5.0,2025/08/08,1324.033508062363,724.0335080623627,1754632718.308537,2.0,1.0,近藤,Left,TOK,2,batter2,Left,岩手大,1,Top,0,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,116.0,0.91,0.152,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521930004,空振り,,1322.0,https://youtu.be/ev_2MQjwpjI&t=1322,571.0,https://youtu.be/G8QG_Spc5dg&t=571,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
5,6.0,6.0,2025/08/08,1345.56445479393,745.564455986023,1754632739.839484,2.0,2.0,近藤,Left,TOK,2,batter2,Left,岩手大,1,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,108.0,0.498,0.268,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521930005,空振り,,1343.0,https://youtu.be/ev_2MQjwpjI&t=1343,592.0,https://youtu.be/G8QG_Spc5dg&t=592,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
6,7.0,7.0,2025/08/08,1364.880374908447,764.8803749084473,1754632759.155404,2.0,3.0,近藤,Left,TOK,2,batter2,Left,岩手大,1,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,107.0,0.023,0.144,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521930006,空三振,,1362.0,https://youtu.be/ev_2MQjwpjI&t=1362,612.0,https://youtu.be/G8QG_Spc5dg&t=612,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
7,8.0,8.0,2025/08/08,1395.491949081421,795.4919500350952,1754632789.766978,3.0,1.0,近藤,Left,TOK,3,batter3,Right,岩手大,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.83,-0.367,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521930007,ボール,,1393.0,https://youtu.be/ev_2MQjwpjI&t=1393,632.0,https://youtu.be/G8QG_Spc5dg&t=632,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
8,9.0,9.0,2025/08/08,1412.277131080627,812.2771320343018,1754632806.55216,3.0,2.0,近藤,Left,TOK,3,batter3,Right,岩手大,1,Top,1,1,0,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,106.0,0.157,-0.367,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter1,,,StolenBase,batter1,,,,,2521930008,ボール[盗塁],,1410.0,https://youtu.be/ev_2MQjwpjI&t=1410,649.0,https://youtu.be/G8QG_Spc5dg&t=649,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
9,10.0,10.0,2025/08/08,1447.504257917404,847.5042591094971,1754632841.779287,3.0,3.0,近藤,Left,TOK,3,batter3,Right,岩手大,1,Top,1,2,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,118.0,0.862,0.176,79.03458080414893,33.27488798483493,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,2,,batter1,,Undefined,,,,9,9,2521930009,右飛,,1445.0,https://youtu.be/ev_2MQjwpjI&t=1445,684.0,https://youtu.be/G8QG_Spc5dg&t=684,土ヶ端,春山,塗師,藤尾,小田,山本,大坂,小島,"小島,大坂,春山,矢田貝,藤尾,山本,小田,土ヶ端,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","近藤,土ヶ端,春山,塗師,藤尾,山本,小田,大坂,小島","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,R,R,R,R","L,R,L,R,R,L,R,R,L,R","Katsuya, Kondo","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Kojima, Yusei",,,,,,,
