count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1,1,2025/8/13,30,496.104727,1755043419,1,1,齋藤,Right,北海道大,1,酒井,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,134,1.217,0.393,,,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522400000,ボール,,28,https://youtu.be/AX83Bs_bQ18&t=28,986,https://youtu.be/J0NrI8B9wMU&t=986,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Suguru, Sakai",,,,,,,,,,,,,,,
1,2,2,2025/8/13,42.13767862,508.2424057,1755043431,1,2,齋藤,Right,北海道大,1,酒井,Left,TOK,1,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,136,0.654,-0.172,,,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522400001,見逃し,,40,https://youtu.be/AX83Bs_bQ18&t=40,998,https://youtu.be/J0NrI8B9wMU&t=998,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Suguru, Sakai",,,,,,,,,,,,,,,
2,3,3,2025/8/13,55.48194051,521.5866675,1755043444,1,3,齋藤,Right,北海道大,1,酒井,Left,TOK,1,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,134,0.217,-0.196,,,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522400002,ボール,,53,https://youtu.be/AX83Bs_bQ18&t=53,1011,https://youtu.be/J0NrI8B9wMU&t=1011,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Suguru, Sakai",,,,,,,,,,,,,,,
3,4,4,2025/8/13,75.64291739,541.7476444,1755043464,1,4,齋藤,Right,北海道大,1,酒井,Left,TOK,1,Top,0,2,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,134,0.566,-0.164,78.34095275,-30.09855446,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Undefined,,,,7,7,2522400003,左飛,,73,https://youtu.be/AX83Bs_bQ18&t=73,1031,https://youtu.be/J0NrI8B9wMU&t=1031,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Suguru, Sakai",,,,,,,,,,,,,,,
4,5,5,2025/8/13,104.0575659,570.162293,1755043493,2,1,齋藤,Right,北海道大,2,青貝,Right,TOK,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,113,1.31,0.2,,,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522400004,ボール,,102,https://youtu.be/AX83Bs_bQ18&t=102,1060,https://youtu.be/J0NrI8B9wMU&t=1060,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Naomasa, Aogai",,,,,,,,,,,,,,,
5,6,6,2025/8/13,117.1195757,583.2243028,1755043506,2,2,齋藤,Right,北海道大,2,青貝,Right,TOK,1,Top,1,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.69,0.076,39.71908213,-27.89727103,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Undefined,,,,"6,3","6,3A",2522400005,遊ゴ,,115,https://youtu.be/AX83Bs_bQ18&t=115,1073,https://youtu.be/J0NrI8B9wMU&t=1073,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Naomasa, Aogai",,,,,,,,,,,,,,,
6,7,7,2025/8/13,155.6985743,621.8033013,1755043544,3,1,齋藤,Right,北海道大,3,中山,Left,TOK,1,Top,2,0,0,Fastball,InPlay,Undefined,LineDrive,Triple,0,0,,136,0.65,0.1,104.6360327,-15.62959559,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,,,,,Undefined,,,,8,8,2522400006,左中3,,153,https://youtu.be/AX83Bs_bQ18&t=153,1111,https://youtu.be/J0NrI8B9wMU&t=1111,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Taiyo, Nakayama",,,,,,,,,,,,,,,
7,8,8,2025/8/13,211.9409528,678.0456798,1755043601,4,1,齋藤,Right,北海道大,4,大原,Right,TOK,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,111,1.19,0.268,,,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,3,,,中山,Nothing,,,,,,2522400007,ボール,,209,https://youtu.be/AX83Bs_bQ18&t=209,1143,https://youtu.be/J0NrI8B9wMU&t=1143,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Kaiki, Ohara",,,"Taiyo, Nakayama",,,,,,,,,,,,
8,9,9,2025/8/13,229.6208045,695.7255316,1755043618,4,2,齋藤,Right,北海道大,4,大原,Right,TOK,1,Top,2,1,0,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,136,0.69,-0.116,10.4626241,-158.4985657,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,3,,,中山,Undefined,,,,,,2522400008,ファール,,227,https://youtu.be/AX83Bs_bQ18&t=227,1161,https://youtu.be/J0NrI8B9wMU&t=1161,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Kaiki, Ohara",,,"Taiyo, Nakayama",,,,,,,,,,,,
9,10,10,2025/8/13,255.2349303,721.3396573,1755043644,4,3,齋藤,Right,北海道大,4,大原,Right,TOK,1,Top,2,1,1,Fastball,InPlay,Undefined,LineDrive,Single,0,1,,135,0.87,0.124,82.48659045,9.839037386,北海道大,#ffffff,北海道,TOK,#217fc4,東大,大和ハウスプレミストドーム_122,A,七大戦,Normal,3,,,中山,Undefined,,,中山,8,8,2522400009,中安①,,253,https://youtu.be/AX83Bs_bQ18&t=253,1186,https://youtu.be/J0NrI8B9wMU&t=1186,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口,"渕上,高橋,玄道,小川,浅倉,花垣,関口,岐部,藤本","酒井,青貝,中山,大原,秋元,榎本,小村,樋口,明石","齋藤,玄道,浅倉,藤本,岐部,渕上,高橋,花垣,関口","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","L,R,R,R,R,R,R,R,R,R","R,L,R,L,R,R,L,L,R,L","Kaiki, Ohara",,,"Taiyo, Nakayama","Taiyo, Nakayama",,,,,,,,,,,
