count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Unnamed: 75,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/8/14,1717.786345005035,817.7863469,1755129684.345902,1.0,1.0,pos1,Right,名古屋,1,安田,Left,TOK,1,Top,0,0,0,Fastball,FoulBall,Undefined,Other,Undefined,0,0,,122.0,0.706,0.188,25.65015068829307,-120.3987277,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Undefined,,,,,,2522500000,ファール,,1715.0,https://youtu.be/hwUj41cB_Sc&t=1715,511.0,https://youtu.be/hs0B7pp4u3A&t=511,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Ken, Yasuda",,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/14,1731.427175045013,831.4271759986877,1755129697.986731,1.0,2.0,pos1,Right,名古屋,1,安田,Left,TOK,1,Top,0,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.0,0.59,0.072,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500001,見逃し,,1729.0,https://youtu.be/hwUj41cB_Sc&t=1729,524.0,https://youtu.be/hs0B7pp4u3A&t=524,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Ken, Yasuda",,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/14,1741.939205884934,841.9392068386078,1755129708.498762,1.0,3.0,pos1,Right,名古屋,1,安田,Left,TOK,1,Top,0,0,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,124.0,0.698,-0.116,36.00753868947994,18.13808215559732,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Undefined,,,,"4,3","4,3A",2522500002,二ゴ,,1739.0,https://youtu.be/hwUj41cB_Sc&t=1739,535.0,https://youtu.be/hs0B7pp4u3A&t=535,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Ken, Yasuda",,,,,,,,,,,,,,,
3,4.0,4.0,2025/8/14,1767.891081094742,867.8910820484161,1755129734.450637,2.0,1.0,pos1,Right,名古屋,2,樋口,Right,TOK,1,Top,1,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,117.0,0.706,0.284,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500003,見逃し,,1765.0,https://youtu.be/hwUj41cB_Sc&t=1765,548.0,https://youtu.be/hs0B7pp4u3A&t=548,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Kosuke, Higuchi",,,,,,,,,,,,,,,
4,5.0,5.0,2025/8/14,1778.206903934479,878.2069048881531,1755129745.0,2.0,2.0,pos1,Right,名古屋,2,樋口,Right,TOK,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,115.0,0.626,-0.5,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500004,ボール,,1776.0,https://youtu.be/hwUj41cB_Sc&t=1776,558.0,https://youtu.be/hs0B7pp4u3A&t=558,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Kosuke, Higuchi",,,,,,,,,,,,,,,
5,6.0,6.0,2025/8/14,1788.750884771347,888.7508859634399,1755129755.310441,2.0,3.0,pos1,Right,名古屋,2,樋口,Right,TOK,1,Top,1,1,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,,113.0,,,77.23385163820905,-38.69455402,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Undefined,,,,7,7,2522500005,左飛,,1786.0,https://youtu.be/hwUj41cB_Sc&t=1786,569.0,https://youtu.be/hs0B7pp4u3A&t=569,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Kosuke, Higuchi",,,,,,,,,,,,,,,
6,7.0,7.0,2025/8/14,1815.156738758087,915.1567387580872,1755129781.716295,3.0,1.0,pos1,Right,名古屋,3,竹山,Right,TOK,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.8540000000000001,-0.407,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500006,ボール,,1813.0,https://youtu.be/hwUj41cB_Sc&t=1813,584.0,https://youtu.be/hs0B7pp4u3A&t=584,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Naotaro, Takeyama",,,,,,,,,,,,,,,
7,8.0,8.0,2025/8/14,1825.477957,925.4779579639436,1755129792.037514,3.0,2.0,pos1,Right,名古屋,3,竹山,Right,TOK,1,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.862,0.427,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500007,ボール,,1823.0,https://youtu.be/hwUj41cB_Sc&t=1823,595.0,https://youtu.be/hs0B7pp4u3A&t=595,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Naotaro, Takeyama",,,,,,,,,,,,,,,
8,9.0,9.0,2025/8/14,1839.021754980087,939.0217549800872,1755129806.0,3.0,3.0,pos1,Right,名古屋,3,竹山,Right,TOK,1,Top,2,2,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,116.0,0.578,0.513,,,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Nothing,,,,,,2522500008,空振り,,1837.0,https://youtu.be/hwUj41cB_Sc&t=1837,608.0,https://youtu.be/hs0B7pp4u3A&t=608,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Naotaro, Takeyama",,,,,,,,,,,,,,,
9,10.0,10.0,2025/8/14,1853.512455940246,953.5124559402466,1755129820.072012,3.0,4.0,pos1,Right,名古屋,3,竹山,Right,TOK,1,Top,2,2,1,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,118.0,0.562,0.14,34.64413082210923,-38.43123588,名古屋,#049900,名古屋,TOK,#217fc4,東大,Sapporo_122,A,七大戦,Normal,,,,,Undefined,,,,"5,3","5,3A",2522500009,三ゴ,,1851.0,https://youtu.be/hwUj41cB_Sc&t=1851,623.0,https://youtu.be/hs0B7pp4u3A&t=623,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,樋口,竹山,中山,小美野,門田,井之口,明石,岡林","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","江口,明石,中山,井之口,門田,樋口,安田,竹山,岡林","R,R,R,R,R,R,R,R,R,R","R,L,R,R,L,L,R,L,L,L",,"Naotaro, Takeyama",,,,,,,,,,,,,,,
