count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/8/22,-369.159513,-369.159513,1755825928,1.0,1.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,0.51,0.493,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320000,ボール,,2009,https://youtu.be/OfHdeCc7qTE&t=2009,546.0,https://youtu.be/Dhmv7cfl-8A&t=546,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/22,-359.373954,-359.373954,1755825938,1.0,2.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.478,0.487,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320001,ボール,,2019,https://youtu.be/OfHdeCc7qTE&t=2019,556.0,https://youtu.be/Dhmv7cfl-8A&t=556,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/22,-347.157171,-347.157171,1755825950,1.0,3.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.303,0.52,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320002,ボール,,2031,https://youtu.be/OfHdeCc7qTE&t=2031,568.0,https://youtu.be/Dhmv7cfl-8A&t=568,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
3,4.0,4.0,2025/8/22,-330.5215001,-330.5215001,1755825967,1.0,4.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,3,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,119.0,0.674,-0.108,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320003,見逃し,,2048,https://youtu.be/OfHdeCc7qTE&t=2048,585.0,https://youtu.be/Dhmv7cfl-8A&t=585,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
4,5.0,5.0,2025/8/22,-320.54781,-320.54781,1755825977,1.0,5.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,3,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,118.0,0.626,-0.236,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320004,見逃し,,2058,https://youtu.be/OfHdeCc7qTE&t=2058,595.0,https://youtu.be/Dhmv7cfl-8A&t=595,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
5,6.0,6.0,2025/8/22,-306.6527199,-306.6527199,1755825990,1.0,6.0,pos1,Right,東農大,1,安田,Left,TOK,1,Top,0,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,119.0,0.69,0.1,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320005,空三振,,2071,https://youtu.be/OfHdeCc7qTE&t=2071,608.0,https://youtu.be/Dhmv7cfl-8A&t=608,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
6,7.0,7.0,2025/8/22,-281.4252851,-281.4252851,1755826016,2.0,1.0,pos1,Right,東農大,2,榎本,Left,TOK,1,Top,1,0,0,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,120.0,0.546,0.232,61.40229773,-92.20259816,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523320006,ファール,,2097,https://youtu.be/OfHdeCc7qTE&t=2097,619.0,https://youtu.be/Dhmv7cfl-8A&t=619,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Yoshinobu, Enomoto",,,,,,,,,,,,,,,
7,8.0,8.0,2025/8/22,-269.0408642,-269.0408642,1755826028,2.0,2.0,pos1,Right,東農大,2,榎本,Left,TOK,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,113.0,0.197,0.28,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523320007,ボール,,2109,https://youtu.be/OfHdeCc7qTE&t=2109,631.0,https://youtu.be/Dhmv7cfl-8A&t=631,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Yoshinobu, Enomoto",,,,,,,,,,,,,,,
8,9.0,9.0,2025/8/22,-261.4228251,-261.4228251,1755826036,2.0,3.0,pos1,Right,東農大,2,榎本,Left,TOK,1,Top,1,1,1,Slider,InPlay,Undefined,LineDrive,Single,0,0,,118.0,0.694,-0.228,65.29510352,-32.82854179,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2523320008,左安,,2117,https://youtu.be/OfHdeCc7qTE&t=2117,633.0,https://youtu.be/Dhmv7cfl-8A&t=633,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Yoshinobu, Enomoto",,,,,,,,,,,,,,,
9,,,2025/8/22,-211.1810662,-211.1810662,1755826086,,,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,0,0,,,,,,0,0,,,,,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,PickOff,,,,"1,3","1,3",2523320009,牽制,,2167,https://youtu.be/OfHdeCc7qTE&t=2167,670.0,https://youtu.be/Dhmv7cfl-8A&t=670,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
