count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/8/24,1924.473228,679.4732285,1756011419,1.0,1.0,近藤,Left,TOK,1,渡辺,Left,上智大,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,123.51,0.494,0.553,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523530000,ボール,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,306.0,1090313.0,Katsuya Kondo,,1755979026.0,1756011426.0,Fastball,N,0.7248,0.5055,123.51,1700.92,1644.0,96.65,10:00,1.0,1.8808918,29.6,-33.8,26.7,-46.8,5.54,-0.7,1.59,-0.5,-14.87,1090313@1756011426,V3P4DLKO0850A,3.0585363,-7.1813836,untitled,,1756011420.0,758.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979025.0,1756011425.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011425,untitled,1756011420.0,
1,2.0,2.0,2025/8/24,1935.542809,690.542809,1756011430,1.0,2.0,近藤,Left,TOK,1,渡辺,Left,上智大,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,119.6,0.594,-0.407,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523530001,ボール,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,305.0,1090313.0,Katsuya Kondo,,1755979037.0,1756011437.0,ChangeUp,N,-0.5714,0.9655,119.6,1687.74,1470.9,87.15,9:46,1.0,2.0159473,18.8,-28.3,17.7,-44.2,0.94,1.48,1.61,-0.55,-29.36,1090313@1756011437,V3P4DLKO0850A,-1.1835966,-6.4640326,untitled,,1756011431.0,757.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979036.0,1756011436.0,108.0,119.6,,0.0,,4.4,,0.0,68.3,77.0,0.0,,V3P4DLKO0850A,1410208@1756011436,untitled,1756011431.0,
2,3.0,3.0,2025/8/24,1954.672668,709.6726677,1756011450,1.0,3.0,近藤,Left,TOK,1,渡辺,Left,上智大,1,Top,0,2,0,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,0,,123.5,0.67,-1.033,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523530002,死球,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,304.0,1090313.0,Katsuya Kondo,,1755979056.0,1756011456.0,Fastball,N,-0.6446,1.1482,123.5,1779.14,1636.0,91.96,9:56,1.0,,17.7,-31.1,19.9,-39.3,0.63,1.45,1.6,-0.5,-23.14,1090313@1756011456,V3P4DLKO0850A,-1.8601018,-5.213093,untitled,,1756011450.0,756.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979055.0,1756011455.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011455,untitled,1756011450.0,123.0
3,4.0,4.0,2025/8/24,1991.202945,746.2029452,1756011486,2.0,1.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,123.74,0.626,0.252,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,1,渡辺,,,Nothing,,,,,,2523530003,見逃し,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,303.0,1090313.0,Katsuya Kondo,,1755979093.0,1756011493.0,Fastball,Y,0.1273,0.9826,123.74,1698.86,1604.1,94.42,9:44,1.0,1.6165771,,,20.0,-49.7,3.48,1.22,1.56,-0.58,-19.22,1090313@1756011493,V3P4DLKO0850A,1.3892184,-5.5450234,untitled,,1756011487.0,755.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979092.0,1756011492.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011492,untitled,1756011487.0,
4,5.0,5.0,2025/8/24,2006.618981,761.6189806,1756011502,2.0,2.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,110.12,0.606,-0.26,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,1,渡辺,,,Nothing,,,,,,2523530004,見逃し,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,302.0,1090313.0,Katsuya Kondo,,1755979108.0,1756011508.0,Slider,Y,-0.1306,0.6794,110.12,1892.4,359.8,19.01,5:38,1.0,1.8406277,0.1,0.7,-13.4,5.5,1.7,2.4,1.54,-0.62,-79.04,1090313@1756011508,V3P4DLKO0850A,1.7526907,-9.165585,untitled,,1756011502.0,754.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979108.0,1756011508.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011508,untitled,1756011503.0,
5,6.0,6.0,2025/8/24,2025.864018,780.8640184,1756011521,2.0,3.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,123.69,1.11,-0.393,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,1,渡辺,,,Nothing,,,,,,2523530005,ボール,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,301.0,1090313.0,Katsuya Kondo,,1755979127.0,1756011527.0,Fastball,N,-0.4085,1.1339,123.69,1664.52,1360.0,81.71,9:52,1.0,1.5597458,,,18.6,-40.5,1.19,1.94,1.55,-0.57,-35.21,1090313@1756011527,V3P4DLKO0850A,-0.15415761,-5.225581,untitled,,1756011521.0,753.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979126.0,1756011526.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011526,untitled,1756011521.0,129.0
6,7.0,7.0,2025/8/24,2043.387494,798.3874936,1756011538,2.0,4.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,1,2,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,110.93,0.542,0.208,43.49907359,-75.86952014,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,1,渡辺,,,Undefined,,,,,,2523530006,ファール,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,300.0,1090313.0,Katsuya Kondo,,1755979144.0,1756011544.0,Slider,,,,110.93,1900.38,301.7,15.88,5:44,1.0,1.8402538,,,-12.0,4.8,4.13,0.71,1.52,-0.59,-80.86,1090313@1756011544,V3P4DLKO0850A,,,untitled,,1756011538.0,752.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979143.0,1756011543.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011543,untitled,1756011538.0,108.0
7,8.0,8.0,2025/8/24,2070.964587,825.9645867,1756011566,2.0,5.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,1,2,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,110.1,0.163,0.46,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,1,渡辺,,,StolenBase,渡辺,,,,,2523530007,ボール[盗塁],,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,299.0,1090313.0,Katsuya Kondo,,1755979172.0,1756011572.0,ChangeUp,N,0.3554,-0.1807,110.1,616.78,616.7,99.99,9:28,1.0,1.7784157,12.8,-41.0,8.0,-30.6,4.56,-1.38,1.58,-0.53,-0.87,1090313@1756011572,V3P4DLKO0850A,1.5562658,-11.316672,untitled,,1756011566.0,751.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979171.0,1756011571.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011571,untitled,1756011566.0,107.0
8,9.0,9.0,2025/8/24,2112.26349,867.2634897,1756011607,2.0,6.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.55,-0.533,,,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,2,,渡辺,,Nothing,,,,,,2523530008,ボール,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0
9,10.0,10.0,2025/8/24,2136.613415,891.613415,1756011632,2.0,7.0,近藤,Left,TOK,2,宮田,Right,上智大,1,Top,0,3,2,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,125.04,0.614,-0.276,30.34909415,21.07749412,TOK,#217fc4,東大,上智大,#800000,上智大,TodaiStadium,B,夏季オープン戦,Normal,2,,渡辺,,Undefined,,,,"4,3","4,3A",2523530009,二ゴ,,,,,,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野,"成瀬,小美野,春山,藤尾,佐渡島,岡林,深見,小田,荒井孝","渡辺,宮田,本田,梶田,平山将,永田,阿部,多田,大塚","近藤,深見,春山,荒井孝,佐渡島,小田,岡林,成瀬,小美野","浦川,多田,阿部,永田,宮田,渡辺,大塚,平山将,本田","L,L,L,R,R,L,L,L,R,R","L,L,R,L,L,R,R,R,R,R","Katsuya, Kondo","Yuto, Fukami","Yuichiro, Haruyama","Kota, Arai","Ryo, Sadoshima","Shu, Oda","Yuna, Okabayashi","Yuto, Naruse","Komino, Harunobu",,,,,,,,298.0,1090313.0,Katsuya Kondo,,1755979238.0,1756011638.0,Fastball,,,,125.04,1765.01,1657.5,93.91,10:02,1.0,1.8629723,,,26.1,-44.0,1.19,0.84,1.56,-0.56,-20.11,1090313@1756011638,V3P4DLKO0850A,,,untitled,,1756011632.0,750.0,1410208.0,tokyobbc_rapsodo Player_056,,1755979237.0,1756011637.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410208@1756011637,untitled,1756011632.0,
