count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1,1,2025/8/25,2555.694607,2050.694608,1756085395,1,1,前田,Right,TOK,1,本多,Left,桐蔭横浜大,1,Top,0,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,128.96,,,78.87974,-21.96056402,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2523600000,左飛,,2553,https://youtu.be/up1BhdLH38U&t=2553,1306,https://youtu.be/PcE9ay6SFQ0&t=1306,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1406,1090150,Riku Maeda,,1756053002,1756085402,Fastball,N,0.3085,0.6474,128.96,2051.8,1937.9,94.45,1:16,1,1.8297157,51.3,35.9,43.2,35.3,-1.12,-1.27,1.66,0.27,19.18,1090150@1756085402,V3P4DLKO0850A,1.6384238,-6.2560196,untitled,,1756085395,39,972671,TokyoBBC Left,,1756053001,1756085401,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085401,untitled,1756085395,128.96
1,2,2,2025/8/25,2580.34666,2075.346661,1756085420,2,1,前田,Right,TOK,2,伊藤,Left,桐蔭横浜大,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523600001,ボール,,2578,https://youtu.be/up1BhdLH38U&t=2578,1324,https://youtu.be/PcE9ay6SFQ0&t=1324,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1405,1090150,Riku Maeda,,1756053026,1756085426,Fastball,N,-0.2393,0.0637,120,1987.69,988.7,49.74,1:30,1,,13.7,1.3,16.9,17,-1.9,-1.97,1.55,0.24,60.17,1090150@1756085426,V3P4DLKO0850A,-1.7925144,-9.847093,untitled,,1756085419,38,972671,TokyoBBC Left,,1756053025,1756085425,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085425,untitled,1756085419,120
2,3,3,2025/8/25,2592.788018,2087.788019,1756085432,2,2,前田,Right,TOK,2,伊藤,Left,桐蔭横浜大,1,Top,1,1,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,129.46,,,56.10771457,53.55183023,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523600002,ファール,,2590,https://youtu.be/up1BhdLH38U&t=2590,1336,https://youtu.be/PcE9ay6SFQ0&t=1336,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1404,1090150,Riku Maeda,,1756053038,1756085438,Fastball,Y,0.1663,0.695,129.46,2115.59,1912.1,90.38,1:18,1,,36.8,23.1,35,29.5,-1.26,-1.08,1.6,0.26,25.34,1090150@1756085438,V3P4DLKO0850A,0.6908858,-6.3390484,untitled,,1756085431,37,972671,TokyoBBC Left,,1756053037,1756085437,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085437,untitled,1756085431,129.46
3,4,4,2025/8/25,2616.275611,2111.275612,1756085456,2,3,前田,Right,TOK,2,伊藤,Left,桐蔭横浜大,1,Top,1,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,121.38,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523600003,ボール,,2614,https://youtu.be/up1BhdLH38U&t=2614,1360,https://youtu.be/PcE9ay6SFQ0&t=1360,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1403,1090150,Riku Maeda,,1756053063,1756085463,Fastball,N,0.3829,0.4193,121.38,1303.89,1300.5,99.74,1:48,1,1.924736,40,36.3,26.4,37.9,-0.89,-1.06,1.62,0.27,4.11,1090150@1756085463,V3P4DLKO0850A,1.9306614,-8.036429,untitled,,1756085456,36,972671,TokyoBBC Left,,1756053062,1756085462,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085462,untitled,1756085456,121.38
4,5,5,2025/8/25,2631.860239,2126.86024,1756085471,2,4,前田,Right,TOK,2,伊藤,Left,桐蔭横浜大,1,Top,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,117.53,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523600004,ボール,,2629,https://youtu.be/up1BhdLH38U&t=2629,1375,https://youtu.be/PcE9ay6SFQ0&t=1375,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1402,1090150,Riku Maeda,,1756053078,1756085478,Fastball,N,0.3956,0.4572,117.53,1321.21,1316.5,99.64,1:54,1,,26.4,31.8,21.5,34.4,-0.71,-0.85,1.6,0.26,-4.85,1090150@1756085478,V3P4DLKO0850A,1.9594448,-8.578514,untitled,,1756085471,35,972671,TokyoBBC Left,,1756053077,1756085477,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085477,untitled,1756085471,117.53
5,6,6,2025/8/25,2646.445817,2141.445818,1756085486,2,5,前田,Right,TOK,2,伊藤,Left,桐蔭横浜大,1,Top,1,3,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,127.32,,,77.43011651,40.36453657,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2523600005,右安,,2644,https://youtu.be/up1BhdLH38U&t=2644,1390,https://youtu.be/PcE9ay6SFQ0&t=1390,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1401,1090150,Riku Maeda,,1756053094,1756085494,Fastball,N,-0.1467,0.4022,127.32,2088.57,1968.5,94.25,1:18,1,2.1363106,57.9,43.7,41.9,34.2,-2.96,-2.31,1.6,0.24,19.52,1090150@1756085494,V3P4DLKO0850A,0.43542632,-6.6318398,untitled,,1756085487,34,972671,TokyoBBC Left,,1756053093,1756085493,139.2,,14,37.4,2857.5386,346.3,11:20,1,0,0,0,,V3P4DLKO0850A,972671@1756085493,untitled,1756085487,127.32
6,7,7,2025/8/25,2686.45894,2181.458941,1756085526,3,1,前田,Right,TOK,3,安藤,Left,桐蔭横浜大,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,119.81,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,1,伊藤,,,Nothing,,,,,,2523600006,見逃し,,2684,https://youtu.be/up1BhdLH38U&t=2684,1417,https://youtu.be/PcE9ay6SFQ0&t=1417,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1400,1090150,Riku Maeda,,1756053134,1756085534,Fastball,N,0.3036,0.7997,119.81,1491.83,1480.5,99.24,1:32,1,,29.3,32.2,28.5,31.2,-0.7,0.04,1.64,0.16,7.05,1090150@1756085534,V3P4DLKO0850A,2.0296204,-7.1224113,untitled,,1756085527,33,972671,TokyoBBC Left,,1756053133,1756085533,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085533,untitled,1756085527,119.81
7,,,2025/8/25,2704.401351,2199.401352,1756085544,,,前田,Right,TOK,3,安藤,Left,桐蔭横浜大,1,Top,1,0,1,Undefined,,,,,1,0,,,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,1,伊藤,,,PickOff,,,,"1,3","1,3",2523600007,牽制死,,2702,https://youtu.be/up1BhdLH38U&t=2702,1435,https://youtu.be/PcE9ay6SFQ0&t=1435,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,2025/8/25,2726.58954,2221.589541,1756085566,3,2,前田,Right,TOK,3,安藤,Left,桐蔭横浜大,1,Top,2,0,1,Sinker,AutomaticBall,Undefined,Undefined,Undefined,0,0,,107.48,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523600008,ボール,,2724,https://youtu.be/up1BhdLH38U&t=2724,1458,https://youtu.be/PcE9ay6SFQ0&t=1458,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1399,1090150,Riku Maeda,,1756053173,1756085573,Slider,N,0.4378,1.0751,107.48,2115.6,955.1,45.14,7:26,1,,-5.9,-24,-19.8,-20.7,1.51,3.69,1.66,0.28,63.16,1090150@1756085573,V3P4DLKO0850A,-0.5060779,-9.33045,untitled,,1756085566,32,972671,TokyoBBC Left,,1756053172,1756085572,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085572,untitled,1756085566,107.48
9,9,9,2025/8/25,2738.159669,2233.159672,1756085578,3,3,前田,Right,TOK,3,安藤,Left,桐蔭横浜大,1,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,121.61,,,,,TOK,#217fc4,東大,桐蔭横浜大,#3109ff,桐蔭大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523600009,ボール,,2736,https://youtu.be/up1BhdLH38U&t=2736,1469,https://youtu.be/PcE9ay6SFQ0&t=1469,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原,"樋口,青貝,秋元,大原,杉浦,酒井,工藤,小村,安田","本多,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","前田,杉浦,秋元,小村,青貝,樋口,安田,酒井,大原","金澤,伊藤,安藤,佐藤,中平,梅澤,磯貝,山本,室田","L,R,R,R,R,R,L,R,L,L","R,L,L,L,L,R,R,R,R,R","Riku, Maeda","Kaito, Sugiura","Ryo, Akimoto","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Ken, Yasuda","Suguru, Sakai","Kaiki, Ohara",,,,,,,,1398,1090150,Riku Maeda,,1756053185,1756085585,Fastball,,,,121.61,1912.27,963.5,50.38,1:32,1,,,,17.3,17.6,-2.95,-2.27,1.59,0.18,59.75,1090150@1756085585,V3P4DLKO0850A,,,untitled,,1756085578,31,972671,TokyoBBC Left,,1756053184,1756085584,,,,0,,0,,0,0,0,0,,V3P4DLKO0850A,972671@1756085584,untitled,1756085578,121.61
