count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/08/30,2068.742812156677,868.7428131103516,1756530016.04055,1.0,1.0,富田,Right,TOK,1,batter1,Right,吉田,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.197,0.12,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130000,ボール,,2066.0,,647.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
1,2.0,2.0,2025/08/30,2081.006566047668,881.0065660476685,1756530028.304303,1.0,2.0,富田,Right,TOK,1,batter1,Right,吉田,1,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.534,-0.208,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130001,見逃し,,2079.0,,659.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
2,3.0,3.0,2025/08/30,2092.526093006134,892.5260941982269,1756530039.82383,1.0,3.0,富田,Right,TOK,1,batter1,Right,吉田,1,Top,0,1,1,Slider,InPlay,Undefined,FlyBall,Out,1,0,,,0.982,0.1,89.81562180512284,-3.200706701018368,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2524130002,中飛,,2090.0,,670.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
3,4.0,4.0,2025/08/30,2119.002077102661,919.0020780563354,1756530066.299814,2.0,1.0,富田,Right,TOK,2,batter2,Right,吉田,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.197,-0.088,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130003,ボール,,2117.0,,687.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,L,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
4,5.0,5.0,2025/08/30,2130.956290960312,930.9562921524048,1756530078.254028,2.0,2.0,富田,Right,TOK,2,batter2,Right,吉田,1,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.622,-0.0279999999999999,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130004,見逃し,,2128.0,,699.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,L,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
5,6.0,6.0,2025/08/30,2142.995851039886,942.9958519935608,1756530090.293588,2.0,3.0,富田,Right,TOK,2,batter2,Right,吉田,1,Top,1,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.546,-0.373,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130005,ボール,,2140.0,,711.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,L,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
6,7.0,7.0,2025/08/30,2156.66650223732,956.6665031909944,1756530103.964239,2.0,4.0,富田,Right,TOK,2,batter2,Right,吉田,1,Top,1,2,1,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.662,-0.188,33.25361810275387,25.20112364547507,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,"3,1","3,1A",2524130006,一ゴ,,2154.0,,725.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,L,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
7,8.0,8.0,2025/08/30,2197.479952096939,997.4799530506134,1756530144.777689,3.0,1.0,富田,Right,TOK,3,batter3,Right,吉田,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.423,-0.3,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130007,ボール,,2195.0,,751.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
8,9.0,9.0,2025/08/30,2203.80223608017,1003.802237272263,1756530151.099973,3.0,2.0,富田,Right,TOK,3,batter3,Right,吉田,1,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,-0.03,-0.152,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130008,ボール,,2201.0,,757.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
9,10.0,10.0,2025/08/30,2221.884459972382,1021.884461164474,1756530169.182197,3.0,3.0,富田,Right,TOK,3,batter3,Right,吉田,1,Top,2,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.617,1.233,,,TOK,#217fc4,東大,吉田,#8db2ff,吉田,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524130009,ボール,,2219.0,,775.0,,土ヶ端,竹下,塗師,田崎,今泉,鈴木,長谷川,小島,"小島,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","富田,長谷川,鈴木,矢田貝,田崎,竹下,土ヶ端,今泉,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,L,R,L,R","R,R,R,R,R,R,R,R,R,R","Tomita, Yuta","Yuto, Tsuchigahata","Takeshita, Hiraku","Takuma, Nushi","Tasaki, Shu","Rio, Imaizumi","Yugo, Suzuki","Hasegawa, Yu","Kojima, Yusei",,,,,,,
