count,pitchcount,PitchNo,Date,time,time1,time0,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/8/30,16.70319,1653.778907,1653.778907,1343.778909,1756517204,1.0,1.0,松本慎,Left,TOK,1,小長谷,Left,平成国際大,1,Top,0,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,22.48863546,85.48601154,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2524100000,ファール,,1651.0,https://youtu.be/_Ddb7UXiTJk&t=1651,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
1,2.0,2.0,2025/8/30,12.290738,1670.482097,1670.482097,1360.482101,1756517221,1.0,2.0,松本慎,Left,TOK,1,小長谷,Left,平成国際大,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.39,0.116,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524100001,ボール,,1668.0,https://youtu.be/_Ddb7UXiTJk&t=1668,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
2,3.0,3.0,2025/8/30,15.258138,1682.772835,1682.772835,1372.772837,1756517233,1.0,3.0,松本慎,Left,TOK,1,小長谷,Left,平成国際大,1,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.622,0.244,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524100002,見逃し,,1680.0,https://youtu.be/_Ddb7UXiTJk&t=1680,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
3,4.0,4.0,2025/8/30,14.474099,1698.030973,1698.030973,1388.030975,1756517248,1.0,4.0,松本慎,Left,TOK,1,小長谷,Left,平成国際大,1,Top,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.09,0.373,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524100003,ボール,,1696.0,https://youtu.be/_Ddb7UXiTJk&t=1696,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
4,5.0,5.0,2025/8/30,35.419083,1712.505072,1712.505072,1402.505074,1756517263,1.0,5.0,松本慎,Left,TOK,1,小長谷,Left,平成国際大,1,Top,0,2,2,Fastball,InPlay,Undefined,FlyBall,Single,0,0,,,0.814,0.132,69.02213636,-21.30122094,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,,,,,Undefined,,,,6,6,2524100004,遊安,,1710.0,https://youtu.be/_Ddb7UXiTJk&t=1710,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
5,6.0,6.0,2025/8/30,34.257511,1747.924155,1747.924155,1437.924158,1756517298,2.0,1.0,松本慎,Left,TOK,2,岸,Left,平成国際大,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.75,-0.228,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,小長谷,,,Nothing,,,,,,2524100005,見逃し,,1745.0,https://youtu.be/_Ddb7UXiTJk&t=1745,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
6,7.0,7.0,2025/8/30,25.863805,1782.181666,1782.181666,1472.181668,1756517333,2.0,2.0,松本慎,Left,TOK,2,岸,Left,平成国際大,1,Top,0,0,1,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.786,0.168,27.29849039,96.2034479,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,小長谷,,,Undefined,,,,,,2524100006,ファール,,1780.0,https://youtu.be/_Ddb7UXiTJk&t=1780,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
7,8.0,8.0,2025/8/30,63.272534,1808.045471,1808.045471,1498.045472,1756517358,2.0,3.0,松本慎,Left,TOK,2,岸,Left,平成国際大,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.317,0.333,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,小長谷,,,PassBall,小長谷,,,,,2524100007,ボール[PB],,1806.0,https://youtu.be/_Ddb7UXiTJk&t=1806,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
8,9.0,9.0,2025/8/30,22.842454,1871.318005,1871.318005,1561.318007,1756517422,2.0,4.0,松本慎,Left,TOK,2,岸,Left,平成国際大,1,Top,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.33,0.144,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,3,,,小長谷,Nothing,,,,,,2524100008,ボール,,1869.0,https://youtu.be/_Ddb7UXiTJk&t=1869,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
9,10.0,10.0,2025/8/30,22.848476,1894.160459,1894.160459,1584.160461,1756517444,2.0,5.0,松本慎,Left,TOK,2,岸,Left,平成国際大,1,Top,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.59,0.447,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,3,,,小長谷,Nothing,,,,,,2524100009,ボール,,1892.0,https://youtu.be/_Ddb7UXiTJk&t=1892,,,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,樋口,青貝,井之口,秋元","小長谷,岸,平田,佐々木,渡邊,今井,坂本,浜野,石川","松本慎,杉浦,秋元,井之口,青貝,樋口,工藤,酒井,大原","松原,渡邊,浜野,岸,石川,小長谷,今井,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,R,R,R,L","Shinnosuke, Matsumoto","Kaito, Sugiura","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
