count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/8/31,2396.497819,2196.497821,1756604006,1.0,1.0,pos1,Right,東海大,1,成瀬,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,135.0,0.582,0.38,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220000,ボール,,2394,https://youtu.be/jyucRX8Mm_I&t=2394,574.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Yuto, Naruse",,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/31,2407.62369,2207.623693,1756604017,1.0,2.0,pos1,Right,東海大,1,成瀬,Left,TOK,1,Top,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,136.0,0.494,-0.04,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220001,空振り,,2405,https://youtu.be/jyucRX8Mm_I&t=2405,585.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Yuto, Naruse",,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/31,2417.75288,2217.752883,1756604027,1.0,3.0,pos1,Right,東海大,1,成瀬,Left,TOK,1,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,137.0,0.478,0.012,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220002,見逃し,,2415,https://youtu.be/jyucRX8Mm_I&t=2415,595.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Yuto, Naruse",,,,,,,,,,,,,,,
3,4.0,4.0,2025/8/31,2442.665792,2242.665794,1756604052,1.0,4.0,pos1,Right,東海大,1,成瀬,Left,TOK,1,Top,0,1,2,Fastball,FoulBall,Undefined,Popup,Undefined,0,0,,,,,35.9119556,65.75079559,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2524220003,ファール,,2440,https://youtu.be/jyucRX8Mm_I&t=2440,596.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Yuto, Naruse",,,,,,,,,,,,,,,
4,5.0,5.0,2025/8/31,2462.942542,2262.942544,1756604072,1.0,5.0,pos1,Right,東海大,1,成瀬,Left,TOK,1,Top,0,1,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,139.0,0.558,-0.02,31.55239242,-13.51656811,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3A",2524220004,遊ゴ,,2460,https://youtu.be/jyucRX8Mm_I&t=2460,609.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Yuto, Naruse",,,,,,,,,,,,,,,
5,6.0,6.0,2025/8/31,2495.964873,2295.964875,1756604105,2.0,1.0,pos1,Right,東海大,2,伊藤,Left,TOK,1,Top,1,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,139.0,0.574,-0.228,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220005,空振り,,2493,https://youtu.be/jyucRX8Mm_I&t=2493,631.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Koichiro, Ito",,,,,,,,,,,,,,,
6,7.0,7.0,2025/8/31,2515.63031,2315.630312,1756604125,2.0,2.0,pos1,Right,東海大,2,伊藤,Left,TOK,1,Top,1,0,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,140.0,0.59,0.264,26.97301001,-48.9909131,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,5,5,2524220006,三邪飛,,2513,https://youtu.be/jyucRX8Mm_I&t=2513,651.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Koichiro, Ito",,,,,,,,,,,,,,,
7,8.0,8.0,2025/8/31,2530.117695,2330.117697,1756604139,3.0,1.0,pos1,Right,東海大,3,青貝,Right,TOK,1,Top,2,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,21.63672073,64.13364321,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2524220007,ファール,,2528,https://youtu.be/jyucRX8Mm_I&t=2528,650.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Naomasa, Aogai",,,,,,,,,,,,,,,
8,9.0,9.0,2025/8/31,2544.752218,2344.752221,1756604154,3.0,2.0,pos1,Right,東海大,3,青貝,Right,TOK,1,Top,2,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,1.23,-0.004,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220008,ボール,,2542,https://youtu.be/jyucRX8Mm_I&t=2542,665.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Naomasa, Aogai",,,,,,,,,,,,,,,
9,10.0,10.0,2025/8/31,2555.554192,2355.554193,1756604165,3.0,3.0,pos1,Right,東海大,3,青貝,Right,TOK,1,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,140.0,0.566,-0.473,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2524220009,ボール,,2553,https://youtu.be/jyucRX8Mm_I&t=2553,676.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Naomasa, Aogai",,,,,,,,,,,,,,,
10,11.0,11.0,2025/8/31,2567.632107,2367.632108,1756604177,3.0,4.0,pos1,Right,東海大,3,青貝,Right,TOK,1,Top,2,2,1,Fastball,InPlay,Undefined,FlyBall,Single,0,0,,138.0,0.53,-0.124,72.9210461,29.57239076,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2524220010,右安,,2565,https://youtu.be/jyucRX8Mm_I&t=2565,668.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Naomasa, Aogai",,,,,,,,,,,,,,,
11,,,2025/8/31,2606.183927,2406.183929,1756604215,,,pos1,Right,東海大,4,竹山,Right,TOK,1,Top,2,0,0,,,,,,0,0,,,,,,,東海大,#bcbcbc,東海大,TOK,#217fc4,東大,東海大土屋球場_120,B,夏季オープン戦,Normal,1,青貝,,,PickOff,,,,1,1,2524220011,牽制,,2604,https://youtu.be/jyucRX8Mm_I&t=2604,706.0,https://youtu.be/1oSJ12NwCAU&t=0,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","成瀬,伊藤,青貝,竹山,石川,鈴木,大山,荒井孝,今泉","pos1,batter8,batter5,batter9,batter4,batter2,batter1,batter6,batter3","近藤,大山,石川,荒井孝,青貝,今泉,竹山,伊藤,成瀬","L,R,R,L,R,L,L,L,R,L","R,L,L,R,R,R,L,R,R,R","Naotaro, Takeyama","Naomasa, Aogai",,,,,,,,,,,,,,
