PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/14/2019,11:05:18 AM,1,1,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Kazuki, Kitamoto",1000073672,Right,MEI_MEI,Windup,1,Top,0,0,0,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,121.33856,0.245352754,1.108600557,933.8410096,70.88089783,8:15,1.435463342,-0.359031741,1.642367932,-132.5090817,-5.215879829,-14.70108206,0.180467922,-0.189345592,111.456601,-9.426197466,0.026195095,0.509515342,,,,,,,,,,,,8.623282442,-2.949344705,0.330110614,15.24,1.431136068,-0.593967046,-33.41097054,-0.330773637,1.252448461,6.194941479,-10.23501382,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,1a1159aa-d694-11e9-a90c-04ea56cad207,119.054315,,,9.881959016,0.37753523,0.171441169,0.189322756,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
2,09/14/2019,11:05:35 AM,1,2,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Kazuki, Kitamoto",1000073672,Right,MEI_MEI,Windup,1,Top,0,1,0,Sinker,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,122.4270894,1.395413326,2.223209162,1021.651852,77.2507697,8:30,1.435694288,-0.344366533,1.607197591,-127.9799214,-4.557681776,-19.63043725,0.55571339,0.096044385,114.1543625,-7.8594863,0.796754643,0.501708399,102.3865744,-57.05736992,-69.54715867,,,,,0.76953707,0.740152348,-34.60834094,0.023671265,11.62588356,-3.218303547,0.28425883,15.24,1.463266367,-1.23612745,-33.73146513,0.343839879,1.758097048,5.108959568,-10.29333043,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,241fb0b0-d694-11e9-a90c-04ea56cad207,120.9068856,0.565854428,0.02134283,8.272726932,0.458561134,0.559403884,-0.095671609,0.50547605,0.565854428,-0.095015141,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
3,09/14/2019,11:06:05 AM,1,3,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Kazuki, Kitamoto",1000073672,Right,MEI_MEI,Windup,1,Top,0,1,1,Sinker,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,123.4618147,0.478385245,1.94182364,1063.878445,93.91454765,9:15,1.43287255,-0.370139404,1.576316614,-123.1044832,0.551220126,-9.754511852,0.339105801,0.089424227,113.4669479,-8.469940031,1.228224891,0.502182687,115.9554703,38.3244616,-23.52037758,3621.950884,30.35179153,20.74327368,-14.24409251,68.92740409,68.00193699,-26.21682043,4.668909302,6.520027889,-0.052801825,0.315966335,15.24,1.435387679,-1.115251411,-33.97975989,-0.18060976,0.983316034,6.18577872,-9.814613291,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,36050c29-d694-11e9-a90c-04ea56cad207,120.7926947,21.71047252,4.585708762,9.994866791,0.772445889,0.389204795,-0.08207013,0.738474016,0.384265866,-0.082808081,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
4,09/14/2019,11:06:39 AM,2,1,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Soma, Ichioka",1000073563,Left,MEI_MEI,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,129.3654091,0.750745995,1.705541635,1914.449252,150.6040447,11:00,1.466927537,-0.311383656,1.746647199,-75.95283657,34.05409834,-19.24360193,0.920580347,-0.019614798,118.3167114,-4.848344595,0.28439281,0.473657799,,,,,,,,,,,,11.51574882,17.7314999,0.269524547,15.24,1.48039448,-0.991664369,-35.64415578,0.192257714,1.914644081,6.688545396,-6.858555886,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,47ea68a1-d694-11e9-a90c-04ea56cad207,128.0671408,,,11.04869765,-0.344405567,0.85264399,0.016293082,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
5,09/14/2019,11:06:51 AM,2,2,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Soma, Ichioka",1000073563,Left,MEI_MEI,Windup,1,Top,1,0,1,Sinker,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,123.036821,0.090931021,2.70431487,1121.370832,65.4142364,8:15,1.444008592,-0.335713133,1.641518124,-131.9926179,-7.174006675,-15.42318242,0.150086016,0.283121965,112.2631348,-9.567992342,1.566357214,0.504538525,,,,,,,,,,,,10.34670503,-3.883935073,0.263374999,15.24,1.435580564,-1.542356202,-33.82977179,-0.421811215,1.530048757,6.738588043,-10.38099807,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,4e630a4f-d694-11e9-a90c-04ea56cad207,120.2286783,,,10.77368619,0.410095884,0.146423271,-0.283715126,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
6,09/14/2019,11:07:06 AM,2,3,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Soma, Ichioka",1000073563,Left,MEI_MEI,Windup,1,Top,1,0,2,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,119.9851569,-0.039109225,2.403321317,942.2288793,64.09599194,8:15,1.407911297,-0.350590226,1.649044443,-132.2718139,-4.918086099,-9.880042655,0.074016838,0.237209755,112.8562798,-9.570180102,1.685289696,0.509636461,,,,,,,,,,,,6.566348825,-2.572374743,0.28632783,15.24,1.395731412,-1.352823188,-33.07977519,-0.498550079,0.958492411,4.7103834,-10.18214051,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,5605a0a3-d694-11e9-a90c-04ea56cad207,119.0260209,,,7.128877138,0.759909903,0.128742932,-0.227509844,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
7,09/14/2019,11:07:29 AM,2,4,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Soma, Ichioka",1000073563,Left,MEI_MEI,Windup,1,Top,1,1,2,Sinker,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,120.3243706,0.732775349,1.564492157,954.0380043,134.3293111,10:30,1.422849222,-0.34449482,1.690006371,-114.3608601,13.67178996,-14.11890373,0.488028392,-0.039996876,110.6435509,-7.640403056,0.525410372,0.51099309,128.701589,-22.87164217,65.95300866,,,,,1.918282408,1.353697115,39.81236871,0.039542847,8.61515722,6.768118846,0.30436753,15.24,1.433151488,-0.85623682,-33.14646289,0.026641654,1.239008812,5.769284056,-8.833277294,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,67c0154a-d694-11e9-a90c-04ea56cad207,118.7100201,0.555412171,0.019258843,9.680819725,0.999779349,0.562559582,0.04541095,0.944194904,0.555412171,0.044863026,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
8,09/14/2019,11:07:52 AM,2,5,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Soma, Ichioka",1000073563,Left,MEI_MEI,Windup,1,Top,1,1,2,Fastball,Fastball,InPlay,Undefined,Popup,Out,1,0,,134.3146745,0.72501784,1.859138087,1859.233216,149.9437509,11:00,1.460946835,-0.308938046,1.79170843,-68.86717565,32.72669164,-18.99290118,0.977596358,0.02751069,122.6346954,-4.370318688,0.452040388,0.455185487,98.60731299,33.25872974,18.54010177,3374.683341,31.74117292,13.58077844,10.79910841,61.50917176,59.93283051,18.94142569,3.663945923,11.56406241,17.12986036,0.264544001,15.24,1.47400067,-1.131836655,-37.01035091,0.216596232,2.070233687,7.297944884,-6.740010205,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,74a7cfba-d694-11e9-a90c-04ea56cad207,133.2643544,13.58109202,3.547800753,11.67997905,0.809867557,1.006039945,-0.024403442,0.765182045,1.002724977,-0.024783639,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
9,09/14/2019,11:08:29 AM,3,1,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,0,0,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,118.904124,1.192841072,2.691829128,1010.274605,50.32494519,7:45,1.414640799,-0.366709647,1.621815611,-137.2727269,-2.032101999,-2.296551693,0.383487268,0.380743593,107.2992714,-8.906302381,2.521842135,0.525180079,,,,,,,,,,,,3.561188467,-2.117688993,0.292703915,15.24,1.436031114,-1.527469358,-32.65867812,0.202160682,0.485935901,6.793597581,-10.09561564,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,868d2d38-d694-11e9-a90c-04ea56cad207,115.5032386,,,11.60485261,-0.179780321,0.28513085,-0.407638812,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
10,09/14/2019,11:08:44 AM,3,2,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,1,0,Sinker,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,120.5172805,2.788569322,1.42186788,964.831506,114.8343987,9:45,1.413635055,-0.364131751,1.643200326,-124.2051648,3.288632051,-7.365064216,0.968936739,-0.031581443,111.4119347,-6.256869197,0.884009283,0.509916644,,,,,,,,,,,,4.783102425,-0.013120425,0.326109524,15.24,1.47904877,-0.797156642,-33.18257626,1.170192432,0.696349457,5.230923797,-9.808560141,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,94a601d3-d694-11e9-a90c-04ea56cad207,118.9606198,,,9.105345862,-0.579796863,0.852366866,0.016307203,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
