PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/15/2019,1:51:53 PM,1,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,127.4372164,1.506512263,-5.672652441,2483.243143,52.79060546,7:45,1.343591745,0.914801733,1.779767717,-124.9642661,-12.66788438,-16.5445862,0.522850894,-0.862631147,119.2758179,-7.562944147,-6.873023091,0.478561263,,,,,,,,,,,,5.549466008,-7.674954456,-0.77254903,15.24,1.372195185,3.534391356,-34.99340463,0.48333493,0.903950943,5.445007774,-11.05682115,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,87639965-d774-11e9-a90d-04ea56cad207,126.7549313,,,8.161398485,-0.179344576,0.439045371,0.93657072,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
2,09/15/2019,1:52:06 PM,1,2,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,148.2813423,-1.49151954,-5.55327732,2156.581278,227.2480053,1:30,1.469785673,0.791385376,1.94327655,-48.89443361,32.09876027,34.80419275,0.560574298,-0.422523854,137.7945786,-5.099321462,-2.990566213,0.406423604,,,,,,,,,,,,-22.15469827,18.38133306,-0.671192192,15.24,1.434111496,3.833618454,-40.7619677,-1.248383472,-4.910048524,7.158042314,-5.732875843,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,8dbfa0e8-d774-11e9-a90d-04ea56cad207,149.2531423,,,10.48676377,-0.213863128,0.501960252,0.455600658,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
3,09/15/2019,1:52:16 PM,1,3,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,119.902811,1.963581283,-2.310306193,2113.042648,60.00145075,8:00,1.436335635,0.833927125,1.697336182,-145.2834529,-17.57436862,-30.23349101,0.543162815,-0.126457171,111.9765083,-8.58181537,-4.516252642,0.510346987,,,,,,,,,,,,14.64693981,-10.55009842,-0.7709186,15.24,1.476429383,1.437778729,-33.02885327,0.627518108,2.116149773,5.092392191,-11.33089934,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,956e242f-d774-11e9-a90d-04ea56cad207,118.8603078,,,7.926302691,-0.23923596,0.438671711,0.180065716,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
4,09/15/2019,1:52:31 PM,1,4,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,,,130.2549935,1.425066592,-3.835310876,2539.161603,42.69802824,7:30,1.338701048,0.906842713,1.738603766,-124.2113354,-17.55093137,-16.10188144,0.502237939,-0.344870815,122.7687424,-7.560125939,-5.00302272,0.466397563,99.09947154,-41.26217694,-29.8359072,,,,,0.862554236,0.862554236,4.821138146,0.027141113,6.564585087,-10.0908861,-0.807653556,15.24,1.365719983,2.465458421,-35.87967632,0.430802926,1.133675914,5.172741426,-11.5493031,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,9c08267a-d774-11e9-a90d-04ea56cad207,130.060714,0.494412971,0.028284375,7.48625112,0.420994698,0.500797743,0.345816812,0.373205334,0.494412971,0.3500027,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
5,09/15/2019,1:53:00 PM,2,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,129.8335603,1.324430943,-4.340174219,2343.568956,49.53011267,7:45,1.394497613,0.841625933,1.802053826,-120.5338642,-12.68536153,-14.74961385,0.564918633,-0.535842195,120.9371155,-7.476743316,-5.419123855,0.468987989,,,,,,,,,,,,5.262448521,-7.643237498,-0.734510012,15.24,1.418571042,2.76327379,-35.71955997,0.400660601,0.889243053,5.954728082,-11.09819629,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,b1964db4-d774-11e9-a90d-04ea56cad207,129.3423317,,,8.896444794,-0.201667563,0.479233471,0.596202104,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
6,09/15/2019,1:53:11 PM,2,2,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,148.3383031,-0.295177236,-4.903951817,2317.482037,228.4908124,1:30,1.469717387,0.784906246,1.946604629,-51.21647206,29.93007272,33.90507325,0.87450172,-0.254120702,136.9447449,-4.091263424,-2.39530806,0.406808179,,,,,,,,,,,,-21.56235194,16.56437857,-0.679288619,15.24,1.460335252,3.376639643,-40.81710445,-0.400569298,-4.760478808,7.727450218,-6.149610483,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,b8292965-d774-11e9-a90d-04ea56cad207,149.1120462,,,11.39355826,-0.431519308,0.810950379,0.289077732,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
7,09/15/2019,1:53:24 PM,2,3,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,1,1,Splitter,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,141.9195931,0.312384513,-4.780107559,1701.634659,244.3483518,2:15,1.401211434,0.821599562,1.787088711,-73.63476965,16.451572,34.43417301,0.753612865,-0.190509491,131.6707306,-5.07689598,-2.261240244,0.428631551,,,,,,,,,,,,-21.24364987,8.644853918,-0.705890096,15.24,1.403725229,3.129559584,-39.04191794,-0.075575503,-4.310520796,6.721543327,-8.052534166,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,bff6a961-d774-11e9-a90d-04ea56cad207,141.5201468,,,10.24886252,-0.694053732,0.649352047,0.233019932,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
8,09/15/2019,1:53:40 PM,2,4,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,1,2,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,,,134.0427163,0.839126921,-3.89266522,1389.402906,265.6593096,2:45,1.37312125,0.830418562,2.076610775,-94.15395289,2.718988763,37.02108413,0.66546404,0.116573734,125.0962509,-6.161197818,-1.135362634,0.444483766,117.022907,-21.41302038,11.97392738,,,,,1.524634017,1.516176901,8.068641119,0.051765747,-22.73624113,1.037979806,-0.755702353,15.24,1.385232791,2.401767216,-36.96668658,0.253737348,-4.146166753,5.855651345,-9.61736465,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,c5e2c59e-d774-11e9-a90d-04ea56cad207,136.4729257,0.616390548,0.051558483,8.94646535,-0.011760729,0.616725504,-0.108116077,-0.014756572,0.616390548,-0.108061223,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
9,09/15/2019,1:54:13 PM,3,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Mitsuki, Takekuma",1000073906,Left,TOK,Windup,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,128.081016,1.945156573,-2.59357686,2417.452664,27.70689213,7:00,1.303384659,0.895248816,1.695714654,-127.9386491,-16.96275693,-8.85345265,0.578576904,0.067802576,120.1724533,-7.322717019,-3.23702652,0.475739249,,,,,,,,,,,,3.285013199,-10.0478636,-0.82640415,15.24,1.344324518,1.632279227,-35.30103211,0.719879273,0.547653646,5.181376144,-11.48175716,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,d7ca877f-d774-11e9-a90d-04ea56cad207,127.5068225,,,7.908562699,-0.333030545,0.476870898,-0.02432024,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
10,09/15/2019,1:54:26 PM,3,2,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Mitsuki, Takekuma",1000073906,Left,TOK,Windup,1,Top,2,0,1,Splitter,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,,,132.228502,-0.096395854,-3.720859702,1765.753651,269.908321,3:00,1.366512399,0.868967461,1.862069835,-102.6440551,-0.018892596,48.49567658,0.312849839,0.303899842,123.249559,-7.627947353,-0.146347847,0.457489983,,,,,,,,,,,,-28.45003351,0.046565343,-0.785066003,15.24,1.357683351,2.199807637,-36.43501428,-0.420523914,-5.020761798,5.944923488,-9.798432312,MEI_MEI,TOK,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-2,e0bf9a39-d774-11e9-a90d-04ea56cad207,132.5930672,,,8.978942982,-0.429172427,0.194118219,-0.303319139,,,,52b1e04f-d772-11e9-a90d-04ea56cad207,19A
