PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/15/2019,11:01:37 AM,1,1,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Takuya, Hiruma",1000074108,Left,WAS_EDA,Windup,1,Top,0,0,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,141.266616,-0.846019291,1.849168076,2020.256052,147.3042199,11:00,1.656891025,-0.520190452,1.871231888,-48.85208416,41.50788402,-26.69780464,0.929953574,-0.266182963,129.8683136,-4.463332154,-0.131739271,0.429282016,85.02854578,-19.37655024,14.60342238,,,,,2.713758964,2.632568872,18.78295125,0.109924927,15.73165901,23.11542449,0.478965984,15.24,1.634196089,-1.159291547,-38.9585766,-0.75582855,3.141976721,7.573068634,-5.189964272,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,c0451440-d75c-11e9-a90d-04ea56cad207,141.3057099,0.912593984,0.106237914,11.39830235,0.279384906,0.918004397,0.266561805,0.210806518,0.912593984,0.266750812,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
2,09/15/2019,11:02:30 AM,2,1,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Stretch,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,141.0030011,-1.811351902,2.134150541,2024.301527,159.1041058,11:15,1.715908683,-0.523341188,1.871399602,-41.50944013,50.02999774,-19.1333495,0.790141358,-0.113334946,128.5436234,-4.895550946,0.708649586,0.432074644,,,,,,,,,,,,11.97511571,28.56675153,0.475022352,15.24,1.67128126,-1.37755485,-38.84096798,-1.380744816,2.355697247,8.209678959,-4.187111986,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,dd711242-d75c-11e9-a90d-04ea56cad207,140.3924087,,,12.45937774,-0.503437386,0.708329883,0.10255086,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
3,09/15/2019,11:02:52 AM,2,2,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Stretch,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,Bunt,Sacrifice,1,0,,139.9559454,-1.974311066,2.2971575,2019.676682,160.382494,11:15,1.699240645,-0.421924573,1.866440337,-50.53644071,41.65970161,-14.87959354,0.636993121,0.076796158,128.928653,-5.704944907,1.194552891,0.433621727,,,,,,,,,,,,9.587783404,23.91792232,0.369370664,15.24,1.650042437,-1.492611536,-38.56850901,-1.515846674,1.878176065,7.365789103,-5.121305398,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,ed349932-d75c-11e9-a90d-04ea56cad207,139.8915142,,,11.02729241,0.976087478,0.690698156,-0.065246119,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
4,09/15/2019,11:03:29 AM,3,1,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,144.2856777,-0.918923756,2.870861754,2059.903427,153.9538088,11:15,1.708498464,-0.498004071,1.84283229,-43.16613793,44.50580635,-21.7916517,1.017225409,0.094738101,131.5387573,-4.122658645,1.252244576,0.42284868,121.7607487,40.18287762,-134.5452649,4873.769341,-26.32443214,17.51247385,-20.76408588,67.69276704,25.71955851,-146.9604248,3.487903442,13.8881721,24.80915117,0.431357923,15.24,1.683907272,-1.909682636,-39.73509363,-0.802451581,2.863124428,8.486749479,-4.692104599,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,0142fe9b-d75d-11e9-a90d-04ea56cad207,143.4555738,17.66438994,1.092498262,12.74692038,-0.180801621,0.972306873,-0.107749169,-0.236557541,0.968143556,-0.10889548,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
5,09/15/2019,11:03:54 AM,3,2,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.9447538,-2.037541057,2.614346695,2019.265117,162.0852453,11:30,1.665169897,-0.444629982,1.915817759,-47.9763266,39.63443219,-12.83947452,0.612295814,0.161762463,131.0844452,-5.610750524,1.65478793,0.422701103,,,,,,,,,,,,8.986658391,23.2348749,0.386743791,15.24,1.616637772,-1.763388305,-39.63557539,-1.584947546,1.836315866,8.741402399,-5.058881969,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,12295261-d75d-11e9-a90d-04ea56cad207,143.5056582,,,12.86030866,-0.689660989,0.499219514,-0.193396171,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
6,09/15/2019,11:04:19 AM,3,3,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,145.2370888,-3.219639722,3.298433481,2090.124578,161.5178069,11:30,1.653950512,-0.447942516,1.908774851,-45.68003867,40.14444816,-13.44524469,0.290015658,0.345448583,133.2868607,-6.598347599,2.298745361,0.418369742,,,,,,,,,,,,9.627336305,24.16342984,0.374325415,15.24,1.578488542,-2.252711713,-39.94649578,-2.418972006,2.013480418,8.279621489,-4.753061835,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,1c13e98b-d75d-11e9-a90d-04ea56cad207,144.9913649,,,11.95022814,-0.043430585,0.234520253,-0.364384415,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
7,09/15/2019,11:04:45 AM,3,4,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,144.0402113,-2.730155889,3.35705279,2076.5788,158.1272918,11:15,1.683239267,-0.467561668,1.902241566,-46.71710554,40.43294716,-16.26446752,0.446715857,0.314547415,132.2945618,-6.186500083,2.148995978,0.421588239,,,,,,,,,,,,11.16252903,23.92757049,0.392413178,15.24,1.618449857,-2.265207459,-39.63488727,-2.064843886,2.301628339,8.03720091,-4.872967483,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,2dfbad97-d75d-11e9-a90d-04ea56cad207,143.8844692,,,11.74564949,-0.398460528,0.355162286,-0.345182868,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
8,09/15/2019,11:05:10 AM,3,5,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,124.529099,-0.1046998,2.586939963,2263.17764,315.5820962,4:30,1.615738068,-0.502505645,1.737962382,-127.264479,-10.08450671,9.773694405,0.313331452,0.330340773,116.9671783,-9.325945298,3.300804029,0.488856457,,,,,,,,,,,,-3.712448766,-5.318337128,0.435713517,15.24,1.603470219,-1.586013014,-34.33489264,-0.514860982,-0.582468807,5.211884307,-10.64107646,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,3f24c158-d75d-11e9-a90d-04ea56cad207,124.0855044,,,7.561920641,-0.249716635,0.19861048,-0.369847232,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
9,09/15/2019,11:05:36 AM,3,6,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,143.3067817,-2.252850704,3.073479937,1991.443273,156.1907315,11:15,1.627756776,-0.471659417,1.943672202,-54.30123877,33.49068597,-14.81404673,0.451857762,0.242764845,131.2257568,-6.289232913,1.967744283,0.423137918,,,,,,,,,,,,10.32070349,19.99115773,0.405037279,15.24,1.575208722,-2.066048592,-39.45631924,-1.746933891,2.100000944,8.291873339,-5.738957313,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,4ed53496-d75d-11e9-a90d-04ea56cad207,143.3575138,,,12.08102489,-0.422779743,0.355755334,-0.271617521,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
10,09/15/2019,11:06:11 AM,4,1,"Shota, Suzuki",1000073774,Left,HOS_HOS,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,142.7595133,-2.4606411,3.049438888,2047.845153,162.1323109,11:30,1.630521222,-0.484015404,1.940941399,-51.13757826,37.65440209,-12.16550774,0.427714072,0.250279856,130.2945145,-6.26645326,2.14010536,0.425541119,,,,,,,,,,,,8.930081448,22.49767314,0.417628245,15.24,1.573461095,-2.050287096,-39.29177056,-1.871222044,1.795702053,8.4860875,-5.2827139,HOS_HOS,WAS_EDA,TokyoBig6Jingu,Team Exclusive,Team,20190915-TokyoBig6Jingu-1,63a96fc6-d75d-11e9-a90d-04ea56cad207,142.5479168,,,12.46499888,-0.401802477,0.334433659,-0.281031314,,,,04c6c0bb-d759-11e9-a90d-04ea56cad207,19A
