PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/22/2019,1:44:44 PM,1,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.9142988,2.386450072,-0.296412367,1959.228573,78.2027133,8:30,1.399966771,0.295596279,1.718097613,-146.0168536,-4.294026262,-19.92121972,0.618704392,0.012108738,105.499855,-8.287227919,-1.760762331,0.537618945,,,,,,,,,,,,10.43449238,-3.86284883,-0.2864046,15.24,1.450544997,0.227215437,-31.38493126,0.832682795,1.35316815,4.890419141,-10.30759282,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,b2d9c59e-dcf3-11e9-a916-04ea56cad207,112.8308454,,,8.414443806,-0.44645891,0.485635091,0.015583333,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
2,09/22/2019,1:44:54 PM,1,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,0,1,Sinker,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,118.2845741,1.596058675,-1.074533373,1237.498723,229.7966524,1:45,1.43028671,0.271052213,1.831591709,-104.8786111,25.33643675,30.12293179,0.832318937,0.26886809,108.445015,-6.166605892,1.162187088,0.515329789,,,,,,,,,,,,-17.07312004,12.59680855,-0.247370231,15.24,1.461514598,0.516647793,-32.60335731,0.578294921,-2.373968013,5.61805755,-8.055100166,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,b2d9c5a3-dcf3-11e9-a916-04ea56cad207,117.7110296,,,9.839559105,-0.476348069,0.730170991,-0.288442312,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
3,09/22/2019,1:45:05 PM,1,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,0,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,118.8491299,0.789362199,-0.231916145,1227.026079,237.4675692,2:00,1.446901394,0.27774732,1.878374842,-108.7668383,18.71348309,29.52553406,0.581468563,0.507713734,109.8683624,-7.246095927,1.960327506,0.509889695,93.6585231,29.75436074,-143.8399557,2960.237144,-27.59533461,4.947404103,-19.04265277,42.94961726,24.14299772,-146.027154,2.127555542,-16.21453369,9.653004845,-0.274230196,15.24,1.458360306,0.041505271,-32.79339224,0.115738611,-2.293156317,5.398641418,-8.44146433,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,bc8b2d24-dcf3-11e9-a916-04ea56cad207,118.9669071,6.885323619,1.113971606,8.980767508,-0.110267221,0.511036506,-0.526666279,-0.08809726,0.513974924,-0.525875444,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
4,09/22/2019,1:45:20 PM,1,4,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,1,2,ChangeUp,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,120.2392417,0.584938308,-0.359134353,1250.978345,247.3209502,2:15,1.453017363,0.274271653,1.939427834,-110.0154939,13.3728034,32.27920052,0.516918715,0.496342238,111.4422501,-7.560752967,2.044384507,0.501639407,,,,,,,,,,,,-17.91427077,6.941364063,-0.268209087,15.24,1.459620295,0.110918269,-33.19135921,0.007827739,-2.599595773,5.441917775,-8.799366985,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,c57de0db-dcf3-11e9-a916-04ea56cad207,120.9235143,,,8.796991626,0.064099297,0.467396312,-0.509669074,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
5,09/22/2019,1:45:36 PM,1,5,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,1,2,Fastball,Other,BallCalled,Undefined,Undefined,Undefined,0,0,,128.1578779,1.52073978,1.018500567,1828.04925,243.3185629,2:00,1.407504915,0.299862589,1.827072163,-90.88092536,19.05371449,38.12037181,0.928341721,0.968734821,118.7006561,-5.165632204,3.828525259,0.473502132,,,,,,,,,,,,-19.94323279,9.332264732,-0.326817794,15.24,1.437884506,-0.760106449,-35.35103038,0.624831331,-3.29477278,5.947266774,-8.264889337,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,cd659e1f-dcf3-11e9-a916-04ea56cad207,128.1092436,,,9.457221771,-0.576487571,0.832794317,-1.037967756,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
6,09/22/2019,1:45:48 PM,1,6,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,2,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,127.0947868,-0.480121226,-1.48911658,1849.727458,245.9862211,2:15,1.431248168,0.265757084,1.919568269,-91.99928079,18.2920291,41.2907539,0.376389076,0.260427938,118.1909454,-7.266365254,1.574685301,0.474269621,97.68685006,30.8386886,-143.7934561,2438.437632,-27.77040599,6.181636448,-18.78643227,46.00517641,24.16217774,-146.967829,2.229024048,-23.45487498,10.27967931,-0.234902836,15.24,1.415098838,0.77835985,-35.08101188,-0.591747703,-3.821375962,5.769069908,-8.131837432,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,d55e0896-dcf3-11e9-a916-04ea56cad207,127.9019302,7.554337899,1.096662764,8.903841376,0.273346189,0.356072449,-0.264831076,0.275592032,0.356361877,-0.264768008,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
7,09/22/2019,1:46:05 PM,1,7,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,2,2,Fastball,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,127.3388119,1.140996691,-1.718883753,1890.426982,218.1622009,1:15,1.429882657,0.243120356,1.955207685,-75.72045348,33.65947339,26.53227428,0.992545369,0.026706844,117.8218323,-4.479711352,0.253536611,0.472306013,141.0962016,14.42356533,-2.38835092,1441.199497,33.33870663,5.704014706,-3.557315577,63.95406482,63.87184098,-9.560007628,2.110501099,-15.5969535,17.74439001,-0.207249473,15.24,1.450452059,0.970680637,-35.14551293,0.460551527,-2.551682471,5.761059209,-6.903644041,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,e4ded6fa-dcf3-11e9-a916-04ea56cad207,128.4336815,5.703956283,2.107353756,9.516979616,0.218811472,0.975701644,-0.027704307,0.192475578,0.973597102,-0.027835291,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
8,09/22/2019,1:47:17 PM,2,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kento, Nakamura",1000073422,Right,KEI_KEI,Stretch,1,Top,0,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,111.6117119,2.65354062,-0.967803376,1909.125608,109.3060921,9:45,1.39990359,0.263893891,1.747220261,-140.1346773,7.392532601,-21.49852077,0.752296864,-0.225786896,102.9819397,-7.626874501,-2.551837062,0.548517799,,,,,,,,,,,,10.86255648,2.162068491,-0.237768385,15.24,1.456915564,0.586562699,-30.73890376,0.986204134,1.347755627,4.814211723,-9.53839455,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,0d138268-dcf4-11e9-a916-04ea56cad207,110.5889365,,,8.629772248,-0.300267374,0.65075512,0.258937361,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
9,09/22/2019,1:47:47 PM,2,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kento, Nakamura",1000073422,Right,KEI_KEI,Stretch,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,126.9119427,-0.572313427,-3.395592615,1908.272947,194.9520233,12:30,1.408104331,0.214514993,1.933943653,-69.84081101,41.60195855,11.13786503,0.548847022,-0.627850426,116.7850113,-5.754383175,-2.567583053,0.47673892,,,,,,,,,,,,-8.380655846,23.16727318,-0.140035336,15.24,1.391432914,2.03933218,-34.96669952,-0.571710666,-1.346661036,6.177938395,-6.083974271,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,1ef8e9f7-dcf4-11e9-a916-04ea56cad207,127.2394542,,,10.12693145,-0.330591954,0.470058717,0.661737868,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
10,09/22/2019,1:48:22 PM,2,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kento, Nakamura",1000073422,Right,KEI_KEI,Stretch,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,111.4654109,3.619241333,-1.085946764,1874.051306,106.119635,9:30,1.40748787,0.259274782,1.70745242,-144.2704856,5.040627803,-17.92698279,0.996018316,-0.228985164,102.3070015,-6.96442393,-2.405518166,0.551824181,,,,,,,,,,,,8.809399316,0.164424701,-0.229598655,15.24,1.490766636,0.638223617,-30.65704047,1.479935936,1.084298381,4.913233564,-9.786411908,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,30de5219-dcf4-11e9-a916-04ea56cad207,109.9263174,,,9.158409356,-0.402732578,0.889409495,0.264611711,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
