PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/22/2019,10:30:36 AM,1,1,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.3514001,-2.653593529,-1.018540345,2157.660897,212.4737437,1:00,1.753893986,0.352287015,2.165827801,-37.79273171,45.06951103,28.73300113,0.64160423,0.357959899,133.9374435,-5.483175156,1.144314679,0.411086298,,,,,,,,,,,,-16.7691045,26.94788869,-0.335040383,15.24,1.70445863,0.62060831,-39.85806573,-1.963368541,-3.531172994,7.348981644,-4.132068103,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,93ead9e8-dcd8-11e9-a916-04ea56cad207,147.5602574,,,10.41395658,-0.587855868,0.541860807,-0.379729487,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
2,09/22/2019,10:30:48 AM,1,2,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Top,0,0,1,Splitter,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,127.0149919,-0.754348806,-1.505335051,779.2904858,256.8076412,2:30,1.757827429,0.334422159,1.962907426,-104.4293358,5.434587413,23.62506118,0.502199082,0.149017714,118.3908829,-8.464541079,0.252598629,0.473349815,,,,,,,,,,,,-13.89610648,3.450020154,-0.303218154,15.24,1.735765905,0.847242479,-35.06315719,-0.789744586,-2.260871167,5.786195614,-9.245338016,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,9b353d91-dcd8-11e9-a916-04ea56cad207,128.1504673,,,8.624108995,-0.334889744,0.385281272,-0.15303561,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
3,09/22/2019,10:31:06 AM,1,3,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Top,0,0,2,Splitter,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,126.6127506,-1.29051053,-0.894573154,714.7055802,222.1820385,1:30,1.719253214,0.336867533,1.985887679,-88.82541657,21.38018403,19.4680533,0.470013607,0.281367887,117.8804581,-7.86016174,0.55610947,0.474085304,103.3154573,-37.42336903,9.236866851,,,,,0.97960389,0.970307278,-10.93003414,0.026392212,-11.26403351,12.56138657,-0.318949049,15.24,1.687159922,0.485861591,-34.95819398,-1.061344209,-1.822004461,5.740742871,-7.774793263,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,a5d0362d-dcd8-11e9-a916-04ea56cad207,127.9516566,0.46133424,0.025953189,8.73229251,0.401224243,0.465788531,-0.281665497,0.369049237,0.46133424,-0.281980476,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
4,09/22/2019,10:31:40 AM,2,1,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.7495941,-1.50082622,-2.519611841,2185.230419,207.4568325,1:00,1.719971518,0.304355859,2.218784124,-42.58129011,38.9752555,20.29177082,0.880070828,-0.187520859,134.662294,-4.701097381,-0.991553608,0.407834603,,,,,,,,,,,,-12.92863668,22.89725807,-0.261911399,15.24,1.692704135,1.699641894,-39.98259849,-1.173950215,-2.750782637,7.06364165,-4.934877245,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,b7b594bc-dcd8-11e9-a916-04ea56cad207,148.7367661,,,10.0873001,-0.646482404,0.789065168,0.205077462,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
5,09/22/2019,10:31:53 AM,2,2,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,145.3314293,-3.106371265,-3.062964289,2090.814164,193.6945103,12:30,1.743223025,0.316815805,2.188037005,-31.33516036,50.43488248,12.30831377,0.570091017,-0.40663314,134.720137,-5.455493603,-2.137117522,0.408368065,,,,,,,,,,,,-8.799115091,30.31332165,-0.263136098,15.24,1.687034235,2.106739758,-40.06621581,-2.272181524,-1.872650968,7.410224505,-3.355288636,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,be1d8637-dcd8-11e9-a916-04ea56cad207,148.5424673,,,10.61129223,-0.595571372,0.4703475,0.444360416,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
6,09/22/2019,10:32:09 AM,2,3,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,141.6710177,-2.352127994,-1.84192036,2047.138761,201.6872527,12:45,1.691767078,0.334960642,2.254928745,-42.12744932,43.08576336,17.16666759,0.623086522,2.43e-05,131.216391,-5.529234578,-0.541801253,0.416877187,,,,,,,,,,,,-10.90943368,25.96263979,-0.305143145,15.24,1.651520998,1.210590449,-39.12489045,-1.724747905,-2.208710625,7.248666781,-4.550285639,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,c56326c7-dcd8-11e9-a916-04ea56cad207,145.510481,,,10.45462675,-0.618512957,0.519193445,0.00900581,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
7,09/22/2019,10:32:26 AM,2,4,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,127.5887006,-2.420452048,-2.805651052,2276.861145,49.74558627,7:45,1.747600392,0.248079095,1.95596054,-118.3009774,-8.330097262,-9.716252653,-0.114750689,-0.635754466,119.1727386,-11.09129007,-3.528525105,0.473580172,,,,,,,,,,,,3.459017289,-2.953861284,-0.186574564,15.24,1.688386353,1.753066813,-35.14793188,-1.859708635,0.561837301,6.215624018,-10.2864364,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,cfe3e6e6-dcd8-11e9-a916-04ea56cad207,128.088133,,,8.415961913,1.188666343,0.03078173,0.589340652,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
8,09/22/2019,10:32:55 AM,2,5,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,2,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,144.4230308,-2.087684995,-1.644579109,2139.314164,206.7787232,1:00,1.732348792,0.290940858,2.202190687,-41.57095083,41.72151146,21.09513151,0.740224739,0.048083453,132.4027359,-5.230641885,-0.04364762,0.412152094,151.3446675,-3.333957356,-52.01432862,,,,,8.535591528,8.282524413,-50.11827493,0.202158813,-13.09771706,25.08691506,-0.263067285,15.24,1.694436619,1.082584672,-39.86546768,-1.576000854,-2.723951597,8.368252188,-4.589287152,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,e472fd5b-dcd8-11e9-a916-04ea56cad207,147.1786773,0.749061582,0.196452034,12.02029486,0.551833639,0.751184649,-0.048189478,0.528532459,0.749061582,-0.048166616,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
9,09/22/2019,10:33:35 AM,2,6,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,2,2,Splitter,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,121.8821435,-1.467435035,-2.116765177,838.5096098,266.9154983,3:00,1.728186388,0.292696295,2.018282599,-117.762439,1.038191126,21.33900646,0.140666564,-0.084921296,113.9240273,-10.16213673,-0.522808253,0.492225413,,,,,,,,,,,,-13.13473838,1.505838945,-0.250100736,15.24,1.691927526,1.18135233,-33.63160565,-1.202728578,-1.962274661,5.432733602,-9.581683996,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,fe95e141-dcd8-11e9-a916-04ea56cad207,123.2362214,,,7.958116295,0.255854495,0.10895911,0.08649625,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
10,09/22/2019,10:34:00 AM,2,7,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,3,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,142.2836171,-1.969711393,-1.715986757,2065.857733,199.8159659,12:45,1.718925312,0.37559767,2.219083524,-42.08414449,43.04452787,15.53937569,0.754829896,0.057972868,131.231813,-5.145240729,-0.539339729,0.416670343,123.4462227,10.06039493,168.3855341,2127.200122,-33.2479586,1.438030675,4.323316488,40.61437163,17.27308636,173.4590229,1.386327515,-9.925826351,25.67323634,-0.346766813,15.24,1.68367267,1.132559814,-39.29225391,-1.472659021,-2.018557528,7.625630546,-4.585633368,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,0e1dcc70-dcd9-11e9-a916-04ea56cad207,145.5827155,2.536329932,0.554038303,11.0518041,-3.388603885,0.380956408,-0.033033361,0.222561317,0.735900793,-0.056035565,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
11,09/22/2019,10:34:25 AM,2,8,"Syu, Tezuka",1000074135,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,Windup,1,Top,1,3,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,144.4236469,-2.699546049,-1.999824185,2281.175706,210.3160111,1:00,1.753734991,0.379187366,2.145212626,-38.01361275,46.54365575,27.26185448,0.625190916,0.09790797,131.4797745,-5.571333189,0.068924095,0.415269593,150.407428,22.28548944,-21.8167325,1553.811687,30.32366791,10.38125556,-14.30385082,88.58653165,86.74764243,-29.56558845,3.177810669,-16.8627225,28.25156404,-0.343460674,15.24,1.702433946,1.30667887,-39.81345687,-1.994835731,-3.472773058,8.907819452,-3.9884157,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,1eeea90c-dcd9-11e9-a916-04ea56cad207,146.0737819,11.61387101,3.091073725,12.94387247,0.408630274,0.622929819,-0.097936549,0.347940396,0.616997829,-0.098018124,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
12,09/22/2019,10:35:03 AM,3,1,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Fukuda",1000073709,Left,HOS_HOS,Windup,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,123.3484324,0.45778923,-0.261042133,2196.864081,344.4485,5:30,1.768793603,0.304028466,1.913132734,-138.6364293,-20.59265125,5.699898703,0.511031592,0.287697236,114.5027458,-9.776038046,0.163657869,0.490654979,,,,,,,,,,,,-3.29311659,-11.56608585,-0.298501725,15.24,1.770898712,0.137235981,-34.03792891,-0.162029292,-0.500619618,5.946488696,-11.56492649,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,333b013d-dcd9-11e9-a916-04ea56cad207,123.6306622,,,8.84568661,-0.261841036,0.388421514,-0.289805813,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
13,09/22/2019,10:35:17 AM,3,2,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Fukuda",1000073709,Left,HOS_HOS,Windup,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.9113167,-2.174717298,0.011518119,2256.089562,206.3282633,1:00,1.733180831,0.350020353,2.185126115,-36.14325923,48.57246344,24.07524198,0.77088056,0.593953665,130.8262527,-4.914558897,1.844963267,0.415658504,,,,,,,,,,,,-13.621258,29.17846308,-0.351128941,15.24,1.693284926,-0.078991105,-39.71620035,-1.614791694,-2.785120385,9.041846406,-3.840568721,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,3a8303b8-dcd9-11e9-a916-04ea56cad207,145.9371081,,,13.0850639,-0.594613952,0.680706349,-0.628262597,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
14,09/22/2019,10:35:36 AM,3,3,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Fukuda",1000073709,Left,HOS_HOS,Windup,1,Top,2,1,1,Splitter,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,122.4110777,-1.722087553,-1.693771682,917.8708918,258.6334375,2:30,1.696448894,0.308967243,2.024530794,-113.6561023,6.908736326,34.93090566,0.079127281,0.185631984,111.5676659,-10.22503743,0.952771896,0.495866758,,,,,,,,,,,,-20.85813508,5.288198032,-0.275921822,15.24,1.655520319,0.89873331,-33.72929899,-1.335531072,-3.04867531,7.01451184,-9.033714226,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,46b33478-dcd9-11e9-a916-04ea56cad207,122.3312494,,,10.84341184,0.696996221,0.126581194,-0.181341084,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
15,09/22/2019,10:35:58 AM,3,4,"Syu, Tezuka",1000074135,Right,RIK,"Koki, Fukuda",1000073709,Left,HOS_HOS,Windup,1,Top,2,1,2,Splitter,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,123.1525019,-1.80892031,-1.846932499,765.5959127,251.5774611,2:30,1.746020651,0.335958021,1.987111759,-106.8978035,11.18230612,33.90446008,0.170800808,0.158384006,113.6794098,-9.735989884,0.696407975,0.49073048,,,,,,,,,,,,-20.0495141,7.479748921,-0.298632824,15.24,1.702068485,0.994585973,-33.95265064,-1.388960824,-3.016453917,6.22276556,-8.681320088,RIK,HOS_HOS,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-1,4fd32cee-dcd9-11e9-a916-04ea56cad207,123.6116411,,,9.473092097,0.511797083,0.184495504,-0.157421835,,,,85f31f67-dcd4-11e9-a916-04ea56cad207,19A
