PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/29/2019,1:47:21 PM,1,1,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Kazuki, Kitamoto",1000073672,Right,MEI_MEI,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.0941294,-1.824377782,-4.069391606,2196.719046,204.5148233,12:45,1.670746478,0.735257927,2.003327332,-35.02501447,49.85864823,22.77387141,0.809418979,-0.175650997,131.8185928,-4.461480374,-2.355295875,0.4160703,,,,,,,,,,,,-15.89763652,29.11357827,-0.651283063,15.24,1.630752131,2.780089481,-40.17463834,-1.40298642,-3.312367736,9.576239777,-3.740661687,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,347a5a5d-e274-11e9-a91d-04ea56cad207,145.7926703,,,14.27553656,-0.612413158,0.726021733,0.217395293,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
2,09/29/2019,1:47:34 PM,1,2,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Kazuki, Kitamoto",1000073672,Right,MEI_MEI,Windup,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,146.7008503,-2.448728346,-3.19002817,2099.311641,205.8900014,12:45,1.681951002,0.708198131,1.977337157,-37.5689129,46.61630486,22.66402681,0.61964884,0.041374484,132.8236084,-5.266275126,-1.486411152,0.414354996,128.6192736,13.08111774,8.937204415,2616.175302,32.75896336,3.73631203,7.139804144,53.22690409,45.64907447,14.47635167,1.825175171,-15.02308952,27.6763015,-0.641258461,15.24,1.627591247,2.169975484,-40.36420245,-1.860922828,-3.167730215,9.46675239,-3.970895884,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,3ce78f84-e274-11e9-a91d-04ea56cad207,146.3962075,3.946139982,1.524888609,13.87724187,0.177598146,0.596094038,-0.03484842,0.13193391,0.591838026,-0.033690983,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
3,09/29/2019,1:48:01 PM,2,1,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.4400755,-1.973824057,-2.923821404,2110.06064,208.9400733,1:00,1.646897848,0.741212448,1.976384303,-40.67114219,43.1022589,23.87662621,0.686957039,0.161160889,133.6333282,-5.013141658,-1.135791127,0.413340284,,,,,,,,,,,,-15.27560817,25.18974349,-0.679995915,15.24,1.60249776,1.975597694,-40.33523365,-1.535853577,-3.243534932,8.781232563,-4.458004495,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,4f526e08-e274-11e9-a91d-04ea56cad207,146.7555966,,,12.80674724,-0.637406457,0.590946438,-0.141255404,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
4,09/29/2019,1:48:12 PM,2,2,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,146.1008034,-0.419375667,-3.64289061,2171.772678,218.3892305,1:15,1.598716315,0.72407946,2.004319885,-44.50923332,39.28660592,31.1885802,1.036244767,0.017060243,133.2536545,-3.75509989,-1.306308307,0.413395636,,,,,,,,,,,,-19.84852264,22.0250304,-0.649557646,15.24,1.587662589,2.454112264,-40.24438516,-0.4494348,-4.200530175,8.647000772,-5.145506878,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,55a02af1-e274-11e9-a91d-04ea56cad207,146.7359467,,,12.84714894,-0.691992234,0.959803059,0.006698654,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
5,09/29/2019,1:48:25 PM,2,3,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,135.3460336,-1.255740295,-2.504554777,2084.968032,101.589743,9:30,1.618654765,0.724186431,1.962914132,-97.9600637,0.660876776,-3.674604869,0.287000831,-0.014388534,123.9318649,-8.544155221,-2.780089965,0.448476024,,,,,,,,,,,,0.107379106,1.326391752,-0.669877267,15.24,1.586189524,1.64315146,-37.28966899,-1.140201216,0.019371835,7.910794275,-9.567360974,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,5f45a144-e274-11e9-a91d-04ea56cad207,135.2580668,,,11.41416863,-0.002299993,0.220826025,0.035501341,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
6,09/29/2019,1:48:39 PM,2,4,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,148.0602822,-2.231110741,-2.443989693,2218.637399,212.2886877,1:00,1.64650533,0.750580152,1.981410542,-37.98862747,43.92393824,27.8040909,0.641649312,0.34457407,135.0421188,-5.071389333,-0.359168919,0.408723797,,,,,,,,,,,,-17.11873808,25.85901197,-0.700045794,15.24,1.596971055,1.64186997,-40.79010164,-1.726046606,-3.714606015,9.040764486,-4.195486317,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,655a2970-e274-11e9-a91d-04ea56cad207,148.4131836,,,13.01816335,-0.714871654,0.537515552,-0.339121328,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
7,09/29/2019,1:48:59 PM,2,5,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,149.0869659,-0.884224457,-3.122814982,2165.900353,214.0366002,1:15,1.6575077,0.722819702,1.996523723,-44.84215232,36.47619164,24.68906056,0.961597287,0.096155985,134.6435761,-4.260577613,-1.262622513,0.407238588,,,,,,,,,,,,-16.17467125,20.91468256,-0.658432933,15.24,1.63659941,2.152919398,-41.05556388,-0.792543881,-3.521050045,9.964787369,-5.253751038,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,731d331e-e274-11e9-a91d-04ea56cad207,148.9544503,,,14.44338987,0.176786355,0.942454063,-0.090612707,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
8,09/29/2019,1:49:22 PM,2,6,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,148.3758886,0.09362139,-2.204695044,2119.948337,227.1708093,1:30,1.657259082,0.75216761,2.012301272,-48.07330601,32.88329649,35.55657471,1.202682679,0.491921407,135.4319275,-3.512459527,0.46477661,0.406331786,,,,,,,,,,,,-21.25645413,18.13522762,-0.708246769,15.24,1.656764542,1.450980103,-40.92603652,-0.10153687,-4.651712594,8.950530702,-5.837979298,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,7c0fe531-e274-11e9-a91d-04ea56cad207,149.2868688,,,12.94396107,-0.547209363,1.14040347,-0.501479108,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
9,09/29/2019,1:49:37 PM,2,7,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,132.2265322,2.415083945,-2.356949232,2088.294788,91.69386179,9:00,1.616638386,0.769123178,1.820255377,-104.977726,0.419341128,-17.53133183,1.25018304,-0.072480515,120.1693634,-5.377905309,-3.659795361,0.463627217,,,,,,,,,,,,7.692017696,-1.629155215,-0.711170629,15.24,1.667909237,1.559041815,-36.38072307,1.166713607,1.320455108,7.549714499,-10.08631997,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,845493f3-e274-11e9-a91d-04ea56cad207,130.8378753,,,12.05716883,-0.548565954,1.152954261,0.135980373,,,,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
10,09/29/2019,1:49:57 PM,2,8,"Soma, Tokuyama",1000074011.0,Right,WAS_EDA,"Yuki, Suyama",1000073581,Left,MEI_MEI,Windup,1,Top,1,3,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,149.4585807,-1.89904948,-3.881010615,2195.5874,199.1983262,12:45,1.65988843,0.739432239,2.025922952,-30.28449178,49.70909381,17.33509878,0.825905219,-0.171455539,136.3620987,-4.169117893,-2.582048781,0.403907802,87.88136251,33.07371141,-55.0219695,3594.068722,16.49758615,7.460932348,-29.18825415,44.25371264,44.25371264,-62.16349064,2.773591309,-12.39078571,28.92310397,-0.660644683,15.24,1.619369,2.73053176,-41.14063526,-1.472846512,-2.739648395,9.057865579,-3.411645098,WAS_EDA,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190929-TokyoBig6Jingu-2,96e7f88d-e274-11e9-a91d-04ea56cad207,150.1827886,9.465392873,2.782131572,13.09648197,0.194749564,0.808527755,0.182099459,0.165430979,0.806367296,0.183409496,09b0a0d1-e272-11e9-a91d-04ea56cad207,19A
