PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/05/2019,2:06:24 PM,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,145.5290984,-2.226618662,2.115166562,2290.898836,147.6051036,11:00,1.784065208,-0.4794393,1.775029273,-36.13146004,51.82001953,-32.93197887,0.791153074,-0.209214075,131.1315491,-4.910891041,-0.33911029,0.423522254,136.1406731,64.07342046,69.4910164,,,,,,,,,19.50293755,29.79364741,0.429118685,15.24,1.726092437,-1.348111404,-40.0255676,-1.700126621,4.027354515,9.623170136,-3.654265,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,e16ff858-e72d-11e9-a924-04ea56cad207,143.2274207,,,14.39754932,0.368346351,0.785694078,0.209595881,0.084354213,0.761093519,0.211458147,bcb46173-e72b-11e9-a924-04ea56cad207,19A
2,10/05/2019,2:06:43 PM,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,146.0127473,-2.821276735,1.799823192,2379.446087,156.2308443,11:15,1.785921586,-0.471104163,1.814553378,-34.46816328,51.49919658,-22.71634082,0.64281819,-0.189412748,133.2759155,-5.368411855,0.113744299,0.41871783,144.2315231,29.70120218,15.12479927,3987.970154,31.53016222,17.02264502,11.40038536,94.6152147,93.1628688,26.85557179,4.52902771,13.57581995,29.87543221,0.429098164,15.24,1.715295411,-1.173970471,-40.19211543,-2.116693713,2.863863195,8.672479195,-3.504330798,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,ea62a8b1-e72d-11e9-a924-04ea56cad207,144.870831,21.39065249,4.434264686,12.73683176,0.303545178,0.630739683,0.189175382,0.28612975,0.62909553,0.189145813,bcb46173-e72b-11e9-a924-04ea56cad207,19A
3,10/05/2019,2:07:13 PM,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,120.6887784,0.609095583,1.946741926,2712.482076,321.8493215,4:45,1.748280704,-0.427299888,1.559501571,-164.76812,-35.12282381,27.49426035,0.275568301,0.406735147,112.1286827,-11.26517595,3.951833788,0.514201148,,,,,,,,,,,,-13.03919019,-18.86648277,0.369025449,15.24,1.750660295,-1.231212609,-33.21370623,-0.259607679,-1.879481305,5.891235003,-12.52608281,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,fc480a18-e72d-11e9-a924-04ea56cad207,117.9693982,,,8.560095662,-0.417303254,0.100686497,-0.466285337,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
4,10/05/2019,2:07:30 PM,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,120.5535725,1.255006294,1.562324612,2722.148842,328.6093631,5:00,1.736953647,-0.410969355,1.727605102,-166.1142926,-37.69816551,22.92893062,0.432609721,0.262363655,110.757486,-10.92511763,3.261534685,0.511757769,,,,,,,,,,,,-11.06515802,-21.22403033,0.36910231,15.24,1.756839242,-0.982361663,-33.18109251,0.166695163,-1.574735666,6.462429922,-12.82714347,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,086eb363-e72e-11e9-a924-04ea56cad207,118.5326413,,,9.796086538,-0.011012179,0.345475475,-0.287807878,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
5,10/05/2019,2:07:42 PM,2,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,147.0443301,-2.146686735,1.714161194,2398.064309,157.3020817,11:15,1.794613961,-0.458693907,1.803821055,-26.90375554,58.94436764,-24.68820776,0.917895978,-0.220633577,132.3049713,-4.151445083,-0.129877584,0.418427349,,,,,,,,,,,,14.78437913,33.70348471,0.418576986,15.24,1.740442382,-1.11387343,-40.45839855,-1.622842814,3.116573145,9.903409399,-2.701896097,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,0f3d263c-e72e-11e9-a924-04ea56cad207,144.9714035,,,14.73935882,-0.585105734,0.842758908,0.224155822,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
6,10/05/2019,2:07:54 PM,2,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,145.4539632,-2.120238041,1.205479329,2425.702347,162.7212454,11:30,1.77247336,-0.401740195,1.811070779,-40.61461676,46.68917415,-14.54860192,0.766544937,-0.206395743,131.5815491,-5.137696356,0.120332808,0.421959929,130.1564444,42.01817163,55.78681461,4951.719887,15.24178653,23.24184735,29.86325388,72.92101375,43.79504852,72.13875694,4.361771851,8.836527333,26.97603302,0.373489183,15.24,1.718319975,-0.786153057,-40.04277154,-1.640394353,1.831883049,9.393732973,-4.214301812,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,17201bf8-e72e-11e9-a924-04ea56cad207,143.7577262,24.36572492,2.234865823,13.87241414,0.026075628,0.729750739,0.205656512,0.021882024,0.72936713,0.205650053,bcb46173-e72b-11e9-a924-04ea56cad207,19A
7,10/05/2019,2:08:16 PM,2,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,2,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,148.4996042,-2.357831299,1.152918369,2264.488094,158.0819126,11:15,1.772285613,-0.50088187,1.811353725,-27.99774459,56.17182951,-22.63337391,0.825266623,-0.401255727,133.5321716,-4.444557962,-0.539740781,0.414316496,,,,,,,,,,,,13.2357047,32.4322028,0.474446037,15.24,1.713229792,-0.733093008,-40.86132581,-1.793201733,2.842376331,10.20364426,-2.841813016,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,2012ca47-e72e-11e9-a924-04ea56cad207,146.4098114,,,14.96743255,-15.74017782,-0.828990951,0.874687893,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
8,10/05/2019,2:08:39 PM,2,6,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Top,1,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,128.521432,0.410763069,1.727245177,2875.038293,296.5716173,4:00,1.700156817,-0.525153685,1.626398552,-128.7070828,-14.22172909,28.22008887,0.530585046,0.251043573,117.3370331,-8.996595356,3.805614095,0.483203004,,,,,,,,,,,,-13.59135164,-7.870395892,0.475330243,15.24,1.700624766,-1.173279265,-35.35672545,-0.234814059,-2.195023022,7.370823142,-11.07773036,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,3196703a-e72e-11e9-a924-04ea56cad207,125.5372991,,,11.18439897,-0.242394665,0.420897566,-0.296484232,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
9,10/05/2019,2:09:03 PM,3,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,147.7571086,-1.212332992,1.152820748,2448.238947,152.4414261,11:00,1.744202972,-0.476374581,1.810929077,-33.85062614,49.88422358,-26.0740207,1.062855502,-0.411173968,134.8079865,-3.719381252,-0.782041526,0.413245167,,,,,,,,,,,,14.91473496,27.82576641,0.450185791,15.24,1.712512644,-0.715748958,-40.72502647,-0.996732023,3.231987829,8.86117449,-3.776872159,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,3a48c494-e72e-11e9-a924-04ea56cad207,146.7893757,,,12.94912217,-0.647162942,0.990881611,0.427309481,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
10,10/05/2019,2:09:15 PM,3,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Windup,1,Top,2,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,145.9017834,-2.325253227,2.234384058,2396.21665,162.6334863,11:30,1.769019589,-0.471043181,1.807374651,-37.17574407,49.06704282,-15.37055077,0.738918351,0.00735993,133.0078354,-5.074680233,1.093989003,0.41938805,,,,,,,,,,,,9.929272147,28.2076856,0.417751003,15.24,1.709907207,-1.506626197,-40.1619009,-1.77806791,2.089124457,8.748519638,-3.871737046,WAS_EDA,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191005-TokyoBig6Jingu-2,43be8ed4-e72e-11e9-a924-04ea56cad207,144.6393145,,,12.89394805,-0.7352452,0.632907149,-0.028671709,,,,bcb46173-e72b-11e9-a924-04ea56cad207,19A
