PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/06/2019,11:28:21 AM,1,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Windup,1,Top,0,0,0,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,119.2489349,0.412124264,-1.635099886,1392.925405,250.1785624,2:15,1.376171292,0.254229851,1.911866871,-114.7328209,13.13155075,36.76504572,0.344671736,0.162401309,108.8676865,-8.132830497,1.120665964,0.51065717,,,,,,,,,,,,-21.41937346,6.876733061,-0.219609722,15.24,1.378732406,0.828116164,-32.86726711,-0.107079071,-2.997438428,6.225709907,-8.844316346,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,f43bfa7c-e7e0-11e9-a925-04ea56cad207,118.7881098,,,10.38124847,-0.219578248,0.249252655,-0.175885452,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
2,10/06/2019,11:28:34 AM,1,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Windup,1,Top,0,0,1,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,,,120.1718409,0.248077452,-1.431310997,1281.255134,251.8820938,2:30,1.386542048,0.221981275,1.913256671,-113.8448279,10.80816601,33.39086303,0.317803192,0.153737824,110.8491325,-8.18514396,1.058649294,0.504203687,,,,,,,,,,,,-19.25436137,5.736340767,-0.191797006,15.24,1.385412421,0.726616794,-33.14799267,-0.202929449,-2.770514855,5.747246869,-8.981246498,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,fc5f49e6-e7e0-11e9-a925-04ea56cad207,120.3085213,,,9.322708318,0.552074643,0.335029813,-0.151537658,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
3,10/06/2019,11:29:16 AM,2,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,128.6630135,2.117144835,-0.719762108,2129.956477,222.1593479,1:30,1.398764039,0.203796489,1.897203863,-72.78157382,37.11141698,33.6961839,1.266585019,0.338358226,116.7158798,-3.322030443,1.800829421,0.47341243,,,,,,,,,,,,-18.97207895,18.68414069,-0.189445413,15.24,1.442575275,0.335292385,-35.4525108,1.072916694,-3.096200237,7.101418477,-6.757440634,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,17ff8f23-e7e1-11e9-a925-04ea56cad207,128.1335178,,,11.94713368,-0.766460661,1.192038367,-0.378328225,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
4,10/06/2019,11:29:35 AM,2,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Windup,1,Top,1,1,0,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,118.3465354,0.88490167,-2.919901872,1291.434069,238.8955821,2:00,1.358818799,0.255803895,1.90823242,-108.8379194,22.1774265,36.96170007,0.51943726,-0.195773475,106.9339417,-7.263195699,-0.141592219,0.516910964,,,,,,,,,,,,-22.71706292,11.43354128,-0.192076277,15.24,1.372439824,1.552001058,-32.57050793,0.181903617,-3.098371226,6.504035804,-8.247233827,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,20f965fe-e7e1-11e9-a925-04ea56cad207,117.3509641,,,11.41259373,-0.198089757,0.437073806,0.196622466,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
5,10/06/2019,11:29:49 AM,2,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Windup,1,Top,1,1,1,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Error,0,0,,,,120.5081472,1.16246892,-0.503339815,1299.7812,255.0361428,2:30,1.35756168,0.239989252,1.84612668,-118.609715,8.868575079,33.63013215,0.499432392,0.434304405,108.7885986,-7.69262616,2.021172311,0.509885633,113.4235268,10.71431234,-10.89691406,1066.085467,32.52766988,0.750906836,-8.128502812,36.74599033,36.63671257,-14.26812114,1.32715271,-18.76948466,3.837759688,-0.230230391,15.24,1.377505076,0.186429848,-33.18442846,0.302715621,-2.648054627,6.938493273,-9.265207468,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,28af0e48-e7e1-11e9-a925-04ea56cad207,118.967855,2.257512568,1.323004965,11.71954853,0.510025715,0.509970419,-0.431553636,0.475223802,0.505290745,-0.43277499,7878a432-e7d7-11e9-a925-04ea56cad207,19A
6,10/06/2019,11:30:44 AM,3,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,1,,,128.7152146,-1.440644127,-2.345729351,2177.994675,217.1105265,1:15,1.363944562,0.203458665,1.945759656,-65.6251723,43.20054765,32.76220997,0.303395992,-0.126893149,117.6347076,-6.3312925,0.106707859,0.471107952,,,,,,,,,,,,-19.71735086,24.79137105,-0.153914809,15.24,1.328703979,1.348981098,-35.47092164,-1.101206727,-3.233689578,6.868957081,-5.740809779,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,4c3bcf65-e7e1-11e9-a925-04ea56cad207,128.7602975,,,11.08050693,-0.311582182,0.219202871,0.124654062,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
7,10/06/2019,11:31:15 AM,3,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,1,,,129.0705729,-0.792038699,-3.117182428,2090.00555,223.3491335,1:30,1.365161492,0.209387884,1.959625296,-73.79189274,33.75263129,31.9570132,0.405049707,-0.345026985,118.5829514,-6.282431122,-0.731851548,0.468326584,,,,,,,,,,,,-19.7059132,19.09482286,-0.143600727,15.24,1.343923783,1.835783765,-35.56955429,-0.726357382,-3.269569068,6.528024335,-6.638471922,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,5ec34353-e7e1-11e9-a925-04ea56cad207,129.5249982,,,10.48762152,-0.139019432,0.341080522,0.351832607,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
8,10/06/2019,11:31:35 AM,3,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Koki, Fukuoka",1000073874,Left,WAS_EDA,Stretch,1,Top,1,2,0,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,1,,,120.6010182,0.374862044,-1.397192971,1403.300484,243.6405314,2:00,1.33592511,0.222748207,1.925472105,-108.0689583,15.14445845,30.7963704,0.360490598,0.138447679,111.435775,-7.631760808,0.897356455,0.501283789,86.21093433,-47.32916332,28.93383114,,,,,0.62041813,0.62041813,1.349371939,0.019814453,-17.790212,8.033352417,-0.193449046,15.24,1.337997555,0.718021034,-33.27534961,-0.110610787,-2.58798464,5.611949374,-8.638019032,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,688edaa5-e7e1-11e9-a925-04ea56cad207,121.0092991,0.347994812,0.020021834,9.165243187,0.348693162,0.349319044,-0.139759215,0.3388759,0.347994812,-0.139915443,7878a432-e7d7-11e9-a925-04ea56cad207,19A
9,10/06/2019,11:32:23 AM,4,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,0,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,2,,,120.5197514,2.07882852,-0.600810728,1352.266874,242.0487094,2:00,1.364925636,0.278590699,1.913362031,-106.7964575,18.4453639,34.98386597,0.881207788,0.459651019,109.5067268,-5.903428962,2.021534563,0.505393146,,,,,,,,,,,,-19.64427076,8.494393226,-0.267139502,15.24,1.405399806,0.242499461,-33.20824729,0.882676693,-2.806014959,6.362277959,-8.593299057,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,8366ec56-e7e1-11e9-a925-04ea56cad207,120.0253714,,,11.01302452,-0.669501659,0.761078391,-0.500549286,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
10,10/06/2019,11:32:43 AM,4,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,1,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,2,,,120.7327859,0.984648322,-0.772135918,1290.76639,241.2023828,2:00,1.370980928,0.270908532,1.922304475,-107.8907891,14.6571344,26.87346472,0.568566642,0.322851906,111.8250275,-7.00160879,1.226029958,0.499928204,,,,,,,,,,,,-15.18176179,7.373690412,-0.25526033,15.24,1.386634836,0.36688467,-33.32205885,0.242741488,-2.223418646,5.410938593,-8.726748934,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,935558b8-e7e1-11e9-a925-04ea56cad207,121.3374231,,,8.907758414,-0.535204552,0.445131491,-0.344704796,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
