PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/15/2019,1:52:42 PM,1,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,144.3153957,0.534885492,-2.064609435,2206.428105,195.0205693,12:30,1.564444895,0.540245575,2.003751043,-43.31000237,41.69282328,11.20904803,1.280855713,0.075379421,132.7208313,-2.699669626,-1.22740958,0.416362245,,,,,,,,,,,,-7.528534816,22.66018914,-0.497702045,15.24,1.573379099,1.397015683,-39.82662921,0.222416176,-1.573899841,7.787235909,-5.069357956,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,9eefb851-ef07-11e9-a92f-04ea56cad207,145.6904432,,,11.59456438,-1.099390875,1.203895404,-0.043800367,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
2,10/15/2019,1:52:52 PM,1,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,142.7495754,-1.682984714,-3.343468688,2166.052361,200.3221607,12:45,1.545242088,0.517804297,1.996267471,-42.65209718,44.67020819,16.5740629,0.647456077,-0.251884168,131.3013016,-4.860445506,-2.107076654,0.42200467,,,,,,,,,,,,-11.35161911,25.75082251,-0.448349465,15.24,1.507584905,2.24107667,-39.33301987,-1.303807098,-2.311423984,7.704256387,-4.563250956,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,a56abc30-ef07-11e9-a92f-04ea56cad207,143.7424853,,,11.44827378,-0.71744378,0.547033423,0.293144881,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
3,10/15/2019,1:53:07 PM,1,3,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.6068883,-1.952370494,-3.876853077,2260.377036,185.7971058,12:15,1.556888964,0.48769632,1.991003192,-37.14219897,49.50151513,5.033924951,0.638213738,-0.547404535,131.8405106,-4.717376949,-3.50173187,0.420361749,,,,,,,,,,,,-5.40458217,28.62435701,-0.406032794,15.24,1.513628977,2.661723815,-39.53372601,-1.478899937,-1.109213579,7.960412334,-3.931908071,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,ae4a59b6-ef07-11e9-a92f-04ea56cad207,144.3042811,,,11.76637776,-0.875065194,0.527192295,0.626972035,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
4,10/15/2019,1:53:22 PM,1,4,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,130.7697604,0.462089345,-2.953386621,2241.879238,131.3393688,10:30,1.471431334,0.572291747,1.926403339,-86.86057112,18.01059314,-20.58472173,0.732700058,-0.463246252,120.8002121,-5.965950133,-4.479836294,0.462469083,,,,,,,,,,,,9.299774374,9.54494994,-0.505392136,15.24,1.476678991,1.927519279,-36.04676851,0.005043406,1.589831795,6.494695427,-8.174904509,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,b70d5aa1-ef07-11e9-a92f-04ea56cad207,131.1655248,,,9.969548282,-0.680194171,0.611158343,0.551548152,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
5,10/15/2019,1:53:43 PM,1,5,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,146.6874403,-2.288140731,-4.052211073,2338.215712,188.5012474,12:15,1.560999055,0.510383149,1.9706812,-29.22028948,54.26586486,8.12302869,0.626382969,-0.544523555,134.2836639,-4.463985591,-3.447109178,0.412631034,,,,,,,,,,,,-7.27994146,31.45672078,-0.423737158,15.24,1.510175172,2.829900033,-40.35529456,-1.720733849,-1.553632604,8.461944772,-3.093383517,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,c3556100-ef07-11e9-a92f-04ea56cad207,147.0078472,,,12.40377635,-0.777052263,0.529831548,0.616782407,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
6,10/15/2019,1:54:00 PM,1,6,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,144.6593638,-2.227157252,-3.199230078,2289.320496,198.8784991,12:45,1.489831351,0.507694932,2.119524621,-43.6480491,40.1529665,13.75754457,0.434464004,-0.242828544,133.1023178,-5.500656163,-2.164607679,0.413408404,,,,,,,,,,,,-9.847097182,23.97679727,-0.447891154,15.24,1.445881404,2.185237045,-39.87360653,-1.691168074,-2.058004987,8.015987626,-4.795592686,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,ccf14d76-ef07-11e9-a92f-04ea56cad207,146.7314148,,,11.55704602,-0.484832329,0.344389727,0.27692685,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
7,10/15/2019,1:54:43 PM,2,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Stretch,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,1,0,,143.2612382,-1.60160255,-2.352890846,2297.191373,203.7020436,12:45,1.527736189,0.603136529,2.027075695,-38.1593633,48.18201774,21.18811587,0.698925844,0.158373894,131.529213,-4.455005843,-0.765570808,0.419627707,,,,,,,,,,,,-13.32109964,27.76469761,-0.555997846,15.24,1.493015488,1.552244386,-39.51129505,-1.23396694,-2.731968537,7.920002403,-4.112504443,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,e7a59604-ef07-11e9-a92f-04ea56cad207,144.5567083,,,11.73202528,-0.750330302,0.604307114,-0.143970695,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
8,10/15/2019,1:55:32 PM,2,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.8155911,-1.636575251,-2.195351561,2314.401422,206.548942,1:00,1.512515377,0.570456289,2.057005806,-41.27568384,40.60323714,20.32581583,0.643676785,0.162228626,134.8703613,-4.727428541,-0.669689669,0.408639849,,,,,,,,,,,,-12.77821661,23.6723328,-0.527604756,15.24,1.477878175,1.484110708,-40.50132006,-1.297137119,-2.753529719,8.324114006,-4.70558826,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,02a1623a-ef08-11e9-a92f-04ea56cad207,148.4436726,,,11.9452298,-0.794637798,0.539315211,-0.149336845,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
9,10/15/2019,1:55:46 PM,2,3,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,0,2,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,136.1145454,-1.154824729,-2.972002038,1628.421482,257.0353184,2:30,1.468232144,0.60447523,1.923578956,-88.34668284,8.149555545,35.7932378,0.260091877,0.127331225,126.2846146,-7.674655058,-0.315104833,0.443618707,127.5766462,-4.063920771,22.43561038,,,,,3.258386276,3.035754148,18.2125252,0.08647522,-21.43102517,5.182208586,-0.540299708,15.24,1.437304665,1.824736284,-37.52274359,-1.061898305,-3.987117843,6.732730919,-8.842530171,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,0b94108c-ef08-11e9-a92f-04ea56cad207,136.7390486,0.243471302,0.08016926,9.829930867,0.318965839,0.244835305,-0.126731493,0.308914877,0.243471302,-0.126680092,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
10,10/15/2019,1:56:22 PM,3,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Tatsuru, Yanagimachi",1000069640,Left,KEI_KEI,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.9697314,-1.290176932,-2.114528054,2308.850952,208.2271733,1:00,1.550322392,0.57256688,2.04959008,-37.76040578,46.11855182,24.79905366,0.813060044,0.231330943,133.3194626,-4.116461671,-0.255363895,0.413600612,,,,,,,,,,,,-15.16148136,26.45128522,-0.531284362,15.24,1.522581287,1.393873129,-40.00333971,-1.028148071,-3.193462191,7.965336598,-4.235216887,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,1d796d5c-ef08-11e9-a92f-04ea56cad207,146.663226,,,11.65026886,-0.882653486,0.71539005,-0.22748753,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
