PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/15/2019,11:00:29 AM,1,1,"Syu, Tezuka",1000074135,Right,RIK,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,145.7769708,-2.450618508,-1.988748148,2162.363361,215.8880459,1:15,1.687072467,0.342444637,2.186189109,-43.16719544,39.47075171,28.61573013,0.577851903,0.079197222,132.5965073,-5.72225113,0.189944647,0.410529547,108.4463555,-20.59965601,-146.166556,,,,,1.278489247,0.377893256,-135.9070124,0.051765747,-17.72744414,24.22907279,-0.308315664,15.24,1.642039679,1.310536313,-40.20045061,-1.850326343,-3.715859841,9.216337481,-4.727980011,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,8afc2f5b-eeef-11e9-a92f-04ea56cad207,147.7603754,0.563608435,0.01771291,13.18046358,0.447935521,0.579468232,-0.079144093,0.290080314,0.563608435,-0.079695085,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
2,10/15/2019,11:00:48 AM,1,2,"Syu, Tezuka",1000074135,Right,RIK,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,144.4980601,-2.471032996,-1.403192202,2130.777398,205.2494846,12:45,1.725072367,0.321449859,2.165175284,-35.23984562,48.4745523,22.89867133,0.688773709,0.162358989,132.2789474,-5.12997835,0.331806596,0.413194697,100.0016044,-27.21938316,-57.40067326,,,,,1.617021537,1.52025852,-50.93463646,0.052750854,-13.90499705,29.08234516,-0.297000936,15.24,1.679020365,0.907200167,-39.8702187,-1.827940889,-2.889497742,8.452787298,-3.763256366,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,9b79a069-eeef-11e9-a92f-04ea56cad207,146.8073052,0.678668058,0.048791923,12.21911264,0.374167563,0.683594058,-0.162696394,0.319472948,0.678668058,-0.163023347,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
3,10/15/2019,11:01:17 AM,1,3,"Syu, Tezuka",1000074135,Right,RIK,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,2,Splitter,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,,,128.6955566,-2.448358152,-1.901512489,1611.346359,231.5700337,1:45,1.722408171,0.265844923,1.934382978,-87.22975195,22.2123512,28.12461025,0.162450107,0.013443919,117.8836441,-8.918812255,0.206547784,0.472440233,,,,,,,,,,,,-16.88753456,14.05661174,-0.225422871,15.24,1.66331723,1.087082862,-35.44438977,-1.794465178,-2.755342959,7.084793602,-7.513195852,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,ad0df4a3-eeef-11e9-a92f-04ea56cad207,128.3971934,,,10.81191245,0.706392674,0.205232676,-0.012554023,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
4,10/15/2019,11:01:39 AM,1,4,"Syu, Tezuka",1000074135,Right,RIK,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,,,130.8067157,-0.856445894,-1.165422027,2192.085301,87.62575364,9:00,1.675687995,0.427133862,1.93616339,-106.1266733,-0.860036685,-18.35559561,0.374112554,-0.083378992,120.4932266,-8.721414168,-2.537451669,0.463340255,124.4225919,-24.49706744,-30.55542329,,,,,1.115051632,0.946334134,-16.6314162,0.025453491,9.226277848,0.150147167,-0.400381902,15.24,1.650766578,0.793623136,-36.07703313,-0.884584857,1.566317675,7.063341834,-9.781159963,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,ba2c8411-eeef-11e9-a92f-04ea56cad207,130.9189075,0.366111719,0.019919775,10.31348912,0.50943105,0.386003199,0.079943886,0.379783491,0.366111719,0.085686476,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
5,10/15/2019,11:02:11 AM,2,1,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,0,0,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,128.2577364,0.17795339,-0.818252514,2324.614058,13.01574304,6:30,1.725500387,0.344120196,1.882291889,-124.3600604,-16.24170737,-3.730896027,0.531989964,0.076498726,120.4958908,-8.927204661,-1.093575243,0.469574355,98.74260754,-31.93260403,162.6022183,,,,,0.496335995,0.496335995,160.0391629,0.035438232,1.557513089,-8.911901768,-0.325068116,15.24,1.721832808,0.518439108,-35.4208185,-0.308395491,0.26042654,5.459716911,-11.2967792,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,c99efd2b-eeef-11e9-a92f-04ea56cad207,129.1808194,0.513784322,0.037025839,7.761845638,0.505903337,0.543601885,-0.077912355,0.316394018,0.513784322,-0.074293541,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
6,10/15/2019,11:02:32 AM,2,2,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,0,1,Splitter,Other,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,129.1084416,-1.358315241,-1.715786587,1654.182788,271.4560782,3:00,1.674704128,0.343474882,1.933677939,-108.1955078,-0.849765965,29.45992802,0.211427592,0.156561564,119.9346268,-9.336152234,0.478522821,0.467893563,,,,,,,,,,,,-17.26570736,0.435506894,-0.307233768,15.24,1.63845583,0.971386382,-35.61272039,-1.195163046,-2.881129645,6.336021574,-9.733976938,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,d98fcb84-eeef-11e9-a92f-04ea56cad207,129.6448695,,,9.173814834,0.427448466,0.210712062,-0.156597934,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
7,10/15/2019,11:03:00 AM,2,3,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,0,2,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,128.0079098,0.606596628,-0.113705625,1180.123403,242.3647264,2:00,1.714207164,0.313147979,1.922206095,-98.25004619,13.41435598,25.82139224,0.902017209,0.539438667,115.5610245,-6.76321699,1.831773916,0.477212744,,,,,,,,,,,,-14.29677898,6.863902493,-0.312088106,15.24,1.722119728,-0.011808176,-35.27633219,0.062182278,-2.283066274,7.743028502,-8.710546863,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,ea1b89bd-eeef-11e9-a92f-04ea56cad207,127.1131185,,,12.44688529,-0.337666007,0.807893415,-0.564789659,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
8,10/15/2019,11:03:19 AM,2,4,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,144.1435895,-1.238609323,0.100306121,2155.525931,213.3470196,1:00,1.651958614,0.348833612,2.16311836,-43.11370139,40.86873624,26.94573962,0.878232448,0.64603052,132.0502258,-4.493224733,2.14103436,0.413855659,,,,,,,,,,,,-15.11507846,23.9126587,-0.35171005,15.24,1.627842667,-0.151418497,-39.81156424,-0.991530139,-3.131705412,8.428333776,-4.852166775,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,f5a01c8d-eeef-11e9-a92f-04ea56cad207,146.5728417,,,12.09336372,-0.428902876,0.809010687,-0.679169651,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
9,10/15/2019,11:03:39 AM,2,5,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,2,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,,,120.7799686,-2.696435364,-2.094563454,1497.513311,213.7207237,1:00,1.658929761,0.281361929,2.305453064,-79.04787201,37.95060489,25.40316551,0.128414526,-0.038906828,112.1646286,-8.654095926,-0.160782013,0.488477725,,,,,,,,,,,,-15.91778106,23.49777156,-0.249409448,15.24,1.61439937,1.16247213,-33.3431271,-1.748751687,-2.330548742,5.50375633,-6.366302268,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,ff4f1c40-eeef-11e9-a92f-04ea56cad207,124.1817117,,,8.615340016,0.357886927,0.117144039,0.039107573,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
10,10/15/2019,11:04:01 AM,2,6,"Syu, Tezuka",1000074135,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Windup,1,Top,1,3,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,,141.8969908,-1.628965489,-1.993785584,2124.016529,204.8749085,12:45,1.663706959,0.385564343,2.174615925,-44.31736923,41.88857533,19.45931733,0.769978481,0.028957165,130.6288834,-4.968270228,-0.523371346,0.41929846,119.9557223,-44.31930456,42.84776951,,,,,1.008444378,0.841377316,29.52153101,0.032501831,-12.29525076,24.69408481,-0.350624015,15.24,1.632811864,1.305977946,-39.17506034,-1.246369465,-2.481672067,7.698781568,-4.822398625,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,0e6e26ad-eef0-11e9-a92f-04ea56cad207,144.6702189,0.759522026,0.0252019,11.26810744,0.342633992,0.762210181,-0.02814999,0.31186795,0.759522026,-0.02787489,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
