PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/19/2019,11:00:58 AM,1,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,148.3612894,-2.087594531,-4.998324081,2220.706739,227.5737636,1:30,1.471997357,0.719779333,1.936802503,-48.84725181,32.45299662,35.5915353,0.395462766,-0.32989382,137.2702423,-5.698848502,-2.367604204,0.407193275,,,,,,,,,,,,-22.49099636,19.01020174,-0.611350541,15.24,1.422968557,3.434995298,-40.79108894,-1.674504523,-4.962787812,7.656635395,-5.611922653,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,4920a798-f214-11e9-a933-04ea56cad207,148.9710262,,,11.09104712,-0.287838019,0.322433249,0.358807632,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
2,10/19/2019,11:01:11 AM,1,2,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,145.3958071,-1.108373444,-4.494816727,2163.684688,224.1983856,1:30,1.431680738,0.754407364,2.007968136,-50.94353283,33.03866626,32.20367079,0.611731686,-0.181342467,134.0199509,-4.902116522,-2.097512111,0.413855071,,,,,,,,,,,,-20.63537105,18.9399584,-0.662361478,15.24,1.405925034,3.034895048,-40.02714167,-0.953447509,-4.366228279,7.706166456,-5.799153272,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,4fde6a35-f214-11e9-a933-04ea56cad207,146.5730499,,,11.37585628,0.21326666,0.592863653,0.189275154,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
3,10/19/2019,11:01:29 AM,1,3,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,150.060855,-1.468675825,-4.286955837,2145.247981,221.6592003,1:30,1.470122794,0.708527298,2.030032854,-38.69882557,39.84765147,35.51779959,0.67232427,-0.1340385,138.2997437,-4.356580104,-1.638722007,0.40023772,117.8924287,36.10839291,38.96275776,4930.070715,22.81373333,18.20245583,24.56936628,70.25096758,61.84372195,57.00073471,4.124448853,-22.35857027,22.97460405,-0.622594751,15.24,1.438117203,2.972439085,-41.32309078,-1.198860769,-5.045655642,8.153566895,-4.621974094,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,6081fa14-f214-11e9-a933-04ea56cad207,151.5599281,18.88061182,3.46570236,11.76111138,0.041467843,0.642302176,0.144954875,-0.001798613,0.638940669,0.146133972,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
4,10/19/2019,11:01:58 AM,1,4,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,150.2591764,-1.804104569,-5.903447761,2197.412994,226.1796576,1:30,1.469889584,0.68824054,2.097053253,-42.12343712,36.04093181,37.63301778,0.544815299,-0.580650611,138.2588608,-4.959028521,-3.094358833,0.399263007,,,,,,,,,,,,-24.78526683,21.26772685,-0.57587494,15.24,1.433088255,4.142257179,-41.27706444,-1.44791207,-5.573817891,8.242763869,-5.023871698,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,6ce4380a-f214-11e9-a933-04ea56cad207,151.9299283,,,12.00031557,-0.422389957,0.469148992,0.62553961,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
5,10/19/2019,11:02:14 AM,1,5,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,2,2,Splitter,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,141.1673375,0.458953266,-3.717126552,1653.942983,255.93701,2:30,1.335672473,0.831185878,1.872912024,-80.46101236,10.23079543,41.18254986,0.660584947,0.19474792,129.8674072,-5.493571788,-0.666286208,0.430069545,,,,,,,,,,,,-24.82665227,5.257323024,-0.747548503,15.24,1.341288813,2.37404335,-38.87439067,0.016022765,-4.940044688,7.494694021,-8.760539941,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,74e162e2-f214-11e9-a933-04ea56cad207,141.0469555,,,11.29993026,0.539537567,0.670904741,-0.196022676,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
6,10/19/2019,11:02:41 AM,1,6,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,151.0002834,-2.725022163,-4.948035097,2099.437752,222.4306133,1:30,1.484216156,0.689955626,2.094118496,-40.22737329,37.0178896,33.90465569,0.321656048,-0.348753935,139.2359024,-5.733594361,-2.41307559,0.396908672,,,,,,,,,,,,-22.06014185,22.38268274,-0.595735568,15.24,1.429582972,3.480305178,-41.52064237,-2.11928953,-5.022402166,8.293939135,-4.710815393,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,87c105ba-f214-11e9-a933-04ea56cad207,152.8311279,,,11.76438095,-0.220666185,0.255285495,0.375574237,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
7,10/19/2019,11:03:03 AM,1,7,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,150.7860926,-2.036567629,-2.97059551,2123.975226,225.1609481,1:30,1.430309186,0.778648466,1.991817561,-42.06606292,36.02287357,36.29966084,0.439344235,0.3105058,139.0438751,-5.166271961,-0.263510281,0.399070306,,,,,,,,,,,,-21.89995024,21.15023046,-0.717868741,15.24,1.385070653,2.024546259,-41.55999549,-1.632977365,-4.99246451,8.360268546,-4.985096808,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,90b61679-f214-11e9-a933-04ea56cad207,152.0032913,,,11.74221743,-0.164589186,0.384729603,-0.308360362,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
8,10/19/2019,11:03:43 AM,2,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Stretch,1,Top,0,0,0,Slider,Curveball,InPlay,Undefined,Bunt,Sacrifice,1,0,,118.8725735,3.303783148,-2.180739078,2067.038717,50.89843095,7:45,1.328439182,0.822764665,1.70557597,-147.4419011,-17.75913446,-21.70135992,0.795783727,-0.015042904,110.8163589,-7.418397689,-3.763930686,0.514275451,,,,,,,,,,,,10.24405569,-11.40097473,-0.764159084,15.24,1.403216924,1.32072029,-32.72168006,1.382761356,1.457240959,4.827337458,-11.42846541,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,ab86f862-f214-11e9-a933-04ea56cad207,117.9523539,,,8.056214548,0.166995293,0.760774268,0.032530948,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
9,10/19/2019,11:04:35 AM,3,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Tatsuru, Yanagimachi",1000069640,Left,KEI_KEI,Stretch,1,Top,1,0,0,Splitter,ChangeUp,InPlay,Undefined,FlyBall,HomeRun,0,2,,136.0982862,0.347620571,-4.529470233,1496.618693,252.0063719,2:30,1.303892055,0.887018621,2.055517205,-80.81923108,14.23904783,44.11504712,0.592790859,0.064411886,125.8411652,-5.679618048,-1.237261936,0.440300961,169.0286996,21.75381829,0.866516002,1740.688961,33.52693813,12.78091275,0.263717337,125.6167402,122.1982428,-1.906363987,4.724337769,-27.28922746,7.683041552,-0.798465927,15.24,1.306992284,2.830962014,-37.48506293,-0.025733012,-5.074707778,6.60945621,-8.377910737,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,cf5673a3-f214-11e9-a933-04ea56cad207,137.7694017,19.99936843,4.539395925,10.25712106,0.233710145,0.572938695,-0.060213708,0.231325091,0.572697879,-0.060164138,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
10,10/19/2019,11:05:26 AM,4,1,"Hiromu, Ise",1000073586,Right,MEI_MEI,"Gunji, Yuya",1000069642,Right,KEI_KEI,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,148.7877424,-0.225561952,-4.20956763,2162.451728,223.9244831,1:30,1.448737752,0.714465687,2.004725441,-42.68804783,38.19420159,36.85979392,0.958684194,-0.09484246,135.6038361,-3.425219225,-1.45009567,0.406145149,,,,,,,,,,,,-23.38334451,21.28203515,-0.628382873,15.24,1.441829683,2.884649072,-40.95813662,-0.312242162,-5.126893595,8.936972576,-5.140477046,MEI_MEI,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-1,ea2757a8-f214-11e9-a933-04ea56cad207,149.3554709,,,13.18390632,-0.611300531,0.894031944,0.119348329,,,,cd94e87e-f20f-11e9-a933-04ea56cad207,19A
