PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/19/2019,2:26:09 PM,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,147.486829,-1.506658637,2.589728509,2351.877327,151.7041876,11:00,1.730578996,-0.551607003,1.782854284,-34.42689023,50.62328433,-27.29610757,0.9591121,-0.09069565,133.5568222,-4.061343658,0.56187587,0.416478191,,,,,,,,,,,,16.71585074,28.47347062,0.489414055,15.24,1.690867307,-1.726265041,-40.58621778,-1.206645712,3.571815759,9.384403358,-3.722485177,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,f27080a7-f230-11e9-a933-04ea56cad207,145.6498834,,,13.93000675,-16.82991004,-0.810619227,0.352768157,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
2,10/19/2019,2:26:24 PM,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,119.0351614,3.967547011,1.044502008,2644.759476,327.7637273,5:00,1.745539279,-0.49821295,1.629834931,-167.8874057,-34.90379973,21.9321188,1.202816679,0.019718295,108.9659523,-8.30514266,2.655721956,0.520779299,,,,,,,,,,,,-10.84375696,-21.41080665,0.467737695,15.24,1.840307426,-0.673505574,-32.6994939,1.676403323,-1.510153343,5.879408199,-12.78842111,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,fa8f098c-f230-11e9-a933-04ea56cad207,116.4792843,,,10.06920906,-0.655812565,1.034798218,-0.071352965,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
3,10/19/2019,2:26:37 PM,1,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,135.3864165,1.717258304,1.989679706,2462.232994,231.1311065,1:45,1.721938101,-0.549004403,1.740200818,-88.29928272,11.60896092,14.51968229,1.326965968,0.161348522,124.8471359,-4.758678864,3.0556402,0.451393522,,,,,,,,,,,,-6.482297015,5.100812557,0.497207977,15.24,1.759140134,-1.351521694,-37.303729,0.781103795,-1.18995014,6.771706951,-8.87029787,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,020b7d21-f231-11e9-a933-04ea56cad207,134.3838514,,,10.53928053,-0.698167829,1.227676554,-0.222505008,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
4,10/19/2019,2:26:50 PM,1,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,2,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,149.1263978,-1.955033128,2.289298356,2196.303006,158.5708611,11:15,1.751511412,-0.559125184,1.823125785,-21.65016502,60.63762302,-23.82957235,0.98209186,-0.150390383,135.8089783,-3.561121282,0.520076889,0.409658862,,,,,,,,,,,,14.54716658,34.23297203,0.505667718,15.24,1.703035696,-1.546739943,-41.06377674,-1.489025177,3.20257164,9.072238807,-2.270230809,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,090012a0-f231-11e9-a933-04ea56cad207,148.0744239,,,13.31741951,-0.572903655,0.918547225,0.142388533,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
5,10/19/2019,2:27:04 PM,1,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,2,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,127.7002321,1.60782593,0.631446598,2752.029428,276.1610574,3:15,1.711111909,-0.560645413,1.673730837,-119.1523247,-4.602968028,41.64322412,0.978111462,0.035813032,116.8272537,-7.130685877,3.698755348,0.483338052,108.0493704,19.56793879,151.4794206,4022.350394,-30.3335192,2.305693371,14.282711,39.41996817,22.04638702,155.2094326,1.605541382,-21.69985507,-3.650538143,0.54049355,15.24,1.744424457,-0.54160552,-35.1590479,0.546002608,-3.489350636,6.873501992,-10.39365888,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,113b3728-f231-11e9-a933-04ea56cad207,125.5022231,4.44932406,0.838718349,10.87297837,-0.118727592,0.907438544,-0.071981469,-0.052506186,0.916115592,-0.067569358,801bd81e-f22e-11e9-a933-04ea56cad207,19A
6,10/19/2019,2:27:21 PM,1,6,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,2,2,Sinker,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,148.7435201,-0.623449338,3.308074849,2149.764655,160.8292951,11:15,1.755685961,-0.536144007,1.906712419,-33.65745004,48.37611597,-16.84543211,1.243608253,0.226082482,135.2329376,-3.134915557,2.05185616,0.409025567,,,,,,,,,,,,11.64661696,26.91968056,0.462389404,15.24,1.739597973,-2.303992144,-40.95696516,-0.573024545,2.54538722,9.197254114,-3.923309706,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,1b662956-f231-11e9-a933-04ea56cad207,148.3036878,,,13.51058248,-0.793853566,1.174051135,-0.268799788,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
7,10/19/2019,2:27:37 PM,1,7,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,3,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,149.4667396,-2.961872122,2.614371286,2232.709556,153.6560387,11:00,1.723930086,-0.575126545,1.850802563,-28.51695719,53.31813878,-26.44048812,0.601899078,-0.101768709,136.1909592,-5.076803952,0.647880352,0.408530474,109.297373,32.87923622,51.86265984,3625.988325,17.552093,13.33821444,28.56658111,62.53555716,55.99186218,63.61499457,3.36642395,16.25713325,31.11146459,0.515215314,15.24,1.652224855,-1.774032748,-41.12064828,-2.241535479,3.586484013,9.154559797,-2.943153918,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,2bbfd705-f231-11e9-a933-04ea56cad207,148.4834152,13.34821026,2.925826673,13.27578044,0.233145148,0.584197265,0.099570762,0.231315897,0.584033777,0.099550974,801bd81e-f22e-11e9-a933-04ea56cad207,19A
8,10/19/2019,2:28:02 PM,1,8,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Top,0,3,2,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,126.1098833,2.757150938,-0.136874754,2605.592393,285.9868207,3:30,1.693358493,-0.577104391,1.606289929,-127.4677933,-10.16103458,35.08154934,1.208573273,-0.265471664,116.3318253,-6.516496643,2.423936065,0.489120852,,,,,,,,,,,,-18.56244482,-7.157038309,0.577845721,15.24,1.758968245,-0.051162198,-34.71755632,1.184704418,-2.946986496,5.955535626,-10.94290632,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,387cac1f-f231-11e9-a933-04ea56cad207,124.0184298,,,9.778058033,-0.595310692,1.085149529,0.220343289,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
9,10/19/2019,2:28:39 PM,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Stretch,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,147.4853318,-2.124139541,2.464610601,2232.407842,154.0311164,11:15,1.745581529,-0.578412009,1.758152575,-30.36482102,54.72628447,-26.69397823,0.838658619,-0.145916715,134.0063278,-4.368957234,0.487666235,0.416578396,,,,,,,,,,,,16.17573082,30.99447242,0.518279766,15.24,1.689863371,-1.637790308,-40.58035405,-1.630374055,3.467801583,9.092301414,-3.161962244,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,4bedb9bb-f231-11e9-a933-04ea56cad207,145.6148486,,,13.47900402,0.743462124,0.862335028,0.148688746,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
10,10/19/2019,2:29:31 PM,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Stretch,1,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,148.7858283,-2.577336781,2.457337895,2333.593104,150.3507855,11:00,1.713139941,-0.551316202,1.785076048,-35.3787613,48.01711096,-27.37672958,0.628424062,-0.128870308,135.2904785,-5.193684756,0.426287746,0.412407864,,,,,,,,,,,,16.59009028,27.81294763,0.492504769,15.24,1.646925905,-1.645670266,-40.93031576,-1.987361281,3.617222796,9.273007689,-3.742449835,WAS_EDA,RIK,TokyoBig6Jingu,Team Exclusive,Team,20191019-TokyoBig6Jingu-2,6dae7017-f231-11e9-a933-04ea56cad207,147.087399,,,13.49534974,-0.383102431,0.553257759,0.123652915,,,,801bd81e-f22e-11e9-a933-04ea56cad207,19A
