PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1.0,10/26/2019,2:54:08 PM,1,1,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.2323285,-2.38670136,-3.893352611,2206.265519,199.2988414,12:45,1.63991121,0.380975139,1.826858904,-31.88338307,57.56926245,20.18861348,0.64508181,-0.51838369,130.5529678,-4.747484433,-2.397936451,0.427121325,,,,,,,,,,,,-13.72832226,32.89157487,-0.288862162,15.24,1.580437539,2.602586503,-39.37154323,-1.766255562,-2.779213058,8.3158012,-3.147956196,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,015ab010-f7b5-11e9-a93b-04ea56cad207,142.0205373,,,12.67936062,-0.52289633,0.564375254,0.557507976,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
2.0,10/26/2019,2:54:20 PM,1,2,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,143.3614716,-1.095813533,-2.102935574,2186.180888,208.8459318,1:00,1.614426943,0.394678353,1.846150593,-42.85882892,45.88863899,25.32137925,0.876485068,0.054428674,130.6503342,-4.27851324,-0.219299646,0.425434441,,,,,,,,,,,,-15.27321457,25.70900554,-0.346598144,15.24,1.585752364,1.354864514,-39.4997101,-0.917783609,-3.10859013,8.457656178,-4.574040944,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,0944c9cd-f7b5-11e9-a93b-04ea56cad207,142.5836607,,,12.71113738,0.845203412,0.907074548,-0.056211151,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
3.0,10/26/2019,2:54:44 PM,1,3,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.2857791,-2.480690201,-2.093349824,2154.420174,211.0894663,1:00,1.634084161,0.346702921,1.861302242,-36.8808803,52.90605594,31.9526128,0.565272907,0.076026984,129.1653946,-5.23342202,0.300543157,0.427918671,,,,,,,,,,,,-19.14042528,30.88877308,-0.299767987,15.24,1.573745997,1.322881671,-39.42093616,-1.845227427,-3.832311297,9.367555189,-3.622075087,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,1c3271af-f7b5-11e9-a93b-04ea56cad207,141.7559085,,,14.12038452,-0.505968393,0.477822691,-0.082292271,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
4.0,10/26/2019,2:55:02 PM,1,4,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Top,0,1,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Double,0,0,,143.6552279,-1.161607189,-3.354227378,2130.171068,217.1015182,1:15,1.605209545,0.350003513,1.875996077,-46.9337775,40.78827857,30.91201316,0.808204056,-0.286371393,131.6845459,-4.640955113,-1.060529568,0.422969509,153.0391685,21.64746426,-16.55811488,1951.304117,31.97320101,11.77302751,-10.09108606,107.9723844,107.9723844,-20.22885762,3.994251709,-19.09125464,22.97687339,-0.27432867,15.24,1.575399241,2.203412328,-39.56155598,-0.978554984,-3.923361089,7.97887582,-5.084772226,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,25252169-f7b5-11e9-a93b-04ea56cad207,143.414593,15.38983634,3.998580824,11.97068205,0.572644903,0.819596707,0.283735935,0.500658133,0.813784525,0.285089969,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
5.0,10/26/2019,2:56:11 PM,2,1,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kengo, Kasahara",1000073992,Left,TOK,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.2450461,-1.869370355,-0.663556488,2081.917904,217.6314928,1:15,1.635458506,0.371623595,1.878604574,-44.91399661,43.48512948,33.59023088,0.659842505,0.520717114,130.9591873,-5.200771618,1.839404786,0.424598686,,,,,,,,,,,,-18.77915004,25.0372236,-0.358391556,15.24,1.589558534,0.333073379,-39.48707791,-1.455020899,-3.823400561,8.378083479,-4.70911712,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,4ff786ee-f7b5-11e9-a93b-04ea56cad207,142.864314,,,12.28585874,-0.754686502,0.548831764,-0.561034664,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
6.0,10/26/2019,2:56:29 PM,2,2,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kengo, Kasahara",1000073992,Left,TOK,Stretch,1,Top,0,1,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,143.8980986,-2.312836584,-2.338598418,2238.825762,207.1217844,1:00,1.643669641,0.349953444,1.838809943,-31.92202756,56.57400566,29.0201479,0.670848011,-0.020184269,130.8129181,-4.683110277,-0.178463437,0.424831354,131.3932176,40.2037009,11.19999892,4165.061824,33.01655557,24.4734492,5.833475563,88.41168825,86.96072534,8.096220993,5.193617554,-17.48832616,32.42552874,-0.296249946,15.24,1.586575383,1.507466222,-39.60845938,-1.722172007,-3.5706155,8.686816765,-3.186285392,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,5ad53e82-f7b5-11e9-a93b-04ea56cad207,142.7860711,28.15360409,5.092014738,13.08518049,0.446997792,0.67209265,0.02013662,0.419012531,0.669800237,0.020223879,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
7.0,10/26/2019,2:57:11 PM,3,1,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Stretch,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,144.0507125,-0.738853801,-2.421153061,2205.698336,214.0440157,1:15,1.656525999,0.326090029,1.875855696,-44.65408543,42.38875712,28.6942745,1.001754592,-0.069077911,132.1032486,-4.050718393,-0.290492842,0.421328845,,,,,,,,,,,,-17.2409535,23.55471831,-0.271888882,15.24,1.636656452,1.571549539,-39.70907497,-0.679749944,-3.571208918,8.002858875,-4.927637939,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,74219d8c-f7b5-11e9-a93b-04ea56cad207,143.9730527,,,11.94746395,-0.146131758,0.960139783,0.071566471,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
8.0,10/26/2019,2:57:35 PM,3,2,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Stretch,1,Top,1,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.3570654,-2.066712619,-1.675462938,2229.272324,216.0505126,1:15,1.628956944,0.362024035,1.903070791,-44.94185352,42.38319461,30.91008291,0.598111746,0.200039764,131.1638626,-5.416600486,0.638161981,0.422011297,,,,,,,,,,,,-18.19464473,24.77292632,-0.325921614,15.24,1.579471623,1.050337278,-39.76440299,-1.599579658,-3.733671238,8.972517302,-4.723068328,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,7e9ffca9-f7b5-11e9-a93b-04ea56cad207,143.7402279,,,13.19320279,-0.524302928,0.505498883,-0.212030065,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
9.0,10/26/2019,2:57:56 PM,3,3,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Stretch,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,144.0703304,-0.65493604,-0.211113393,2164.683743,226.021803,1:30,1.56740116,0.334779802,1.850675317,-54.20927129,33.66229779,34.97050565,0.840606234,0.624950306,131.2990631,-4.680773426,2.393924907,0.423329809,,,,,,,,,,,,-19.16365492,18.78219919,-0.332043205,15.24,1.548512231,0.014274605,-39.72100752,-0.658812895,-3.934968866,8.735628216,-5.950007343,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,8e78f493-f7b5-11e9-a93b-04ea56cad207,143.2925315,,,12.77126731,-0.628158962,0.75088503,-0.671107503,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
10.0,10/26/2019,2:58:19 PM,3,4,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Stretch,1,Top,1,1,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,144.9456219,-0.175488498,-1.972278219,2241.850603,208.3030746,1:00,1.640277626,0.304849989,1.819361534,-34.48242846,53.1546392,28.66887653,1.245839874,0.034055315,130.9993835,-2.744973661,0.164895932,0.422764565,133.7319967,42.85324397,19.06330703,3291.186065,31.31798925,26.92666188,11.97116993,86.06678982,37.35903334,22.51369106,5.041227417,-17.07863583,28.95434452,-0.259210179,15.24,1.633757313,1.264246172,-39.921533,-0.255261029,-3.52507609,9.205635066,-3.830395891,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,99780b5a-f7b5-11e9-a93b-04ea56cad207,143.4841162,30.2515695,1.794687339,13.94623832,0.346678658,1.241746949,-0.034310038,0.332042682,1.241040838,-0.034355801,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
11.0,10/26/2019,2:59:03 PM,4,1,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kai, Aoyama",1000073900,Right,TOK,Stretch,1,Top,2,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,143.4764926,-2.428836933,-2.918634453,2298.044803,215.4571397,1:15,1.645463419,0.270223041,1.903155128,-41.11895157,48.60521818,34.67501482,0.550266541,-0.20412299,128.5070526,-5.516414013,-0.306844893,0.427769075,134.9966967,33.24919111,42.02289043,5296.030343,22.6037712,17.10766117,24.76274472,79.26093393,63.30656366,55.93690896,3.972876587,-21.57706652,28.802702,-0.20613813,15.24,1.587976319,1.886853856,-39.44283799,-1.82236154,-4.29483717,9.903835268,-4.073576182,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,b45019e4-f7b5-11e9-a93b-04ea56cad207,141.8054824,18.80145512,2.914725193,14.96944001,0.19594399,0.527376638,0.205292488,0.182801802,0.52609464,0.205352135,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
12.0,10/26/2019,2:59:32 PM,4,2,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kai, Aoyama",1000073900,Right,TOK,Stretch,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.3696885,-1.857840552,-0.18648669,2191.034451,208.7755776,1:00,1.627994029,0.370132391,1.862809665,-43.5125361,45.4021696,24.98077113,0.669162066,0.567389894,130.2614182,-5.093101962,1.6790176,0.425835102,,,,,,,,,,,,-13.74931425,26.15131232,-0.367346613,15.24,1.581892172,0.035673501,-39.50457076,-1.443237498,-2.784078243,8.872866984,-4.511309568,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,c635791b-f7b5-11e9-a93b-04ea56cad207,142.4495062,,,13.10827033,-0.897385528,0.547003542,-0.60844307,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
13.0,10/26/2019,2:59:52 PM,4,3,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kai, Aoyama",1000073900,Right,TOK,Stretch,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,129.1995396,-0.556045167,-2.725303335,2247.712829,355.2106519,5:45,1.575206572,0.36399954,1.771425226,-119.2725039,-8.613134,0.712935146,0.224723504,-0.401763151,118.7287262,-9.313216499,-2.672523025,0.475060319,,,,,,,,,,,,-2.415377236,-4.223567532,-0.296049423,15.24,1.552867132,1.690440429,-35.5654969,-0.768446135,-0.397491318,7.023128577,-10.50170972,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,cf28288e-f7b5-11e9-a93b-04ea56cad207,127.6890481,,,10.47081344,0.250433786,0.194766722,0.410227911,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
14.0,10/26/2019,3:00:23 PM,4,4,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kai, Aoyama",1000073900,Right,TOK,Stretch,1,Top,2,2,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,119.2590191,2.800947982,-1.624436347,2010.711723,11.21156944,6:15,1.629175634,0.306668019,1.659303409,-172.0155183,-38.64859648,-7.635883439,0.709206073,-0.233334192,108.3109612,-9.849864135,-2.190213226,0.521529314,,,,,,,,,,,,2.709563593,-22.95596286,-0.26236084,15.24,1.690730487,0.955464407,-32.76473186,1.011690076,0.373690194,6.621680573,-12.97262781,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,e10d87c2-f7b5-11e9-a93b-04ea56cad207,116.3117747,,,10.94805794,-0.468345471,0.546237022,0.268051772,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
15.0,10/26/2019,3:00:50 PM,4,5,"Hirokazu, Asayama",1000073755,Right,HOS_HOS,"Kai, Aoyama",1000073900,Right,TOK,Stretch,1,Top,2,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,120.6693365,1.561288955,-2.762798143,2006.690694,12.96498133,6:30,1.621923162,0.355461262,1.789078115,-166.3252759,-39.09165792,-8.972316636,0.401258528,-0.516951927,110.8769279,-10.67632885,-3.428916398,0.50939608,93.50421493,-0.430818062,34.55392802,,,,,6.192844883,5.984609755,38.05454336,0.227053833,2.685377616,-22.34339157,-0.286755962,15.24,1.648939615,1.631285345,-33.19731127,0.363264706,0.38308914,6.391993435,-12.99410141,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,f2f2e6f8-f7b5-11e9-a93b-04ea56cad207,119.0821885,0.351124759,0.219240927,9.792408508,0.184598989,0.354095388,0.531789265,0.169194266,0.351124759,0.532715581,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
16.0,10/26/2019,3:03:17 PM,1,1,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,0,0,Sinker,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,126.1498059,1.05044211,1.60213807,987.7569074,102.9163849,9:30,1.420352725,-0.293922127,1.71194903,-112.5240365,3.550770594,-15.95901942,0.594032269,0.002290908,115.9935974,-7.201424637,0.426689036,0.486545708,,,,,,,,,,,,9.629566571,1.167364581,0.25352877,15.24,1.439000392,-0.914560183,-34.75407815,0.232019318,1.524023217,6.28232518,-9.621897061,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,4c6dc250-f7b6-11e9-a93b-04ea56cad207,124.6748231,,,10.1562085,-0.512826446,0.470096427,-0.008676988,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
17.0,10/26/2019,3:03:48 PM,1,2,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,134.3979869,-0.30158821,3.218707965,2088.007549,145.8461978,10:45,1.465296495,-0.299196221,1.777862722,-67.19736504,34.80699847,-23.67887252,0.707755491,0.376746159,122.5827576,-5.266190035,1.466677065,0.456104162,,,,,,,,,,,,15.08464745,18.96358262,0.220891931,15.24,1.453060974,-1.992977425,-36.98976132,-0.442437367,2.692902236,7.404959121,-6.421282578,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,5e532143-f7b6-11e9-a93b-04ea56cad207,132.9959362,,,11.81522936,-0.388246249,0.6300553,-0.397006076,,,,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
18.0,10/26/2019,3:04:05 PM,1,3,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,0,2,Sinker,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,124.8392754,0.662861441,3.080226998,1001.277406,58.00224046,8:00,1.382155524,-0.318989445,1.688903071,-133.5609808,-14.43949149,-22.93077318,0.235626767,0.329874415,115.2159714,-9.084940253,1.395503395,0.492889671,81.70355443,-43.24561203,-2.249375148,,,,,1.11148009,1.11148009,-17.50342472,0.01847168,14.3490344,-8.148585747,0.239487747,15.24,1.389110926,-1.766041556,-34.35569332,-0.083662584,2.218748156,6.15062916,-11.06664138,HOS_HOS,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-2,6745d0d7-f7b6-11e9-a93b-04ea56cad207,123.0701383,0.28672487,0.020792401,9.62330403,0.819551106,0.296742888,-0.320272983,0.75519825,0.28672487,-0.321887952,d6940330-f7b2-11e9-a93b-04ea56cad207,19A
