PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,10/26/2019,11:01:07 AM,1,1,"Seiya, Tanaka",1000074134,Left,RIK,"Wataru, Hioki ",1000073666,Right,MEI_MEI,Windup,1,Top,0,0,0,Fastball,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,4496273b-3f17-40cf-975f-a0605dc3d763,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
2,10/26/2019,11:01:21 AM,1,2,"Seiya, Tanaka",1000074134,Left,RIK,"Wataru, Hioki ",1000073666,Right,MEI_MEI,Windup,1,Top,0,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,0f5c606d-1d50-4f6a-9cad-899924fade64,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
3,10/26/2019,11:01:38 AM,1,3,"Seiya, Tanaka",1000074134,Left,RIK,"Wataru, Hioki ",1000073666,Right,MEI_MEI,Windup,1,Top,0,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,4ecb4bb7-9a04-49cb-9b88-ca4f2afcb0cd,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
4,10/26/2019,11:01:58 AM,1,4,"Seiya, Tanaka",1000074134,Left,RIK,"Wataru, Hioki ",1000073666,Right,MEI_MEI,Windup,1,Top,0,2,1,ChangeUp,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,f0abbdef-7899-49b0-a468-324d15477b5a,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
5,10/26/2019,11:02:26 AM,2,1,"Seiya, Tanaka",1000074134,Left,RIK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,1,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,b3c7bb6c-d695-4fc8-8c5f-6c9ebe2a8c8f,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
6,10/26/2019,11:02:39 AM,2,2,"Seiya, Tanaka",1000074134,Left,RIK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,1,0,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,287e3d69-dfab-467d-8df6-47ece56f967b,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
7,10/26/2019,11:02:52 AM,2,3,"Seiya, Tanaka",1000074134,Left,RIK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,1,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,c453ae6f-7942-404a-a8c9-36e72713b757,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
8,10/26/2019,11:03:08 AM,2,4,"Seiya, Tanaka",1000074134,Left,RIK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,1,2,1,ChangeUp,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,768ff6e2-da54-4b22-b62f-6dece08aa993,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
9,10/26/2019,11:03:45 AM,2,5,"Seiya, Tanaka",1000074134,Left,RIK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,1,2,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,755692e4-f801-11e9-8e1f-000d3a10640a,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
10,10/26/2019,11:04:22 AM,3,1,"Seiya, Tanaka",1000074134,Left,RIK,"Shun, Uchiyama",1000073614,Left,MEI_MEI,Stretch,1,Top,1,0,0,Slider,Undefined,InPlay,Undefined,FlyBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20191026-TokyoBig6Jingu-1,755692e3-f801-11e9-8e1f-000d3a10640a,,,,,,,,,,,c0d875df-f790-11e9-a93a-04ea56cad207,19A
