PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,11/02/2019,1:04:49 PM,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.584584,-2.933557534,1.339270827,2370.062657,167.7814908,11:30,1.785064899,-0.386241781,1.815089534,-35.93312723,49.64657338,-10.76818233,0.595692226,-0.115346559,133.3636826,-5.592250441,0.538354157,0.417772685,,,,,,,,,,,,6.829858323,29.06899872,0.354586259,15.24,1.711669966,-0.900995023,-40.3435833,-2.208777504,1.445800259,9.06222181,-3.653086651,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,e9e4f0e2-fd25-11e9-a942-04ea56cad207,145.1985785,,,13.22090139,-0.503407111,0.502648032,0.106999564,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
2,11/02/2019,1:05:00 PM,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,0,1,Sinker,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.1521908,-2.220554497,0.330121924,2127.456754,166.2891737,11:30,1.771243531,-0.378802802,1.794690968,-36.418034,52.37358981,-12.79815768,0.778368687,-0.413365925,130.7744247,-4.919085312,-0.622135634,0.425540265,,,,,,,,,,,,7.168904516,30.00482132,0.371584657,15.24,1.714251954,-0.178871373,-39.6949052,-1.681039948,1.465240342,8.979744568,-3.674015014,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,f09b8cbf-fd25-11e9-a942-04ea56cad207,142.548203,,,13.37776609,-0.46201663,0.700072478,0.423551212,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
3,11/02/2019,1:05:13 PM,1,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kento, Nakamura",1000073422,Right,KEI_KEI,Windup,1,Top,0,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,147.3749671,-3.542140254,0.09946059,2335.562695,162.0323774,11:30,1.773390652,-0.356528135,1.822794738,-28.59953948,57.12373459,-18.55108282,0.485504781,-0.513942508,132.2967041,-5.670520306,-1.290952119,0.418122978,,,,,,,,,,,,10.170747,34.08213181,0.355353287,15.24,1.686267965,0.001512129,-40.51117426,-2.618428773,2.140073,10.28226545,-2.635274086,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,f880e2ed-fd25-11e9-a942-04ea56cad207,145.0769347,,,15.07826298,-0.320752806,0.409982941,0.531406817,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
4,11/02/2019,1:05:47 PM,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,0,0,Sinker,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,147.6976236,-3.750468133,2.758511141,2333.330161,167.088284,11:30,1.74975606,-0.410192637,1.878908667,-40.80479254,42.7193993,-9.811245574,0.28318177,0.268840248,135.190036,-6.764277669,2.028859418,0.412725024,,,,,,,,,,,,7.30775814,25.94582212,0.347146304,15.24,1.660540405,-1.919203315,-40.60717014,-2.820272906,1.574996995,8.78018632,-4.214703593,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,0ce772e7-fd26-11e9-a942-04ea56cad207,146.9743692,,,12.50758764,-0.095557469,0.220064352,-0.287394964,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
5,11/02/2019,1:05:59 PM,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,1,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,148.4907383,-2.599187573,2.542073,2424.72861,171.250191,11:45,1.749706758,-0.388988268,1.807428892,-35.82316887,47.32318087,-7.295604858,0.655309603,0.257314651,135.7220215,-5.242562449,2.001829851,0.411790434,,,,,,,,,,,,5.739889196,27.40186597,0.327660168,15.24,1.683994161,-1.785008276,-40.86395006,-2.000322356,1.253403777,8.850385398,-3.822980082,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,13b12054-fd26-11e9-a942-04ea56cad207,147.3079386,,,12.76871678,-0.430252577,0.574932436,-0.287195216,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
6,11/02/2019,1:06:11 PM,2,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,136.8308982,-1.302741061,3.090088694,2640.467639,266.9113738,3:00,1.724882095,-0.462738097,1.784119418,-95.76006326,1.035569216,20.87843243,0.397792517,0.621894516,128.0540314,-8.258974936,4.617740545,0.444306371,,,,,,,,,,,,-9.365225605,1.331059911,0.384822164,15.24,1.685840072,-2.114554797,-37.70287774,-1.221819184,-1.768228701,6.428255825,-9.555335356,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,1af92304-fd26-11e9-a942-04ea56cad207,136.5274142,,,8.77686686,-0.15211906,0.311301615,-0.669375226,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
7,11/02/2019,1:06:24 PM,2,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,147.3557106,-2.022899832,2.527061555,2390.435779,166.3442098,11:30,1.732863427,-0.404135251,1.88140139,-38.57420229,45.96778892,-11.18748148,0.776954401,0.195731291,133.0572601,-4.903603067,1.689448589,0.415232078,148.8073663,29.06960561,-65.47693112,4388.292824,10.96316477,16.01640929,-31.68489177,100.2456879,47.37566885,-79.88326461,4.29477478,8.146953829,26.75257034,0.346622197,15.24,1.683897933,-1.747621084,-40.55032195,-1.578600584,1.729012652,9.772339178,-4.129002433,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,23d65e27-fd26-11e9-a942-04ea56cad207,146.0869795,20.05057841,1.628632756,14.29845046,0.00018246,0.739565689,-0.208362485,-0.031406898,0.736802273,-0.209279111,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
8,11/02/2019,1:06:47 PM,2,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,134.4210291,1.468716463,1.77124924,2308.31703,261.323355,2:45,1.749313906,-0.408916342,1.748323985,-97.9282565,3.261331056,21.99460004,1.187125757,0.313848767,124.2262024,-5.708126707,3.386515786,0.454278908,,,,,,,,,,,,-10.63173547,0.799736106,0.362400952,15.24,1.779316932,-1.228911466,-37.04840051,0.579798948,-1.925121686,6.676203098,-9.661839275,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,30959416-fd26-11e9-a942-04ea56cad207,133.5303026,,,10.19482671,-0.515108983,1.088347115,-0.370772057,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
9,11/02/2019,1:07:01 PM,2,6,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,1,3,2,Sinker,Fastball,InPlay,Undefined,Popup,Out,1,0,,148.4586516,-1.733137838,1.101760659,2049.384203,165.1765895,11:30,1.741235234,-0.389549453,1.867224296,-39.29516703,42.26743811,-11.20631161,0.859797526,-0.191194453,137.0312485,-4.633860455,0.271996268,0.407849754,109.4752568,45.51916408,14.71962094,3401.217161,32.57856098,23.96479034,7.922261721,64.99776892,63.92218427,11.08247798,4.685082397,6.77699884,24.03036146,0.364627529,15.24,1.698415223,-0.743861247,-40.95171648,-1.392626691,1.501704698,8.024134423,-4.481799349,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,3a6d1784-fd26-11e9-a942-04ea56cad207,148.7312409,24.08498164,4.592813793,11.42740312,0.311359321,0.850009469,0.190630069,0.311696847,0.850036972,0.19063163,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
10,11/02/2019,1:07:39 PM,3,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Tatsuru, Yanagimachi",1000069640,Left,KEI_KEI,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,148.94014,-2.636664485,2.117757816,2273.58402,164.0549327,11:30,1.751608884,-0.402552921,1.845189505,-30.86922022,50.8709013,-14.5561855,0.698086863,0.049570927,136.8689941,-4.914999841,1.039918231,0.408293343,,,,,,,,,,,,9.286767849,29.30395351,0.353400922,15.24,1.68717144,-1.459534309,-41.0239688,-2.012379307,2.056746457,8.393744613,-3.316684541,WAS_EDA,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191102-TokyoBig6Jingu-1,4c527546-fd26-11e9-a942-04ea56cad207,148.5696521,,,12.07114585,-0.3474086,0.630209898,-0.063310206,,,,1a8fbfc2-fd22-11e9-a942-04ea56cad207,19A
