PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/9/19,16:37.8,2020/9/19,16:37.8,1,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kota, Fuje",1000073640.0,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,150.17593,-3.362365,2.894554,2429.629216,158.726341,11:15,1.804353,-0.350956,1.801152,-24.5922,58.2915,-21.5067,0.604895,0.253555,135.31443,-5.295423,1.377483,0.411139,,,,,,,,,,,,13.2462,33.304,0.281536,15.24,1.72023,-1.962693,-41.143783,-2.476645,2.893586,10.074982,-2.531489,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,e98b46c0-fa2e-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.54119,,,14.86149,,,,16.637544,-41.484591,5.037491,1.80256,-2.391012,-1.265744,0.349584,-2.060575,1.446793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
2,2020/9/19,16:48.2,2020/9/19,16:48.2,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kota, Fuje",1000073640.0,Right,MEI_MEI,Undefined,1,Top,0,0,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,151.03406,-2.497809,3.039146,1237.819367,159.747646,11:15,1.798007,-0.335566,1.786943,-24.3212,57.6298,-20.1627,0.846091,0.324155,136.06587,-4.411105,1.618506,0.40882,,,,,,,,,,,,12.5726,32.08,0.261743,15.24,1.734408,-2.084311,-41.397273,-1.862268,2.783257,10.113366,-2.704928,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,efb752f0-fa2e-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,148.37841,,,14.96818,,,,16.651354,-41.740643,5.056683,1.796077,-1.77043,-1.352464,0.334114,-2.178809,1.391628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
3,2020/9/19,16:59.7,2020/9/19,16:59.7,1,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kota, Fuje",1000073640.0,Right,MEI_MEI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,150.8375,-3.219123,2.64987,2492.808523,166.145074,11:30,1.797578,-0.283127,1.720901,-19.8475,62.6478,-14.7358,0.681946,0.323423,136.55286,-4.800856,1.615501,0.410175,,,,,,,,,,,,9.4474,34.9637,0.215697,15.24,1.712724,-1.83086,-41.345942,-2.365984,2.096065,9.69616,-2.049373,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,f6963460-fa2e-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.88807,,,14.28464,,,,16.718091,-41.691133,4.84808,1.795656,-2.293025,-1.024686,0.282205,-1.905481,1.048032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.39494,2.354075,1.511424,0.842651,-0.395552,0.611625,-0.346378,0.366962,1.494735,-1.37387,20.307703,2.036355,-17.724428,0.400459,25.364335,-2.044818,1.509182,3.847923,-3.815127,-1.43096,-21.696126,2.767289,御手洗 悠,20A
4,2020/9/19,17:25.9,2020/9/19,17:25.9,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,150.21154,-3.789824,1.341787,2504.782033,161.73664,11:30,1.793863,-0.34446,1.790538,-23.5478,58.903,-18.4793,0.483664,-0.149338,136.12434,-5.633003,0.037076,0.410065,,,,,,,,,,,,10.4018,33.7608,0.312638,15.24,1.698663,-0.863971,-41.195168,-2.783539,2.290136,9.657467,-2.373655,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,06349e20-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.92791,,,14.0872,,,,16.648375,-41.524024,4.828733,1.792072,-2.702711,-1.186828,0.343386,-0.941954,1.145068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
5,2020/9/19,17:36.8,2020/9/19,17:36.8,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,152.28462,-3.361293,0.807186,2550.104326,162.286281,11:30,1.806533,-0.303863,1.785537,-21.8388,58.0946,-17.6854,0.635118,-0.252126,138.3651,-5.074902,-0.44137,0.403756,141.82824,15.363571,-6.714797,1357.44629,33.346276,7.522358,-3.48581,82.95373,,-6.144036,3.050243,9.6706,33.0686,0.285165,15.24,1.721857,-0.493973,-41.812143,-2.509353,2.198502,9.749995,-2.288899,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,0cb273d0-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.23928,8.31727,,13.91952,,,,16.654074,-42.140595,4.874998,1.805092,-2.432246,-1.14445,0.303053,-0.568035,1.099251,0.440901,0.635912,0.25387,183.947162,0.440901,37.728055,-5.848966,1.19695,-0.21387,0.029161,-0.002295,-1.9e-05,1.5e-05,0.635918,10.438502,-3.575266,0.052015,-0.063956,0.047028,-0.016597,0.003068,-0.000232,0.253871,-4.441706,0.888952,-0.213506,0.024864,0.006969,-0.004254,0.000875,-6.8e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
6,2020/9/19,18:26.0,2020/9/19,18:26.0,3,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,148.41821,-3.011749,2.223621,2447.092097,159.810085,11:15,1.799145,-0.346121,1.803888,-27.2267,56.445,-19.7452,0.673559,0.085708,135.37775,-5.109025,0.829284,0.413089,,,,,,,,,,,,11.6573,31.8368,0.293146,15.24,1.723633,-1.477925,-40.751734,-2.220244,2.529624,8.866027,-2.898073,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,2a0ea070-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.84475,,,13.04046,,,,16.635472,-41.054213,4.433014,1.797694,-2.121371,-1.449036,0.34504,-1.564227,1.264812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.241,,1.99424,,-0.434384,0.595024,-0.097683,-0.225074,1.776844,-0.410335,,,,-0.215766,19.157415,-1.24425,1.785105,2.75971,-4.292211,-0.413167,0.891582,0.329815,御手洗 悠,20A
7,2020/9/19,18:45.1,2020/9/19,18:45.1,3,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,131.73787,0.456974,2.353529,2911.711283,279.537881,3:15,1.696301,-0.444371,1.739441,-109.8144,-2.0472,33.6381,0.728042,0.560743,120.06087,-7.477469,4.719562,0.468811,,,,,,,,,,,,-15.162,-0.2192,0.381773,15.24,1.699912,-1.650051,-36.18441,-0.159542,-2.567589,7.647208,-9.843767,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,356b41d0-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,129.39112,,,11.67699,,,,16.700113,-36.491686,3.823604,1.698376,0.235994,-4.921884,0.446002,-1.546882,-1.283795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
8,2020/9/19,19:18.8,2020/9/19,19:18.8,3,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,1,1,1,Cutter,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,1,,,137.49653,0.093211,1.853213,2611.725254,215.915983,1:15,1.753898,-0.371446,1.764424,-85.6482,10.2854,5.6588,0.92386,0.210794,128.11424,-6.091608,2.252199,0.442323,137.22481,-8.71191,18.102071,,,,,5.818547,,14.129673,0.140055,-1.8402,5.897,0.324501,15.24,1.749938,-1.252521,-37.888377,-0.288484,-0.351487,6.363501,-8.680273,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,4978ec90-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,137.13947,0.899983,,9.38228,,,,16.676268,-38.128841,3.181751,1.754641,0.039526,-4.340137,0.37158,-1.239239,-0.175743,0.681841,0.899983,-0.221121,283.444272,0.681866,35.810992,-2.798101,,,,,,,0.90001,-5.776133,-4.642308,,,,,,,-0.221127,11.707576,0.09362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
9,2020/9/19,19:57.0,2020/9/19,19:57.1,4,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Fuma, Shimizu",1000073553.0,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,1,,,150.79827,-3.007777,1.0349,2510.600819,160.33219,11:15,1.806501,-0.320627,1.770208,-21.1086,60.8738,-20.7205,0.741956,-0.234464,136.38372,-4.683665,-0.426394,0.408898,107.25466,37.452538,132.450021,3285.534533,-24.665611,13.358337,22.709775,59.094241,,141.870824,3.146167,11.3937,34.276,0.296267,15.24,1.729826,-0.635771,-41.392586,-2.22109,2.527178,9.930646,-2.204088,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,604c6e10-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,148.35,13.441281,,14.41455,,,,16.669177,-41.734057,4.965323,1.804896,-2.145301,-1.102044,0.319622,-0.722669,1.263589,0.698799,0.686242,0.219489,310.998608,0.698846,-15.965595,-0.077602,0.150794,0.005856,-0.016571,0.006517,-0.001092,6.9e-05,0.686274,18.11581,-7.230205,0.698244,-0.118516,0.011226,0.001045,-0.000289,1.7e-05,0.219517,17.450304,-2.70389,0.422281,-0.061584,0.002104,0.000547,-6.7e-05,4e-06,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
10,2020/9/19,20:22.6,2020/9/19,20:22.6,4,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Fuma, Shimizu",1000073553.0,Right,MEI_MEI,Undefined,1,Top,2,0,1,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,1,,,138.46443,-1.436804,1.345432,1288.952989,218.03802,1:15,1.759427,-0.305739,1.798091,-73.6484,21.402,14.6053,0.616191,0.221084,128.09464,-6.791957,2.378067,0.440283,,,,,,,,,,,,-6.7272,12.6856,0.271698,15.24,1.719055,-0.962978,-38.125818,-1.245408,-1.28831,7.16492,-7.377249,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20200919-JinguStadium-2,6f858650-fa2f-11ea-bc10-cbefd1bd5851,59c38ecb-eec8-47c7-b3df-0da571cfc237,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,137.77507,,,10.36979,,,,16.64249,-38.388481,3.58246,1.759754,-0.974962,-3.688624,0.306134,-0.915749,-0.644155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
