PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runer,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/9/20,10:54.5,2020/9/20,10:54.5,1,1,"Kei, Nishiyama",1000073965,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,0,Curveball,Other,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,102.08747,4.07191,0.098054,2144.346785,43.797535,7:30,1.647618,0.587831,1.775513,-205.6508,-27.0205,-31.5439,0.746838,0.300176,93.65696,-10.751146,-2.129884,0.603576,,,,,,,,,,,,16.0605,-14.939,-0.588063,15.24,1.734767,0.069843,-28.033709,1.341568,1.634921,4.532841,-11.327397,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,46464d60-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,100.50094,,,8.43051,,,,16.665582,-28.263275,2.26642,1.652296,1.915245,-5.663698,-0.589504,-0.012957,0.81746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
2,2020/9/20,11:08.0,2020/9/20,11:08.0,1,2,"Kei, Nishiyama",1000073965,Right,TOK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,1,Curveball,Other,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,105.03316,2.780714,-1.109545,2239.68685,38.263347,7:15,1.635466,0.593749,1.782702,-199.579,-31.111,-28.914,0.428012,-0.009682,96.66084,-11.57383,-3.15549,0.586156,165.56436,9.512629,24.075753,2296.532447,29.949168,1.815568,15.072287,44.803457,,27.984906,1.1321,13.9997,-16.771,-0.564155,15.24,1.690272,0.665668,-28.877508,0.761054,1.508969,4.897332,-11.614326,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,4e54fc40-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,103.48774,2.368696,,8.37232,,,,16.658656,-29.117104,2.448666,1.639139,1.32927,-5.807163,-0.594916,0.591844,0.754484,0.837236,0.481103,-0.02072,295.253158,0.837236,41.411883,-7.580314,1.330729,-0.270006,0.032599,0.021298,-0.020294,0.005908,0.481103,7.600548,-8.216962,1.252574,-0.286129,0.056383,0.005136,-0.011516,0.003686,-0.02072,18.503414,0.695839,-0.734501,0.215077,-0.044604,-0.012358,0.016951,-0.005293,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
3,2020/9/20,12:20.6,2020/9/20,12:20.6,2,1,"Kei, Nishiyama",1000073965,Right,TOK,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,129.44819,0.096374,-2.562622,1515.698976,196.752367,12:30,1.611201,0.657945,1.993767,-82.1377,25.0523,6.5181,0.816791,0.006287,118.46152,-5.989723,-2.096923,0.467554,,,,,,,,,,,,-5.2598,14.1346,-0.604163,15.24,1.609044,1.566589,-35.615432,-0.207456,-0.870855,6.839782,-7.466422,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,799d00a0-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,129.73896,,,10.98666,,,,16.445628,-35.84622,3.419891,1.611794,0.044476,-3.733211,-0.657518,1.595973,-0.435427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
4,2020/9/20,13:10.2,2020/9/20,13:10.2,2,2,"Kei, Nishiyama",1000073965,Right,TOK,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,0,0,1,ChangeUp,Slider,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,,,126.37089,2.135079,-1.872018,1094.204729,144.948627,10:45,1.591641,0.72138,1.800317,-96.0541,18.1513,-10.4663,1.235756,0.0869,116.48585,-4.863639,-2.61056,0.482612,,,,,,,,,,,,4.1879,8.8576,-0.674822,15.24,1.637267,1.181775,-34.768119,0.947804,0.667532,5.907166,-8.394772,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,9728c8c0-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,125.69109,,,9.88504,,,,16.639871,-35.005152,2.953583,1.592477,1.284655,-4.197386,-0.721704,1.154989,0.333766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
5,2020/9/20,13:53.4,2020/9/20,13:53.4,3,1,"Kei, Nishiyama",1000073965,Right,TOK,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,0,0,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,2,,,127.28689,0.62123,-1.784131,1096.4221,121.229386,10:00,1.579181,0.683521,1.848067,-97.0497,15.0893,-19.4529,0.784016,-0.014447,117.36751,-6.455123,-3.162281,0.478226,,,,,,,,,,,,8.8127,8.4159,-0.64013,15.24,1.587663,1.176589,-35.037149,0.029468,1.42145,6.21755,-8.449202,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,b0ec6550-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,126.84388,,,9.91938,,,,16.591744,-35.276208,3.108775,1.580285,0.354333,-4.224601,-0.684318,1.121936,0.710725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
6,2020/9/20,14:16.5,2020/9/20,14:16.5,3,2,"Kei, Nishiyama",1000073965,Right,TOK,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,0,1,ChangeUp,Slider,InPlay,Undefined,FlyBall,FlyBall,Single,0,0,2,,,126.76858,0.331887,-2.476109,1381.648947,82.730222,8:45,1.575642,0.687754,1.83835,-112.6883,0.3831,-22.2409,0.542524,-0.233984,117.47128,-7.820171,-4.050488,0.48021,119.10852,26.470863,15.769921,1453.350238,32.066268,11.719122,9.791858,76.030741,,17.315939,3.410949,9.8869,0.8743,-0.627311,15.24,1.576148,1.603857,-34.898025,-0.212466,1.58382,6.10156,-9.666595,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,beaf7f60-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,126.31978,12.235071,,9.2973,,,,16.602198,-35.135384,3.05078,1.577099,0.163578,-4.833298,-0.688504,1.542245,0.79191,0.33801,0.486251,0.242878,195.790208,0.338011,28.502837,-3.918391,0.894879,-0.187309,0.042015,-0.009888,0.001634,-0.000117,0.486263,14.74653,-4.913271,0.193647,0.006011,-0.020242,0.008348,-0.001411,9.1e-05,0.242882,8.048637,-0.533384,0.015886,0.023805,-0.014182,0.004158,-0.000648,4.2e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
7,2020/9/20,15:08.9,2020/9/20,15:08.9,4,1,"Kei, Nishiyama",1000073965,Right,TOK,"Yudai, Murata",1000073800,Left,HOS_HOS,Undefined,1,Top,1,0,0,Curveball,Other,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",,,105.46257,2.630877,-0.335726,2221.812997,36.359039,7:15,1.598972,0.612245,1.772982,-195.6825,-28.7753,-25.1881,0.388263,0.26522,97.14799,-11.440048,-2.118049,0.583435,,,,,,,,,,,,12.6285,-15.2119,-0.602042,15.24,1.650674,0.264403,-29.004082,0.694407,1.376233,4.847818,-11.464418,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,ddf098a0-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,103.97053,,,8.31458,,,,16.668224,-29.241825,2.423909,1.602834,1.256636,-5.732209,-0.613353,0.196911,0.688116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
8,2020/9/20,15:29.1,2020/9/20,15:29.1,4,2,"Kei, Nishiyama",1000073965,Right,TOK,"Yudai, Murata",1000073800,Left,HOS_HOS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,3",,,133.91219,-0.03123,-2.627038,1803.384427,184.524997,12:15,1.591121,0.616524,1.977638,-59.035,41.0061,3.0025,0.992022,-0.089073,122.68884,-4.449255,-2.41288,0.451694,,,,,,,,,,,,-3.3888,22.4358,-0.560484,15.24,1.587264,1.677503,-36.847076,-0.204324,-0.602875,7.060617,-5.815215,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,e9f2c8d0-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,134.29455,,,11.22336,,,,16.461728,-37.080444,3.530309,1.590841,-0.012119,-2.907608,-0.616258,1.697429,-0.301438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
9,2020/9/20,15:48.6,2020/9/20,15:48.6,4,3,"Kei, Nishiyama",1000073965,Right,TOK,"Yudai, Murata",1000073800,Left,HOS_HOS,Undefined,1,Top,1,1,1,Cutter,Slider,InPlay,Undefined,GroundBall,GroundBall,Single,0,1,"1,3",,,129.17489,-0.314668,-2.254169,2226.463504,154.256381,11:15,1.563845,0.694177,1.832322,-88.2498,19.7844,-8.1629,0.592427,-0.024267,120.34286,-6.722094,-2.831876,0.469392,161.72184,-0.286513,24.690725,,,,,12.336129,,24.380923,0.269984,2.9011,11.2232,-0.639703,15.24,1.550417,1.435723,-35.586371,-0.51722,0.487834,5.745007,-7.919399,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,f599e0b0-faf7-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,129.2311,0.640411,,8.83203,,,,16.608205,-35.806571,2.872504,1.564425,-0.213678,-3.9597,-0.694374,1.417025,0.243917,0.757202,0.640411,0.015328,312.168913,0.758133,40.769414,-7.272591,,,,,,,0.641633,-0.284883,-7.763618,,,,,,,0.014846,18.788777,0.072998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
10,2020/9/20,16:38.7,2020/9/20,16:38.7,5,1,"Kei, Nishiyama",1000073965,Right,TOK,"Ryuji, Hane",1000073684,Right,HOS_HOS,Undefined,1,Top,1,0,0,Cutter,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,"1,2",,,117.64399,1.949858,-1.669758,2197.236015,85.425662,8:45,1.560047,0.706486,1.782236,-131.0198,1.4922,-29.6671,0.802562,-0.063251,108.65008,-7.523444,-3.762558,0.519855,140.724,-15.474852,26.153546,,,,,2.434444,,29.173137,0.051687,14.073,0.5866,-0.662976,15.24,1.599145,1.065899,-32.368019,0.640161,1.935611,5.350518,-9.725975,TOK,HOS_HOS,JinguStadium,TeamExclusive,Team,20200920-JinguStadium-2,1374da40-faf8-11ea-b562-133810ce320d,41e5902d-5ad0-484a-a4fd-0622f74a871c,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,116.68634,0.551043,,8.99391,,,,16.658149,-32.6016,2.675259,1.56193,1.064756,-4.862987,-0.707664,0.981398,0.967806,0.392175,0.551043,0.358505,,0.392175,33.815654,-5.378629,,,,,,,0.551051,-10.431899,-4.443633,,,,,,,0.358529,16.599283,-11.173052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
