PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/9/26,19:06.2,2020/9/26,19:06.2,1,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kota, Fuje",1000073640,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,131.17693,5.120154,-2.992305,2365.059701,258.517729,2:30,0.357508,0.682489,1.863255,-97.8999,7.957,24.4908,0.827299,0.083338,120.13802,-2.014338,-1.261986,0.464637,146.29012,23.409047,4.918552,1746.387884,33.463066,12.952472,2.083854,101.143714,,0.992481,4.10123,-14.5556,1.7196,-0.614035,15.24,0.471444,1.770606,-35.960498,2.863775,-2.485619,6.224647,-9.512992,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,664ca480-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.5534,16.358704,,11.03892,,,,16.577056,-36.191198,3.112324,0.358772,3.216349,-4.756496,-0.681365,1.862729,-1.242809,0.169423,0.781176,-0.079348,165.933381,0.169444,37.15351,-6.121364,1.402574,-0.285197,0.051765,-0.007746,0.000777,-3.6e-05,0.781174,16.144498,-4.346435,0.062167,0.024213,-0.010002,0.001966,-0.000156,3e-06,-0.079344,3.197225,-1.330933,0.300219,-0.060201,0.010829,-0.001622,0.000163,-8e-06,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
2,2020/9/26,19:38.5,2020/9/26,19:38.5,2,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,97.98556,6.738361,0.032224,2224.405379,126.258274,10:15,0.238782,0.545396,1.791519,-169.6176,26.2541,-26.8347,0.45889,0.286171,88.32124,-5.668456,-1.854355,0.632034,,,,,,,,,,,,13.6156,10.1028,-0.544342,15.24,0.393825,0.08133,-26.741334,2.680904,1.261001,4.129572,-8.87098,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,79955190-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,95.97583,,,9.66432,,,,16.647112,-26.957754,2.064786,0.241143,3.145808,-4.43549,-0.546872,0.015244,0.6305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
3,2020/9/26,19:50.6,2020/9/26,19:50.5,2,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,131.19786,5.97184,-4.999035,2389.057808,264.039353,2:45,0.354224,0.658359,1.88458,-100.4524,6.2671,29.69,1.043015,-0.45529,119.37783,-1.337566,-2.908577,0.466527,,,,,,,,,,,,-18.5583,0.2876,-0.544826,15.24,0.486506,2.998354,-35.815868,3.39064,-3.133161,6.38992,-9.758089,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,80bfe200-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.02471,,,11.82003,,,,16.555415,-36.049787,3.19496,0.355844,3.74786,-4.879045,-0.656688,3.113052,-1.56658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
4,2020/9/26,20:03.2,2020/9/26,20:03.2,2,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,123.46742,4.957475,-2.026254,2606.515339,197.196538,12:30,0.332727,0.643971,1.83297,-113.1238,6.5806,1.0053,0.605606,0.081675,113.34899,-3.270325,-1.955305,0.494094,,,,,,,,,,,,-1.7963,1.3148,-0.595594,15.24,0.444144,1.194012,-33.87113,2.534636,-0.27229,5.490431,-9.607344,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,884ed990-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,122.77014,,,10.11843,,,,16.607037,-34.092004,2.745216,0.334404,2.921127,-4.803672,-0.643848,1.204966,-0.136145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
5,2020/9/26,20:17.0,2020/9/26,20:17.0,2,4,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,2,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,124.05213,4.29701,-0.344496,2704.573624,137.782129,10:30,0.326391,0.656298,1.687653,-109.1403,10.5205,-6.7259,0.461463,0.490896,114.69662,-3.569632,-0.815738,0.494004,,,,,,,,,,,,3.188,3.8184,-0.646645,15.24,0.431419,0.235643,-34.081987,2.138703,0.492671,5.156076,-9.216553,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,908841f0-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,122.79249,,,9.35552,,,,16.752459,-34.310036,2.578038,0.327811,2.546343,-4.608277,-0.656585,0.213853,0.246335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
6,2020/9/26,20:33.9,2020/9/26,20:33.8,2,5,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,3,1,Fastball,Changeup,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,,,130.05467,5.121694,-3.62901,2350.94211,265.392778,2:45,0.33163,0.637616,2.034525,-100.7124,4.9324,23.7269,0.759285,-0.138351,118.9853,-2.287686,-1.936742,0.464172,139.14663,14.400226,51.631521,5926.807924,18.511292,6.1344,27.954388,67.492362,,62.901877,2.45512,-14.8756,0.1554,-0.564605,15.24,0.431687,2.164646,-35.65577,2.866955,-2.492672,6.241146,-9.780613,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,9a922490-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.68442,6.200867,,11.06937,,,,16.405844,-35.859257,3.120573,0.333014,3.185844,-4.890307,-0.636507,2.245917,-1.246336,0.403576,0.685509,0.099663,239.602835,0.403577,23.238036,-6.932055,1.5929,-0.363135,0.079747,-0.015341,0.002088,-0.000139,0.685509,9.612423,-4.357713,0.15766,-0.007822,-0.002827,0.001206,-0.000175,1.1e-05,0.099663,29.35227,-2.947561,0.573283,-0.113444,0.021996,-0.003987,0.000522,-3.3e-05,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
7,2020/9/26,20:52.6,2020/9/26,20:52.6,2,6,"Hayate, Nakagawa",1000074142,Right,RIK,"Rei, Nishikawa",1000126447,Right,MEI_MEI,Undefined,1,Top,1,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,,Undefined,0,0,,,,133.86777,4.72225,-5.022802,2079.90473,299.905933,4:00,0.332127,0.655546,1.922831,-124.7484,-22.1088,44.4319,0.41869,-0.314061,120.92489,-4.356493,-1.881312,0.457522,,,,,,,,,,,,-26.5706,-13.7204,-0.545396,15.24,0.431367,3.009888,-36.609784,2.545997,-4.630025,7.486746,-12.197471,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,a5c34920-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.58373,,,12.94287,,,,16.517605,-36.87013,3.743373,0.335457,2.970155,-6.098736,-0.652862,3.170894,-2.315012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
8,2020/9/26,21:28.6,2020/9/26,21:28.6,3,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,118.63993,5.440432,-0.68879,2626.00014,132.680752,10:30,0.330119,0.652229,1.78475,-106.036,26.5284,-24.1436,0.815195,0.215724,107.18936,-2.340115,-2.388298,0.519958,,,,,,,,,,,,11.718,10.7567,-0.633529,15.24,0.457772,0.494847,-32.469572,2.734395,1.606595,5.875811,-8.331851,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,bb373aa0-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,116.66334,,,11.45057,,,,16.654113,-32.724475,2.937906,0.331309,3.095844,-4.165925,-0.653485,0.425151,0.803297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
9,2020/9/26,21:50.4,2020/9/26,21:50.4,3,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,1,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,133.90605,4.812596,-2.747359,2079.804141,311.064922,4:15,0.373818,0.695561,1.839563,-131.9463,-28.6131,36.8241,0.4174,0.28781,121.00227,-4.752213,-0.146236,0.459066,,,,,,,,,,,,-20.8903,-17.1777,-0.632483,15.24,0.480263,1.584475,-36.6946,2.550234,-3.649671,7.655737,-12.807697,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,c82d40b0-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.13798,,,12.90379,,,,16.600976,-36.977456,3.827868,0.377298,3.023438,-6.403849,-0.693516,1.719319,-1.824836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
10,2020/9/26,22:26.3,2020/9/26,22:26.3,3,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,1,1,1,Fastball,Changeup,InPlay,Undefined,Popup,LineDrive,Out,1,0,1,,,132.01589,4.813641,-4.549491,2298.289608,285.065154,3:30,0.399707,0.694504,1.990494,-108.0586,-4.3977,28.0072,0.672451,-0.300138,120.30349,-3.0992,-2.560492,0.459793,88.88475,28.275638,5.78655,3128.236639,33.489208,7.120458,1.610091,47.246923,,1.093046,2.750855,-17.8036,-4.7017,-0.599456,15.24,0.496533,2.757735,-36.153753,2.671512,-3.053248,6.713014,-10.612975,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200926-JinguStadium-3,dd94af10-ffaf-11ea-bd42-0d25b18b4413,559fafee-5489-4ebc-9ed9-ab4259951942,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,131.92901,8.161849,,11.71239,,,,16.449968,-36.377726,3.356507,0.401494,3.025603,-5.306487,-0.693164,2.859604,-1.526624,0.451119,0.615673,0.305705,152.593827,0.451113,21.633808,-2.69036,0.567914,-0.103401,0.014577,-0.001725,0.000185,-1.1e-05,0.615684,11.69532,-4.75477,0.205105,-0.034466,0.007951,-0.001483,0.000344,-3.7e-05,0.305706,2.192213,-1.095396,0.208797,-0.036157,0.005668,-0.001201,0.000222,-1.8e-05,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20A
