PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/9/27,52:25.1,2020/9/27,52:25.1,1,1,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,125.91274,-0.79496,0.923083,2098.588129,99.193093,9:15,1.542413,0.724533,1.786272,-108.1572,8.1006,-27.0403,0.235694,0.715536,115.68092,-8.629073,-0.990571,0.486929,,,,,,,,,,,,14.431,5.9585,-0.745506,15.24,1.515297,-0.435777,-34.636359,-0.887957,2.257507,6.527277,-8.874537,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,3c9a76c0-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,124.5767,,,10.23182,,,,16.6533,-34.901682,3.263639,1.54406,-0.527222,-4.437268,-0.725927,-0.52754,1.128753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
2,2020/9/27,52:39.6,2020/9/27,52:39.6,1,2,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,1,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,134.16505,0.286631,-1.323291,1869.990156,173.699126,11:45,1.629932,0.67801,2.00935,-71.3905,27.4042,-2.7043,0.996097,0.281345,123.42768,-5.014002,-1.516875,0.448871,,,,,,,,,,,,0.5289,15.1608,-0.650341,15.24,1.63232,0.865596,-36.961547,-0.050627,0.095014,6.870314,-7.083311,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,4546c530-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,135.13906,,,10.73737,,,,16.430038,-37.18209,3.435157,1.630295,0.176753,-3.541655,-0.678079,0.862546,0.047507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
3,2020/9/27,52:52.6,2020/9/27,52:52.6,1,3,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,1,1,Curveball,Other,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,105.18634,4.157435,-0.298332,2205.020493,37.620063,7:15,1.615557,0.618285,1.717675,-206.6298,-36.8997,-32.7778,0.733566,0.205672,96.31823,-10.672037,-2.605231,0.588348,,,,,,,,,,,,16.2363,-19.9686,-0.608043,15.24,1.707775,0.27995,-28.875836,1.395456,1.750684,4.877105,-11.959766,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,4d0cab40-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,103.10232,,,8.86811,,,,16.723761,-29.125364,2.438553,1.620726,2.007355,-5.979883,-0.620075,0.190379,0.875342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
4,2020/9/27,53:06.5,2020/9/27,53:06.5,1,4,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,128.42315,-1.344556,-2.309861,2134.75058,134.570921,10:30,1.535316,0.666227,1.87944,-91.6692,17.8133,-14.9052,0.239704,-0.13349,119.188,-8.007905,-3.368269,0.472527,,,,,,,,,,,,6.2631,11.0477,-0.61196,15.24,1.498578,1.488988,-35.351478,-1.155319,1.03159,6.138628,-7.987014,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,55544470-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,128.37353,,,9.23516,,,,16.560781,-35.580087,3.069314,1.536065,-0.857875,-3.993507,-0.666696,1.450571,0.515795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
5,2020/9/27,53:26.4,2020/9/27,53:26.4,1,5,"Kei, Nishiyama",1000073965,Right,TOK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,2,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,128.74203,-0.583392,-1.469735,2108.103727,110.80337,9:45,1.551668,0.749883,1.862277,-99.092,9.7291,-17.6345,0.396266,0.159221,119.61948,-7.772394,-2.721846,0.471098,,,,,,,,,,,,8.205,6.3409,-0.714409,15.24,1.531761,0.986116,-35.469412,-0.723692,1.363198,6.052897,-8.753164,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,612c7e70-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,128.763,,,9.12255,,,,16.578012,-35.697015,3.026449,1.552785,-0.394553,-4.376582,-0.750526,0.934856,0.681599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.14529,2.26774,1.161954,1.105786,-0.091887,0.323532,-0.134138,-0.55099,1.335974,-0.759568,23.255661,2.028901,-14.776613,-0.538766,22.805676,-1.159797,1.364442,5.592795,-4.502541,-0.800963,-14.753591,1.89696,宮田 勝行,20A
6,2020/9/27,53:52.8,2020/9/27,53:52.8,2,1,"Kei, Nishiyama",1000073965,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,104.38714,5.827286,0.432701,2166.703478,44.952992,7:30,1.622444,0.620624,1.72363,-208.7086,-34.966,-40.9661,1.197586,0.333964,94.55937,-9.202511,-2.444435,0.595262,,,,,,,,,,,,20.8078,-20.1487,-0.628721,15.24,1.757757,-0.051778,-28.57073,2.209756,2.188151,4.92476,-11.92549,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,70ee0090-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,101.90477,,,9.82777,,,,16.717517,-28.824286,2.46238,1.628179,2.82375,-5.962745,-0.623155,-0.164437,1.094076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
7,2020/9/27,54:05.7,2020/9/27,54:05.7,2,2,"Kei, Nishiyama",1000073965,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,135.09212,-2.772285,-1.743506,1895.560598,180.448746,12:00,1.56768,0.665939,2.003601,-66.875,30.9754,0.2194,0.123472,0.180898,124.68437,-7.71059,-1.727797,0.446721,,,,,,,,,,,,-1.3011,19.1049,-0.629466,15.24,1.506189,1.130591,-37.172796,-2.020366,-0.236002,7.062148,-6.341201,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,789cb520-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,135.78954,,,10.40775,,,,16.43638,-37.399395,3.531074,1.567752,-1.816899,-3.1706,-0.665864,1.138163,-0.118001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
8,2020/9/27,54:24.0,2020/9/27,54:24.0,2,3,"Kei, Nishiyama",1000073965,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,132.13893,-1.482059,-1.737935,1798.091112,194.366634,12:30,1.56537,0.659626,1.977536,-66.225,36.357,8.5045,0.488118,0.258203,121.524,-6.399937,-1.130199,0.457394,,,,,,,,,,,,-5.6409,21.0487,-0.622879,15.24,1.530132,1.067236,-36.37449,-1.153782,-0.978934,6.81594,-6.153832,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,83788dc0-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.62097,,,10.61493,,,,16.461992,-36.602753,3.40797,1.565321,-0.947692,-3.076916,-0.65917,1.10002,-0.489467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
9,2020/9/27,54:38.3,2020/9/27,54:38.3,2,4,"Kei, Nishiyama",1000073965,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,122.86346,-0.223884,-3.071756,2858.234525,90.631644,9:00,1.535125,0.730075,1.758944,-118.0496,3.7529,-22.6781,0.291035,-0.368816,114.03707,-8.706293,-4.668203,0.498405,,,,,,,,,,,,9.6101,3.0204,-0.65092,15.24,1.520801,1.909723,-33.790109,-0.568836,1.442324,5.758315,-9.353336,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,8c02d540-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,121.70815,,,8.82639,,,,16.681564,-34.034885,2.879157,1.536531,-0.171241,-4.676668,-0.730796,1.848412,0.721162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
10,2020/9/27,54:59.7,2020/9/27,54:59.7,2,5,"Kei, Nishiyama",1000073965,Right,TOK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,3,1,Fastball,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,133.0544,-0.142784,-1.711839,1863.913764,172.587031,11:45,1.578455,0.683512,2.018548,-69.7383,30.7545,-3.6097,0.841202,0.169481,122.33267,-5.329653,-1.970308,0.452712,,,,,,,,,,,,0.7293,17.2462,-0.647986,15.24,1.57204,1.110711,-36.646886,-0.315041,0.128612,6.847481,-6.765505,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20200927-JinguStadium-2,98c4d300-007d-11eb-8831-b5cc4578a2a6,7cec663e-b65b-48fd-99ce-8bdec8cfe960,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,133.99242,,,10.72173,,,,16.420828,-36.866864,3.42374,1.578669,-0.097696,-3.382752,-0.683602,1.10658,0.064306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,20A
