PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/3,07:07.7,2020/10/3,07:07.7,1,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,,,145.71959,-1.280467,-1.654177,2349.605351,200.90575,12:45,1.545089,0.331989,2.104502,-35.9943,47.0238,16.9848,0.829469,0.042495,133.45812,-4.043412,-0.43133,0.411473,139.28301,27.358869,-2.045494,2356.858074,33.389728,15.806361,-3.041626,95.824013,,-10.666529,4.484186,-10.194,26.7136,-0.300901,15.24,1.518837,1.084497,-40.147777,-0.991915,-2.152243,8.411455,-4.166672,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,e78348a0-052d-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,147.42165,19.650948,,12.26146,,,,16.335312,-40.376606,4.205728,1.54428,-0.878563,-2.083336,-0.331201,1.143048,-1.076122,0.138477,0.759741,-0.03306,156.515402,0.138523,34.33792,-6.573741,1.542979,-0.281683,0.039877,-0.004473,0.000377,-1.6e-05,0.759741,17.782513,-4.222694,-0.018596,0.016324,0.002812,-0.001829,0.000366,-2.5e-05,-0.033036,-1.227774,-1.54114,0.423043,-0.081556,0.010356,-0.000703,1.1e-05,1e-06,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
2,2020/10/3,07:41.7,2020/10/3,07:41.7,2,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,146.21339,-0.439627,-2.207709,2222.251758,206.952092,1:00,1.524324,0.317622,2.003349,-36.3947,47.6897,22.8489,1.037463,-0.070973,132.90215,-3.233481,-0.573955,0.414107,,,,,,,,,,,,-13.525,26.1099,-0.272377,15.24,1.513102,1.440058,-40.227483,-0.408899,-2.849904,8.918451,-4.304916,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,fbc85710-052d-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,146.48402,,,13.31124,,,,16.435738,-40.491711,4.459225,1.523327,-0.281357,-2.152458,-0.316293,1.524492,-1.424952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
3,2020/10/3,07:54.3,2020/10/3,07:54.3,2,2,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,146.19057,-2.6931,-2.400829,2366.204571,198.545298,12:30,1.527578,0.3655,2.087527,-30.192,52.7733,16.8204,0.476021,-0.133891,133.78036,-5.032783,-1.192101,0.411342,,,,,,,,,,,,-10.5835,30.6783,-0.319372,15.24,1.473543,1.609868,-40.214675,-1.962123,-2.24016,8.502595,-3.313116,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,034e7500-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,147.46863,,,12.41022,,,,16.352069,-40.449116,4.251297,1.526385,-1.87077,-1.656558,-0.364613,1.671636,-1.12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
4,2020/10/3,08:13.0,2020/10/3,08:13.0,2,3,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,146.37324,-0.531816,-2.697448,2292.430494,209.201663,1:00,1.52797,0.343829,2.063777,-34.3071,48.3615,25.6263,1.036716,-0.151217,134.04139,-3.168178,-0.859176,0.410606,,,,,,,,,,,,-15.3162,26.6729,-0.291148,15.24,1.515601,1.780049,-40.301497,-0.463285,-3.265184,8.310561,-4.120394,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,0e70f390-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,147.73297,,,12.33185,,,,16.375813,-40.535036,4.155281,1.526993,-0.347495,-2.060197,-0.34246,1.871805,-1.632592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
5,2020/10/3,08:30.0,2020/10/3,08:30.0,2,4,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,145.85138,-1.123885,-1.73012,2603.18886,203.092866,12:45,1.521819,0.372655,2.037895,-34.0981,49.6932,20.0575,0.867347,0.090774,133.16697,-3.748182,-0.292176,0.413384,145.08125,44.803236,10.817117,4364.324385,33.156272,32.765686,4.978753,80.694691,,6.193524,6.475746,-11.8651,27.8804,-0.338371,15.24,1.497218,1.122142,-40.165015,-0.879583,-2.500006,8.648154,-3.932189,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,188e5e30-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,146.73991,41.206106,,12.68441,,,,16.401987,-40.414435,4.324077,1.52095,-0.766175,-1.966095,-0.371774,1.194244,-1.250003,0.58444,0.852666,-0.088494,173.059634,0.585446,28.070487,-6.775115,1.615258,-0.307696,0.046282,-0.005223,0.000382,-1.3e-05,0.853088,28.389091,-5.725647,0.304714,-0.000986,-0.012883,0.003121,-0.000294,1e-05,-0.08813,5.360971,-2.023058,0.553224,-0.115586,0.018081,-0.001939,0.000128,-4e-06,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
6,2020/10/3,09:08.7,2020/10/3,09:08.7,3,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,111.19688,4.407034,-0.037788,2627.713412,15.900119,6:30,1.632457,0.24916,1.916835,-199.7674,-51.3533,-16.0526,0.875099,0.078021,101.38415,-10.097019,-1.181694,0.550164,,,,,,,,,,,,8.2041,-28.1761,-0.247484,15.24,1.720591,0.082868,-30.553424,1.687868,0.987692,5.583992,-13.198754,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,2f9f36d0-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,110.25801,,,9.81273,,,,16.524918,-30.787362,2.791996,1.638296,2.240822,-6.599377,-0.250089,0.041489,0.493846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
7,2020/10/3,09:21.1,2020/10/3,09:21.1,3,2,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,145.70887,-1.263535,-0.885554,2363.670874,201.496745,12:45,1.520514,0.345595,2.041392,-32.3896,51.6827,19.2833,0.844358,0.291595,132.76714,-3.770356,0.497807,0.414077,,,,,,,,,,,,-10.7551,28.9461,-0.328409,15.24,1.49315,0.529509,-40.119868,-0.963803,-2.256924,8.772874,-3.732391,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,370a52b0-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,146.49449,,,12.94174,,,,16.397855,-40.372258,4.386437,1.519334,-0.856424,-1.866196,-0.344577,0.59444,-1.128462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
8,2020/10/3,09:36.0,2020/10/3,09:36.0,3,3,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,1,1,Splitter,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,133.51516,-0.439082,-1.513458,1327.258816,246.193397,2:15,1.601229,0.254877,2.027884,-83.1738,16.5652,30.7014,0.646965,0.139619,122.8383,-6.584211,0.689162,0.451011,,,,,,,,,,,,-17.3783,9.9001,-0.225285,15.24,1.58816,0.846553,-36.795379,-0.559618,-3.082111,7.060479,-8.050834,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,3fe2e140-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,134.49782,,,10.67687,,,,16.412506,-37.019682,3.530239,1.601876,-0.303853,-4.025417,-0.253734,0.944468,-1.541055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
9,2020/10/3,10:10.1,2020/10/3,10:10.1,3,4,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,137.593,-2.140273,-2.068767,2510.338324,163.232825,11:30,1.56169,0.288012,1.968239,-73.7724,20.9608,-5.4568,0.224046,-0.346036,126.96346,-7.556252,-2.458548,0.439547,,,,,,,,,,,,1.4519,13.3261,-0.243166,15.24,1.511594,1.391854,-37.863509,-1.677478,0.273182,7.339814,-7.299209,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,543695b0-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,138.00557,,,10.62954,,,,16.471634,-38.101512,3.669907,1.562151,-1.440791,-3.649605,-0.288156,1.382996,0.136591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
10,2020/10/3,12:49.2,2020/10/3,12:49.2,1,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,148.59401,-2.769188,-1.687548,2202.988101,218.10632,1:15,1.821728,0.228284,1.838006,-40.4198,42.1727,31.076,0.634949,0.062578,136.45033,-5.785179,0.514064,0.410417,,,,,,,,,,,,-17.1178,24.3634,-0.190076,15.24,1.753054,1.043946,-40.856103,-2.121219,-3.752789,8.487449,-4.465387,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20201003-JinguStadium-2,b30fbe40-052e-11eb-b25a-8d97726d1923,4588cd6f-922b-46a8-9335-2ff2fa9bdb76,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,147.80106,,,12.14368,,,,16.601823,-41.138035,4.243725,1.821052,-1.972889,-2.232694,-0.226824,1.168605,-1.876394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,20A
