PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/4,16:50.6,2020/10/4,16:50.6,1,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,145.24008,-1.955293,-3.976667,2092.198346,211.616647,1:00,1.603511,0.644006,1.992848,-42.2812,44.5475,25.417,0.632549,-0.215322,130.46215,-5.189823,-2.164961,0.42081,,,,,,,,,,,,-16.5469,25.866,-0.561045,15.24,1.559853,2.643618,-39.819288,-1.486075,-3.369259,9.809896,-4.53986,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,6c903330-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,144.15045,,,14.77794,,,,16.44571,-40.115228,4.904948,1.602618,-1.349119,-2.26993,-0.642329,2.74526,-1.68463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
2,2020/10/4,17:03.4,2020/10/4,17:03.3,1,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,146.6504,-0.854013,-2.196388,2069.943394,206.877543,1:00,1.651004,0.624505,2.033381,-40.8293,43.8733,20.6028,1.004377,0.217769,131.21076,-4.002268,-0.720274,0.415626,,,,,,,,,,,,-12.6307,24.681,-0.580451,15.24,1.631466,1.443402,-40.282409,-0.714347,-2.62126,10.360055,-4.684598,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,74312c20-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,145.94838,,,15.43964,,,,16.404777,-40.580867,5.180028,1.650102,-0.579391,-2.342299,-0.623121,1.518917,-1.31063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
3,2020/10/4,17:19.1,2020/10/4,17:19.1,1,3,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,,,146.42789,-1.072866,-2.36849,1945.205837,203.667364,12:45,1.645079,0.647911,2.044031,-38.9262,45.515,18.5966,0.956557,0.173486,131.67715,-4.07515,-1.035576,0.414985,113.50688,65.908624,-109.882269,4356.649176,-19.628767,26.520065,-27.181566,45.150824,,-129.713991,4.736035,-11.7699,25.7878,-0.600763,15.24,1.62142,1.576812,-40.245537,-0.861184,-2.449456,9.979642,-4.439929,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,7d95a700-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,146.17411,29.749169,,14.75073,,,,16.394924,-40.53091,4.989821,1.64423,-0.734221,-2.219965,-0.646855,1.646855,-1.224728,0.263094,0.922733,-0.166507,21.501649,0.262997,-4.375448,-2.156762,0.809661,-0.156232,0.010539,0.002425,-0.000493,2.6e-05,0.922982,28.776804,-8.800963,1.046684,-0.136909,-0.004812,0.005035,-0.000637,2.6e-05,-0.166622,-12.100765,1.166941,-0.018743,-0.020062,-0.000382,0.002709,-0.000552,3.3e-05,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
4,2020/10/4,17:41.3,2020/10/4,17:41.3,1,4,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,146.84981,-0.40153,-1.16839,2104.931041,213.697972,1:00,1.649071,0.647699,2.044349,-40.7882,42.9554,26.6392,1.129273,0.588463,132.17457,-3.536771,0.742978,0.413267,,,,,,,,,,,,-14.8818,23.8002,-0.625083,15.24,1.638887,0.694803,-40.392283,-0.398244,-3.124284,9.936144,-4.810021,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,8ad07e40-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,146.7817,,,14.67524,,,,16.394299,-40.675239,4.968072,1.648277,-0.261266,-2.405011,-0.646136,0.783774,-1.562142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
5,2020/10/4,17:58.2,2020/10/4,17:58.2,1,5,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,,,147.77137,-0.876864,-2.958406,2012.641814,210.762546,1:00,1.621095,0.660984,2.079874,-37.1302,45.1549,25.1428,1.005645,0.089127,133.28905,-3.746236,-1.153507,0.409652,157.2381,45.124411,17.620398,4984.800506,,,,,,,,-15.7237,25.4994,-0.603938,15.24,1.602116,1.98321,-40.625185,-0.721819,-3.346689,9.872306,-4.379283,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,94e53650-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,148.07683,39.665021,,14.48233,,,,16.359461,-40.89632,4.936153,1.620288,-0.601546,-2.189642,-0.659667,2.075124,-1.673344,0.619521,0.964209,-0.097802,181.774993,0.619521,29.371752,-8.290816,2.435457,-0.604896,0.140531,-0.029472,0.004679,-0.000391,0.964209,30.951199,-6.067831,0.100076,0.133122,-0.063263,0.017099,-0.002876,0.000233,-0.097802,9.328789,-2.399641,0.751645,-0.196859,0.04761,-0.010176,0.001614,-0.000133,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
6,2020/10/4,18:35.7,2020/10/4,18:35.7,2,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,,,147.59172,-1.019648,-3.201514,2110.285907,206.731377,1:00,1.628474,0.625667,2.036235,-38.8558,43.3691,20.4928,0.955163,-0.06292,134.37627,-3.984791,-1.735157,0.409502,117.27401,29.473543,156.592657,3993.088195,-31.908016,10.38635,10.295434,61.867141,,169.587241,2.722267,-13.1787,24.4439,-0.561338,15.24,1.605724,2.175116,-40.589311,-0.83773,-2.828601,9.037395,-4.560152,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,ab3be6b0-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,148.13101,10.420763,,13.21544,,,,16.403454,-40.847538,4.518698,1.627799,-0.707432,-2.280076,-0.624642,2.255938,-1.414301,0.20428,0.937248,0.069311,307.684314,0.204276,-26.025975,1.799211,-0.263012,0.044564,-0.007577,0.00266,-0.000825,9.5e-05,0.937259,16.027396,-7.614393,0.829247,-0.134446,0.022415,-0.003749,0.000944,-0.000118,0.069302,11.267009,-2.871598,0.179672,-0.06443,0.026246,-0.010773,0.002518,-0.00023,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
7,2020/10/4,18:53.6,2020/10/4,18:53.5,2,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,132.77493,1.948442,-2.32926,2160.350789,87.194712,9:00,1.623966,0.614466,1.851092,-101.7452,3.0204,-11.1468,1.156705,-0.15429,120.28003,-5.496582,-3.118126,0.462236,,,,,,,,,,,,3.8551,1.2024,-0.558843,15.24,1.663637,1.535748,-36.460635,0.848849,0.66275,7.774464,-9.59995,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,b5e23060-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,131.23164,,,12.4949,,,,16.588009,-36.746946,3.887232,1.625866,1.202387,-4.799975,-0.61495,1.511341,0.331375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
8,2020/10/4,19:17.1,2020/10/4,19:17.1,2,3,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,146.94647,-1.710229,-3.646075,1958.597589,218.461873,1:15,1.627679,0.623924,2.032239,-41.0566,41.9635,31.181,0.739071,-0.082424,133.95183,-4.82939,-1.41612,0.411478,125.28843,51.03387,102.195219,5739.126859,,,,,,,,-19.1151,24.1955,-0.550739,15.24,1.5906,2.429221,-40.387938,-1.33244,-4.06658,8.860505,-4.659269,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,c3ded100-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,147.41996,13.673467,,12.99464,,,,16.407599,-40.643284,4.430252,1.627065,-1.198167,-2.329634,-0.622434,2.546414,-2.03329,0.275595,0.730877,0.086369,318.975856,0.275596,-4.623379,-2.445853,0.769652,0.425692,-2.39497,4.86474,-4.776327,1.829358,0.730877,27.059451,-7.77158,0.869438,-0.214571,0.21041,-0.380192,0.388735,-0.157813,0.086369,21.391902,-3.636878,0.723124,0.043957,-0.677561,1.382446,-1.339046,0.504021,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
9,2020/10/4,19:42.3,2020/10/4,19:42.3,2,4,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,1,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,,,148.37339,-1.085987,-4.941624,2162.617951,230.69835,1:45,1.606875,0.636263,1.994253,-47.4821,35.0768,39.3452,0.827316,-0.355071,134.24632,-4.669117,-2.141566,0.410333,,,,,,,,,,,,-24.2912,20.0471,-0.533569,15.24,1.581397,3.323606,-40.686476,-0.931715,-5.213292,9.475817,-5.504228,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,d2ecba90-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,147.83109,,,14.12707,,,,16.445046,-40.966169,4.737908,1.6065,-0.769251,-2.752114,-0.633941,3.477483,-2.606646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
10,2020/10/4,20:16.2,2020/10/4,20:16.2,3,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,2,0,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,,Undefined,0,0,,,,118.12735,0.022546,-1.550302,2576.21365,35.11758,7:15,1.653389,0.577539,1.945463,-169.3422,-37.7989,-29.8367,-0.03371,-0.155616,108.09512,-12.237489,-3.688038,0.517951,,,,,,,,,,,,14.3479,-18.7439,-0.541907,15.24,1.64463,0.994067,-32.509659,-0.553673,1.937478,6.797458,-12.337751,WAS_EDA,HOS_HOS,JinguStadium,Fall,Team,20201004-JinguStadium-2,e7214e40-05f8-11eb-9759-933349322268,d8e3767a-099b-44a5-9752-6d3ce9cf47e8,v3,,,,"Hisashige, Iwamoto",1000074023.0,Right,WAS_EDA,117.11522,,,10.03223,,,,16.49558,-32.771137,3.398729,1.6568,-0.079076,-6.168876,-0.578713,0.919538,0.968739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,20A
