PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/11,15:57.5,2020/10/11,15:57.5,1,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,0,Splitter,Changeup,InPlay,Undefined,GroundBall,,Out,1,0,,,,138.38932,-0.457849,-1.719199,1431.488561,235.95848,1:45,1.733236,0.277444,1.962686,-70.4619,24.0288,30.9108,0.90032,0.104886,125.946,-5.689626,0.488166,0.438985,,,,,,,,,,,,-17.5124,13.8366,-0.241831,15.24,1.71953,1.003524,-38.083184,-0.551487,-3.296716,8.219205,-7.201917,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,d841c340-0b80-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,138.18254,,,12.44332,,,,16.477053,-38.349239,4.109603,1.733608,-0.318362,-3.600958,-0.276042,1.110238,-1.648358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
2,2020/10/11,16:30.2,2020/10/11,16:30.1,2,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,0,0,Splitter,Splitter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,137.67703,-0.658951,-1.678761,1143.214083,254.370769,2:30,1.751239,0.281187,1.844084,-88.9794,5.6958,11.6569,0.675431,-0.076049,128.53153,-7.098064,-0.851829,0.439413,,,,,,,,,,,,-6.9894,4.1092,-0.242128,15.24,1.729824,1.058175,-37.95181,-0.791506,-1.340412,6.335984,-9.018593,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,ebbca3e0-0b80-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,138.04783,,,9.1455,,,,16.596423,-38.17759,3.167992,1.752303,-0.470131,-4.509296,-0.280687,1.10594,-0.670206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
3,2020/10/11,16:44.1,2020/10/11,16:44.1,2,2,"Taisei, Irie",1000073592,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,149.78874,-1.092097,0.374127,2266.553771,198.007304,12:30,1.7283,0.262296,1.958233,-26.4081,54.0624,16.7219,1.158211,0.534332,136.27418,-3.154902,1.567402,0.40511,,,,,,,,,,,,-8.3887,29.7228,-0.271215,15.24,1.702959,-0.353691,-41.226313,-0.846123,-1.857087,9.339427,-3.2266,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,f40b41f0-0b80-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,149.7371,,,13.51456,,,,16.480879,-41.50647,4.669714,1.726888,-0.749333,-1.6133,-0.261441,-0.297984,-0.928544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
4,2020/10/11,16:59.9,2020/10/11,16:59.9,2,3,"Taisei, Irie",1000073592,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,1,1,1,Splitter,Changeup,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,,,140.62036,-0.193672,-1.957795,1458.390884,241.632603,2:00,1.716111,0.262615,1.955948,-68.1009,24.4295,39.0033,0.980802,0.103856,126.61735,-5.276252,0.825739,0.434407,82.73546,-32.57226,9.808191,,,,,1.848362,,6.04063,0.073212,-22.0028,13.8875,-0.222008,15.24,1.708224,1.138315,-38.654898,-0.372041,-4.222278,9.239619,-7.141673,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,fd7959c0-0b80-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,139.63858,0.922232,,14.00301,,,,16.483372,-38.950966,4.61981,1.716479,-0.143198,-3.570837,-0.260651,1.273611,-2.111139,0.436615,0.922232,-0.041619,,0.436618,19.083631,0.805955,,,,,,,0.922236,-12.373365,-3.052588,,,,,,,-0.04162,3.299531,-1.013902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
5,2020/10/11,17:44.1,2020/10/11,17:44.1,3,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,,,150.86485,-1.580464,-0.923083,2246.73321,204.845335,12:45,1.70494,0.30224,1.980652,-28.0555,51.1421,22.4686,0.982047,0.268652,137.17447,-3.761187,0.682674,0.401893,,,,,,,,,,,,-12.1705,28.4433,-0.283401,15.24,1.669397,0.549565,-41.498872,-1.207633,-2.730882,9.437625,-3.424394,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,17cd4f70-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,150.93566,,,13.69038,,,,16.457577,-41.774854,4.718813,1.703248,-1.107494,-1.712197,-0.30064,0.629424,-1.365441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
6,2020/10/11,18:09.1,2020/10/11,18:09.1,3,2,"Taisei, Irie",1000073592,Right,MEI_MEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,152.02248,-1.257259,-0.23335,2215.956979,193.514603,12:30,1.700077,0.281702,2.021561,-24.0491,54.2913,12.3713,1.108679,0.340297,136.82869,-3.174994,0.653072,0.399712,,,,,,,,,,,,-6.6402,30.2883,-0.27739,15.24,1.672743,0.10774,-41.809711,-0.960473,-1.494409,10.599793,-2.990105,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,26b2c970-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,151.75914,,,15.19379,,,,16.417079,-42.107072,5.299897,1.698511,-0.87659,-1.495052,-0.281001,0.149663,-0.747205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
7,2020/10/11,18:48.6,2020/10/11,18:48.6,3,3,"Taisei, Irie",1000073592,Right,MEI_MEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,1,1,Splitter,Splitter,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,1,,,136.12257,-0.5393,-1.230176,1014.686924,240.549654,2:00,1.708267,0.306059,1.923337,-85.12,12.8023,17.0399,0.705607,0.131007,124.38582,-6.793766,-0.015343,0.446885,,,,,,,,,,,,-9.6976,8.1215,-0.27947,15.24,1.691468,0.72485,-37.457443,-0.669435,-1.77146,7.741913,-8.323111,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,3e435960-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,135.73974,,,11.73675,,,,16.515878,-37.720227,3.870957,1.709396,-0.386924,-4.161555,-0.305094,0.784979,-0.88573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
8,2020/10/11,19:17.4,2020/10/11,19:17.4,3,4,"Taisei, Irie",1000073592,Right,MEI_MEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,1,1,2,Splitter,Changeup,InPlay,Undefined,FlyBall,LineDrive,Out,2,0,1,,,141.73095,-0.908953,-0.758546,1356.585665,228.990632,1:45,1.686758,0.273525,1.917194,-62.099,28.1241,29.0143,0.810419,0.350596,129.47917,-5.512683,1.308342,0.428957,137.51422,22.724929,-12.786373,2373.798365,32.213829,11.687919,-9.294736,87.662915,,-19.465009,3.701754,-15.6539,16.1618,-0.258129,15.24,1.662764,0.379448,-39.015158,-0.844225,-3.106374,8.299874,-6.599486,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,4f6bbe80-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,141.41287,13.446822,,12.25178,,,,16.522531,-39.287049,4.149937,1.686879,-0.628036,-3.299743,-0.272226,0.481208,-1.553187,0.289661,0.762219,-0.337709,145.721744,0.28967,34.358345,-5.901624,1.21858,-0.202857,0.020196,-0.000124,-0.000211,1.7e-05,0.762226,14.756836,-4.522924,0.162296,-0.034909,0.015954,-0.004287,0.000677,-4.5e-05,-0.337709,-7.798538,-0.640277,0.34456,-0.065693,0.000523,0.003056,-0.000651,4.5e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
9,2020/10/11,21:51.4,2020/10/11,21:51.4,1,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kota, Fuje",1000073640,Right,MEI_MEI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,149.90603,-1.7521,-1.521824,2201.76487,203.71631,12:45,1.696878,0.403192,2.093599,-32.126,46.5826,19.3771,0.888562,0.174101,137.06467,-4.228189,-0.127473,0.400651,,,,,,,,,,,,-11.2926,26.6743,-0.374389,15.24,1.661327,1.00565,-41.281214,-1.344184,-2.517534,8.999396,-3.859989,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,ab34c0e0-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,151.40375,,,12.84136,,,,16.345809,-41.521583,4.499698,1.695852,-1.241086,-1.929995,-0.402148,1.072892,-1.258767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
10,2020/10/11,22:03.9,2020/10/11,22:03.9,1,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kota, Fuje",1000073640,Right,MEI_MEI,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,150.93238,-2.509984,-3.36967,2243.32906,201.588025,12:45,1.688267,0.390135,2.103844,-28.1132,49.845,18.7221,0.708658,-0.359215,137.69952,-4.699011,-2.02486,0.398736,,,,,,,,,,,,-12.3217,29.0184,-0.326086,15.24,1.638584,2.354696,-41.484026,-1.884025,-2.768648,9.25215,-3.286287,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-2,b2a952a0-0b81-11eb-95c5-3d2c09da636d,85d96fac-d613-40dd-9e3f-2e796f6dd259,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,152.1307,,,13.23287,,,,16.335599,-41.727661,4.626075,1.687057,-1.797488,-1.643143,-0.389052,2.427602,-1.384324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20A
