PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/11,01:10.0,2020/10/11,01:10.0,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,125.1569,-0.430693,-2.28583,2202.203876,138.267508,10:30,1.739445,0.501139,1.881434,-94.6896,20.4303,-15.3128,0.67121,-0.295798,116.0758,-7.331557,-3.372787,0.48454,,,,,,,,,,,,6.4701,11.8982,-0.447509,15.24,1.723703,1.4395,-34.459056,-0.585868,1.013535,5.774691,-7.942802,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,a20c9c70-0b65-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,125.19086,,,9.0811,,,,16.558529,-34.679313,2.887345,1.740271,-0.282916,-3.971401,-0.501676,1.400842,0.506767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
2,2020/10/11,01:21.5,2020/10/11,01:21.5,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,105.14666,3.153163,0.21244,2149.31686,50.032229,7:45,1.719405,0.428854,1.630606,-200.1119,-28.5475,-40.9435,0.62063,0.080151,96.42398,-11.135991,-2.657587,0.591518,,,,,,,,,,,,20.6186,-14.9669,-0.431067,15.24,1.788857,0.058151,-28.874542,0.889952,2.221238,4.908994,-11.419035,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,a8f1bf70-0b65-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,102.54964,,,8.72268,,,,16.81052,-29.140325,2.454497,1.723937,1.508201,-5.709517,-0.430959,-0.062112,1.110619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
3,2020/10/11,01:34.8,2020/10/11,01:34.8,1,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,138.73652,-0.31956,-3.537433,2350.860139,193.704793,12:30,1.697396,0.512037,1.929589,-41.799,53.0123,12.1443,1.189545,-0.360608,125.70973,-3.512426,-2.675146,0.439729,,,,,,,,,,,,-8.9674,28.6921,-0.43399,15.24,1.687793,2.297236,-38.094829,-0.329961,-1.689135,8.224594,-4.402081,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,b0d40720-0b65-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,137.94873,,,13.02679,,,,16.509198,-38.367868,4.112297,1.696322,-0.183822,-2.201041,-0.511184,2.353311,-0.844568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
4,2020/10/11,01:52.4,2020/10/11,01:52.3,1,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,117.70824,1.662691,-0.713913,2203.162826,61.592082,8:00,1.720885,0.47536,1.744597,-148.464,-14.0179,-34.0848,0.708438,-0.068172,107.75051,-9.04046,-3.11792,0.523635,142.79036,5.508592,-0.707343,2701.457265,,,,28.12562,,0.739866,0.774668,16.8494,-7.2152,-0.454603,15.24,1.752172,0.547255,-32.367208,0.39709,2.286704,6.03778,-10.785851,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,bb4b9fb0-0b65-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,115.84402,1.237608,,9.95773,,,,16.695889,-32.63766,3.01889,1.723565,0.880223,-5.392925,-0.476823,0.444826,1.143352,0.440181,0.670962,0.079237,308.431695,0.440181,39.477804,-5.334721,0.733309,-0.115996,0.0113,0.000373,-0.000228,2.9e-05,0.670962,3.807545,-6.650397,0.921364,-0.190951,0.044922,-0.008896,0.001706,-0.000246,0.079237,-0.487397,1.623617,-0.817341,0.22544,-0.05958,0.013822,-0.0028,0.000376,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
5,2020/10/11,07:02.2,2020/10/11,07:02.2,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,Undefined,1,Top,1,0,0,Cutter,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,122.75725,-0.574333,-3.04371,1987.378423,150.954209,11:00,1.726579,0.471388,1.905829,-102.8499,15.0557,-6.7701,0.536414,-0.452635,115.45408,-8.021747,-3.524702,0.490368,,,,,,,,,,,,1.8797,9.0533,-0.402063,15.24,1.707398,1.825274,-33.826231,-0.686749,0.287625,4.780258,-8.42137,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,73f6b590-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,123.70306,,,7.30317,,,,16.534778,-34.008714,2.390129,1.727478,-0.365268,-4.210685,-0.471532,1.814294,0.143813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
6,2020/10/11,07:15.4,2020/10/11,07:15.4,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,Undefined,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,117.11775,3.53977,0.39726,2095.531689,53.163594,7:45,1.725424,0.482215,1.663827,-154.2256,-19.2857,-30.6663,1.194378,0.288892,108.55772,-7.489591,-1.751791,0.524596,,,,,,,,,,,,15.6151,-10.6158,-0.490323,15.24,1.807854,-0.088484,-32.212313,1.399677,2.143142,4.9096,-11.263649,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,7be00220-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,115.63188,,,8.56003,,,,16.777304,-32.445774,2.4548,1.728562,1.935284,-5.631825,-0.483693,-0.190395,1.071571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
7,2020/10/11,07:28.8,2020/10/11,07:28.8,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,Undefined,1,Top,1,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,127.0211,0.243353,-1.962216,2139.929524,157.429725,11:15,1.704153,0.474257,1.907694,-82.9614,29.0336,-10.6603,0.942972,-0.184031,116.7714,-5.867535,-2.719982,0.477919,,,,,,,,,,,,4.1631,15.9913,-0.429329,15.24,1.704792,1.243601,-34.956693,-0.129931,0.667336,6.287078,-7.243287,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,83dc8890-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,126.92538,,,10.2497,,,,16.5316,-35.188225,3.143539,1.704665,0.136815,-3.621644,-0.474674,1.219025,0.333668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
8,2020/10/11,07:44.2,2020/10/11,07:44.2,2,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Kazuto, Yoshizawa",1000074012,Right,WAS_EDA,Undefined,1,Top,1,2,1,Cutter,Curveball,InPlay,Undefined,GroundBall,,Out,1,0,,,,123.45128,-0.225644,-1.746384,2118.410694,154.167687,11:15,1.729246,0.487661,1.92002,-94.6511,23.1761,-9.5694,0.719337,-0.09862,114.26117,-7.157002,-2.427707,0.490205,,,,,,,,,,,,3.8488,13.2682,-0.448034,15.24,1.718708,1.075403,-34.002366,-0.446493,0.586103,5.71486,-7.786157,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,8d0b2660-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,123.74423,,,9.19011,,,,16.519913,-34.216808,2.85743,1.72998,-0.154329,-3.893078,-0.487974,1.05341,0.293051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
9,2020/10/11,08:18.6,2020/10/11,08:18.6,3,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,0,0,Fastball,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,,,131.06793,-3.037457,-0.821613,2186.798468,199.943191,12:45,1.691171,0.545485,1.882002,-55.6334,49.4113,16.8032,0.278925,0.482223,121.32424,-7.153497,0.372796,0.462852,,,,,,,,,,,,-9.2555,28.5402,-0.527567,15.24,1.617657,0.443997,-36.060948,-2.092415,-1.588998,6.275233,-4.906835,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,a1879880-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,131.05712,,,9.74368,,,,16.557899,-36.289561,3.137616,1.690629,-1.913654,-2.453418,-0.544797,0.501885,-0.794499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
10,2020/10/11,08:33.3,2020/10/11,08:33.3,3,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,133.43068,-1.386802,-1.495834,2243.641269,195.084101,12:30,1.715459,0.555979,1.982825,-52.7224,47.3571,11.968,0.800092,0.257129,123.0039,-5.338147,-0.640489,0.45178,151.9131,2.373665,-34.118173,2910.578181,,,,22.479533,,-38.432833,0.575211,-7.2632,26.68,-0.524725,15.24,1.683071,0.908769,-36.753221,-1.048445,-1.292482,6.664876,-5.058962,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20201011-JinguStadium-1,aa430220-0b66-11eb-bad1-9fb3f383a6ff,eb0e8c46-4c63-48c2-a855-ffcafeeeaedc,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,134.26878,0.833279,,10.42678,,,,16.45698,-36.973251,3.332438,1.714927,-0.881431,-2.529481,-0.555431,0.951438,-0.646241,-0.274876,0.690153,-0.213248,88.443942,-0.274876,34.90506,-7.272427,1.224067,-0.027264,-1.054334,2.692934,-3.168329,1.439511,0.690153,1.747691,-5.416692,0.564088,-0.086537,-0.123438,0.367691,-0.439724,0.201009,-0.213248,-23.648692,-0.696683,0.398126,0.30553,-1.996726,5.001762,-5.937841,2.720543,,,,,,,,,,,,,,,,,,,,,,,浅田 祐太朗,20A
