PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/12,13:10.3,2020/10/12,13:10.3,1,1,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,138.63342,-3.064343,4.098884,2030.764791,143.534281,10:45,1.844639,-0.825788,2.10037,-48.8553,43.1593,-29.8114,0.502179,0.016229,127.67094,-6.741972,1.958997,0.433195,,,,,,,,,,,,18.6826,25.9245,0.747981,15.24,1.783295,-2.606911,-38.086469,-2.183731,3.563675,7.288236,-4.8616,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,9e4c7990-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,140.02945,,,10.96248,,,,16.339864,-38.296361,3.644118,1.844168,-2.043723,-2.4308,0.824535,-2.70954,1.781837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
2,2020/10/12,13:31.3,2020/10/12,13:31.3,1,2,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,106.57489,3.903929,-0.279669,2617.405405,327.110513,5:00,1.853194,-0.718392,1.909547,-205.817,-44.13,32.0747,0.893789,-0.476236,97.46171,-11.032826,2.00696,0.574238,,,,,,,,,,,,-16.718,-24.0391,0.722989,15.24,1.92989,0.023643,-29.297133,1.347548,-1.848536,5.179811,-12.464699,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,aac698e0-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,105.63559,,,9.11318,,,,16.53215,-29.524705,2.589905,1.858657,1.895177,-6.232349,0.720166,0.104857,-0.924268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.36281,,2.182725,,-0.46408,0.711771,0.44383,-0.968916,1.886972,0.663967,,,,-0.960478,18.049395,-1.020059,1.894077,2.536364,-4.217595,0.661675,-1.72016,0.298423,榊原 啓資,20A
3,2020/10/12,13:50.4,2020/10/12,13:50.4,1,3,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.19438,-2.939401,4.745147,2110.786951,143.727818,10:45,1.817872,-0.79304,2.144796,-51.5513,39.6093,-26.9596,0.484904,0.254337,127.83651,-6.82294,2.807506,0.43118,,,,,,,,,,,,17.6204,24.0865,0.706077,15.24,1.761225,-3.058632,-38.202684,-2.112888,3.372689,7.52429,-5.196297,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,b6320750-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,140.6838,,,11.35787,,,,16.294897,-38.409891,3.762145,1.81744,-1.969789,-2.598148,0.791586,-3.151511,1.686345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
4,2020/10/12,14:08.6,2020/10/12,14:08.6,1,4,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,139.58916,-2.893702,3.652946,2019.619537,147.087245,11:00,1.813371,-0.78106,2.100168,-51.2737,40.0658,-23.9965,0.494775,-0.005279,127.67121,-6.757946,1.929051,0.431603,,,,,,,,,,,,15.4249,24.3304,0.711581,15.24,1.755258,-2.346325,-38.344674,-2.091097,2.958597,7.970207,-5.13993,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,c0ffaf20-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,140.54593,,,11.91795,,,,16.339556,-38.572547,3.985103,1.812943,-1.944143,-2.569965,0.779873,-2.430913,1.479299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
5,2020/10/12,14:25.8,2020/10/12,14:25.8,1,5,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,109.26948,4.93694,-0.402281,2688.703398,323.03637,4:45,1.843166,-0.742809,1.979077,-200.4415,-48.159,40.0099,1.223563,-0.455269,99.77234,-9.672916,2.457285,0.557288,,,,,,,,,,,,-21.0338,-27.1349,0.74958,15.24,1.938954,0.062302,-30.023385,1.962524,-2.451397,5.280013,-12.969102,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,cb449ef0-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,108.84858,,,9.49714,,,,16.463015,-30.237703,2.640006,1.84861,2.488947,-6.484551,0.745031,0.161805,-1.225698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
6,2020/10/12,14:44.7,2020/10/12,14:44.7,1,6,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,143.40692,-2.505155,3.80363,2047.236784,153.259365,11:00,1.81975,-0.800646,2.083903,-44.6319,41.9523,-19.7321,0.675093,0.06088,131.1666,-5.88392,2.388576,0.420217,98.064,12.009483,-18.266252,4068.204754,,,,30.446531,,-20.268695,1.265963,13.2248,24.9327,0.727067,15.24,1.768638,-2.53346,-39.40141,-1.85746,2.68192,8.311983,-4.750438,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,d6870190-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.35383,2.219149,,12.24032,,,,16.35593,-39.636123,4.155991,1.819194,-1.723317,-2.375219,0.799676,-2.609192,1.34096,0.31618,0.627821,-0.047345,107.011008,0.31618,25.301228,-2.71347,0.351141,-0.068852,0.009798,-0.001269,0.000273,-3.7e-05,0.627821,5.667924,-5.212474,0.316605,-0.048182,0.011251,-0.001207,9.8e-05,-1.6e-05,-0.047345,-8.351052,-0.069274,0.109194,-0.021197,0.006135,-0.001097,0.000122,-1e-05,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
7,2020/10/12,15:20.2,2020/10/12,15:20.2,2,1,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,140.51769,-2.34271,4.587596,2125.350604,148.049368,11:00,1.806968,-0.811623,2.134514,-47.6944,41.7751,-24.3036,0.678443,0.219222,128.89169,-5.951578,2.842011,0.427161,133.82946,14.69076,-33.836734,2334.553879,26.355208,4.31053,-20.724939,55.033609,,-40.750117,1.804531,16.1792,24.8165,0.726771,15.24,1.761096,-2.995819,-38.594059,-1.716662,3.158555,7.728362,-4.961906,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,ebb5fad0-0c49-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,142.00721,4.477259,,11.626,,,,16.305423,-38.806821,3.864181,1.806475,-1.580061,-2.480953,0.810443,-3.082774,1.579278,0.373312,0.656855,-0.215879,94.314201,0.373312,29.869004,-5.184547,1.005958,-0.200092,0.035108,-0.006206,0.001041,-9.4e-05,0.656855,9.427613,-6.239795,0.59169,-0.106705,0.01974,-0.002723,0.000403,-4.2e-05,-0.215879,-20.023303,-0.453229,0.513706,-0.161504,0.043646,-0.009123,0.001406,-0.000118,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
8,2020/10/12,16:03.8,2020/10/12,16:03.8,3,1,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,135.94356,-2.818031,5.009203,1926.796832,142.486376,10:45,1.852441,-0.795051,2.174352,-53.0098,42.4055,-30.1996,0.539849,0.290986,124.63498,-6.826784,2.835984,0.441127,,,,,,,,,,,,19.6495,25.6671,0.705776,15.24,1.799522,-3.14794,-37.300334,-1.982806,3.579037,7.297661,-5.131552,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,05ac6730-0c4a-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,137.5114,,,11.30857,,,,16.265296,-37.500392,3.64883,1.851951,-1.842129,-2.565776,0.793419,-3.246056,1.789519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
9,2020/10/12,16:40.9,2020/10/12,16:40.9,3,2,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,1,0,Fastball,Sinker,BallinDirt,Undefined,Undefined,,Undefined,0,0,1,,,140.72224,-3.777443,4.00411,2068.050891,141.944261,10:45,1.792258,-0.856452,2.051066,-51.1803,38.0957,-27.8518,0.224172,-0.017837,130.74645,-7.577754,2.010047,0.426699,,,,,,,,,,,,17.1937,23.2688,0.777065,15.24,1.713575,-2.586785,-38.652065,-2.719458,3.407804,6.844799,-5.194773,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,1bd0e400-0c4a-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,142.16094,,,9.97579,,,,16.389294,-38.855058,3.422399,1.79194,-2.565399,-2.597387,0.855279,-2.687848,1.703902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
10,2020/10/12,17:07.2,2020/10/12,17:07.2,3,3,"Takumi, Imanishi",1000073880,Left,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,,Out,1,0,1,,,141.11082,-1.899111,4.324195,2113.693167,148.418704,11:00,1.808241,-0.81243,2.152924,-45.4015,42.8276,-24.6684,0.826926,0.139946,129.59898,-5.345986,2.549373,0.42419,,,,,,,,,,,,16.184,25.0839,0.733893,15.24,1.771438,-2.832197,-38.793092,-1.412979,3.198141,7.667459,-4.849797,WAS_EDA,TOK,JinguStadium,Fall,Team,20201012-JinguStadium-2,2b776410-0c4a-11eb-8b7c-e3952406a540,6d2b0cbe-e286-42a3-8d19-cb8660a14f6b,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,143.00185,,,11.51184,,,,16.287156,-38.999513,3.83373,1.807721,-1.282414,-2.424899,0.8113,-2.918297,1.59907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
