PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/18,00:40.0,2020/10/18,00:40.0,1,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kota, Fuje",1000073640.0,Right,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,153.78239,-2.926137,-1.72426,2322.686645,214.920276,1:15,1.847703,0.381407,1.702229,-29.3521,50.1885,33.0744,0.720211,0.221226,139.1144,-5.165832,0.598608,0.402763,146.24128,15.554955,-28.300407,3493.352529,28.005805,7.532852,-18.433676,79.477471,,-39.161372,2.883722,-18.059,28.4801,-0.338905,15.24,1.768816,1.081558,-42.187198,-2.255781,-4.162013,10.290621,-3.2429,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,de57b680-10fe-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,150.60977,8.119571,,14.668,,,,16.7371,-42.550815,5.145311,1.846499,-2.141194,-1.62145,-0.37972,1.228622,-2.081007,-0.119577,0.661882,-0.217227,127.972841,-0.119578,34.457375,-7.533054,1.695926,-0.353038,0.065819,-0.010552,0.001239,-7.2e-05,0.661883,10.893133,-4.008302,-0.034721,0.062353,-0.020316,0.004571,-0.00057,3e-05,-0.217228,-18.553256,-0.136543,0.454492,-0.172378,0.046914,-0.009088,0.001134,-6.8e-05,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
2,2020/10/18,01:12.1,2020/10/18,01:12.1,2,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,121.29227,0.29895,-1.858665,2349.57512,28.571995,7:00,1.86218,0.369296,1.529845,-164.2627,-35.4251,-21.3567,0.305589,-0.379083,112.72271,-11.266251,-3.348286,0.512597,,,,,,,,,,,,9.3545,-16.8488,-0.312852,15.24,1.854787,1.181765,-33.362532,-0.517546,1.362024,5.882015,-12.259862,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,f175aa10-10fe-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,118.33859,,,8.56955,,,,16.911609,-33.655957,2.941007,1.865351,0.094037,-6.129931,-0.370109,1.11382,0.681012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
3,2020/10/18,01:25.8,2020/10/18,01:25.8,2,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.09777,-2.516037,-2.202994,2645.604708,92.858763,9:00,1.864222,0.391591,1.593657,-90.0394,2.9604,-4.635,0.241923,-0.286284,131.59714,-8.914047,-2.526898,0.435508,,,,,,,,,,,,0.8709,3.9135,-0.329278,15.24,1.785346,1.526104,-39.035347,-2.135027,0.174582,7.625883,-9.022195,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,f99ff740-10fe-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,139.28573,,,10.50063,,,,16.846644,-39.347966,3.812941,1.865289,-1.765166,-4.511097,-0.391693,1.518947,0.087291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
4,2020/10/18,01:42.1,2020/10/18,01:42.1,2,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,2,0,Splitter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.49348,-0.443106,-0.342067,1384.245355,41.127786,7:15,1.865234,0.41468,1.648881,-100.5952,-7.1395,-8.4163,0.732743,0.232835,130.7614,-7.621599,-0.932593,0.436574,,,,,,,,,,,,4.0385,-2.5539,-0.404679,15.24,1.844697,0.274539,-38.703111,-0.759854,0.802119,6.903593,-10.313902,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,035159a0-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,138.94559,,,9.73209,,,,16.791713,-38.978912,3.451796,1.866823,-0.34781,-5.156951,-0.415007,0.242494,0.401059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
5,2020/10/18,02:01.0,2020/10/18,02:01.0,2,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Rei, Nishikawa",1000126447.0,Right,MEI_MEI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,152.97675,-2.014841,-1.980615,2265.853324,215.011727,1:15,1.836145,0.403952,1.828469,-30.0473,48.8418,32.3096,0.966052,0.167446,138.57574,-4.321148,0.305693,0.40111,103.02112,5.759129,-14.044636,6791.399047,,,,23.32233,,-13.454044,0.882308,-18.1011,27.4305,-0.35855,15.24,1.785812,1.279425,-42.025797,-1.572349,-4.146011,10.083659,-3.52375,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,0e940a60-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.2305,1.353537,,14.40101,,,,16.61096,-42.353468,5.04183,1.835045,-1.457844,-1.761875,-0.402314,1.41415,-2.073006,0.229248,0.908152,-0.154867,235.182443,0.229248,27.621405,-2.638885,0.231963,-0.04185,0.004827,0.000568,-0.000159,-5e-06,0.908152,2.871616,-4.744847,0.401744,-0.05033,0.014117,-0.00236,6.2e-05,2.5e-05,-0.154867,-6.90965,1.277426,-0.289934,0.05914,-0.01305,0.001963,-0.000196,2e-05,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
6,2020/10/18,02:44.0,2020/10/18,02:44.0,3,1,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,153.05485,-3.02153,-1.022234,2284.769008,214.734465,1:15,1.848653,0.417027,1.836578,-26.2924,52.4681,34.4908,0.731868,0.473342,138.81466,-5.055853,1.420837,0.400782,,,,,,,,,,,,-18.3903,30.0081,-0.394796,15.24,1.774787,0.561958,-42.032401,-2.289671,-4.216136,10.034587,-2.927057,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,284186e0-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.35391,,,14.24018,,,,16.6026,-42.356451,5.017294,1.847202,-2.195147,-1.463528,-0.415142,0.698111,-2.108068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
7,2020/10/18,02:57.2,2020/10/18,02:57.2,3,2,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.7995,-2.991414,-1.276519,2703.819303,100.890658,9:15,1.827221,0.420558,1.716031,-87.6133,3.354,-3.1002,0.099376,0.026467,131.92754,-9.265559,-1.495075,0.430722,,,,,,,,,,,,0.702,4.5423,-0.387196,15.24,1.742749,0.89012,-39.241541,-2.436656,0.14168,7.992853,-8.889934,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,30177280-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,140.83323,,,10.87196,,,,16.724188,-39.54269,3.996426,1.828246,-2.101707,-4.444967,-0.420633,0.884782,0.07084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
8,2020/10/18,03:23.1,2020/10/18,03:23.1,3,3,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,152.90307,-2.185006,-2.5874,2315.025659,213.265025,1:00,1.833441,0.384283,1.855471,-27.7853,51.0378,31.6804,0.938585,-0.028942,138.37507,-4.336924,-0.343438,0.400942,,,,,,,,,,,,-18.2168,28.7185,-0.325334,15.24,1.780185,1.726072,-41.98265,-1.680265,-4.162698,10.089205,-3.244236,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,3f802640-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,151.29374,,,14.528,,,,16.583683,-42.30433,5.044602,1.832109,-1.576828,-1.622118,-0.382483,1.858793,-2.081349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
9,2020/10/18,03:50.5,2020/10/18,03:50.5,3,4,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,2,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,,154.0135,-3.201774,-2.680324,2287.139504,219.20573,1:15,1.828278,0.382318,1.810162,-33.6561,44.059,33.8586,0.58449,-0.037502,140.52547,-5.738579,-0.288226,0.398114,109.44297,48.616745,-122.732501,4093.207527,-21.563034,17.840685,-25.674139,56.672892,,-136.13852,3.554802,-19.2977,25.6677,-0.319448,15.24,1.748056,1.79661,-42.277001,-2.485977,-4.504467,9.590246,-3.815279,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,4fdfbd20-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,152.36837,18.040298,,13.48803,,,,16.629641,-42.591065,4.795123,1.827421,-2.361033,-1.90764,-0.3807,1.944124,-2.252233,0.279739,0.5284,0.048367,28.44595,0.279819,-10.869685,-1.102958,0.442614,-0.083722,0.008589,0.000488,-0.000143,3e-06,0.528472,22.807742,-8.737602,1.086771,-0.213043,0.038568,-0.006979,0.001215,-9.9e-05,0.048423,-16.908199,1.627461,0.001681,0.001315,-0.011798,0.007334,-0.001527,0.000109,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
10,2020/10/18,04:19.5,2020/10/18,04:19.5,3,5,"Naofumi, Kizawa",1000073254,Right,KEI_KEI,"Kazuya, Maruyama",1000073566.0,Left,MEI_MEI,Undefined,1,Top,2,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,143.31799,-1.955568,-2.312962,2648.849076,44.118619,7:30,1.82562,0.423422,1.736939,-90.7168,-0.2528,-3.0217,0.362354,-0.26409,131.61515,-8.479733,-2.525905,0.429529,,,,,,,,,,,,-0.1408,2.094,-0.364008,15.24,1.768732,1.605848,-39.377259,-1.744486,-0.028477,8.439925,-9.383281,KEI_KEI,MEI_MEI,JinguStadium,Fall,Team,20201018-JinguStadium-2,611fc8f0-10ff-11eb-9a42-a9a021054a33,ef0a6875-8e1f-40b3-be81-271e2bd18475,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,141.22439,,,11.70284,,,,16.703111,-39.689616,4.219962,1.826868,-1.397216,-4.691641,-0.423459,1.606902,-0.014239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀧口 耕介,20A
