PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/18,00:16.7,2020/10/18,00:16.7,1,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kengo, Kasahara",1000073992,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,130.20157,4.989869,-3.029994,2223.007401,262.880409,2:45,0.374911,0.63223,1.941462,-100.5288,6.5323,26.3627,0.77457,0.045287,118.52772,-2.385742,-1.158168,0.467273,148.11338,4.73035,16.821486,1388.562073,,,,24.917651,,17.980353,0.65598,-15.8297,0.8974,-0.566915,15.24,0.479536,1.775755,-35.690496,2.76639,-2.643215,6.599655,-9.656802,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,ab36e9b0-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,129.81709,1.125301,,11.67384,,,,16.498671,-35.922487,3.299827,0.376326,3.105847,-4.828401,-0.63097,1.86867,-1.321608,0.172037,0.723938,-0.05173,321.491798,0.172038,39.247912,-5.827581,1.157377,-0.406052,1.087226,-2.285792,2.288071,-0.889931,0.723938,3.392899,-7.364006,0.897628,-0.200355,-0.045802,0.228483,-0.253438,0.102533,-0.051729,11.865509,-0.19792,0.13381,-0.297106,2.031042,-4.587658,4.668699,-1.829561,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
2,2020/10/18,00:44.4,2020/10/18,00:44.4,2,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,101.62232,8.362542,-2.554945,2222.910154,124.902017,10:15,0.287893,0.507357,1.858012,-156.9252,28.1406,-30.4494,1.095383,-0.517883,89.80596,-3.211235,-4.694363,0.614353,,,,,,,,,,,,13.0249,9.1625,-0.445689,15.24,0.476176,1.345778,-27.559191,3.617259,1.262252,4.934219,-8.918709,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,bbb29410-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,98.73808,,,11.81636,,,,16.579053,-27.797902,2.467109,0.29074,4.048735,-4.459355,-0.509319,1.284712,0.631126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
3,2020/10/18,00:55.0,2020/10/18,00:55.0,2,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,1,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,130.60878,4.715958,-3.529788,2323.306653,273.22516,3:00,0.368934,0.662601,1.932097,-104.5694,1.9795,22.3619,0.652142,-0.105558,118.96458,-2.939252,-1.944139,0.466154,,,,,,,,,,,,-13.9966,-1.1696,-0.58543,15.24,0.468082,2.109151,-35.794426,2.580417,-2.351306,6.622757,-10.00313,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,c209f600-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.12877,,,11.6442,,,,16.50783,-36.028239,3.311379,0.370748,2.933572,-5.001565,-0.661358,2.192163,-1.175653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
4,2020/10/18,01:06.5,2020/10/18,01:06.5,2,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,99.1709,9.176534,-1.753334,2276.133476,135.580104,10:30,0.292318,0.533617,1.854265,-164.2563,29.0888,-21.932,1.260902,-0.180258,88.10353,-2.888066,-3.294732,0.627944,,,,,,,,,,,,9.5926,9.4912,-0.49111,15.24,0.500056,0.903569,-26.872202,3.895093,0.892271,4.360942,-8.923805,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,c8de7730-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,96.60091,,,11.06737,,,,16.583174,-27.089301,2.180471,0.29509,4.339344,-4.461903,-0.534986,0.859149,0.446136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
5,2020/10/18,01:18.4,2020/10/18,01:18.4,2,4,"Hayate, Nakagawa",1000074142,Right,RIK,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,2,1,Fastball,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,130.75548,5.373375,-3.656656,2202.430337,271.637538,3:00,0.361475,0.618606,2.02671,-102.5544,2.3774,24.5171,0.842403,-0.157697,119.30493,-2.165411,-1.909116,0.462603,,,,,,,,,,,,-15.3202,-1.3949,-0.54456,15.24,0.467346,2.18738,-35.824023,3.028634,-2.585745,6.44016,-10.042088,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,cff4e360-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,131.12766,,,11.45055,,,,16.413544,-36.034376,3.22008,0.363066,3.356635,-5.021044,-0.617385,2.271838,-1.292873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
6,2020/10/18,01:41.8,2020/10/18,01:41.8,2,5,"Hayate, Nakagawa",1000074142,Right,RIK,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,119.74559,4.379601,-0.529664,2806.162076,130.505923,10:15,0.331466,0.613751,1.764253,-97.4658,32.7539,-33.3759,0.601112,0.129803,108.28584,-2.790834,-2.877829,0.515339,143.22586,13.448736,-26.072549,1619.656573,29.230306,4.996353,-16.422664,62.720429,,-32.405228,2.098999,16.6061,14.5706,-0.598006,15.24,0.434631,0.447416,-32.82314,2.184328,2.321942,6.111484,-7.769328,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,ddef1300-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,117.70896,4.994714,,11.45976,,,,16.674991,-33.089249,3.055742,0.332155,2.522623,-3.884664,-0.615287,0.346313,1.160971,0.177494,0.537427,-0.07978,118.583242,0.177495,34.756411,-6.473225,1.316361,-0.285036,0.059727,-0.011533,0.001676,-0.000124,0.537427,9.252996,-5.118395,0.383657,-0.071646,0.014189,-0.002252,0.000324,-2.6e-05,-0.07978,-17.006358,0.405653,0.085874,-0.038969,0.012598,-0.002781,0.000424,-3.3e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
7,2020/10/18,02:21.4,2020/10/18,02:21.4,3,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,131.09742,6.194449,-2.20762,2304.483856,268.213519,3:00,0.357135,0.701476,1.877643,-103.379,4.361,25.7366,1.075637,0.336937,117.99871,-1.371839,-0.387374,0.468752,,,,,,,,,,,,-14.7839,-1.2323,-0.651864,15.24,0.494818,1.260927,-35.833198,3.50604,-2.466598,7.208556,-10.012244,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,f586cee0-10e5-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,129.40745,,,13.09871,,,,16.561556,-36.098076,3.604278,0.359229,3.873939,-5.006122,-0.699862,1.351562,-1.233299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
8,2020/10/18,02:39.1,2020/10/18,02:39.1,3,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,98.95415,7.826581,0.324294,2419.306647,129.387291,10:15,0.27486,0.579603,1.78221,-163.2203,29.2487,-28.0945,0.873342,0.390511,89.11289,-4.094083,-1.647203,0.62652,,,,,,,,,,,,14.3491,10.9963,-0.585735,15.24,0.458747,-0.048584,-26.943534,3.238371,1.35565,4.020052,-8.767755,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,0010de00-10e6-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,96.82051,,,9.84125,,,,16.656086,-27.153996,2.010026,0.277192,3.697389,-4.383878,-0.581334,-0.119557,0.677825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
9,2020/10/18,03:20.2,2020/10/18,03:20.2,3,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,101.57443,6.320121,-0.030056,2299.773159,127.195595,10:15,0.268148,0.580219,1.738288,-161.736,21.3691,-20.0473,0.453025,0.37121,91.59804,-5.466593,-1.435761,0.61109,,,,,,,,,,,,10.0307,7.8668,-0.577967,15.24,0.418399,0.091372,-27.737076,2.580632,1.000257,4.412935,-9.022179,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,18982a00-10e6-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,99.26531,,,9.9764,,,,16.700244,-27.968434,2.206468,0.270704,3.05364,-4.51109,-0.581383,0.038931,0.500128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
10,2020/10/18,03:39.1,2020/10/18,03:39.1,3,4,"Hayate, Nakagawa",1000074142,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,117.96928,5.371,0.383154,2708.967268,125.552385,10:15,0.31498,0.642604,1.781157,-108.6688,26.1491,-30.1711,0.75415,0.449424,106.00631,-2.617076,-1.740944,0.524359,,,,,,,,,,,,15.5063,10.5033,-0.650064,15.24,0.441072,-0.083495,-32.270421,2.667344,2.088536,6.082552,-8.391968,RIK,TOK,JinguStadium,TeamExclusive,Team,20201018-JinguStadium-1,23d164e0-10e6-11eb-9a42-a9a021054a33,5ddaf329-9c4b-4a55-bd99-172d570d7c3b,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,115.68419,,,11.96298,,,,16.657296,-32.536466,3.041276,0.316378,3.0344,-4.195984,-0.644414,-0.174845,1.044268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20A
