PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/19,00:30.4,2020/10/19,00:30.4,1,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,0,Splitter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,137.57897,-2.441115,-2.983491,1821.968593,229.835468,1:45,1.771627,0.708594,1.808601,-79.4574,17.9045,17.505,0.285414,0.039227,126.27258,-8.216305,-1.745825,0.445604,,,,,,,,,,,,-11.1455,11.8871,-0.637155,15.24,1.706755,1.885256,-37.777872,-1.924913,-2.076844,7.673827,-7.591606,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,dd03d650-11ae-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.12982,,,11.30639,,,,16.631154,-38.059408,3.836913,1.772267,-1.646394,-3.795803,-0.707719,1.961451,-1.038422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
2,2020/10/19,00:45.9,2020/10/19,00:45.9,1,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.05178,-1.429411,-2.57472,2094.35802,226.482214,1:30,1.781405,0.740106,1.901633,-47.6347,40.4621,39.4443,0.90269,0.410178,130.72506,-5.011758,0.22862,0.423872,112.85325,26.244131,-104.262028,1674.024149,,,,,,,,-22.2735,22.9253,-0.683782,15.24,1.746056,1.583502,-39.58538,-1.14917,-4.530618,8.874953,-5.143447,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,e643d940-11ae-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,143.10927,6.981361,,13.32672,,,,16.537616,-39.875241,4.437477,1.780845,-0.981182,-2.571723,-0.737917,1.731475,-2.265309,-0.195769,0.77095,-0.370019,66.013244,-0.195769,-6.926739,-1.643047,0.173745,-0.028105,0.005673,-0.000181,-0.000387,0.000167,0.77095,13.862041,-5.787323,0.563895,-0.0661,0.017905,-0.002831,-0.000156,0.000175,-0.370019,-27.25012,2.92065,-0.022739,0.015148,-0.000897,-0.001151,0.000214,-1e-06,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
3,2020/10/19,01:08.4,2020/10/19,01:08.4,1,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Sho, Miyao",1000073415,Left,KEI_KEI,Undefined,1,Top,0,0,2,Splitter,Changeup,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,138.28584,-1.289411,-1.783353,1773.954115,210.035214,1:00,1.791373,0.694682,1.765879,-76.1894,21.3418,10.3705,0.663667,0.292609,125.48411,-6.864148,-1.051565,0.445991,,,,,,,,,,,,-6.6463,12.9598,-0.650687,15.24,1.753649,1.129479,-37.971656,-1.160324,-1.239751,8.403654,-7.389212,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,f3b15940-11ae-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.01157,,,12.80173,,,,16.672812,-38.287444,4.201827,1.792034,-0.882656,-3.694606,-0.694005,1.176066,-0.619876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.66853,2.936233,1.992116,0.944116,-0.662244,0.527854,-0.273,-0.557156,1.496756,-0.762242,20.688834,0.905954,-17.34361,-0.541298,24.260411,-1.873612,1.51036,3.197811,-4.060509,-0.803659,-20.485859,3.129872,佐伯 謙司郎,20A
4,2020/10/19,01:39.8,2020/10/19,01:39.8,2,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,116.9943,3.690625,-1.369904,2411.649086,24.052068,6:45,1.840857,0.662637,1.706906,-187.4067,-48.6477,-23.9625,1.018708,0.033133,105.7751,-9.765644,-3.054855,0.531968,,,,,,,,,,,,10.7272,-25.5948,-0.625084,15.24,1.923224,0.87621,-32.086537,1.335849,1.412731,6.564562,-13.17738,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,06645600-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,114.02947,,,11.2192,,,,16.733905,-32.390732,3.282281,1.847174,1.946475,-6.58869,-0.66417,0.810746,0.706365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
5,2020/10/19,01:52.7,2020/10/19,01:52.7,2,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,115.46725,2.734257,-0.54743,2447.099584,26.831136,7:00,1.829365,0.647186,1.632236,-190.931,-48.8373,-27.0942,0.702278,0.219755,105.78135,-10.864929,-2.448354,0.538322,143.33123,-5.290042,-6.95563,,,,,6.095881,,-9.281044,0.1539,13.1529,-25.2852,-0.62978,15.24,1.887893,0.42193,-31.731254,0.771304,1.710484,5.94915,-13.094889,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,0e146a20-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,112.68353,0.732786,,9.6859,,,,16.809425,-32.024147,2.974575,1.83405,1.416,-6.547445,-0.64848,0.337718,0.855242,0.114698,0.732786,-0.23634,21.493023,0.114853,39.339615,-6.471237,,,,,,,0.732991,-3.688383,-6.99098,,,,,,,-0.236304,-4.804074,-0.317233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
6,2020/10/19,02:29.9,2020/10/19,02:29.9,3,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,117.02596,2.766824,-1.172525,2457.344425,28.545068,7:00,1.836158,0.652645,1.656872,-192.3072,-52.5578,-31.3942,0.703579,0.003991,105.93953,-10.977944,-3.377208,0.533863,165.82586,9.775275,-1.142909,3172.03723,33.525061,2.062015,-0.437863,45.78463,,-0.53727,1.181128,14.6763,-27.2811,-0.618347,15.24,1.894954,0.797878,-32.114234,0.794958,1.928256,6.77794,-13.391001,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,24439550-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,113.6247,2.621334,,11.08643,,,,16.784307,-32.438534,3.38897,1.84159,1.435668,-6.6955,-0.654315,0.705618,0.964128,0.199392,0.633243,0.011715,353.334152,0.199392,45.384935,-6.653049,0.966852,-0.213715,0.044423,-0.009146,0.001695,-0.000179,0.633243,7.820777,-8.298205,1.312292,-0.307862,0.0794,-0.01826,0.003504,-0.000389,0.011715,-0.90542,0.394179,0.06469,-0.0212,0.007713,-0.002129,0.00043,-4.9e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
7,2020/10/19,03:11.8,2020/10/19,03:11.8,4,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,137.61721,-0.210391,-3.744484,2162.131559,185.641975,12:15,1.765772,0.746013,1.828534,-74.8078,22.3585,1.901,0.958147,-0.294025,125.70854,-5.693362,-3.610356,0.445156,,,,,,,,,,,,-3.685,12.6254,-0.656234,15.24,1.755828,2.463459,-37.781987,-0.426069,-0.686357,7.722671,-7.455089,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,3d4170e0-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,136.26676,,,11.90866,,,,16.610629,-38.061114,3.861335,1.766358,-0.156614,-3.727545,-0.745721,2.488266,-0.343178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
8,2020/10/19,03:29.8,2020/10/19,03:29.8,4,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.97528,-0.378329,-2.235402,1944.605136,222.20514,1:30,1.744135,0.716843,1.92014,-52.8688,40.9721,34.0418,1.10912,0.429181,125.86373,-4.374191,0.18689,0.437473,,,,,,,,,,,,-19.724,22.636,-0.668764,15.24,1.73264,1.343487,-38.464284,-0.427344,-3.746962,9.163849,-5.506508,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,47f91fb0-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,138.66013,,,14.11154,,,,16.519415,-38.767898,4.581925,1.743777,-0.244905,-2.753254,-0.715333,1.46763,-1.873481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
9,2020/10/19,03:52.3,2020/10/19,03:52.3,4,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,143.64356,-1.865516,-4.391668,2176.019852,205.911116,12:45,1.715284,0.698334,1.933553,-35.7091,54.2845,24.6532,0.833015,-0.289824,128.23706,-4.643286,-2.64301,0.428411,,,,,,,,,,,,-16.1906,30.4464,-0.60186,15.24,1.671482,2.885741,-39.301436,-1.366119,-3.201368,9.7922,-3.786475,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,5561e4c0-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,141.593,,,15.4065,,,,16.503002,-39.614871,4.8961,1.71327,-1.244919,-1.893238,-0.695869,2.988213,-1.600684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20A
10,2020/10/19,04:25.4,2020/10/19,04:25.3,4,4,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,1,114.22534,3.98638,-1.602996,2446.354875,30.393785,7:00,1.768225,0.648464,1.794,-191.8265,-47.0407,-30.7852,0.980486,-0.1132,102.87481,-9.876051,-3.777717,0.543398,,,,,,,,,,,,14.017,-25.3446,-0.607077,15.24,1.853756,1.008972,-31.315467,1.48028,1.748981,6.503277,-12.969046,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20201019-JinguStadium-1,6912a270-11af-11eb-8712-919bde8d479d,f5cec20a-88e8-4989-8fa7-9dc86352210e,v3,,,,"Rikuto, Ueta",1000073554,Right,MEI_MEI,111.63098,,,11.35053,,,,16.646676,-31.606241,3.251639,1.774606,2.060151,-6.484523,-0.650442,0.930772,0.87449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5375,3.178963,2.088704,1.090259,-0.828617,0.747284,0.198318,0.502062,1.662255,1.358628,23.240593,1.472539,-14.791588,0.52542,22.310399,-1.344897,1.668318,3.627892,-3.489058,1.302351,-17.36426,2.367047,佐伯 謙司郎,20A
