PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/10/24,09:35.5,2020/10/24,09:35.5,1,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,148.58665,-2.880378,1.787128,2463.112515,167.700547,11:30,1.801554,-0.242279,1.828229,-21.9364,61.3087,-12.7664,0.767599,0.134961,135.36373,-4.609907,0.884109,0.412035,,,,,,,,,,,,7.8894,34.5053,0.200266,15.24,1.730979,-1.208398,-40.82196,-2.104229,1.714846,9.043138,-2.306556,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,1954abf0-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.22054,,,13.22293,,,,16.611552,-41.124672,4.521569,1.800124,-2.027018,-1.153278,0.241677,-1.265801,0.857423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
2,2020/10/24,10:11.9,2020/10/24,10:11.9,2,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,150.66226,-3.284557,1.001197,2515.855651,164.370969,11:30,1.811693,-0.261288,1.765831,-19.6796,61.8983,-16.5611,0.682494,-0.143011,137.30741,-4.843179,-0.166367,0.407888,,,,,,,,,,,,9.1095,34.6234,0.237357,15.24,1.727817,-0.632166,-41.370746,-2.41247,2.036446,9.171721,-2.066538,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,2f0901d0-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,148.71735,,,13.35485,,,,16.673432,-41.687321,4.58586,1.809855,-2.34114,-1.033269,0.260391,-0.702457,1.018223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
3,2020/10/24,10:22.3,2020/10/24,10:22.3,2,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,151.06172,-3.624861,1.545044,2508.938434,169.776469,11:45,1.787534,-0.235156,1.781372,-20.0715,60.9771,-10.5136,0.558335,0.097446,137.74816,-5.208974,0.803428,0.406563,,,,,,,,,,,,6.4683,34.5311,0.197574,15.24,1.696096,-1.061738,-41.464964,-2.669963,1.452732,9.205415,-2.051215,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,35386960-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,149.20212,,,13.31356,,,,16.658123,-41.778607,4.602708,1.785875,-2.600075,-1.025607,0.234592,-1.111235,0.726366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
4,2020/10/24,10:35.2,2020/10/24,10:35.2,2,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,151.30044,-3.990968,0.664193,2485.344513,168.675388,11:30,1.801222,-0.213545,1.811144,-21.9746,58.1276,-11.1355,0.451208,-0.137104,138.75204,-5.696738,-0.123182,0.404182,,,,,,,,,,,,6.1433,33.2478,0.198157,15.24,1.702636,-0.4224,-41.552011,-2.952216,1.393118,8.777951,-2.267092,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,3cec4e10-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.08093,,,12.54841,,,,16.628471,-41.8443,4.388975,1.799683,-2.876726,-1.133546,0.212994,-0.468788,0.696559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
5,2020/10/24,10:52.9,2020/10/24,10:52.9,2,4,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,151.89834,-3.672411,0.344707,2463.677786,161.876924,11:30,1.798267,-0.210837,1.818101,-18.7149,61.0062,-19.1089,0.571823,-0.304507,138.58464,-5.159732,-1.006982,0.403219,118.83318,40.425229,137.251447,4001.511592,-26.999753,16.188576,19.877923,66.512111,,149.69286,3.359516,10.0664,34.7586,0.203789,15.24,1.708185,-0.14982,-41.720059,-2.71356,2.288431,9.330525,-1.904837,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,477b6640-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.43923,16.230048,,13.3137,,,,16.621622,-42.027918,4.665262,1.796681,-2.65071,-0.952419,0.209978,-0.225327,1.144215,0.255011,0.467263,0.299795,316.766645,0.255107,-18.456745,-0.12926,0.216849,-0.003993,-0.018434,0.007154,-0.001112,6.4e-05,0.467318,21.402814,-8.464044,1.02788,-0.196762,0.030104,-0.003862,0.000536,-4.1e-05,0.299842,17.054785,-3.378198,0.619458,-0.104414,0.013468,-0.002149,0.000335,-2.3e-05,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
6,2020/10/24,11:13.9,2020/10/24,11:14.0,2,5,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,152.80083,-2.760002,2.274999,2493.289018,161.954151,11:30,1.765071,-0.235574,1.79406,-19.7189,59.1705,-18.4476,0.785504,0.224176,139.44451,-4.318453,0.973395,0.40111,,,,,,,,,,,,10.9661,32.8681,0.180869,15.24,1.695707,-1.565631,-41.966585,-2.064098,2.528033,9.250758,-2.229513,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,5406c3a0-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,151.23018,,,13.35632,,,,16.645269,-42.275216,4.625379,1.763331,-1.989716,-1.114757,0.23451,-1.649973,1.264016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
7,2020/10/24,11:44.9,2020/10/24,11:44.9,3,1,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kai, Tominaga",1000074173,Left,RIK,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,151.98246,-2.575282,-0.12641,2435.042436,165.317867,11:30,1.764398,-0.191916,1.782128,-19.6839,60.1394,-15.0791,0.837652,-0.378511,138.61175,-4.132064,-1.190736,0.403478,,,,,,,,,,,,7.5479,33.1972,0.196068,15.24,1.699073,0.175603,-41.769931,-1.916381,1.721566,9.274595,-2.234867,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,66731a70-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,150.34283,,,13.37071,,,,16.657011,-42.083388,4.637297,1.762565,-1.840849,-1.117433,0.191117,0.117419,0.860783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
8,2020/10/24,11:56.0,2020/10/24,11:56.0,3,2,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kai, Tominaga",1000074173,Left,RIK,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,152.17515,-3.234857,1.032598,2392.013011,168.207856,11:30,1.788203,-0.222764,1.845878,-21.4041,57.3507,-11.4578,0.660415,-0.045991,139.43283,-4.906716,0.220792,0.400768,,,,,,,,,,,,6.5046,32.2436,0.19897,15.24,1.709928,-0.690826,-41.817302,-2.406773,1.494403,8.862936,-2.398827,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,6d0e6330-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,151.35937,,,12.74232,,,,16.593034,-42.103093,4.431468,1.786289,-2.329422,-1.199413,0.222023,-0.739014,0.747201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
9,2020/10/24,12:16.3,2020/10/24,12:16.3,3,3,"Takahisa, Hayakawa",1000073877,Left,WAS_EDA,"Kai, Tominaga",1000074173,Left,RIK,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,150.87249,-1.876885,1.373579,2331.393843,166.921384,11:30,1.77469,-0.216396,1.799704,-20.2902,61.3542,-13.5789,1.04042,0.036515,136.09795,-3.506051,0.414421,0.408054,,,,,,,,,,,,8.0425,33.7412,0.183701,15.24,1.727372,-0.920564,-41.437935,-1.396465,1.784169,10.122714,-2.321444,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,792f3ef0-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,148.65675,,,14.77454,,,,16.639473,-41.778408,5.061357,1.773028,-1.318384,-1.160722,0.215673,-0.980574,0.892084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
10,2020/10/24,14:44.8,2020/10/24,14:44.8,1,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.08953,-0.979177,-3.025975,2306.019372,209.93562,1:00,1.563171,0.319983,2.177625,-39.2642,43.9409,23.8041,0.899546,-0.278932,132.6433,-3.994918,-1.306792,0.411936,,,,,,,,,,,,-14.8053,25.0191,-0.266409,15.24,1.543932,2.007694,-39.944114,-0.781569,-3.090983,8.408011,-4.583274,WAS_EDA,RIK,JinguStadium,Fall,Team,20201024-JinguStadium-2,d1aac400-15b7-11eb-942a-813d9073ae4d,ed248e06-9072-4ead-8604-789157a12051,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,147.25595,,,12.44623,,,,16.261796,-40.15862,4.204006,1.56238,-0.66464,-2.291637,-0.318635,2.086552,-1.545492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20A
