PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/11,01:16.4,2020/8/11,01:16.4,1,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,148.53186,-1.919492,1.775629,2177.116767,152.450146,11:00,1.670441,-0.53198,1.792243,-34.5291,48.0873,-23.8321,0.781355,-0.267532,136.89082,-4.510968,0.092759,0.410476,,,,,,,,,,,,13.3771,26.6335,0.489957,15.24,1.620771,-1.144428,-40.87588,-1.490864,2.951639,8.039597,-3.929982,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,898bb600-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,147.77968,,,11.64104,,,,16.647895,-41.151858,4.019799,1.669633,-1.355959,-1.964991,0.530981,-1.24575,1.47582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
2,2020/8/11,01:36.0,2020/8/11,01:36.0,1,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,148.86071,-1.809,2.169804,2157.315064,152.53018,11:00,1.651566,-0.566087,1.805971,-31.5399,52.898,-25.844,0.82401,-0.21057,133.45167,-4.251153,0.344129,0.414976,123.45011,50.350046,107.267412,4671.371016,,,,,,,,15.0206,29.4844,0.514916,15.24,1.605332,-1.408358,-40.838935,-1.381872,3.214031,10.396223,-3.49776,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,9532a6d0-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,146.17703,15.300369,,15.40904,,,,16.632745,-41.191955,5.198111,1.650239,-1.2631,-1.74888,0.564592,-1.517496,1.607015,0.044095,0.794935,0.209214,316.715828,0.044095,-6.495089,-1.910566,0.827536,-0.248834,0.066926,-0.017259,0.003987,-0.000601,0.794935,26.403139,-8.436888,0.93742,-0.126207,0.004686,0.003664,-0.001754,0.000376,0.209214,20.89518,-4.499748,1.491126,-0.386188,0.093641,-0.022116,0.004654,-0.000636,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
3,2020/8/11,01:55.8,2020/8/11,01:55.8,1,3,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Kengo, Kasahara",1000073992,Right,TOK,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,129.99878,0.05747,2.1332,2704.503756,351.971169,5:45,1.658539,-0.537989,1.715691,-112.9213,-3.1016,0.9163,0.545682,0.078126,119.58433,-8.066871,2.197668,0.473254,,,,,,,,,,,,1.0458,-0.5848,0.482549,15.24,1.651331,-1.335864,-35.747493,-0.423741,0.174755,6.778073,-9.904375,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,a1095a30-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,128.17628,,,10.41445,,,,16.724345,-36.02784,3.389036,1.660385,-0.014087,-4.952188,0.537951,-1.343092,0.087377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
4,2020/8/11,02:23.1,2020/8/11,02:23.1,2,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Takumi, Kawade",1000073993,Right,TOK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,148.31265,-0.615947,1.274869,2104.902422,152.530284,11:00,1.681931,-0.529543,1.862906,-36.7892,45.3038,-22.3209,1.1404,-0.393402,136.48886,-3.385046,-0.308538,0.409174,,,,,,,,,,,,12.278,24.4852,0.501061,15.24,1.665125,-0.794456,-40.846748,-0.561859,2.703448,8.084404,-4.415347,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,b15edef0-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,148.24997,,,11.82379,,,,16.576738,-41.110465,4.042202,1.681104,-0.417828,-2.207673,0.528415,-0.882643,1.351724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
5,2020/8/11,02:37.4,2020/8/11,02:37.4,2,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Takumi, Kawade",1000073993,Right,TOK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,148.32114,-1.250084,2.26363,2162.590893,152.995429,11:00,1.647304,-0.507725,1.816136,-28.1731,56.1317,-27.086,1.011915,-0.138454,133.80779,-3.445305,0.349328,0.414649,,,,,,,,,,,,15.3121,30.2866,0.454481,15.24,1.614923,-1.456846,-40.712577,-0.954787,3.285994,9.597571,-3.307102,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,b9d24310-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,146.29234,,,14.51336,,,,16.621615,-41.036986,4.798786,1.645306,-0.843003,-1.653551,0.505601,-1.567916,1.642997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
6,2020/8/11,03:04.0,2020/8/11,03:04.0,2,3,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Takumi, Kawade",1000073993,Right,TOK,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,148.9927,-2.289899,1.026584,2120.536466,147.085665,11:00,1.640712,-0.504287,1.857546,-32.9632,49.1322,-30.1218,0.665065,-0.51606,136.30001,-4.79222,-1.110045,0.40918,,,,,,,,,,,,16.1977,27.7028,0.48202,15.24,1.584786,-0.578673,-40.981117,-1.741983,3.561585,8.80266,-3.715311,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,c9b7c7f0-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,148.24781,,,12.69269,,,,16.582043,-41.268378,4.40133,1.639655,-1.62074,-1.857656,0.502801,-0.6949,1.780792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
7,2020/8/11,03:20.8,2020/8/11,03:20.8,2,4,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Takumi, Kawade",1000073993,Right,TOK,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,128.51054,0.763545,1.85121,2351.82558,348.652212,5:30,1.625935,-0.563555,1.671035,-118.9166,-7.1539,2.0522,0.654639,-0.01493,119.36991,-7.74371,1.995204,0.477423,,,,,,,,,,,,0.1191,-3.1337,0.513896,15.24,1.63657,-1.153093,-35.377638,-0.020264,0.019718,5.921547,-10.325427,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,d3afd040-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,127.05722,,,9.14063,,,,16.76951,-35.632729,2.960773,1.627862,0.42454,-5.162714,0.563587,-1.153943,0.009859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.93402,2.501827,1.647872,0.853955,-0.353986,0.544664,-0.012492,-0.507084,1.702219,1.908221,19.677347,1.467472,18.354637,-0.482394,25.957304,-2.734928,1.714511,3.40077,-4.312324,1.907814,19.743409,-0.566781,佐伯 謙司郎,20S
8,2020/8/11,03:48.4,2020/8/11,03:48.4,3,1,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,125.52227,1.725812,1.776798,2169.580713,351.929552,5:45,1.641451,-0.532015,1.649969,-126.9341,-9.2471,1.7777,0.865288,-0.006724,116.27852,-7.354109,1.901302,0.489913,,,,,,,,,,,,0.2341,-4.6244,0.483714,15.24,1.677586,-1.079666,-34.534785,0.519419,0.036888,5.716405,-10.535268,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,e42c6500-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,123.81787,,,9.24374,,,,16.790433,-34.790476,2.858202,1.643814,0.990653,-5.267634,0.532043,-1.081316,0.018444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
9,2020/8/11,04:01.7,2020/8/11,04:01.7,3,2,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,,,149.27955,-1.01542,3.455574,2169.921278,151.153149,11:00,1.641593,-0.513694,1.787727,-33.8342,49.1863,-25.5834,1.015193,0.210065,135.67145,-3.58727,1.653679,0.411479,120.68436,31.356904,-157.483029,3924.587097,-31.809591,12.293518,-10.595971,72.338204,,-165.625437,2.957707,15.5751,26.6792,0.430064,15.24,1.614132,-2.338306,-40.985007,-0.838876,3.410684,9.16003,-3.964363,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,ec10f6a0-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,147.41953,12.354406,,13.6081,,,,16.651694,-41.299312,4.580015,1.640582,-0.702849,-1.982181,0.512305,-2.455335,1.705342,-0.060245,1.015896,-0.228064,52.100094,-0.060247,-26.44467,1.62834,-0.372449,0.076285,-0.016488,0.003453,-0.000549,4.5e-05,1.015903,17.44408,-7.699326,0.953698,-0.19236,0.024269,0.001083,-0.001182,0.000156,-0.228069,-10.962763,2.894927,-0.652332,0.128591,-0.024449,0.003914,-0.000416,2.5e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
10,2020/8/11,04:25.1,2020/8/11,04:25.1,3,3,"Shota, Suzuki",1000073773,Left,HOS_HOS,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,150.44537,-1.441354,3.805369,2174.771465,148.390683,11:00,1.631873,-0.49802,1.751351,-32.9982,48.6764,-28.3858,0.891883,0.299574,137.57352,-3.93305,1.811661,0.40813,,,,,,,,,,,,16.9551,26.4763,0.403585,15.24,1.592864,-2.591605,-41.301366,-1.154156,3.797343,8.701468,-3.876904,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-1,fa0be990-db76-11ea-9a43-017aab3bea42,a98d0b3f-e45d-40d4-a5df-d984af04a6e9,v3,,,,"Rentaro, Ohgaki",1000089958,Right,HOS_HOS,148.62921,,,12.87185,,,,16.688181,-41.605353,4.350734,1.630819,-1.018715,-1.938452,0.49644,-2.724266,1.898672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,20S
