PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/11,16:20.8,2020/8/11,16:20.8,1,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,1,Top,0,0,0,Fastball,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,132.77233,5.085578,-3.409194,2174.696173,295.587846,3:45,0.376491,0.639237,1.826424,-108.0837,-4.7329,15.6576,0.738479,-0.168295,122.26402,-2.730568,-2.306464,0.459105,84.4588,7.267822,-37.058839,3315.253468,,,,18.930608,,-38.078783,0.829744,-10.1501,-4.7887,-0.558358,15.24,0.491826,2.098488,-36.405074,2.824991,-1.78536,6.045779,-10.648951,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,cb073710-db91-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.12676,1.147717,,10.50831,,,,16.614433,-36.632614,3.022889,0.377962,3.225777,-5.324476,-0.638602,2.165683,-0.89268,0.699341,0.676668,0.210435,104.460756,0.699341,18.571674,-1.858275,0.151071,-0.026622,-0.025542,0.049387,-0.040598,0.01349,0.676668,2.967965,-4.747657,0.236618,-0.018563,0.008836,-0.002053,0.000718,-0.000243,0.210435,-14.024685,-0.338405,-0.02426,-0.010465,0.023625,-0.039013,0.032431,-0.010819,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
2,2020/8/11,16:51.8,2020/8/11,16:51.8,2,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,1,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,133.21135,4.594597,-2.568362,2178.391914,308.923756,4:15,0.341452,0.625982,1.771056,-114.1536,-11.1886,17.2244,0.50627,0.069789,122.98406,-3.627312,-1.357172,0.458247,,,,,,,,,,,,-10.29,-7.5461,-0.56303,15.24,0.448337,1.559216,-36.575441,2.473439,-1.829606,6.003901,-11.14838,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,dd8a9850-db91-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.37411,,,10.22729,,,,16.669725,-36.809384,3.001951,0.343496,2.907838,-5.57419,-0.625174,1.630507,-0.914803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
3,2020/8/11,17:01.6,2020/8/11,17:01.6,2,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Yuki, Suyama",1000073581,Left,MEI_MEI,Undefined,1,Top,1,0,1,Fastball,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,132.44868,5.545432,-3.247907,2096.029077,307.598753,4:15,0.366693,0.64444,1.852743,-109.8246,-6.7714,12.1304,0.839702,-0.151158,122.55187,-2.389414,-2.39236,0.458443,92.96063,-4.667536,33.589612,,,,,7.014639,,31.672962,0.259777,-8.102,-5.9114,-0.56866,15.24,0.490749,2.007542,-36.319394,3.110139,-1.426917,5.618105,-10.847753,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,e358cd10-db91-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.31741,0.792987,,9.89681,,,,16.588281,-36.527359,2.809053,0.368189,3.511689,-5.423877,-0.643951,2.060362,-0.713459,0.510845,0.792987,0.069514,170.085101,0.511032,21.429787,-1.604886,,,,,,,0.793067,-2.105288,-3.648905,,,,,,,0.069657,14.231323,-1.238626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
4,2020/8/11,17:32.8,2020/8/11,17:32.8,3,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,132.99381,4.377495,-1.691142,2059.928518,272.220914,3:00,0.324037,0.657937,1.761818,-101.3855,1.6296,25.7089,0.554561,0.435296,123.07186,-2.942391,0.117697,0.458358,,,,,,,,,,,,-14.07,-0.841,-0.617302,15.24,0.426913,0.958079,-36.549226,2.389574,-2.504808,5.81481,-9.956368,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,f5f61ef0-db91-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.34188,,,9.92195,,,,16.678833,-36.777425,2.907405,0.325469,2.780307,-4.978184,-0.65683,1.056378,-1.252404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
5,2020/8/11,17:43.4,2020/8/11,17:43.4,3,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,133.98191,4.863581,-2.990395,2211.485096,265.65028,2:45,0.372119,0.63399,1.835715,-96.5101,4.1887,22.0017,0.785194,0.009049,124.01411,-2.127621,-1.438318,0.453176,,,,,,,,,,,,-13.0679,0.1266,-0.564092,15.24,0.482095,1.822676,-36.780938,2.7614,-2.359886,5.775901,-9.783793,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,fc491410-db91-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,133.85533,,,9.96779,,,,16.605152,-36.994694,2.887951,0.373201,3.123481,-4.891896,-0.633162,1.910011,-1.179943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
6,2020/8/11,17:58.0,2020/8/11,17:58.0,3,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Kazuya, Maruyama",1000073566,Left,MEI_MEI,Undefined,1,Top,2,1,1,Fastball,Changeup,InPlay,Undefined,Bunt,,Single,0,0,,,,132.94055,4.824489,-2.272978,2210.698729,258.415482,2:30,0.380872,0.647547,1.792286,-95.8202,7.4405,22.9311,0.792598,0.233134,122.44736,-2.120926,-0.658025,0.458904,,,,,,,,,,,,-13.198,1.6391,-0.593257,15.24,0.493169,1.34425,-36.49185,2.709507,-2.332866,6.065408,-9.516916,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,0502a8f0-db92-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,132.1844,,,10.49319,,,,16.648428,-36.725202,3.032704,0.381883,3.075648,-4.758458,-0.6467,1.434002,-1.166433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
7,2020/8/11,18:39.5,2020/8/11,18:39.5,4,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Hibiki, Kuge",1000073674,Right,MEI_MEI,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,1,0,1,,,132.29355,5.764395,-3.003314,2157.947311,277.010421,3:15,0.36103,0.692926,1.801157,-105.2167,-0.0713,24.9241,0.947408,0.09174,120.95003,-1.851891,-1.249908,0.463073,,,,,,,,,,,,-14.6499,-2.8034,-0.62114,15.24,0.495394,1.783962,-36.218234,3.247281,-2.537317,6.324223,-10.292195,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,1dbaa1e0-db92-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.9944,,,11.34352,,,,16.639181,-36.461732,3.162111,0.362737,3.643556,-5.146098,-0.691708,1.881655,-1.268658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
8,2020/8/11,21:44.1,2020/8/11,21:44.1,1,1,"Masato, Takahashi",1000073600,Right,MEI_MEI,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,143.25871,-2.713639,-2.872565,2178.492927,207.568813,1:00,1.601255,0.303634,1.955122,-36.0781,52.5788,25.8504,0.478541,-0.243478,130.03782,-5.480925,-1.030824,0.425217,,,,,,,,,,,,-15.6016,30.3582,-0.242329,15.24,1.539978,1.849122,-39.333539,-1.9645,-3.133413,8.758295,-3.70952,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,8bc19810-db92-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,142.65649,,,13.22089,,,,16.484017,-39.609572,4.379148,1.600051,-1.847587,-1.85476,-0.302164,1.947877,-1.566706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
9,2020/8/11,21:54.2,2020/8/11,21:54.2,1,2,"Masato, Takahashi",1000073600,Right,MEI_MEI,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,144.11659,-1.411534,-3.771352,2271.48185,206.70188,1:00,1.607804,0.318694,1.925448,-26.3227,61.4237,29.4084,0.947371,-0.447503,130.76477,-3.485879,-1.683653,0.423028,,,,,,,,,,,,-17.9358,33.7005,-0.236032,15.24,1.574567,2.461899,-39.566522,-1.028866,-3.655124,8.649663,-2.938866,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,91c44a50-db92-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,143.39474,,,13.35182,,,,16.513631,-39.843979,4.324831,1.606058,-0.934595,-1.469433,-0.316883,2.579144,-1.827562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
10,2020/8/11,22:04.8,2020/8/11,22:04.8,1,3,"Masato, Takahashi",1000073600,Right,MEI_MEI,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Bottom,0,1,1,Slider,Slider,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,,,131.72621,0.612353,-1.920091,1937.627161,191.600676,12:30,1.547065,0.394506,1.727392,-93.0439,12.9769,2.0357,0.790756,-0.131014,121.56153,-6.120461,-1.776901,0.464997,159.58327,15.430286,-20.302418,1159.417506,31.042705,7.631522,-12.667933,95.58282,,-26.267287,2.86931,-2.2968,7.045,-0.345227,15.24,1.555705,1.205874,-36.251731,0.018081,-0.397686,6.474829,-8.586798,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20200811-JinguStadium-2,9821c6c0-db92-11ea-99ee-2bd523127f66,af402db6-2c10-4e31-9fd2-797660042851,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,130.45241,8.737985,,10.16468,,,,16.712911,-36.513856,3.237414,1.547936,0.365707,-4.293399,-0.394371,1.221974,-0.198843,0.670604,0.827755,0.122597,127.589587,0.6706,40.076675,-6.049566,1.350528,-0.269594,0.046264,-0.006754,0.000738,-4e-05,0.827761,11.793676,-4.53666,0.082522,0.026961,-0.010876,0.002442,-0.000228,5e-06,0.122591,-14.825898,-0.543389,0.400533,-0.129832,0.031712,-0.005521,0.000624,-3.4e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,20S
