PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/13,00:50.8,2020/8/13,00:50.8,1,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Kanta, Niimi",1000073441,Right,KEI_KEI,Undefined,1,Top,0,0,0,Splitter,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,,,136.77767,-4.124045,-4.762109,1893.190538,209.701217,1:00,1.642874,0.77793,1.948552,-53.7833,42.9717,22.803,-0.057069,-0.33209,126.20099,-8.10406,-3.143139,0.444213,,,,,,,,,,,,-15.2094,26.1724,-0.674771,15.24,1.549154,3.023858,-37.473915,-2.885996,-2.80969,7.028356,-4.971716,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,cedf77d0-dd08-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,136.55608,,,10.57669,,,,16.4918,-37.707964,3.514178,1.642503,-2.720435,-2.485858,-0.777026,3.117422,-1.404845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
2,2020/8/13,01:11.3,2020/8/13,01:11.3,1,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Kanta, Niimi",1000073441,Right,KEI_KEI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,,,142.91776,-1.749646,-3.73387,2154.895839,204.802224,12:45,1.629032,0.839265,1.973537,-50.4875,37.8124,16.172,0.633245,-0.045588,130.72058,-5.528014,-2.582053,0.42436,155.65835,17.356437,-0.37084,1740.634621,33.517351,8.453722,0.844059,91.143129,,3.160149,3.045521,-11.2116,21.9397,-0.759932,15.24,1.588701,2.489807,-39.27126,-1.369658,-2.258949,8.247379,-5.386169,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,db0ab3d0-dd08-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,142.94455,9.753571,,12.19719,,,,16.466511,-39.528001,4.123689,1.628729,-1.201986,-2.693085,-0.838534,2.560128,-1.129475,1.062206,0.633187,0.02489,219.840999,1.062205,41.268864,-6.705553,1.554068,-0.320591,0.058837,-0.009414,0.001113,-6.4e-05,0.633185,12.898747,-4.75248,0.095196,0.048841,-0.020892,0.004986,-0.000591,2.8e-05,0.024886,-0.266919,1.9139,-0.842841,0.252046,-0.061337,0.01129,-0.00138,8.1e-05,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
3,2020/8/13,01:45.5,2020/8/13,01:45.5,2,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Jun, Setonishi",1000073406,Left,KEI_KEI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,112.92569,1.885218,-0.76994,2271.958242,22.018208,6:45,1.733286,0.718945,1.868996,-191.007,-45.8857,-20.6197,0.354559,0.295827,103.18894,-11.916138,-2.239876,0.544027,,,,,,,,,,,,9.977,-23.7696,-0.69979,15.24,1.765567,0.498237,-31.066539,0.372595,1.233095,6.101762,-12.744435,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,ef787ff0-dd08-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,111.50187,,,9.73675,,,,16.572286,-31.327119,3.050881,1.738033,0.916856,-6.372218,-0.719943,0.445577,0.616548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
4,2020/8/13,01:58.4,2020/8/13,01:58.4,2,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Jun, Setonishi",1000073406,Left,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,143.70593,-1.608771,-1.937768,2184.177581,202.322529,12:45,1.622835,0.782645,1.892735,-39.713,49.2627,18.9309,0.772771,0.426641,129.82902,-4.638267,-0.592905,0.425981,,,,,,,,,,,,-11.2549,27.6287,-0.739382,15.24,1.583581,1.240177,-39.474707,-1.228386,-2.26657,9.160249,-4.242647,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,f7242740-dd08-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,142.40067,,,13.87692,,,,16.545916,-39.776596,4.580125,1.62176,-1.088564,-2.121324,-0.781485,1.314874,-1.133285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
5,2020/8/13,02:13.1,2020/8/13,02:13.1,2,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Jun, Setonishi",1000073406,Left,KEI_KEI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,,,144.90084,-1.935625,-3.373709,2200.151858,207.942154,1:00,1.644875,0.813055,1.950407,-40.3219,46.9793,23.2311,0.697954,0.098625,130.5874,-5.017818,-1.720431,0.421954,155.00534,12.399527,15.670896,1224.255362,32.121561,5.434966,9.608353,76.061787,,18.679836,2.312197,-14.9117,27.0339,-0.740483,15.24,1.600246,2.232607,-39.765873,-1.467086,-3.036634,9.569348,-4.301428,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,ffdc0e70-dd08-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,143.75987,5.616487,,14.31344,,,,16.488862,-40.065275,4.784674,1.644043,-1.332504,-2.150714,-0.811822,2.327616,-1.518317,0.429174,0.688188,-0.111179,217.736374,0.429182,40.489288,-6.02235,1.224377,-0.280896,0.093426,-0.035201,0.00856,-0.000885,0.68817,9.245949,-4.617321,0.294861,0.029151,-0.112031,0.070473,-0.019756,0.002149,-0.11119,11.35917,-0.406911,0.036027,0.050786,-0.076602,0.044557,-0.01231,0.001333,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
6,2020/8/13,03:01.0,2020/8/13,03:01.1,3,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,1,0,0,Splitter,Changeup,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,1,,,134.05893,-0.231196,-2.609793,1629.017171,214.084652,1:15,1.627046,0.812894,1.777833,-89.3826,13.7867,7.0154,0.667652,0.143153,122.23459,-6.742714,-2.114964,0.458701,160.656,15.00925,4.284577,954.194842,33.455596,7.328912,2.201753,93.216848,,3.548534,2.940205,-5.5653,8.2093,-0.748477,15.24,1.614984,1.645584,-36.832493,-0.499776,-0.980948,7.622538,-8.359659,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,1c7beff0-dd09-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,132.24298,8.448574,,11.82434,,,,16.661768,-37.125564,3.811269,1.62802,-0.178364,-4.179829,-0.812472,1.683299,-0.490474,0.475144,0.658902,-0.137956,173.483449,0.475146,42.983614,-6.169789,1.250285,-0.261669,0.05181,-0.008971,0.001083,-6.3e-05,0.658902,11.557154,-4.659664,0.350208,-0.073857,0.01532,-0.00243,0.000301,-1.9e-05,-0.137956,3.220313,-0.679109,0.146617,-0.030987,0.006331,-0.001067,0.000125,-7e-06,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
7,2020/8/13,03:45.0,2020/8/13,03:45.0,4,1,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,0,0,Cutter,Slider,BallinDirt,Undefined,Undefined,,Undefined,0,0,1,,,138.31854,-2.203766,-3.880013,2164.075553,149.254929,11:00,1.657349,0.841353,1.764336,-79.2381,18.452,-9.0133,0.238353,-0.350629,126.2259,-7.950933,-4.513734,0.446354,,,,,,,,,,,,1.6137,12.0875,-0.743174,15.24,1.596213,2.615618,-37.915056,-1.780629,0.300678,8.246159,-7.554398,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,36ae05c0-dd09-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,135.90095,,,12.09264,,,,16.675156,-38.225914,4.12308,1.657971,-1.495848,-3.777199,-0.841563,2.604283,0.150339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
8,2020/8/13,04:05.0,2020/8/13,04:05.0,4,2,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,136.16443,-1.300508,-2.801302,2226.624575,179.348343,12:00,1.661186,0.838676,1.735247,-79.5929,20.5487,-0.1972,0.495337,0.040348,124.84393,-7.078463,-2.815193,0.451921,,,,,,,,,,,,-1.9057,12.327,-0.766884,15.24,1.621889,1.831178,-37.404071,-1.16988,-0.348264,7.49379,-7.553887,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,4296e190-dd09-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,134.22714,,,11.3205,,,,16.704435,-37.696325,3.746895,1.661769,-0.875283,-3.776943,-0.838563,1.84476,-0.174132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
9,2020/8/13,04:41.7,2020/8/13,04:41.7,4,3,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,137.19566,-1.706628,-3.530655,2362.695795,122.267537,10:00,1.654215,0.810972,1.785772,-91.2397,8.0401,-7.2676,0.257486,-0.262754,124.82388,-8.319562,-4.042974,0.449972,,,,,,,,,,,,0.8822,6.4822,-0.723068,15.24,1.605593,2.356661,-37.625345,-1.491737,0.161171,8.423916,-8.62244,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,5880ed70-dd09-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,134.80849,,,12.37178,,,,16.653678,-37.940532,4.211958,1.655372,-1.169122,-4.31122,-0.811132,2.350631,0.080586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
10,2020/8/13,04:59.9,2020/8/13,04:59.9,4,4,"Yu, Takeda",1000073601,Right,MEI_MEI,"Tomoya, Masaki",1000073443,Right,KEI_KEI,Undefined,1,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,Steal,"Jun, Setonishi",144.47781,-2.334835,-2.2171,2182.174344,214.823443,1:15,1.641761,0.805721,1.861869,-46.0486,41.7418,27.0035,0.522358,0.450566,131.66146,-5.780989,-0.302056,0.423134,,,,,,,,,,,,-15.5247,24.124,-0.755465,15.24,1.584156,1.401493,-39.69467,-1.779112,-3.186367,8.655411,-4.855341,MEI_MEI,KEI_KEI,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-1,634f3180-dd09-11ea-9015-e59916888c15,1b6c9f62-eed2-4615-ad66-a8ffdb0e3a1b,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,143.35874,,,12.81635,,,,16.577498,-39.985248,4.327705,1.641148,-1.61611,-2.42767,-0.804311,1.508465,-1.593183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,20S
