PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,season
1,2020/8/13,56:15.5,2020/8/13,56:15.5,1,1,"Kota, Hirayama",1000073931,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,135.04795,-1.843897,-1.215296,2009.18483,204.142024,12:45,1.796111,0.131303,1.610556,-49.2279,54.0128,22.7029,0.775752,0.010425,123.39157,-5.487528,0.370827,0.45886,,,,,,,,,,,,-12.2137,29.3396,-0.099608,15.24,1.740699,0.670123,-37.09401,-1.375004,-2.197452,7.29927,-4.527946,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,b1b97360-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.19722,,,11.65638,,,,16.82873,-37.40533,3.649635,1.795225,-1.181883,-2.263973,-0.130188,0.763846,-1.098726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
2,2020/8/13,56:25.1,2020/8/13,56:25.1,1,2,"Kota, Hirayama",1000073931,Right,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,1,Splitter,Changeup,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,124.04249,-0.275104,-1.433591,1239.275004,226.269283,1:30,1.642794,0.268601,1.603337,-96.4843,26.009,23.0588,0.599148,0.088584,113.64502,-7.240858,0.177922,0.499817,128.30051,46.83132,10.270708,4877.074063,32.281465,28.708183,9.057145,69.613196,,20.037575,5.122013,-12.6343,14.3442,-0.230748,15.24,1.626615,0.745638,-34.087438,-0.539859,-1.91654,6.254949,-7.630736,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,b76fda60-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,121.36449,30.136011,,10.39747,,,,16.836369,-34.37912,3.127474,1.643493,-0.184022,-3.815368,-0.267602,0.83501,-0.95827,0.706946,0.584043,-0.089131,200.316833,0.70734,23.982439,-5.782978,1.450285,-0.269252,0.04385,-0.006963,0.00081,-4.2e-05,0.584175,25.991155,-6.656118,0.559169,-0.081204,0.005817,-4.6e-05,6.5e-05,-8e-06,-0.089364,4.352908,0.602975,-0.232748,0.038849,-0.001461,-0.000614,8.9e-05,-4e-06,,,,,,,,,,,,,,,,,,,,,,,20S
3,2020/8/13,56:56.1,2020/8/13,56:56.1,2,1,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,135.48019,-2.549783,-0.246588,1924.826977,206.793712,1:00,1.749151,0.182777,1.584892,-50.6232,52.5355,24.7992,0.511462,0.360077,123.72475,-6.278245,1.483904,0.458678,,,,,,,,,,,,-12.5363,29.0707,-0.178152,15.24,1.67273,0.030696,-37.190683,-1.847034,-2.26292,7.468456,-4.559119,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,c9ec5dd0-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.24972,,,11.75544,,,,16.854312,-37.51346,3.734228,1.748299,-1.649994,-2.279559,-0.181592,0.128497,-1.13146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
4,2020/8/13,57:07.3,2020/8/13,57:07.3,2,2,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,136.42814,-2.426783,-0.95763,2072.979318,200.235972,12:45,1.761624,0.197854,1.657165,-49.0646,52.3142,17.9799,0.577822,0.104305,123.86014,-6.075827,0.302382,0.454703,,,,,,,,,,,,-9.7237,29.1685,-0.17354,15.24,1.692202,0.532316,-37.435933,-1.761701,-1.768563,7.951244,-4.501445,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,d090ce50-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,133.40563,,,12.568,,,,16.781542,-37.76193,3.975622,1.760647,-1.577143,-2.250722,-0.196851,0.604826,-0.884282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
5,2020/8/13,57:19.8,2020/8/13,57:19.8,2,3,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,136.68512,-2.600554,-0.193866,2013.859227,215.63704,1:15,1.724787,0.167768,1.616168,-53.7627,48.4984,32.0536,0.442541,0.432833,123.36304,-6.578085,2.047461,0.456678,,,,,,,,,,,,-16.1765,27.501,-0.165299,15.24,1.648275,-0.041639,-37.473923,-1.904249,-2.924394,8.521862,-4.835005,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,d80c64f0-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.82892,,,13.32207,,,,16.822602,-37.832107,4.260931,1.724042,-1.701027,-2.417503,-0.166132,0.081277,-1.462197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
6,2020/8/13,57:31.2,2020/8/13,57:31.2,2,4,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,1,2,Splitter,Changeup,BallinDirt,Undefined,Undefined,,Undefined,0,0,,,,124.46544,-2.352127,-1.144574,1307.884562,230.76159,1:45,1.634368,0.291271,1.580612,-91.9136,31.057,32.8046,0.040239,0.291064,113.72153,-8.96995,1.147453,0.50079,,,,,,,,,,,,-17.3932,18.5176,-0.262053,15.24,1.55949,0.528426,-34.153527,-1.761694,-2.630127,6.68191,-7.006506,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,ded99320-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,121.12871,,,10.74392,,,,16.859038,-34.468826,3.340955,1.634819,-1.431079,-3.503253,-0.289916,0.652533,-1.315063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
7,2020/8/13,57:45.6,2020/8/13,57:45.6,2,5,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,135.19185,0.037118,-0.796627,1956.507506,192.662677,12:30,1.741832,0.148052,1.532751,-55.7789,50.1427,10.3636,1.194718,0.022572,121.01417,-4.109188,-0.076143,0.46478,,,,,,,,,,,,-5.7668,25.8749,-0.125873,15.24,1.73786,0.458511,-37.049012,-0.189312,-1.015249,8.575889,-5.251365,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,e76b0690-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,130.51348,,,14.17769,,,,16.905115,-37.432459,4.287944,1.741075,0.045489,-2.625682,-0.147389,0.503905,-0.507625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
8,2020/8/13,58:02.2,2020/8/13,58:02.2,2,6,"Kota, Hirayama",1000073931,Right,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,135.87179,-2.546948,-1.365439,2012.84405,196.700247,12:30,1.769868,0.138552,1.657532,-42.611,61.0168,17.085,0.616147,-0.080382,121.65884,-5.784703,-0.168698,0.459719,135.67947,51.035757,38.745861,4090.620895,24.767765,36.116402,22.598331,69.245544,,50.352933,6.086074,-9.8075,34.0922,-0.103217,15.24,1.697883,0.799834,-37.22618,-1.793144,-1.737924,8.859181,-3.765389,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,f14f38c0-dd29-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,131.95007,39.312597,,14.21295,,,,16.781132,-37.591153,4.42959,1.76856,-1.638021,-1.882694,-0.137642,0.871432,-0.868962,0.61922,0.60214,0.077541,191.037287,0.61969,18.475997,-4.802561,1.130209,-0.220816,0.036152,-0.004686,0.000391,-1.5e-05,0.602705,29.294026,-6.695626,0.611078,-0.080345,0.001259,0.001407,-0.000166,6e-06,0.077835,14.827758,-2.7245,0.670909,-0.134398,0.021854,-0.00269,0.000212,-8e-06,,,,,,,,,,,,,,,,,,,,,,,20S
9,2020/8/13,58:38.2,2020/8/13,58:38.3,3,1,"Kota, Hirayama",1000073931,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,0,0,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,125.26711,-2.020412,-2.037606,1355.571407,230.402206,1:45,1.632021,0.22522,1.679322,-84.1322,36.5238,38.8104,0.214217,0.0323,113.5602,-8.162528,0.687686,0.496054,,,,,,,,,,,,-21.2941,21.3554,-0.17429,15.24,1.571615,1.042148,-34.359457,-1.521408,-3.239561,7.105932,-6.557754,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,06cf5f40-dd2a-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,122.28503,,,11.7069,,,,16.759854,-34.672355,3.552966,1.63225,-1.232648,-3.278877,-0.22332,1.184797,-1.61978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
10,2020/8/13,58:53.2,2020/8/13,58:53.2,3,2,"Kota, Hirayama",1000073931,Right,TOK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,0,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,123.33068,2.358546,-0.641193,1406.443813,217.569525,1:15,1.626056,0.276587,1.533001,-104.9546,19.8644,12.3055,1.255217,0.215237,112.76225,-5.191552,0.21407,0.504539,,,,,,,,,,,,-6.5119,9.419,-0.259138,15.24,1.684799,0.31883,-33.862205,0.967525,-0.978455,5.959792,-8.391379,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,0fafdd10-dd2a-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,120.22851,,,10.56843,,,,16.906204,-34.1542,2.979896,1.627325,1.378653,-4.19569,-0.275933,0.366769,-0.489228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
