PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/14,00:37.8,2020/8/14,00:37.8,1,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Splitter,Changeup,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,,140.23726,-1.323038,-1.383776,1489.179276,238.280372,2:00,1.690132,0.262139,1.72472,-69.9394,24.79,35.0206,0.614504,0.218947,127.86885,-6.431256,1.082001,0.439539,157.55025,12.835772,-6.127643,1263.728105,33.110422,5.953434,-5.274735,80.952861,,-12.199239,2.535634,-18.927,14.4873,-0.229223,15.24,1.650714,0.755082,-38.546767,-1.175753,-3.656641,8.293544,-7.007742,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,f0bb6de0-ddd1-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,138.00832,6.386127,,12.36841,,,,16.715162,-38.86286,4.146772,1.690435,-0.908666,-3.503871,-0.260658,0.894448,-1.828321,0.563435,0.650532,-0.222908,128.051366,0.563431,42.426521,-6.646073,1.228011,-0.192954,0.009896,0.00572,-0.001758,0.000174,0.650539,9.722335,-4.301276,0.182157,-0.049319,0.032123,-0.012884,0.002859,-0.000263,-0.222922,-4.554536,-1.995738,0.739961,-0.123102,-0.0204,0.019922,-0.005164,0.000495,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
2,2020/8/14,01:15.6,2020/8/14,01:15.6,2,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,149.55643,-2.248143,-1.525206,2234.583131,201.840138,12:45,1.698515,0.218166,1.926212,-30.3962,50.1374,19.1061,0.762904,-0.019031,137.20994,-4.571155,-0.164733,0.405269,,,,,,,,,,,,-11.0604,28.4794,-0.185286,15.24,1.646633,1.003618,-41.163877,-1.707282,-2.460206,8.659323,-3.471862,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,07469bc0-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,149.67849,,,12.34649,,,,16.513986,-41.431009,4.329662,1.697649,-1.600178,-1.735931,-0.217417,1.079513,-1.230103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
3,2020/8/14,02:02.7,2020/8/14,02:02.7,3,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,2,131.01507,2.838596,-1.083166,2370.98542,50.285484,7:45,1.660641,0.327037,1.533036,-127.4959,-16.6097,-24.1658,1.202829,-0.226158,119.7621,-6.244291,-2.762547,0.475547,,,,,,,,,,,,11.1671,-9.1604,-0.293048,15.24,1.731075,0.805033,-35.971497,1.205002,1.887444,6.92996,-11.354934,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,235eafa0-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,127.55835,,,11.25298,,,,16.907224,-36.291268,3.46498,1.663384,1.728957,-5.677467,-0.328186,0.71794,0.943722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
4,2020/8/14,02:23.4,2020/8/14,02:23.4,3,2,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,150.25462,-1.74905,-3.375301,2292.382469,204.179443,12:45,1.674951,0.219802,1.983558,-31.6394,47.4448,20.2561,0.868311,-0.522871,138.22893,-4.161893,-1.931119,0.401605,,,,,,,,,,,,-12.7515,26.686,-0.148874,15.24,1.635858,2.338366,-41.327887,-1.3547,-2.872387,8.331491,-3.795426,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,2fadee60-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,151.04382,,,12.02569,,,,16.456223,-41.572348,4.165745,1.673973,-1.243335,-1.897713,-0.218722,2.422647,-1.436194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
5,2020/8/14,02:49.2,2020/8/14,02:49.2,3,3,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,2,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,131.09664,0.393806,-1.215258,2310.953238,69.48905,8:15,1.661871,0.305152,1.626324,-115.633,-5.6853,-24.9245,0.618179,-0.291655,119.70064,-7.898243,-2.960158,0.47353,,,,,,,,,,,,11.5254,-1.9857,-0.269526,15.24,1.662798,0.888958,-36.019294,-0.250763,1.939947,7.382654,-10.140874,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,3f1346c0-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,128.10166,,,11.396,,,,16.813358,-36.340344,3.691327,1.664114,0.190235,-5.070437,-0.30635,0.804595,0.969974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
6,2020/8/14,03:13.9,2020/8/14,03:13.9,3,4,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,2,151.35552,-1.291567,-1.148139,2299.47204,203.234562,12:45,1.660032,0.227323,1.934594,-28.6723,49.9643,20.4039,1.010794,0.10918,138.43201,-3.49866,0.305773,0.400467,126.00248,10.53715,175.294126,1986.933466,,,,41.908672,,179.318375,1.395378,-11.4352,27.6829,-0.203017,15.24,1.629742,0.733206,-41.673549,-1.020355,-2.601168,9.066348,-3.509598,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,4dbf3a30-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,151.47306,2.933239,,12.92351,,,,16.505211,-41.947901,4.533174,1.659011,-0.914153,-1.754799,-0.226395,0.811919,-1.300584,0.218018,1.021333,-0.111793,270.29588,0.218018,-34.294457,3.615757,-0.614783,0.117318,-0.020241,0.003813,-0.000628,5.5e-05,1.021333,6.400682,-5.584772,0.42596,-0.080239,0.015648,-0.00249,0.000432,-4.6e-05,-0.111793,2.823057,-2.257592,0.511837,-0.110985,0.02351,-0.004652,0.000776,-7.3e-05,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
7,2020/8/14,03:46.1,2020/8/14,03:46.0,3,5,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,2,136.05215,-0.61811,-2.502052,2347.186677,51.904214,7:45,1.65139,0.304623,1.759828,-121.4169,-20.8516,-30.737,0.261735,-0.712843,124.78622,-9.324119,-4.670474,0.452875,,,,,,,,,,,,13.8142,-9.3111,-0.239319,15.24,1.626976,1.781495,-37.395611,-0.917346,2.501753,8.0813,-11.492888,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,60eee100-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,133.94411,,,11.26593,,,,16.680689,-37.705663,4.04065,1.653713,-0.476403,-5.746444,-0.305828,1.685511,1.250876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
8,2020/8/14,04:17.1,2020/8/14,04:17.1,3,6,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yuki, Satoh",1000073710,Right,HOS_HOS,Undefined,1,Top,1,3,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,2,138.02757,-1.894425,-2.588091,1079.036308,251.579506,2:30,1.651971,0.234599,1.881191,-87.1761,8.0041,15.4658,0.246177,-0.339805,127.46186,-8.228527,-1.488722,0.440583,,,,,,,,,,,,-9.8119,6.2663,-0.175832,15.24,1.60288,1.645516,-37.968338,-1.594303,-1.85677,7.368088,-8.620833,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,736e4aa0-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,137.68112,,,10.5657,,,,16.559056,-38.223455,3.684044,1.652914,-1.29581,-4.310416,-0.23392,1.709806,-0.928385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
9,2020/8/14,04:53.6,2020/8/14,04:53.6,4,1,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yudai, Murata",1000073800,Left,HOS_HOS,Undefined,1,Top,2,0,0,Splitter,Splitter,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,2,136.71309,0.682804,-1.281877,988.010751,224.784201,1:30,1.653295,0.301363,1.77692,-86.1545,10.8712,8.2418,0.985264,0.02053,126.97247,-5.55819,-0.700069,0.444834,118.16267,63.520962,-162.687148,5226.104232,-32.204966,29.331784,-9.325564,58.444968,,-165.246729,4.863779,-5.0257,5.854,-0.270084,15.24,1.66405,0.804731,-37.675626,0.102156,-0.947203,6.442998,-8.703328,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,892c3d70-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,136.36545,29.418475,,9.74062,,,,16.663765,-37.918326,3.221499,1.654028,0.43,-4.351664,-0.301069,0.840411,-0.473602,0.824986,1.07207,-0.033914,2.295258,0.824521,-13.96274,-1.521324,1.070507,-0.34046,0.071933,-0.007373,0.000175,1.4e-05,1.072332,29.371257,-9.654768,1.343532,-0.154828,-0.028358,0.015313,-0.002266,0.000118,-0.034105,-4.351182,-0.161904,0.259104,-0.098032,0.024241,-0.00309,0.00016,-1e-06,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
10,2020/8/14,05:27.7,2020/8/14,05:27.7,4,2,"Taisei, Irie",1000073592,Right,MEI_MEI,"Yudai, Murata",1000073800,Left,HOS_HOS,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,152.13802,-2.456954,-0.543335,2283.601572,210.373532,1:00,1.643165,0.258912,2.007447,-30.7512,46.3052,25.7552,0.648966,0.364704,139.59343,-4.80772,1.300844,0.396423,,,,,,,,,,,,-13.929,26.776,-0.24877,15.24,1.590231,0.272998,-41.892113,-1.885531,-3.206682,9.028222,-3.64238,MEI_MEI,HOS_HOS,JinguStadium,Undefined,,20200814-JinguStadium-1,9d7fcad0-ddd2-11ea-8632-b93777814f42,3c43f304-89d2-4c75-895a-fa7bde7fdeff,v3,,,,"Shota, Shinohara",1000073555,Right,MEI_MEI,153.01827,,,12.54459,,,,16.432524,-42.148332,4.514111,1.642275,-1.782161,-1.82119,-0.257809,0.364003,-1.603341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,20S
