PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/14,19:38.1,2020/8/14,19:38.1,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,125.40087,2.149471,-1.640269,2102.739205,122.329569,10:00,1.674085,0.53568,1.739088,-106.5315,12.6183,-13.4573,1.219729,-0.064835,113.50283,-5.619018,-2.586764,0.492948,,,,,,,,,,,,5.4753,6.0401,-0.492802,15.24,1.72123,1.048638,-34.415217,0.887858,0.838537,6.932529,-8.881613,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,1f644620-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,123.05551,,,11.89804,,,,16.699644,-34.708,3.466264,1.675812,1.262957,-4.440806,-0.536341,1.013224,0.419268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
2,2020/8/14,19:54.0,2020/8/14,19:54.0,1,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Top,0,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,123.64178,1.029969,-1.213402,2138.010602,146.052601,10:45,1.654382,0.601758,1.660297,-107.5768,15.1435,-7.5118,0.872625,0.18033,112.94529,-6.752016,-1.739882,0.50028,,,,,,,,,,,,2.9347,7.8464,-0.568434,15.24,1.673168,0.753329,-33.983704,0.19995,0.440952,6.412074,-8.627691,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,28ddcfa0-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,121.25218,,,10.69649,,,,16.779818,-34.273007,3.206037,1.655365,0.589218,-4.313845,-0.601975,0.733434,0.220476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
3,2020/8/14,20:26.1,2020/8/14,20:26.1,1,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,,Undefined,0,0,,,,132.90389,0.131861,-1.016503,2268.130389,195.561174,12:30,1.678387,0.669693,1.835573,-55.7717,46.7578,12.2027,1.1579,0.504728,122.47091,-4.01271,-0.152343,0.457277,,,,,,,,,,,,-7.0103,24.9785,-0.646276,15.24,1.67788,0.595591,-36.611276,-0.104014,-1.239409,6.529458,-5.390456,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,3bf8dd00-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.65488,,,10.43298,,,,16.604675,-36.853856,3.264729,1.678024,0.09625,-2.695228,-0.669259,0.641637,-0.619704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
4,2020/8/14,21:07.8,2020/8/14,21:07.8,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,0,0,Cutter,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,120.64446,-0.342542,0.146153,2171.461218,167.215137,11:30,1.663979,0.546609,1.759746,-91.6396,35.764,-7.1507,0.650428,0.516556,110.17607,-7.054793,-0.358384,0.509736,,,,,,,,,,,,3.7204,19.7996,-0.549786,15.24,1.648804,-0.052821,-33.16052,-0.513684,0.532424,6.087469,-6.973112,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,54d15640-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,119.00271,,,10.46839,,,,16.67877,-33.4236,3.043734,1.664492,-0.21233,-3.486556,-0.547006,-0.07583,0.266212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
5,2020/8/14,21:43.6,2020/8/14,21:43.6,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,124.77068,-1.82528,-1.66487,2286.598977,162.338686,11:30,1.676876,0.503082,1.758035,-95.5083,22.483,-6.0419,0.203647,-0.02972,115.64199,-8.721821,-2.091283,0.490546,,,,,,,,,,,,2.0056,13.6969,-0.460649,15.24,1.623825,1.023647,-34.324104,-1.443325,0.310754,5.911239,-7.684379,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,6a2e6460-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,123.65818,,,9.1287,,,,16.682163,-34.571578,2.95562,1.677515,-1.121618,-3.84219,-0.503232,1.010637,0.155377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
6,2020/8/14,22:06.2,2020/8/14,22:06.1,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,132.08037,0.422361,-1.295452,2261.710103,176.54105,12:00,1.679308,0.584633,1.86623,-59.8485,44.2359,-2.4823,1.199864,0.194731,121.00677,-4.03596,-1.471508,0.460731,,,,,,,,,,,,0.389,23.513,-0.554276,15.24,1.685374,0.833347,-36.349605,0.071237,0.067428,6.798751,-5.731264,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,779a84d0-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,131.66032,,,11.07359,,,,16.572954,-36.598069,3.399376,1.678944,0.280689,-2.865632,-0.584686,0.830883,0.033714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
7,2020/8/14,22:29.5,2020/8/14,22:29.5,2,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,3,0,Cutter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,128.11627,-1.579958,-2.413217,2222.959932,189.365526,12:15,1.654492,0.537019,1.861287,-68.9462,41.8096,6.3349,0.519205,-0.080209,117.95569,-6.663768,-1.964153,0.475267,,,,,,,,,,,,-4.9088,23.7221,-0.480903,15.24,1.613109,1.45727,-35.232532,-1.201642,-0.8002,6.319669,-5.939615,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,85880a40-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,127.63346,,,10.16058,,,,16.578259,-35.471764,3.159834,1.654341,-0.976797,-2.969808,-0.536642,1.487561,-0.4001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
8,2020/8/14,22:53.4,2020/8/14,22:53.4,2,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Top,0,3,1,Fastball,Changeup,BallCalled,Walk,Undefined,,Undefined,0,0,1,,,129.92122,-1.769077,-1.849976,2240.287879,186.126604,12:15,1.643368,0.572262,1.881428,-63.3528,43.7177,4.3498,0.511421,0.094806,119.90449,-6.451435,-1.541076,0.467293,,,,,,,,,,,,-3.469,24.8093,-0.529864,15.24,1.598635,1.13584,-35.752294,-1.312838,-0.583986,6.324232,-5.630182,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,93ca8d80-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,129.81138,,,10.01673,,,,16.558246,-35.984723,3.162116,1.643082,-1.105916,-2.815091,-0.572003,1.157303,-0.291993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.90943,2.168561,0.83968,1.328882,-0.052355,0.455975,-0.08182,-0.237458,1.713253,0.341195,38.525282,1.127841,-0.708064,-0.170114,32.408261,-2.46923,1.715556,3.965332,-3.315968,0.318544,-1.693915,0.69137,榊原 啓資,20S
9,2020/8/14,24:05.4,2020/8/14,24:05.4,3,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Kensuke, Mitsui",1000074122,Left,RIK,Undefined,1,Top,0,0,0,Cutter,Slider,BallinDirt,Undefined,Undefined,,Undefined,0,0,"1,2",,,124.71461,-2.30298,-1.97766,2270.106827,158.431884,11:15,1.640655,0.540714,1.675153,-99.9514,20.9622,-6.6809,-0.016191,-0.090156,114.39302,-9.494956,-2.446899,0.496583,,,,,,,,,,,,1.9064,13.4407,-0.487414,15.24,1.571111,1.212124,-34.234844,-1.757679,0.290082,6.628345,-7.761474,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,beb61a00-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,122.15471,,,10.32158,,,,16.764671,-34.52878,3.314173,1.641424,-1.413494,-3.880737,-0.540881,1.199261,0.145041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
10,2020/8/14,24:45.8,2020/8/14,24:45.8,3,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Kensuke, Mitsui",1000074122,Left,RIK,Undefined,1,Top,0,1,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,133.12425,-1.429305,-1.023231,2363.03354,189.228842,12:15,1.633505,0.590321,1.84645,-53.6891,48.683,7.4121,0.69324,0.375745,122.58687,-5.422313,-0.497824,0.456926,,,,,,,,,,,,-4.4884,26.9836,-0.566573,15.24,1.596174,0.62053,-36.643462,-1.090743,-0.793541,6.659445,-5.036005,TOK,RIK,JinguStadium,TeamExclusive,Team,20200814-JinguStadium-2,d6c15830-ddf6-11ea-a045-db8fe371e571,0d0daedb-76be-429a-9c58-66bb11ea348a,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.75685,,,10.53738,,,,16.59307,-36.888545,3.329722,1.632905,-0.905407,-2.518003,-0.589947,0.649734,-0.39677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資,20S
