PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/16,00:24.0,2020/8/16,00:24.0,1,1,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Splitter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,134.32084,-0.546193,-0.736178,1649.295591,221.350704,1:30,1.68134,0.155439,1.973575,-67.067,32.3544,25.7518,0.857776,0.206893,123.11258,-5.533612,1.1045,0.450292,,,,,,,,,,,,-13.9482,18.2818,-0.140881,15.24,1.666043,0.361648,-36.993265,-0.574118,-2.497315,7.221499,-6.533437,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,3f4e9660-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,134.71245,,,11.20827,,,,16.465913,-37.231807,3.610749,1.681443,-0.358304,-3.266718,-0.154189,0.44414,-1.248658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
2,2020/8/16,00:35.5,2020/8/16,00:35.5,1,2,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,1,Splitter,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1.0,0.0,,133.2,-0.58044,-0.626028,1682.954666,218.721221,1:15,1.674729,0.133351,1.926983,-68.4117,32.0281,23.4859,0.827663,0.192472,123.60261,-5.621227,1.047962,0.452593,111.11092,-37.347853,-3.921961,,,,,1.38214,,2.239956,0.028189,-12.7344,17.9126,-0.120772,15.24,1.657827,0.301806,-36.728744,-0.605783,-2.276181,6.265148,-6.604884,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,462a91a0-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,134.02779,0.532072,,9.59739,,,,16.51349,-36.945336,3.132574,1.674822,-0.377446,-3.302442,-0.132566,0.380496,-1.138091,0.694554,0.532072,0.094833,,0.694553,24.479014,-4.419067,,,,,,,0.532074,-18.72456,-5.342992,,,,,,,0.094832,-1.677847,8.162476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
3,2020/8/16,01:11.1,2020/8/16,01:11.2,2,1,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,102.25381,5.883592,-0.27268,1851.250144,8.619886,6:15,1.680692,0.07443,1.962769,-218.7899,-44.6735,-7.6157,1.146524,-0.0781,93.63651,-10.038724,-0.81579,0.595902,,,,,,,,,,,,3.711,-25.4267,-0.068182,15.24,1.797378,0.160479,-28.055391,2.242582,0.379404,4.433223,-12.406214,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,5b61a130-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,101.79534,,,8.61729,,,,16.479246,-28.250534,2.216611,1.686644,2.788683,-6.203107,-0.074878,0.143778,0.189702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
4,2020/8/16,01:22.5,2020/8/16,01:22.5,2,2,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,144.91548,-2.090047,-2.23954,2154.182278,211.817823,1:00,1.64351,0.167759,2.16813,-44.3373,39.0444,22.6213,0.621543,-0.225574,132.91352,-5.458465,-0.604456,0.412373,,,,,,,,,,,,-13.6294,23.1786,-0.127933,15.24,1.603905,1.463004,-39.905757,-1.579724,-2.843433,8.296784,-4.971006,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,6224bd40-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,147.09989,,,12.00197,,,,16.271486,-40.119639,4.148392,1.642977,-1.451577,-2.485503,-0.166593,1.536304,-1.421716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
5,2020/8/16,01:37.5,2020/8/16,01:37.5,2,3,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,145.48204,-2.870047,-2.030494,2154.181985,207.477826,1:00,1.660219,0.144187,2.081546,-38.394,44.555,21.9474,0.477208,-0.201073,134.65927,-5.771617,-0.45258,0.411302,,,,,,,,,,,,-12.9061,26.1951,-0.105292,15.24,1.602134,1.323462,-40.062564,-2.119498,-2.741511,7.547261,-4.242302,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,6b1dcc20-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,147.48305,,,10.82277,,,,16.358561,-40.272735,3.77363,1.659511,-2.001361,-2.121151,-0.14321,1.399806,-1.370756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
6,2020/8/16,01:53.8,2020/8/16,01:53.8,2,4,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,1,2,Cutter,Slider,BallinDirt,Undefined,Undefined,,Undefined,0.0,0.0,,129.5462,-3.381499,-2.796397,,60.490759,8:00,1.658127,0.154549,2.042062,-104.8208,0.0065,-4.6833,-0.334723,-0.672257,122.09675,-10.952581,-3.133056,0.462372,,,,,,,,,,,,0.8778,2.4908,-0.097653,15.24,1.58434,1.75923,-35.666733,-2.45189,0.148378,5.730168,-9.385643,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,74c5dfb0-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,131.19298,,,7.44945,,,,16.399262,-35.852495,2.865084,1.658894,-2.147624,-4.692821,-0.154606,1.75442,0.074189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
7,2020/8/16,02:19.7,2020/8/16,02:19.8,2,5,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Tomoki, Nagahiro",1000073724,Right,HOS_HOS,Undefined,1,Top,1,2,2,Splitter,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1.0,0.0,,135.64215,-2.419387,-0.067669,1581.977326,214.109632,1:15,1.633807,0.113625,1.943956,-67.4613,29.1772,17.9969,0.280366,0.274619,126.4208,-7.362504,1.217407,0.443946,102.7454,4.255224,-29.397879,1645.088196,,,,13.379327,,-29.132556,0.462997,-9.5412,17.5235,-0.11315,15.24,1.576811,-0.032117,-37.382651,-1.813734,-1.769626,6.373154,-6.556519,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,8444da90-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,136.63834,0.440942,,9.22134,,,,16.496624,-37.596275,3.186577,1.633923,-1.593964,-3.27826,-0.113068,0.0272,-0.884813,0.777384,0.25039,-0.209819,44.020556,0.778528,24.763556,-2.604253,,,,,,,0.252473,2.057659,-5.63132,,,,,,,-0.209819,-13.971022,0.769102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
8,2020/8/16,03:01.8,2020/8/16,03:01.8,3,1,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,116.78854,4.635012,0.379092,2255.159266,210.63278,1:00,1.665113,0.13814,2.038308,-108.8354,21.5075,10.571,1.871691,0.349529,107.17795,-3.423276,1.135738,0.515583,,,,,,,,,,,,-5.2783,9.5674,-0.146252,15.24,1.754366,-0.252226,-32.087514,2.284129,-0.71666,5.028164,-8.507647,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,9d5839f0-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,117.65327,,,9.61059,,,,16.401081,-32.268944,2.514082,1.66641,2.591109,-4.253824,-0.137617,-0.226367,-0.35833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
9,2020/8/16,03:14.3,2020/8/16,03:14.3,3,2,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,145.28342,-1.211168,-0.372007,2221.500014,208.637627,1:00,1.656719,0.178413,2.070765,-36.6331,47.3464,24.4201,0.953386,0.319121,132.85677,-4.018948,1.383403,0.413848,,,,,,,,,,,,-13.1261,26.6978,-0.171957,15.24,1.630941,0.147871,-40.026259,-0.943128,-2.74982,8.496598,-4.213671,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,a4c18110-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,146.57541,,,12.42666,,,,16.368686,-40.265139,4.248299,1.655791,-0.824661,-2.106835,-0.177201,0.225182,-1.37491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
10,2020/8/16,03:34.7,2020/8/16,03:34.7,3,3,"Tomoki, Sekine",1000073302,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,143.04775,-1.169269,-0.966072,2120.52311,198.341454,12:30,1.670407,0.152893,2.098064,-39.4458,45.9767,14.4494,0.951126,0.029062,132.19601,-4.165872,0.074264,0.417389,,,,,,,,,,,,-8.268,25.9365,-0.134784,15.24,1.645969,0.602354,-39.448441,-0.912992,-1.701792,7.366285,-4.46819,KEI_KEI,HOS_HOS,JinguStadium,Spring,Team,20200816-JinguStadium-1,b0f2fea0-df64-11ea-b7c4-99967183c8b5,8934d9c7-faaa-4db6-a22c-576b3709920f,v3,,,,"Shogo, Fukui",1000073400,Right,KEI_KEI,145.33208,,,10.85174,,,,16.341812,-39.653651,3.683143,1.669669,-0.788517,-2.234095,-0.152225,0.649763,-0.850897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,20S
