PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2020/8/16,30:43.5,2020/8/16,30:43.5,1,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,99.10591,6.517724,0.291991,2490.772647,129.210328,10:15,0.229368,0.558278,1.600356,-167.9394,26.976,-25.3833,0.424824,0.388074,89.76207,-5.607212,-1.472356,0.630489,,,,,,,,,,,,12.7737,10.5521,-0.564093,15.24,0.397605,-0.03912,-27.045379,2.561416,1.217652,4.000381,-8.800772,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,a10201e0-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,96.211,,,9.34385,,,,16.838332,-27.28077,2.000191,0.23165,3.079272,-4.400386,-0.559683,-0.110769,0.608826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
2,2020/8/16,30:53.6,2020/8/16,30:53.6,1,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,131.11873,5.863579,-5.078275,2389.795629,260.200741,2:45,0.289197,0.609728,1.781271,-100.0748,6.4651,22.2593,0.961703,-0.609883,121.23897,-1.333769,-3.52173,0.466134,,,,,,,,,,,,-14.0878,0.9701,-0.485043,15.24,0.428538,3.082247,-35.837733,3.305095,-2.42209,5.29921,-9.639864,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,a70af5b0-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.13425,,,9.87975,,,,16.659315,-36.046992,2.649605,0.290508,3.68576,-4.819932,-0.608645,3.177892,-1.211045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
3,2020/8/16,31:04.6,2020/8/16,31:04.6,1,3,"Hayate, Nakagawa",1000074142,Right,RIK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,132.44486,4.558789,-4.296734,2356.136427,253.806389,2:30,0.321179,0.697039,1.748206,-93.9367,11.2727,28.7805,0.682116,-0.23698,121.59021,-2.23497,-2.281648,0.463214,,,,,,,,,,,,-17.218,3.8604,-0.589936,15.24,0.430475,2.587611,-36.272776,2.526723,-3.001706,6.109791,-9.13364,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,ad91cc10-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.95453,,,10.85466,,,,16.691944,-36.516522,3.054895,0.322404,2.891104,-4.56682,-0.695556,2.707363,-1.500853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
4,2020/8/16,31:19.4,2020/8/16,31:19.4,1,4,"Hayate, Nakagawa",1000074142,Right,RIK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,1,Top,0,1,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,119.88894,4.943157,-2.588567,1447.325075,136.548548,10:30,0.294209,0.664578,1.603509,-103.3063,28.6726,-23.4079,0.681608,-0.31125,109.16169,-2.535205,-4.214904,0.518808,,,,,,,,,,,,9.8618,12.0657,-0.59015,15.24,0.423555,1.59057,-32.800706,2.454124,1.389712,5.616734,-8.106365,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,b6685ed0-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,116.92182,,,10.72725,,,,16.835725,-33.072826,2.808367,0.295143,2.846863,-4.053182,-0.665579,1.523241,0.694856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.72148,2.209182,1.36448,0.844702,-0.282987,0.647588,0.364369,-0.782971,1.571876,2.002208,20.594282,2.075767,17.438219,-0.72228,27.953869,-3.182892,1.583556,3.75072,-3.743371,2.012001,19.078931,-0.960946,溝内 健介,20S
5,2020/8/16,31:46.7,2020/8/16,31:46.7,2,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,132.7708,4.714496,-3.733091,2288.827494,256.699851,2:30,0.350724,0.667253,1.786052,-95.6938,9.1116,25.3926,0.734643,-0.13741,121.12073,-2.237049,-1.949357,0.462324,128.83939,22.841093,25.616926,1502.037048,29.919997,9.943624,15.130071,77.889433,,28.279209,3.123028,-15.4791,2.4085,-0.57667,15.24,0.461014,2.253582,-36.362905,2.631858,-2.691524,6.641252,-9.387862,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,c6aeef70-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,131.20663,10.462959,,11.65007,,,,16.654071,-36.620258,3.320626,0.351979,2.995643,-4.693931,-0.666019,2.35788,-1.345762,0.429892,0.668105,0.122627,217.6855,0.429893,29.740289,-3.583503,0.549609,-0.105321,0.01665,-0.00211,0.000222,-1.3e-05,0.668105,13.892313,-5.38576,0.391178,-0.066086,0.013157,-0.001289,4.5e-05,0.0,0.122627,14.259986,-0.800783,0.015488,-0.00076,-0.002524,0.000546,-3.5e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
6,2020/8/16,32:14.9,2020/8/16,32:14.9,3,1,"Hayate, Nakagawa",1000074142,Right,RIK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,134.41519,5.647857,-2.886253,2255.164072,306.160323,4:15,0.283828,0.679771,1.667066,-134.1263,-28.7494,44.3655,0.560875,0.299443,120.78615,-3.974263,0.211872,0.463583,,,,,,,,,,,,-24.3626,-17.5789,-0.606082,15.24,0.424865,1.622106,-36.736336,3.035827,-4.256567,7.819026,-12.877984,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,d7814550-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,130.85038,,,13.62904,,,,16.773338,-37.061258,3.909513,0.287592,3.570975,-6.438992,-0.677165,1.798988,-2.128284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
7,2020/8/16,32:24.9,2020/8/16,32:24.9,3,2,"Hayate, Nakagawa",1000074142,Right,RIK,"Kotaro, Takizawa",1000073989,Left,WAS_EDA,Undefined,1,Top,2,0,1,Curveball,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,99.76991,6.920052,0.114427,2537.913669,131.888028,10:30,0.201617,0.587697,1.626175,-154.9841,39.9718,-36.679,0.640301,0.253628,88.87367,-4.391507,-2.437516,0.630555,136.45079,31.961995,-25.681888,3862.380981,29.05533,17.33171,-16.73045,97.015912,,-36.090631,4.371748,18.3426,16.0457,-0.587532,15.24,0.379854,0.088442,-27.159293,2.826621,1.735367,4.607629,-8.288582,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,dd71cf20-df81-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Akihito, Takeba",1000074033,Right,RIK,96.201,20.684964,,10.89624,,,,16.811839,-27.424662,2.303815,0.203312,3.303989,-4.144291,-0.589748,-0.011504,0.867683,-0.031209,0.391486,-0.078469,145.861932,-0.031155,28.978634,-5.732172,1.410692,-0.275224,0.049955,-0.008675,0.001063,-5.8e-05,0.391483,20.06431,-5.420878,0.285016,-0.028722,-0.003394,0.001818,-0.000192,6e-06,-0.078468,-13.935969,0.417226,-0.091274,0.016508,-0.002891,0.000509,-6.2e-05,3e-06,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
8,2020/8/16,35:16.1,2020/8/16,35:16.1,1,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.50867,-2.511389,-3.034652,1986.48621,220.171985,1:15,1.616638,0.621287,1.93353,-44.0613,41.1835,32.2251,0.469905,0.091237,132.65642,-5.83895,-0.741256,0.416954,,,,,,,,,,,,-19.0606,24.2635,-0.555693,15.24,1.558379,1.971169,-40.213095,-1.910141,-3.988474,9.407098,-4.729459,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,437f7330-df82-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.48351,,,13.85225,,,,16.505598,-40.508076,4.703549,1.615951,-1.761838,-2.364729,-0.619464,2.096236,-1.994237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
9,2020/8/16,35:30.6,2020/8/16,35:30.6,1,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shintarou, Miya",1000074185,Right,RIK,Undefined,1,Bottom,0,0,1,Splitter,Four-Seam,InPlay,Undefined,GroundBall,,Error,0,0,,147.8191,-2.770429,-3.92841,1043.43188,215.681132,1:15,1.63557,0.610347,1.868658,-39.746,44.5942,29.9264,0.45516,-0.198861,134.15891,-5.771685,-1.810907,0.414736,160.12863,-20.718046,7.297153,,,,,,,,,-18.4151,25.9854,-0.520585,15.24,1.568398,2.630568,-40.527835,-2.098116,-3.927964,9.268022,-4.263944,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,4c1e5420-df82-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.2616,-0.010673,,13.66018,,,,16.570775,-40.831027,4.634011,1.634754,-1.958627,-2.131972,-0.608743,2.759066,-1.963982,0.64703,-0.05475,0.515171,,0.64703,41.266801,,,,,,,,-0.05475,-15.735728,,,,,,,,0.515171,5.284315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
10,2020/8/16,36:48.2,2020/8/16,36:48.2,2,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Hidetake, Ohta",1000074058,Right,RIK,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,146.8304,-2.08517,-3.653639,2120.522891,214.564005,1:15,1.586844,0.681597,1.922953,-40.5056,43.8205,28.2888,0.594866,-0.062769,133.90822,-5.144034,-1.644462,0.414702,,,,,,,,,,,,-17.3059,25.1031,-0.601444,15.24,1.537783,2.435089,-40.320519,-1.601958,-3.673261,8.746229,-4.478399,RIK,WAS_EDA,JinguStadium,Spring,Team,20200816-JinguStadium-2,7a658ec0-df82-11ea-87c6-2da02a938f7e,959729f8-9d3b-4184-a7b7-c10434da4ceb,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.27378,,,12.92218,,,,16.51662,-40.596496,4.373114,1.586101,-1.460647,-2.239199,-0.680109,2.550995,-1.836631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,20S
