PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/9/19,03:13.4,2021/9/19,03:13.4,1,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,147.54321,-1.622395,-2.801884,2396.759596,222.878678,1:30,1.711484,0.613433,1.91278,-40.6551,43.6808,37.7543,0.848446,0.203144,133.12854,-4.714826,-0.11793,0.414726,,,,,,,,,,,,-21.8258,24.85,-0.552425,15.24,1.672526,1.793336,-40.519873,-1.279589,-4.62423,9.77253,-4.541678,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,1bdedad0-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.26542,,,14.41467,,,,16.526505,-40.828971,4.886265,1.710726,-1.135939,-2.270839,-0.61146,1.939597,-2.312115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
2,2021/9/19,03:30.0,2021/9/19,03:30.0,1,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,147.00977,-1.256361,-3.270253,2401.169657,217.146072,1:15,1.717026,0.628039,1.890517,-46.5899,38.3076,26.8041,0.897025,-0.024985,133.1915,-4.757507,-1.369089,0.416104,117.81092,54.679437,2.135068,4687.512699,,,,,,,,-16.3918,21.6633,-0.554654,15.24,1.685396,2.171937,-40.36995,-1.049527,-3.462813,9.342706,-5.2302,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,24953b60-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.78082,31.860302,,13.81827,,,,16.548805,-40.671715,4.671353,1.716567,-0.880594,-2.6151,-0.626613,2.283784,-1.731407,0.286886,0.826701,0.030685,166.276128,0.286857,18.908695,-5.133441,1.247966,-0.276454,0.059715,-0.009302,-0.000167,0.000218,0.826722,26.700275,-6.680847,0.567262,-0.07692,0.003019,0.0002,0.00062,-0.000133,0.030648,0.707054,-1.537861,0.630949,-0.194221,0.054727,-0.010168,0.000129,0.000188,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
3,2021/9/19,04:00.4,2021/9/19,04:00.4,2,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,147.50195,-2.238003,-3.085691,2389.066459,225.305466,1:30,1.718038,0.636551,1.900052,-34.9175,50.5326,47.6835,0.738353,0.244921,131.76036,-4.943216,0.300542,0.417456,,,,,,,,,,,,-27.0155,28.9143,-0.568825,15.24,1.664898,1.926522,-40.432727,-1.677228,-5.645352,10.48064,-3.764511,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,36a20d10-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.3086,,,15.74159,,,,16.538208,-40.767849,5.24032,1.716604,-1.556856,-1.882255,-0.633312,2.107034,-2.822676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
4,2021/9/19,04:12.5,2021/9/19,04:12.5,2,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.83913,0.073454,-2.444527,2385.892233,221.31263,1:30,1.693946,0.672126,1.857887,-36.899,48.7145,39.8465,1.345682,0.381028,131.42695,-2.780742,0.378923,0.417855,,,,,,,,,,,,-22.3836,25.805,-0.61698,15.24,1.693282,1.513728,-40.545052,-0.05494,-4.687615,10.805081,-4.402529,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,3de52e90-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.16988,,,16.41218,,,,16.57989,-40.900568,5.40254,1.692707,0.089915,-2.201265,-0.669323,1.667963,-2.343808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
5,2021/9/19,04:27.7,2021/9/19,04:27.7,2,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,148.08245,0.412798,-3.527078,2401.229806,222.030064,1:30,1.677904,0.657197,1.876777,-44.105,40.0375,33.407,1.353314,-0.003155,133.35004,-2.923609,-1.161099,0.41425,,,,,,,,,,,,-19.8454,21.1403,-0.577358,15.24,1.684717,2.327623,-40.634954,0.143572,-4.234158,9.721979,-5.296214,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,46f59600-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.43338,,,14.73241,,,,16.561809,-40.949977,4.86099,1.677285,0.315187,-2.648107,-0.655003,2.464823,-2.117079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
6,2021/9/19,04:46.5,2021/9/19,04:46.5,2,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.96341,-1.121654,-1.595358,2413.347429,225.02679,1:30,1.696039,0.617885,1.896009,-47.7311,36.0107,33.1211,0.903103,0.50029,133.8467,-4.707379,0.759604,0.413262,,,,,,,,,,,,-18.2251,20.3592,-0.583282,15.24,1.667579,0.960084,-40.668781,-0.965103,-3.899301,9.64767,-5.450757,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,520db450-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.78325,,,14.11671,,,,16.542746,-40.97666,4.823835,1.695602,-0.791157,-2.725379,-0.615906,1.084519,-1.94965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
7,2021/9/19,05:04.9,2021/9/19,05:04.9,2,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,149.28361,-1.841874,-3.3458,2450.420672,214.920387,1:15,1.703501,0.56957,1.907333,-30.6177,52.2099,34.3019,0.878602,-0.028819,134.08928,-4.226709,-0.91083,0.411,,,,,,,,,,,,-20.3452,29.3377,-0.495669,15.24,1.659871,2.213077,-40.946649,-1.397096,-4.389237,10.212448,-3.477379,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,5d1d6e30-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.59109,,,15.19433,,,,16.531223,-41.267434,5.106224,1.70204,-1.287867,-1.738689,-0.56735,2.350949,-2.194619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
8,2021/9/19,05:21.0,2021/9/19,05:21.0,2,6,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,149.31764,-2.036575,-2.719431,2432.724045,226.163622,1:30,1.682494,0.607081,1.874535,-42.1582,40.4801,39.1101,0.686478,0.231754,135.00063,-5.217971,0.055068,0.410531,153.84053,-2.618083,8.941121,4880.350521,,,,10.139892,,7.774198,0.241798,-22.3266,23.3752,-0.546357,15.24,1.632627,1.745318,-40.998908,-1.605293,-4.851619,9.856968,-4.727186,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,67ec4e80-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,147.75999,0.716212,,14.317,,,,16.564818,-41.316194,4.928484,1.68185,-1.45313,-2.363593,-0.60505,1.901487,-2.425809,0.207987,0.716212,-0.237537,252.606922,0.208716,42.130095,-5.981357,,,,,,,0.716403,-1.962414,-4.140514,,,,,,,-0.237606,6.638474,0.070433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
9,2021/9/19,06:23.1,2021/9/19,06:23.1,3,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,146.71606,-2.467442,-3.753022,2480.091979,221.224432,1:15,1.731838,0.602353,1.90708,-39.0016,45.9202,37.714,0.646416,-0.076821,133.39989,-5.423988,-1.076748,0.416164,,,,,,,,,,,,-22.2044,26.449,-0.519442,15.24,1.673538,2.450303,-40.259258,-1.861171,-4.685916,8.936892,-4.224973,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,8ba9ef30-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.75994,,,13.31617,,,,16.532237,-40.545099,4.468446,1.730905,-1.726038,-2.112487,-0.60021,2.600179,-2.342958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
10,2021/9/19,07:02.7,2021/9/19,07:02.7,3,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,133.55783,-0.895497,-3.945225,1452.564764,263.84501,2:45,1.755956,0.607777,1.769566,-95.6916,7.4894,40.4669,0.544584,-0.107617,123.12796,-7.811272,-1.094079,0.458727,,,,,,,,,,,,-23.2712,5.4163,-0.511877,15.24,1.726661,2.338059,-36.690996,-0.959046,-4.118241,6.78651,-8.848152,WAS_EDA,RIK,JinguStadium,Fall,Team,20210919-JinguStadium-2,a3a3ef50-18e5-11ec-8eaa-694d44db6c21,fc6373c4-a3e5-40be-97b0-569b5f33e2a2,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,132.23547,,,10.42987,,,,16.670657,-36.954669,3.393255,1.757244,-0.615273,-4.424076,-0.605825,2.498062,-2.059121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮田 勝行,21A
