PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/9/25,11:51.1,2021/9/25,11:51.1,1,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Cutter,Slider,HitByPitch,Undefined,Undefined,,Undefined,0,0,,129.98481,-3.67874,-3.075271,2365.435293,156.206119,11:15,1.765643,0.455124,1.871314,-80.8068,26.8368,-10.4277,-0.081571,-0.516223,120.74886,-9.526802,-3.814962,0.468542,,,,,,,,,,,,3.4233,17.2878,-0.38296,15.24,1.674878,1.961313,-35.690585,-2.582013,0.573703,6.368321,-6.909407,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,b7321990-1db6-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,129.46534,,,9.23595,,,,16.568999,-35.926938,3.18416,1.765948,-2.325578,-3.454704,-0.455357,1.94002,0.286852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
2,2021/9/25,13:05.0,2021/9/25,13:05.0,2,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,134.63381,-1.348333,-0.294388,2194.05378,195.310024,12:30,1.75613,0.504763,1.892375,-59.0717,40.7824,10.3194,0.786037,0.525141,123.60245,-5.736289,0.439531,0.451271,,,,,,,,,,,,-5.523,23.0054,-0.498612,15.24,1.721705,0.142888,-37.058339,-1.069999,-0.994696,7.085302,-5.663375,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,e1f44c20-1db6-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,134.42031,,,11.03135,,,,16.546836,-37.30736,3.542651,1.755814,-0.870953,-2.831688,-0.504249,0.177848,-0.497348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
3,2021/9/25,13:36.0,2021/9/25,13:36.0,2,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,1,135.67576,-0.043928,-0.328027,2293.056617,200.275232,12:45,1.748163,0.515582,1.974409,-54.1695,43.3665,14.889,1.194174,0.572663,123.96869,-4.119757,0.735784,0.446002,,,,,,,,,,,,-7.9773,23.6362,-0.509247,15.24,1.744257,0.146836,-37.360175,-0.195061,-1.455389,7.429586,-5.494412,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,f48cbc00-1db6-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,136.00827,,,11.70707,,,,16.464698,-37.602935,3.714793,1.747698,-0.015533,-2.747206,-0.514822,0.19439,-0.727695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
4,2021/9/25,13:56.1,2021/9/25,13:56.1,2,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,123.56804,2.428209,1.063269,2312.388732,86.009608,8:45,1.660294,0.585405,1.701053,-121.4485,2.9106,-24.9272,1.137533,0.638828,110.89993,-6.406916,-0.68766,0.503609,,,,,,,,,,,,13.3073,1.0161,-0.61137,15.24,1.714725,-0.508969,-33.876519,0.962709,1.956957,7.219738,-9.657228,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,009d9230-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,120.45061,,,12.6681,,,,16.73724,-34.194121,3.609869,1.663031,1.387538,-4.828614,-0.587087,-0.595057,0.978478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
5,2021/9/25,14:16.0,2021/9/25,14:16.0,2,4,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,1,139.386,-1.26415,-1.584719,2329.642971,189.343608,12:15,1.738539,0.495318,1.908965,-39.1447,54.0655,8.4106,0.991645,0.13397,127.40587,-4.24184,-0.986611,0.436,128.92863,46.046329,-66.070552,4401.639185,7.620432,27.311316,-32.650474,78.704564,,-84.34992,5.196057,-5.4912,29.8787,-0.460019,15.24,1.707631,1.021943,-38.355478,-0.960706,-1.056571,7.785299,-4.057619,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,0c3ba960-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,139.12851,29.124955,,11.98013,,,,16.530562,-38.616544,3.892649,1.737565,-0.824641,-2.028809,-0.494882,1.057374,-0.528285,-0.057946,0.901793,-0.063801,142.270148,-0.052738,9.948407,-4.656224,0.506574,0.69764,-0.469538,0.131225,-0.017318,0.000883,0.893016,25.953583,-7.698563,1.67017,-0.842177,0.302972,-0.059959,0.005947,-0.000233,-0.059894,-22.784317,3.300997,-0.764182,0.15302,0.003012,-0.011791,0.002472,-0.000161,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
6,2021/9/25,15:09.7,2021/9/25,15:09.7,2,5,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,1,0,1,131.55974,0.808048,-1.915674,2325.012857,164.965621,11:30,1.766709,0.462422,1.764796,-83.1837,22.9182,-5.3105,1.164128,-0.134051,120.95428,-5.257846,-2.289849,0.465175,,,,,,,,,,,,1.4182,12.1575,-0.41397,15.24,1.781019,1.235543,-36.187665,0.192035,0.244203,6.584955,-7.713258,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,2c617d50-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,130.40261,,,10.60546,,,,16.674608,-36.447781,3.292478,1.767415,0.496721,-3.856629,-0.462586,1.225896,0.122102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
7,2021/9/25,15:26.4,2021/9/25,15:26.4,2,6,"Shunsuke, Izawa",1000073948,Right,TOK,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,139.23251,-0.156622,-0.247648,2167.842822,196.792103,12:30,1.753191,0.514512,2.004371,-50.9629,40.9817,11.5264,1.199808,0.560593,127.63352,-3.991681,0.577477,0.43303,,,,,,,,,,,,-6.1888,22.4783,-0.509835,15.24,1.747231,0.113484,-38.358917,-0.262585,-1.194519,7.571907,-5.468025,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,364b2dc0-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,140.08271,,,11.59898,,,,16.434908,-38.594067,3.785953,1.752749,-0.092773,-2.734013,-0.513935,0.150581,-0.59726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
8,2021/9/25,16:02.8,2021/9/25,16:02.8,3,1,"Shunsuke, Izawa",1000073948,Right,TOK,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,137.28912,-3.068506,-3.081459,2284.1942,198.012673,12:30,1.715895,0.438075,1.868871,-45.2275,52.3495,15.9315,0.397076,-0.27156,124.97761,-6.473821,-1.95291,0.446096,,,,,,,,,,,,-10.537,30.3412,-0.367267,15.24,1.641486,1.952362,-37.662319,-2.161594,-1.943032,7.929589,-4.211705,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,4bf34ea0-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,135.97968,,,12.31151,,,,16.570345,-37.941382,3.964794,1.71495,-2.013374,-2.105853,-0.437179,2.020742,-0.971516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
9,2021/9/25,17:04.5,2021/9/25,17:04.5,3,2,"Shunsuke, Izawa",1000073948,Right,TOK,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.07579,-2.956511,-0.828693,2295.801318,196.879441,12:30,1.745921,0.475914,1.900061,-42.3299,52.0398,14.8228,0.490494,0.391116,126.73325,-6.156772,0.225712,0.438703,,,,,,,,,,,,-8.2039,30.0146,-0.457856,15.24,1.676025,0.480379,-38.206959,-2.097974,-1.5593,8.048771,-4.101809,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,70c9d960-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,138.27118,,,12.34254,,,,16.538527,-38.479537,4.024386,1.744722,-1.959063,-2.050905,-0.475019,0.533186,-0.77965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
10,2021/9/25,17:22.4,2021/9/25,17:22.4,3,3,"Shunsuke, Izawa",1000073948,Right,TOK,"Hiroki, Yoshioka",1000126665,Left,RIK,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,3,137.1398,-1.920488,0.009298,2216.294418,203.60574,12:45,1.724961,0.528638,1.869105,-48.6148,48.0872,19.6824,0.697576,0.728082,125.68374,-5.556792,1.406791,0.444092,,,,,,,,,,,,-10.0904,27.0722,-0.529994,15.24,1.677167,-0.100124,-37.728344,-1.421749,-1.881153,7.434933,-4.759572,TOK,RIK,JinguStadium,TeamExclusive,Team,20210925-JinguStadium-2,7b7c5810-1db7-11ec-b6d3-e3a11dc3419b,98799591-5adf-4647-9cfa-958cc8c0286b,v3,,,,"Taiki, Matsuoka",1000073870,Right,TOK,136.59345,,,11.45606,,,,16.569994,-37.989536,3.717467,1.724177,-1.254544,-2.379786,-0.527637,-0.034038,-0.940576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,21A
