PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/3,00:56.6,2021/10/3,00:56.5,1,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.84672,0.973477,-3.501881,2564.446315,46.849478,7:30,1.802641,0.627908,1.586723,-134.3264,-16.6271,-21.6008,0.73897,-0.593151,116.75841,-8.574069,-5.005236,0.489938,,,,,,,,,,,,8.3952,-8.3138,-0.52696,15.24,1.817761,2.232127,-34.822737,0.028409,1.327818,6.582271,-11.121588,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,8318d1f0-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,123.81147,,,10.08831,,,,16.854091,-35.126511,3.291135,1.804606,0.541674,-5.560794,-0.628559,2.170847,0.663909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
2,2021/10/3,01:10.9,2021/10/3,01:10.9,1,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,1,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,GroundBall,Undefined,0,0,,125.86207,-2.454799,-4.306627,2479.875186,53.810164,7:45,1.790031,0.64407,1.569019,-136.7159,-16.2054,-27.2221,-0.283971,-0.86629,116.86439,-12.037702,-6.201407,0.495755,116.05023,-6.4803,-176.994924,,,,,1.392966,,19.888222,0.065276,10.7691,-5.9889,-0.518361,15.24,1.706888,2.718891,-34.489307,-2.045007,1.665212,6.653663,-10.732704,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,8b9c1490-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,122.35884,0.237701,,8.99768,,,,16.87223,-34.802772,3.326831,1.791321,-1.539372,-5.366352,-0.644604,2.640441,0.832606,,,,180.0,3.399976,-32.014487,,,,,,,,0.237735,-3.641448,,,,,,,,0.583591,-1.680652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
3,2021/10/3,01:32.0,2021/10/3,01:32.0,1,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,147.59974,-1.728671,-4.18605,2255.884089,217.13324,1:15,1.701702,0.653266,1.870055,-39.3345,46.0126,32.4187,0.819938,-0.203863,132.50296,-4.730238,-1.893562,0.417205,,,,,,,,,,,,-20.0237,26.0056,-0.557615,15.24,1.658908,2.788107,-40.434839,-1.347127,-4.210112,10.004879,-4.338807,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,982d1740-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.3963,,,15.09678,,,,16.56841,-40.762205,5.00244,1.700664,-1.205158,-2.169403,-0.651098,2.925864,-2.105056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
4,2021/10/3,01:46.6,2021/10/3,01:46.6,1,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.12855,-1.406469,-2.129694,2311.878268,224.438511,1:30,1.716489,0.69348,1.788136,-40.2716,50.5493,46.0306,0.915203,0.550527,128.44044,-4.491148,1.11977,0.430376,,,,,,,,,,,,-25.0174,27.9241,-0.643874,15.24,1.678952,1.218354,-39.511976,-1.095085,-4.980503,10.187859,-4.247482,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,a0f18190-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,140.94668,,,15.6881,,,,16.649707,-39.873801,5.093929,1.715166,-0.944234,-2.123741,-0.690285,1.395238,-2.490251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
5,2021/10/3,02:02.1,2021/10/3,02:02.1,1,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.53567,-1.403912,-4.107722,2275.253488,218.730303,1:15,1.703203,0.690484,1.923574,-45.2131,41.6961,30.9022,0.855806,-0.155785,131.07764,-4.829863,-1.914708,0.421005,,,,,,,,,,,,-19.1896,23.6482,-0.600213,15.24,1.669134,2.708055,-39.901468,-1.126048,-3.940131,9.524013,-4.951048,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,aa32bd00-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.08363,,,14.45804,,,,16.514945,-40.204631,4.762007,1.70247,-0.968449,-2.475524,-0.68841,2.833475,-1.970065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
6,2021/10/3,02:23.3,2021/10/3,02:23.3,1,6,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yu, Miyazaki",1000073899,Left,TOK,Undefined,1,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,,Undefined,0,0,,135.36681,1.312207,-2.127684,1273.529839,273.221828,3:00,1.717837,0.646882,1.793322,-99.1689,1.4348,31.7507,1.097877,0.361893,123.53894,-5.90037,0.115152,0.452962,,,,,,,,,,,,-17.6828,0.8589,-0.596678,15.24,1.743351,1.227451,-37.215898,0.448839,-3.194156,7.523089,-9.651504,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,b6ac8e30-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,133.91861,,,11.82787,,,,16.646365,-37.499113,3.761544,1.719615,0.812181,-4.825752,-0.64515,1.347699,-1.597078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
7,2021/10/3,03:03.2,2021/10/3,03:03.2,2,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,1,0,1,143.79347,-2.950047,-3.461036,2378.441366,223.788882,1:30,1.710445,0.675988,1.869471,-42.2528,46.7385,41.8539,0.454602,0.118328,130.6471,-6.136894,-0.495663,0.426018,,,,,,,,,,,,-24.103,27.2286,-0.597859,15.24,1.638977,2.1756,-39.442104,-2.173125,-4.873383,8.715979,-4.301293,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,ce9bb8e0-23fe-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,142.38822,,,13.14638,,,,16.56989,-39.734898,4.35799,1.709551,-2.028633,-2.150646,-0.673694,2.33931,-2.436692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
8,2021/10/3,04:27.6,2021/10/3,04:27.6,2,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,130.61416,1.164676,-2.997356,1353.110018,270.521954,3:00,1.742201,0.667662,1.702769,-106.3348,3.28,35.3039,1.010843,0.166813,119.04536,-6.527263,-0.519304,0.472813,,,,,,,,,,,,-19.9344,2.0002,-0.591906,15.24,1.764497,1.704529,-35.862978,0.293597,-3.338936,7.078759,-9.471631,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,00e82810-23ff-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,128.296,,,11.5688,,,,16.73679,-36.157212,3.53938,1.744111,0.687293,-4.735816,-0.665641,1.843314,-1.669468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
9,2021/10/3,04:40.1,2021/10/3,04:40.0,2,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.54861,-1.595896,-3.975089,2538.508454,210.608851,1:00,1.713492,0.688118,1.732656,-80.227,16.2517,8.1508,0.456619,-0.361507,128.60096,-7.358643,-3.403013,0.443578,,,,,,,,,,,,-6.4084,9.9445,-0.586639,15.24,1.666327,2.588655,-37.815418,-1.387538,-1.22261,6.14549,-7.909411,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,08364610-23ff-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,136.75153,,,8.94765,,,,16.707812,-38.053208,3.072745,1.714094,-1.081495,-3.954706,-0.687718,2.635962,-0.611305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
10,2021/10/3,04:55.3,2021/10/3,04:55.3,2,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.0547,0.442771,-2.086398,2390.101387,230.466936,1:45,1.725174,0.664272,1.766832,-51.5537,37.4796,41.9567,1.335249,0.492079,131.16468,-3.387609,0.871127,0.426119,,,,,,,,,,,,-22.7466,19.6225,-0.614934,15.24,1.732586,1.222017,-39.603858,0.110533,-4.658439,8.430215,-5.788002,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,11650af0-23ff-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,142.35461,,,12.89003,,,,16.672545,-39.90763,4.215108,1.724846,0.319095,-2.894001,-0.661992,1.389877,-2.329219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
11,2021/10/3,05:12.4,2021/10/3,05:12.4,2,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,147.31156,-2.635145,-4.092033,2431.855518,228.71416,1:30,1.713156,0.645749,1.879784,-44.5304,39.1534,41.6821,0.523557,-0.091426,135.447,-5.9513,-1.140091,0.413119,,,,,,,,,,,,-24.1764,22.7602,-0.553589,15.24,1.649353,2.68415,-40.44519,-2.02469,-5.209253,8.081815,-4.902555,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,1cc44460-23ff-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.8342,,,11.86456,,,,16.560214,-40.708142,4.040907,1.712633,-1.865179,-2.451278,-0.643679,2.85364,-2.604627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
12,2021/10/3,05:27.5,2021/10/3,05:27.5,2,6,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Reo, Akutsu",1000101208,Left,TOK,Undefined,1,Top,1,3,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,133.47603,-0.441057,-3.985318,1375.458203,267.269889,3:00,1.728865,0.634972,1.79588,-97.267,4.513,37.9584,0.631073,-0.115093,124.3767,-7.454555,-1.307652,0.455602,108.7602,-14.664538,48.745511,,,,,2.30606,,48.537327,0.07198,-21.8748,3.3743,-0.539681,15.24,1.711188,2.385024,-36.721555,-0.668671,-3.923819,5.996011,-9.201385,WAS_EDA,TOK,JinguStadium,Fall,NL,20211003-JinguStadium-1,2486f620-23ff-11ec-aabe-5d039515dd7f,f66de7dc-74ae-4f66-8d69-45b24b252f26,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,133.14247,0.552004,,9.09933,,,,16.644987,-36.950254,2.998005,1.729999,-0.317714,-4.600693,-0.633504,2.534685,-1.961909,0.135947,0.552004,0.142287,180.0,0.135345,19.324432,,,,,,,,0.552243,-7.668869,,,,,,,,0.1416,22.031809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
