PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/9,00:24.8,2021/10/9,00:24.8,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,135.9075,-1.419901,-3.143418,1952.407203,172.273291,11:45,1.754685,0.568264,1.97637,-79.8966,16.6362,-1.8887,0.557686,-0.331177,126.06434,-7.26843,-3.278175,0.443703,,,,,,,,,,,,-1.0107,10.507,-0.500857,15.24,1.72004,2.062339,-37.403662,-1.211577,-0.186737,6.731208,-7.865412,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,49822d40-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,136.71312,,,9.84316,,,,16.463629,-37.623223,3.365604,1.755375,-0.955019,-3.932706,-0.568226,2.06843,-0.093369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
2,2021/10/9,00:37.6,2021/10/9,00:37.6,1,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,117.60969,-0.376582,-2.706655,1955.527408,19.195334,6:45,1.724984,0.455447,1.772181,-144.8165,-12.0166,-5.5355,0.169972,-0.367569,109.45891,-10.744212,-3.097854,0.52042,,,,,,,,,,,,1.0002,-4.8866,-0.387438,15.24,1.705112,1.552279,-32.36079,-0.73104,0.137414,5.383586,-10.477992,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,510b3160-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,116.5598,,,8.15078,,,,16.668604,-32.597589,2.691793,1.727131,-0.270163,-5.238996,-0.455583,1.546235,0.068707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
3,2021/10/9,00:57.0,2021/10/9,00:57.0,1,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.72043,1.072158,-2.462839,2074.433456,142.46416,10:45,1.767445,0.59228,1.81862,-88.5409,13.7419,-8.1966,1.185341,-0.186109,122.75997,-5.386031,-3.041817,0.456726,,,,,,,,,,,,2.4994,7.3353,-0.532248,15.24,1.787489,1.620391,-36.771564,0.346577,0.443373,6.949495,-8.505425,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,5cbaadb0-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,132.81479,,,10.96046,,,,16.620835,-37.03161,3.474748,1.768565,0.664845,-4.252713,-0.592571,1.6038,0.221687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
4,2021/10/9,01:13.3,2021/10/9,01:13.3,1,4,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,133.817,-1.528527,-2.969829,1948.858935,156.955628,11:15,1.738863,0.597788,1.972149,-84.568,14.9361,-5.1792,0.464642,-0.286061,124.3869,-7.704452,-3.33942,0.45048,,,,,,,,,,,,0.849,9.6749,-0.533719,15.24,1.701495,1.933119,-36.837114,-1.281503,0.152279,6.465397,-8.071263,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,666de4d0-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,134.65644,,,9.4301,,,,16.467989,-37.052015,3.232699,1.739632,-1.013225,-4.035631,-0.597889,1.928057,0.076139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
5,2021/10/9,01:31.1,2021/10/9,01:31.1,1,5,"Yosuke, Ikeda",1000089900,Right,RIK,"Tomoya, Nishimura",1000101193,Right,HOS_HOS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,144.37214,-2.117739,-3.220865,1993.323122,204.038207,12:45,1.772252,0.550527,1.900044,-41.901,45.127,18.9157,0.756569,-0.166905,132.32959,-5.265125,-1.878634,0.421293,165.20444,-1.567695,26.879392,2619.869505,,,,12.293578,,29.161457,0.279103,-12.0166,25.6935,-0.478337,15.24,1.721478,2.140853,-39.673092,-1.606848,-2.480919,8.103033,-4.502043,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,70e70400-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,143.98539,0.70643,,12.04255,,,,16.539618,-39.93765,4.051516,1.771541,-1.459859,-2.251021,-0.549557,2.221853,-1.240459,-0.071315,0.70643,0.177354,270.628672,-0.069835,40.846289,-7.657997,,,,,,,0.706848,-1.275369,-4.510127,,,,,,,0.176866,20.763188,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
6,2021/10/9,02:15.0,2021/10/9,02:15.0,2,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,134.1735,-1.897768,-2.162151,1926.005393,193.120769,12:30,1.743462,0.623948,1.915506,-78.441,21.6966,4.3614,0.42538,0.059909,123.9482,-7.637227,-1.851589,0.451911,,,,,,,,,,,,-3.73,13.4697,-0.575622,15.24,1.696215,1.374924,-36.92274,-1.504591,-0.668338,6.883525,-7.393142,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,8b2e7690-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,134.22987,,,10.2253,,,,16.524497,-37.161437,3.441763,1.743944,-1.248222,-3.696571,-0.623702,1.3981,-0.334169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
7,2021/10/9,02:37.1,2021/10/9,02:37.1,2,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,1,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,140.43846,-0.562778,-2.389609,1785.176809,207.868364,1:00,1.766788,0.605175,1.985502,-48.1062,42.7237,21.1042,1.128183,0.14749,128.5407,-4.188001,-0.882398,0.430397,,,,,,,,,,,,-12.645,23.6114,-0.555363,15.24,1.752207,1.515282,-38.651361,-0.528819,-2.475649,7.759066,-5.184009,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,985577b0-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,140.9397,,,11.89776,,,,16.453819,-38.894265,3.879533,1.766222,-0.366529,-2.592005,-0.604014,1.592785,-1.237825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
8,2021/10/9,03:02.9,2021/10/9,03:02.8,2,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,141.21622,-2.490106,-2.213303,1842.247346,214.441271,1:15,1.740622,0.570449,1.977086,-52.6974,37.4294,23.7136,0.515876,0.187923,129.51144,-6.422359,-0.519163,0.428728,,,,,,,,,,,,-13.9653,22.2294,-0.524258,15.24,1.684468,1.392509,-38.838,-1.864124,-2.757273,7.924043,-5.417728,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,a799da90-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,141.48838,,,11.70477,,,,16.462579,-39.086644,3.962021,1.740294,-1.694124,-2.708864,-0.569311,1.479028,-1.378636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
9,2021/10/9,03:45.8,2021/10/9,03:45.8,2,4,"Yosuke, Ikeda",1000089900,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Double,0,0,1,143.00047,-0.932268,-2.852971,1849.943518,211.471915,1:00,1.761575,0.577754,2.015148,-46.4834,41.1081,23.4501,1.036135,0.015137,130.53356,-4.445327,-1.17594,0.422655,157.21048,24.296366,10.696726,2180.792862,32.895342,14.306466,6.482322,113.550937,,11.629411,4.758369,-14.4301,23.1679,-0.519683,15.24,1.739852,1.854782,-39.344122,-0.78506,-2.916187,8.331422,-5.124651,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,c147a530-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,143.52145,20.44391,,12.46691,,,,16.424633,-39.594183,4.165711,1.761107,-0.631248,-2.562325,-0.576666,1.942309,-1.458094,0.398146,0.972256,-0.024153,189.882811,0.398401,39.105829,-6.847934,1.508972,-0.319889,0.064006,-0.011608,0.001489,-8.5e-05,0.972426,17.96234,-4.398882,0.056534,0.081985,-0.047478,0.014334,-0.002121,0.00012,-0.02414,7.387669,-0.663318,-0.032196,0.028499,-0.003652,-0.000672,0.000242,-1.9e-05,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
10,2021/10/9,04:44.5,2021/10/9,04:44.5,3,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"2,3",117.47544,1.870764,-0.733963,1949.659773,26.50304,7:00,1.759709,0.479167,1.652711,-138.8029,-4.3485,-4.0789,0.906005,0.228824,108.831,-8.069549,-1.019908,0.523651,,,,,,,,,,,,1.5722,-2.1113,-0.458971,15.24,1.798725,0.432067,-32.323937,0.526219,0.216654,5.093978,-10.097594,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20211009-JinguStadium-1,e45556d0-289c-11ec-a7ca-f34fcdf0b1c4,df468156-7323-494b-a36f-9eb29aa841d3,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,115.84045,,,8.64444,,,,16.78751,-32.566898,2.546989,1.762141,1.007832,-5.048797,-0.479333,0.421733,0.108327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,21A
