PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,season
1,2021/10/10,18:34.5,2021/10/10,18:34.5,1,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,148.22815,-1.010457,3.229142,2209.412332,147.607592,11:00,1.853556,-0.554332,1.745436,-42.0537,43.0337,-25.4275,1.145689,0.109039,134.07182,-4.166894,1.441947,0.416569,,,,,,,,,,,,15.3107,23.4663,0.473996,15.24,1.824757,-2.154516,-40.666623,-0.872338,3.283328,9.451587,-4.774394,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,21f9ecf0-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.61807,,,14.15633,,,,16.693364,-41.003018,4.725794,1.852781,-0.702411,-2.387197,0.552758,-2.271374,1.641664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
2,2021/10/10,18:48.2,2021/10/10,18:48.2,1,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.79005,1.134054,1.211577,2325.242632,298.382498,4:00,1.810938,-0.574725,1.771292,-107.2599,-4.8347,14.4991,1.059871,-0.086292,123.28854,-6.61635,2.234899,0.457044,,,,,,,,,,,,-6.5732,-2.2532,0.543433,15.24,1.831624,-0.848102,-36.828194,0.289259,-1.17147,6.865761,-10.208205,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,2a497560-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,132.7224,,,10.50151,,,,16.668842,-37.093612,3.432881,1.812813,0.68389,-5.104103,0.575344,-0.802815,-0.585735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
3,2021/10/10,19:03.2,2021/10/10,19:03.2,1,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,133.41398,0.692864,0.979444,2368.788726,297.721265,4:00,1.80802,-0.561771,1.779528,-107.5166,-4.731,14.6876,0.929167,-0.137411,123.15057,-7.073239,2.017156,0.457848,,,,,,,,,,,,-6.8481,-1.925,0.536416,15.24,1.817636,-0.697406,-36.736985,0.00697,-1.215183,6.789554,-10.148234,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,333082e0-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,132.4895,,,10.26342,,,,16.660687,-36.998618,3.394777,1.809833,0.398029,-5.074117,0.562388,-0.65058,-0.607592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
4,2021/10/10,19:16.7,2021/10/10,19:16.7,1,4,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,150.05235,-2.542097,4.371378,2309.480249,155.833921,11:15,1.838329,-0.578354,1.775533,-36.3232,46.2864,-19.5277,0.752217,0.467409,136.55642,-5.275549,2.999742,0.410459,,,,,,,,,,,,13.0877,26.2499,0.470659,15.24,1.772231,-3.036371,-41.110659,-1.956435,2.884807,9.181102,-4.020633,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,3b2abf60-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,147.78572,,,13.49592,,,,16.663573,-41.427361,4.590551,1.837326,-1.817744,-2.010316,0.577115,-3.135883,1.442403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
5,2021/10/10,19:36.1,2021/10/10,19:36.1,1,5,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Satoru, Michihara",1000074062,Left,RIK,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,150.59835,-3.636768,4.047063,2297.556343,162.662413,11:30,1.814462,-0.557939,1.764712,-30.9632,51.4665,-15.1777,0.469695,0.439697,136.79712,-5.990683,2.981143,0.410012,,,,,,,,,,,,10.7122,29.7299,0.457315,15.24,1.720656,-2.833201,-41.221459,-2.724311,2.367773,9.448122,-3.235296,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,46c9e800-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,147.94692,,,13.80123,,,,16.674285,-41.548902,4.724061,1.813129,-2.612185,-1.617648,0.556927,-2.915261,1.183887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
6,2021/10/10,20:13.0,2021/10/10,20:13.0,2,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,1,147.14292,-3.30168,4.414052,2299.981825,153.761396,11:15,1.838139,-0.532854,1.833988,-38.3561,46.9534,-21.7386,0.518605,0.498451,134.17467,-6.18595,2.881385,0.417113,,,,,,,,,,,,14.3486,27.3761,0.428639,15.24,1.756452,-2.999622,-40.304834,-2.460374,3.041984,8.771555,-4.002782,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,5cb839a0-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.42831,,,12.96825,,,,16.605425,-40.600904,4.385777,1.837218,-2.325266,-2.001391,0.53162,-3.102299,1.520992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
7,2021/10/10,20:47.4,2021/10/10,20:47.4,2,2,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,147.46303,-3.009687,4.009505,2336.180801,154.345831,11:15,1.810329,-0.543181,1.873785,-35.4993,49.3705,-22.2812,0.604839,0.365073,133.65644,-5.713745,2.433435,0.416036,,,,,,,,,,,,14.4866,28.609,0.451351,15.24,1.738053,-2.716641,-40.404496,-2.236788,3.068365,9.286369,-3.747075,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,7127da80-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,145.80461,,,13.80658,,,,16.565091,-40.707909,4.643185,1.809136,-2.11436,-1.873537,0.541749,-2.816893,1.534183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
8,2021/10/10,21:07.6,2021/10/10,21:07.6,2,3,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,148.50218,-2.898531,4.505078,2331.022179,149.65826,11:00,1.832682,-0.569545,1.871949,-37.8711,45.4189,-24.9652,0.634319,0.452358,135.36693,-5.755017,2.740995,0.412146,,,,,,,,,,,,16.0776,26.3456,0.466205,15.24,1.762721,-3.077911,-40.695224,-2.191055,3.475973,8.916561,-4.11074,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,7e746500-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,147.18079,,,13.13525,,,,16.567368,-40.985026,4.458281,1.831763,-2.05745,-2.05537,0.568078,-3.190885,1.737986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
9,2021/10/10,21:26.7,2021/10/10,21:26.7,2,4,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Shoto, Tanaka",1000101293,Left,RIK,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,1,136.5473,-0.327381,2.914806,2326.189162,275.252644,3:15,1.796706,-0.567485,1.775161,-97.0166,1.3691,16.0344,0.733654,0.419503,126.23477,-7.322478,4.044797,0.447941,,,,,,,,,,,,-6.2606,1.8039,0.493684,15.24,1.781635,-1.989142,-37.556116,-0.614543,-1.161212,7.083753,-9.472068,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,88b1b3b0-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,135.41968,,,10.31253,,,,16.664988,-37.823939,3.541876,1.7981,-0.256422,-4.736034,0.56806,-1.945239,-0.580606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,21A
10,2021/10/10,22:00.7,2021/10/10,22:00.7,3,1,"Hikaru, Yamashita",1000073788,Left,HOS_HOS,"Jinto, Miyazaki",1000074131,Right,RIK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,148.50876,-2.527378,3.905521,2266.418071,150.913764,11:00,1.827608,-0.563974,1.859783,-39.5523,43.7153,-22.7846,0.717546,0.310776,135.35451,-5.502522,2.294658,0.412091,,,,,,,,,,,,14.7676,25.3332,0.473827,15.24,1.765755,-2.669734,-40.750207,-1.940345,3.196025,9.078112,-4.324012,HOS_HOS,RIK,JinguStadium,TeamExclusive,NL,20211010-JinguStadium-2,9ceab430-2981-11ec-8402-830623711824,75376778-99bd-4861-bd30-7983b9dcc8c9,v3,,,,"Kyoichiro, Murakami",1000073845,Right,HOS_HOS,147.20066,,,13.15424,,,,16.580336,-41.047714,4.539056,1.827022,-1.798639,-2.162006,0.563035,-2.774474,1.598012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.55741,2.074444,0.833843,1.240601,1.849958,0.850451,-0.252197,-0.273013,1.614889,0.54059,38.794224,1.18374,1.480578,-0.209586,35.314025,-3.115864,1.636801,4.638022,-4.029902,0.50489,-0.617838,1.127999,上野 達也,21A
